00-00	L-ISTQARRIJA UNIVERSALI DWAR IL-JEDDIJIET TAL-BNIEDEM
02-01	Kulhadd hu intitolat ghal dawn il-jeddijiet u l-libertajiet imxandra f’din l-Istqarrija, bla ebda ghazla, bhal ta’ razza, lewn, sess, ilsien, religjon, opinjoni politika jew kull opinjoni ohra, origini nazzjonali jew socjali, proprjeta, twelid jew kull qaghda ohra.
02-02	Mhux biss, izda l-ebda ghazla m’ghandha ssir fuq bazi tal-qaghda politika, guridika jew internazzjonali tal-pajjiz jew territorju li minnu tigi l-persuna, kemm jekk tkun indipendenti, kemm jekk tkun fdata lil xi pajjiz iehor, kemm jekk ma jkollhiex gvern taghha kif ukoll jekk ikollha xi limiti ohra fis-sovranita taghha.
03-00	L-Artiklu 3.
03-01	Kull bniedem ghandu l-jedd ghall-hajja, ghall-helsien u ghas-sigurta tal-persuna tieghu.
04-00	L-Artiklu 4.
04-01	Hadd m’ghandu jinzamm ilsir jew fi stat li jixbah lil dak ta’ lsir. L-iskjavitu u n-negozju tal-ilsiera fl-ghamliet kollha taghhom m’ghandhomx jithallew isiru.
05-00	L-Artiklu 5.
05-01	Hadd m’ghandu jinghata tortura jew kastig jew trattament ahrax, li ma jixraqx lill-bniedem jew li jbaxxih.
06-00	L-Artiklu 6.
06-01	Kulhadd ghandu l-jedd li jintgharaf kullimkien bhala persuna quddiem il-ligi.
07-00	L-Artiklu 7.
07-01	Kulhadd huwa ndaqs quddiem il-ligi u ghandu l-jedd, bla ebda ghazla, ghal protezzjoni ugwali mil-ligi. Kulhadd ghandu l-jedd ghal protezzjoni ndaqs kontra kull ghazla li tikser din l-Istqarrija u kontra kull provokazzjoni ghal ghazla bhal din.
08-00	L-Artiklu 8.
08-01	Kulhadd ghandu l-jedd quddiem it-tribunali nazzjonali kompetenti ghal rimedji effettivi kontra l-ksur tal-jeddijiet fondamentali li lilu huma maghrufa mill-kostituzzjoni jew mil-ligi.
09-00	L-Artiklu 9.
09-01	Hadd m’ghandu jithalla jkun imharrek, mizmum il-habs jew itturufnat ghalxejn b’xejn.
10-00	L-Artiklu 10.
10-01	Kulhadd ghandu l-jedd b’ugwaljanza shiha li jkun mismugh bil-haqq u fil-pubbliku minn tribunal indipendenti u imparzjali, li jiddeciedi l-jeddijiet u d-dmirijiet tieghu jew xi akkuza kriminali kontrieh.
11-00	L-Artiklu 11.
11-01	Kull min hu mixli bi htija li jisthoqqilha kastig ghandu l-jedd li jkun meqjus bla htija sakemm il-htija tieghu tkun pprovata skont il-ligi fi process pubbliku li fih ikollu l-garanziji kollha mehtiega biex jiddefendi ruhu.
11-02	Hadd m’ghandu jkun ikkundannat minhabba ghemil jew thollija ta’ ghemil, li fiz-zmien meta twettqu ma kinux htijiet li jisthoqqilhom kastig skont il-ligi nazzjonali jew internazzjonali. Lanqas m’ghandu jinghata kastig ikbar minn dak li kien jinghata meta twettqet il-htija.
12-00	L-Artiklu 12.
12-01	Hadd m’ghandu jkollu ghalxejn b’xejn indhil fil-hajja privata tieghu, fil-familja tieghu, f’daru jew fl-ittri tieghu, u lanqas m’ghandu jbati minn attakki fuq l-unur u l-fama tieghu. Kulhadd ghandu l-jedd ghall-protezzjoni mil-ligi kontra kull indhil jew attakki bhal dawn.
13-00	L-Artiklu 13.
13-01	Kulhadd ghandu l-jedd li jmur bil-liberta minn imkien ghal iehor u li jaghzel fejn joqghod ’il gewwa mill-fruntieri ta’ kull Stat.
13-02	Kulhadd ghandu l-jedd li jhalli pajjiz, ukoll dak tieghu, u li jerga’ lura fih.
14-00	L-Artiklu 14.
14-01	Kulhadd ghandu l-jedd li jfittex u jgawdi f’pajjizi ohra l-kenn mill-persekuzzjoni.
14-02	Dan il-jedd ma jistax jintuza fil-kaz ta’ persekuzzjonijiet fondati tassew fuq htija kontra l-ligi komuni jew fuq ghemejjel kontra l-ghanijiet u l-principji tal-Gnus Maghquda.
15-00	L-Artiklu 15.
15-01	Kulhadd ghandu l-jedd ghan-nazzjonalita.
15-02	Hadd m’ghandu jkun imcahhad ghalxejn b’xejn min-nazzjonalita tieghu, lanqas mid-dritt li jbiddilha.
16-00	L-Artiklu 16.
16-01	L-irgiel u n-nisa li ghandom l-eta taghhom taz-zwieg, ghandhom il-jedd jizzewgu u jwaqqfu familja minghajr xkiel minhabba r-razza, in-nazzjonalita jew ir-religjon taghhom. Huma ghandhom jeddijiet indaqs ghaz-zwieg, matul iz-zwieg u meta dan jinhall.
16-02	Iz-zwieg m’ghandux isir minghajr il-ftehim hieles u shih taz-zewg gharajjes.
16-03	Il-familja hi l-element naturali u fondamentali tas-socjeta u ghandha l-jedd ghall-protezzjoni mis-socjeta u mill-Istat.
17-00	L-Artiklu 17.
17-01	Kulhadd ghandu l-jedd ghall-proprjeta, kemm tieghu wahdu kif ukoll bi shab m’ohrajn.
17-02	Hadd m’ghandu ghalxejn b’xejn ikun imcahhad minn gidu.
18-00	L-Artiklu 18.
18-01	Kulhadd ghandu l-jedd ghal-liberta tal-hsieb, tal-kuxjenza u tar-religjon; dan il-jedd ihaddan il-liberta li wiehed ibiddel ir-religjon jew il-konvinzjoni tieghu u li jkun hieles, kemm wahdu jew m’ohrajn, fil-berah jew fil-privat, jistqarr ir-religjon jew il-konvinzjoni tieghu fit-taghlim, fl-ghemejjel, fil-qima u fil-harsien tieghu.
19-00	L-Artiklu 19.
19-01	Kulhadd ghandu l-jedd ghal-liberta li jzomm l-opinjoni tieghu u li jfissirha; dan ihaddan il-jedd li wiehed izomm opinjonijiet minghajr indhil u li jkun jista’ jfittex jircievi u jghaddi taghrif u ideat bil-mezzi li jidhirlu, irrispettivament mill-fruntieri.
20-00	L-Artiklu 20.
20-01	Kulhadd ghandu l-jedd ghal-liberta li jiltaqa’ u jissieheb ma’ ohrajn fil-paci.
20-02	Hadd m’ghandu jkun imgieghel li jissieheb f’xi ghaqda.
21-00	L-Artiklu 21.
21-01	Kulhadd ghandu l-jedd li jiehu sehem fil-gvern ta’ pajjizu, direttament jew permezz ta’ rapprezentanti maghzula bil-liberta.
21-02	Kulhadd ghandu l-jedd ugwali li jidhol ghas-servizzi pubblici ta’ pajjizu.
21-03	Ir-rieda tal-poplu ghandha tkun is-sies tal-awtorita tal-gvern; din ir-rieda ghandha tintwera f’elezzjonijiet genwini li ghandhom isiru minn zmien ghal zmien li fihom jivvota kulhadd b’vot indaqs u sigriet jew inkella skont proceduri bhalhom li jizguraw il-liberta tal-vot.
22-00	L-Artiklu 22.
22-01	Kulhadd, bhala membru tas-socjeta, ghandu l-jedd ghas-sigurta socjali u ghandu l-jedd li jissodisfa, permezz tal-isforz nazzjonali u l-koperazzjoni internazzjonali u skont l-organizzazzjoni u r-rizorsi ta’ kull Stat, il-jeddijiet ekonomici, socjali u kulturali li minghajrhom ma jistax izomm id-dinjita tieghu u jizviluppa bil-liberta l-personalita tieghu.
23-00	L-Artiklu 23.
23-01	Kulhadd ghandu l-jedd ghax-xoghol, ghall-ghazla hielsa tal-impjieg, ghal kondizzjonijiet ta’ xoghol gusti u favorevoli u ghall-protezzjoni mill-qghad.
23-02	Kulhadd, bla ebda ghazla, ghandu l-jedd ghal hlas indaqs ghal xoghol indaqs.
23-03	Kull min jahdem ghandu l-jedd ghal hlas gust u favorevoli li jizgura lilu u lill-familja tieghu ghajxien li jixraq lid-dinjita umana, u li jkun mizjud, jekk jehtieg, minn kull mezz iehor ta’ protezzjoni socjali.
23-04	Kulhadd ghandu l-jedd jifforma trade unions u jissieheb fihom ghall-protezzjoni tal-interessi tieghu.
24-00	L-Artiklu 24.
24-01	Kulhadd ghandu l-jedd ghall-mistrieh u ghall-btajjel, kif ukoll ghal limitazzjoni ta’ hin ragjonevoli ta’ xoghol u ghal vaganzi perjodici mhallsin.
25-00	L-Artiklu 25.
25-01	Kulhadd ghandu l-jedd ghal livell ta’ hajja sufficjenti biex jizguralu sahhtu, ghajxien tajjeb ghalih u ghall-familja tieghu, specjalment f’dak li hu ikel, ilbies, dar, kura medika kif ukoll servizzi socjali mehtiega; ghandu wkoll il-jedd ghas-sigurta f’kaz ta’ qghad, mard, mankament, irmulija, xjuhija u fil-kazi l-ohra meta minhabba cirkostanzi li ma jkollux kontroll fuqhom jitlef il-mezzi tal-ghajxien.
25-02	L-ommijiet u t-tfal ghandhom il-jedd ghall-kura u ghal ghajnuna specjali. It-tfal kollha, kemm jekk twieldu fiz-zwieg u kemm barra minnu, ghandhom igawdu l-istess protezzjoni specjali.
26-00	L-Artiklu 26.
26-01	Kulhadd ghandu l-jedd ghall-edukazzjoni. L-edukazzjoni ghandha tkun b’xejn, ghall-inqas fil-gradi elementari u fondamentali taghha. L-edukazzjoni elementari ghandha tkun obbligatorja. L-edukazzjoni teknika u professjonali ghandu jkun jista’ jaghmel uzu minnha kulhadd; l-edukazzjoni universitarja ghandha tkun miftuha b’mod ugwali ghal dawk kollha li jisthoqqilhom.
26-02	L-edukazzjoni ghandu jkollha bhala ghan l-izvilupp shih tal-personalita umana u li ssahhah ir-rispett ghall-jeddijiet u ghal-libertajiet fondamentali tal-bniedem. Ghandha theggeg il-ftehim, it-tolleranza u l-hbiberija fost in-nazzjonijiet, ir-razez jew il-gruppi religjuzi kolha u ghandha tmexxi ’l quddiem il-hidmiet tal-Gnus Maghquda ghaz-zamma tal-paci.
26-03	Il-genituri ghandhom l-ewwel jedd li jaghzlu l-ghamla ta’ edukazzjoni li tinghata ’l uliedhom.
27-00	L-Artiklu 27.
27-01	Kulhadd ghandu l-jedd li jiehu sehem bil-liberta fil-hajja kulturali tal-komunita, li jgawdi l-arti u li jaqsam fil-progress xjentifiku u fil-gid li jgib mieghu dan il-jedd.
27-02	Kulhadd ghandu l-jedd li jkollu l-protezzjoni ghall-interessi morali u materjali tieghu meta jkun l-awtur ta’ produzzjoni xjentifika, letterarja jew artistika.
28-00	L-Artiklu 28.
28-01	Kulhadd hu intitolat ghal ordni socjali u internazzjonali li fih il-jeddijiet u l-libertajiet imxandra f’din l-Istqarrija jkunu jistghu jitwettqu tassew.
29-00	L-Artiklu 29.
29-01	Kulhadd ghandu dmirijiet lejn il-komunita li fiha biss jista’ jwettaq l-izvilupp hieles u shih tal-personalita tieghu.
29-02	Fit-thaddim tal-jeddijiet u tal-libertajiet tieghu, kull wiehed ghandu jkollu biss dawk il-limitazzjonijiet li jigu mil-ligi, li ghandha biss bhala ghan li tizgura l-gharfien u r-rispett ghall-jeddijiet u l-libertajiet tal-ohrajn u li tissodisfa dak li gustament jitolbu l-morali, l-ordni pubbliku u l-gid komuni f’socjeta demokratika.
29-03	Dawn il-jeddijiet u l-libertajiet ma jistghu fl-ebda kaz jithaddmu kontra l-ghanijiet u l-principji tal-Gnus Maghquda.
30-00	L-Artiklu 30.
30-01	Xejn f’din l-Istqarrija ma jista’ jkun mifhum li jaghti lil xi Stat, ghaqda jew persuna l-jedd li taghmel xi hidma jew li twettaq xi ghemil bil-ghan li teqred xi jeddijiet jew libertajiet li huma mxandra hawnhekk.
