00-00	saarvabhaum maanavaadhikaar ghossannaa
01-01	sabh maanav janmatah svatantra achi tathaa garimaa aa' adhikaarame samaan achi. sabhakem apan–apan buddhi aa' vivek chaik aaor sabhakem ek dosaraak prati sauhaardapuurnna vyavahaar karabaak caahii.
02-00	anucched 2
02-01	pratyek vyakti ehi ghossannaame nihit sabh adhikaar aa' svatantrataak hakadaar thik aaor ehime nasla, limga, bhaassaa, dharma, raajanaitik vaa anya mat, raassttriiya vaa saamaajik udbhav, sampatti, janma athavaa anya sthitik aadhaar par konahu prakaarak bhedabhaav nahi kael jaaeta. aaor o vyakti jaahi deshak thik takar raajanaitik adhikaaritaamuulak vaa antararaassttriiya aasthitik aadhaar par kono bhedabhaav nahi kael jaaet–bhanahi o desh svaadhiin ho, ttrastta ho, parashaasit ho vaa samprabhutaak kono anya parisiimaak adhiin ho.
03-00	anucched 3
03-01	sabhakem jiivan–dhaarann, svaatanya aa' vyaktigat surakssaak adhikaar chaika.
04-00	anucched 4
04-01	keo vyakti daasataa vaa begaariime nahi rahat aaor sabh prakaarak daasaprathaa aa' daasak khariid–bikarii varjit hoeta.
05-00	anucched 5
05-01	kakarahu kruur, amaanussik vaa apamaanajanak danndda nahi del jaaet aa' kakarosam ehan vyavahaar nahi kael jaaeta.
06-00	anucched 6
06-01	pratyek vyaktikem sabhatthaam kaanuunak samakssa ek maanav ruupame apan maanyataak adhikaar chaika.
07-00	anucched 7
07-01	sabh keo kaanuunak samakssa samaan achi aa' binaa kono bhedabhaavak kaanuunak samrakssannak hakadaar achi.
08-00	anucched 8
08-01	sabhakem ehan kaaryak viruddha je samvidhaan vaa vidhi dvaaraa pradatta okar maulik adhikaarak hanan karait ho sakssam raassttriiya nyaayaalayasam ucit upacaar (nyaaya) paebaak hak chaika.
09-00	anucched 9
09-01	keo svecchaasam kakaro giraphtaar, najarabanda vaa desh nirvaasit nahi karat .
10-00	anucched 10
10-01	sabh vyaktikem apan adhikaar aa' daayitvak avadhaarannaartha tathaa apanaa par lagaaol gel kono aaparaadhik aaropak avadhaarannaartha kono svatantra aa' nisspakssa nyaayaalaya dvaaraa puurnna samaanataak samga ucit aa' saarvajanik vicaarannak hak chaika.
11-00	anucched 11
11-01	dannddaniiya aparaadhak aaropii pratyek vyakti taadhari nirdoss maanal jaebaak hakadaar achi jaadhari kono saarvajanik vicaaranname, jaahime okaraa apan samucit saphaai debaak sabh gaaramttii praapta hoik, vidhivat dossii siddha nahi kae del jaae.
11-02	jam keo vyakti ehan kono dannddaniiya kaarya vaa lop karae je ghattanaak kaalame pracalit kono raassttriiya vaa antararaassttriiya kaanuunak drssttime dannddaniiya aparaadh nahi thik tam o vyakti ehi hetu dannddaniiya aparaadhak dossii nahi maanal jaaeta.
12-00	anucched 12
12-01	keo vyakti kono aan vyaktik ekaantataa, parivaar, nivaas vaa samlaap (patraacaaraadi) me svecchayaa hastakssep nahi karat aa' ne okar pratisstthaa aa' khyaati par prahaar karata. pratyek vyaktikem ehan hastakssep vaa prahaarasam kaanuunii rakssaa paebaak adhikaar chaika.
13-00	anucched 13
13-01	pratyek vyaktikem apan raassttrak siimaak bhiitar bhramann aa' nivaas karabaak svatantrataa chaika.
13-02	pratyek vyaktikem apan desh vaa aano kono desh tyaagabaak aa' apanaa desh ghuuri aebaak adhikaar chaika.
14-00	anucched 14
14-01	pratyek vyaktikem utpiiddanasam bamcavaak hetu dosar deshame sharann mangabaak adhikaar chaika.
14-02	ehi adhikaarak upayog ohi sthitime nahi kael jaae sakat jakhan o utpiiddan vastutah araajanaitik aparaadhak kaarannem bhel ho athavaa raassttrasamdhak uddeshya aa' siddhaantak viruddha kono kaaj karabaak kaarannem.
15-00	anucched 15
15-01	pratyek vyaktikem raassttriiyataak adhikaar chaika.
15-02	kono vyaktikem raassttriiyataak adhikaarasam athavaa raassttriiyataa –parivartanak adhikaarasam akaarann vamcit nahi kael jaa sakata.
16-00	anucched 16
16-01	sabh vayaska strii aa' purussakem nasla, raassttriiyataa vaa sampradaayamuulak keaano pratibandhak binaa, vivaah karabaak aa' parivaar banaebaak adhikaar chaika. strii aa puruss duunuukem vivaah, daampatya–jiivan tathaa vivaah–vicchedak samaan adhikaar chaika.
16-02	vivaah, takhanahi hoet jakhan icchuk pati aa' patniik svacchanna aa puurnna sahamati ho.
16-03	parivaar samaajak ek sahaj aa' maulik ekak thik aaor ekaraa samaajak aa' raajyak samrakssann paebaak adhikaar chaika.
17-00	anucched 17
17-01	pratyek vyaktikem ekasare aa' dosaraak samga mili sampatti rakhabaak adhikaar chaika.
17-02	keo svecchayaa kakarahu sampattisam vamcit nahi karata.
18-00	anucched 18
18-01	pratyek vyaktikem vicaar, vivek aa dharma rakhabaak adhikaar chaika. ehi adhikaarame samaavisstta achi dharma aa vishvaasak parirvatanak svatantrataa, ekasar vaa dosaraak samga mili prakattatah vaa ekaantame shikssann, abhyaas, praarthanaa aa anusstthaanak svatantrataa.
19-00	anucched 19
19-01	pratyek vyaktikem abhimat evam abhivyaktik svatantrataak adhikaar chaik, jaahime samaavisstta achi binaa hastakssepak abhimat dhaarann karab, jaahi konahu kssetrasam konahu maadhyamem suucanaa aa' vicaarak yaacanaa, aadaan pradaan karaba.
20-00	anucched 20
20-01	pratyek vyaktikem shaantipuurnna sammilan aa samgatthanak svatantrataak adhikaar chaika.
20-02	konahu vyaktikem samgatthan vishessasam sambaddha hoebaak lel vivash nahi kael jaae sakaicha.
21-00	anucched 21
21-01	pratyek vyaktikem apan deshak shaasaname pratyakssatah bhaag lebaak athavaa svatantra ruupem nirvaacit apan pratinidhi dvaaraa bhaag lebaak adhikaar chaika.
21-02	pratyek vyaktikem apanaa deshak lok–sevaame samaan avasar paebaak adhikaar chaika.
21-03	janataak icchaa shaasakiiya praadhikaarak aadhaar hoeta. ii icchaa aavadhik aa' nirbaadh nirvaacaname vyakta kael jaaet aaor ii nirvaacan saarvabhaum evam samaan mataadhikaar dvaaraa gupta matadaanasam hoet athavaa samatulya mukta matadaan prakriyaasam.
22-00	anucched 22
22-01	pratyek vyaktikem samaajak ek sadasyak ruupame saamaajik surakssaak adhikaar chaik aaor pratyek vyaktikem apan garimaa aa' vyaktitvak nirbaadh vikaasak hetu anivaarya aarthik, saamaajik aa' saamskrtik adhikaar–raassttriiya prayaas aaor antararaassttriiya sahayogasam tathaa pratyek raajyak samghatthan aa' samsaadhanak anuruup–praapta karabaak hak chaika.
23-00	anucched 23
23-01	pratyek vyaktikem kaaj karabaak, nirbaadh icchaak anuruup niyojan cunabaak, kaaryak ucit aa' anukuul sthiti praapta karabaak aa' bekaariisam bamcabaak adhikaar chaika.
23-02	pratyek vyaktikem samaan kaajak lel binaa bhedabhaavak samaan paarishramik paebaak adhikaar chaika.
23-03	kaajame lagaaol gel pratyek vyaktikem ucit aa' anuruup paarishramik tatabaa paebaak adhikaar chaik jatabaasam o apan aa' apan parivaarak maanavocit bharann–possann kae sakae aaor prayojan paddalaa par takar anupuurann anya prakaarak saamaajik samrakssannasam bhae sakaika.
23-04	pratyek vyaktikem apan hitak rakssaak hetu majaduurasamgha banaebaak aa' ohime bhaag lebaak adhikaar chaika.
24-00	anucched 24
24-01	pratyek vyaktikem vishraam aa' avakaashak adhikaar chaik jakar antargat achi kaarya–kaalak ucit siimaa aa samaya–samaya par vetan sahit chuii.
25-00	anucched 25
25-01	pratyek vyaktikem ehan jiivan–star praapta karabaak adhikaar chaik je okar apan aa' apanaa parivaarak svaasthya evam kalyaann hetu paryaapta ho. ehime samaavisstta achi bhojan, vastra, aavaas aa cikitsaa tathaa aavashyak saamaajik sevaak adhikaar aaor jam aparihaarya kaarannavash bekaarii, biimaarii, apamgataa, vaidhavya, vrddhaavasthaa athavaa anya prakaarak durasthaa upasthit ho tam, ohisam surakssaak adhikaar .
25-02	parasautii aa' cilhakaakem vishess paricaryaa aa sahaayataak adhikaar chaika. pratyek baccaakem, caahe o vivaahaavadhime janamal ho vaa taahisam baahar, samaan saamaajik samrakssannak adhikaar chaika.
26-00	anucched 26
26-01	pratyek vyaktikem shikssaa praaptik adhikaar chaika. shikssaa kamasam kam aarambhik aa' maulik avasthaame nihshulka hoeta. aarambhik shikssaa anivaarya hoeta. takaniikii aa vyaavasaayik shikssaa saamaanyatayaa upalabhya hoet tathaa uccatar shikssaa seho sabhakem yogyataak aadhaar par bhettataika.
26-02	shikssaak lakssya hoet maanav vyaktitvak puurnna vikaas aaor maanavaadhikaar aa' maulik svatantrataak prati aadarabhaav baddhaaeba. shikssaa raassttrasabhak biic tathaa jaatiiya vaa dhaarmik samudaayasabhak biic paarasparik sadbhaavanaa, sahissnnutaa aa' maitrii baddhaaot tathaa shaantik hetu raassttrasamdhak prayaasakem gati deta.
26-03	maataa pitaakem ii cunabaak taarkik adhikaar chaik je okar santaanakem kon prakaarak shikssaa del jaae.
27-00	anucched 27
27-01	pratyek vyaktikem samaajak saamskrtik jiivaname abaadh ruupem bhaag lebaak, kalaak aananda lebaak tathaa vaijnyaanik vikaasame aa' takar laabhame amsha paebaak adhikaar chaika.
27-02	pratyek vyaktikem apan srjit konahu vaijnyaanik, saahityik athavaa kalaatmak krtisam utpanna, bhaavanaatmak vaa bhautik hitak rakssaak adhikaar chaika.
28-00	anucched 28
28-01	pratyek vyaktikem ehan saamaajik aa antararaassttriiya aaspad praapta karabaak adhikaar chaik jaahisam ehi ghossannaame ullikhit adhikaar aa' svatantrataa praapta kael jaae sakae.
29-00	anucched 29
29-01	pratyek vyakti ohi samudaayak prati katrtavyabaddha achi jaahime rahie kae o apan vyaktitvak abaadh aa' puurnna vikaas kae sakait achi.
29-02	pratyek vyakti apan adhikaar aa' svatantrataak upayog ohi siimaak abhyantare karat jakar avadhaarann dosaraak adhikaar aa' svatantrataak aadar aa' samucit sviikrtikem sunishcit karabaak uddeshyasam tathaa naitikataa, vidhivyavasthaa aa janataantrik samaajame saamaanya janakalyaannak apekssaak puurtik uddeshyasam kaanuun dvaaraa kael jaaeta.
29-03	ehi svatantrataa aa' adhikaarak prayog konahu dashaame raassttrasamdhak siddhaanta aa' uddeshyak pratikuul nahi kael jaaeta.
30-00	anucched 30
30-01	ehi ghossannaame ullikhit kono baatak nirvacan tenaa nahi kael jaae jaahisam ii ghvanit ho je kono raajyakem vaa janagannakem ehan gatividhime samlagna hoebaak vaa kono ehan kaaj karabaak adhikaar chaik jakar lakssya ehi ghossannaak antargat kono adhikaar vaa svatantrataakem baadhit karab ho.
