00-00	Hadamaden josiraw dantigekan, 1948
11-01	Ko mana da mogo la, i te mine sontigi ye fo kiiri k’i jalaki bange kene kan i lapasalisira bee tiimenen ko.
11-02	Mogo te nangi k’a da kewale wali fili kan kewaati y’a soro si te jamana kono wali jamanaw ni nogon ce min b’o jate ko jugu ye. Wa nangili fana te da i kan ka temen min tun be sen na kan ko jugu ketuma na.
12-00	Sariyasen 12n :
12-01	Bin te se ka ke mogo kan ka don i gundo la, i ka dukonokow la, i siso kono an’i ka gundosebenw na, wali ka dankari ke i togo ni danbe la. Sariya ka kan ka bee tanga o binkanni ni dankari sugu ma.
13-00	Sariyasen 13n :
13-01	Bee ka kan ni taa-ninka-segin ye i fere ma, ani i sigiyoro sugandili jamana kono.
13-02	Mogo te bali ka bo i ka jamana wali jamana were kono, ka tila ka segin i ka jamana kono.
14-00	Sariyasen 14n :
14-01	Bee jo don ka bo mafineya koro ka taga i kun kalifa yoro were, wa o jamana were man kan k’i je kalifayoro la.
14-02	I man kan n’o josira ye n’i nominekun ye ko jugu keli de ye jaati forobasariya la walima kewale minnu be Kabilaton kuntilenna n’a daliluw soso.
15-00	Sariyasen 15n :
15-01	Mogo bee ka kan ni kabilaya ye.
15-02	Bin te ke mogo si kan k’i je kabilaya la, wali k’i bali ka kabilaya falen.
16-00	Sariyasen 16n :
16-01	Ce ni muso si mana se furu ye, siyako t’o la, kabilako t’o la, diineko t’o la, u ka kan ni furu ni denbaya ye. U danma ka kan josira la furu dontuma n’a kuntagala kono ani a sali kene kan.
16-02	Furu te se ka siri ni ce ni muso ma dine n’a ye faasi.
16-03	[missing]
17-00	Sariyasen 17n :
17-01	I kelen na o, je kono o, mogo bee ka kan ni togolafentigiya ye.
17-02	Bin te se ka ke mogo kan k’i togolafen mine i la.
18-00	Sariyasen 18n :
18-01	Bee b’i yere ye miirisira ni taasi ni diineko la; o jo b’i yamaruya ka diine n’i dannako falen, ani k’u waleya i kelen na wali i n’i jenogonw, kene kan wali dunduguma na, kalan ni matarafali ni batu sen fe.
19-00	Sariyasen 19n :
19-01	Bee sago be i miiriya la, ani i kakilila jirali; o la i te bagabaga k’a da i miiriya kan, wa i jo be ka miiriya ni kibaruyaw nini ani k’u gansi fo jamana fo jamana, jensennifeere sugu bee la.
20-00	Sariyasen 20n :
20-01	Bee sago be ka je dilan, ka nogonew ke.
20-02	Mogo te jagoya ka don je la.
21-00	Sariyasen 21n :
21-01	Bee ka kan in joyoro ye i faso konew nekun na, i yerekun wali i dungolamogo sugandilen fe.
21-02	Bee ka kan ni joyoro ye, nenawoloma t’a la, i ka jamana forobabaaraw la.
21-03	Jamana dungo de ye forobafanga daga; a dungo ka kan ka jira kalada jelenw sen fe, bee ka kan forobakalada minnu na, gundo la wali o nogonna siraw la minnu be sagolasugandili tiime.
22-00	Sariyasen 22n :
22-01	Bee ye maaya den ye minke, bee ka kan ni nesuma ye maaya kono ; jamana ka magan ni jamanaw ce nogondemen ka kan ka ke sababu ye, jamana sariya n’a seko hukumu kono, ka bee josira tiime soro ni dinenatige ni faamuya siratige la, danbe ni mogo bereya yiriwali te taa o minnu ko.
23-00	Sariyasen 23n :
23-01	Mogo bee ka kan ni baara ye, baaracogo numan in baara nafaman; bee ka kan ka tanga baarantana ma.
23-02	Baaraw mana kene, saraw ka kan ka kene ; mogo ma bo mogo la, bee ka kan o la.
23-03	Mogo o mogo n’i be baara la, i ka kan ni sara sebe ye min be i n’i ka denbaya sutura hadamadena na, ani maaya lakanasira to fen o fen n’a kun be.
23-04	Bee jo be ka mogo werew fara i kan ka kaaratonw dilan, wali ka don baaratonw na, yaasa k’i nafasiraw makara.
24-00	Sariyasen 24n:
24-01	Bee ka kan i lafine ni nenaje ye, ani baarawaati dannen hake la, ani waati ni waati segennabo min te sara la.
25-00	Sariyasen 25n :
25-01	Mogo bee ka kan ni soro ye dinenatige la min be keneya ni heere sabati i n’i ka denbaya ye, i ko balo, feerebo, siso, furakeli, ani maaya demensira gelenw; i ka kan ni demen ye baarantana ni bana ni dese ni firiya ni koro kono, o n’a nogonna baanmako mana ke sababu ye k’i ka dinenatige sorosiraw tine.
25-02	Bange ni dena ka kan ni demen ni ladonni kerenkerennen ye. Den o den, a kera furu den ye o, a ma ke furu den ye o, bee ka kan lakanacogo kelen na maaya kono.
26-00	Sariyasen 26n :
26-01	Mogo bee ka kan ni kalan ye. Sara man kan ka bo kalan na, kalanbaju koni na fiyew. Kalanbaju ye bee ma wajibi ye. Feerekalan ni baarakalan ka kan ka forobaya; kalandakunba ka kan ka labila bee ye, fisamanciya t’a la, mogo o mogo n’i y’a sarati dafa.
26-02	Ladamuni ka kan ka nesin mogo bereya yiriwali ma, hadamaden josiraw matarafali ni horona bajuw sinsinni . A ka kan ka faamuya ni sabali ni teriya nogoya kabilaw ni sibolow ni diinekulu bee ni nogon ce, ani ka Dine kabilaton ka lafiya basigiwalew yiriwa.
26-03	Bangebagaw folo de sago be u denw ladamucogo sugandili la.
27-00	Sariyasen 27n :
27-01	A be bee sago la k’i nindon jama ka faamuyasiraw la, ka bo masiriw nunma, k’i nindon donniya yiriwawalew la ani ka bo a heere nunma.
27-02	Bee togo n’i ka nafa ka kan ka lakana i ka donko ni sebenko ni masiriko baara kelenw na.
28-00	Sariyasen 28n :
28-01	Bee jo be k’a nini laben ka ke maaya la ani jamanaw ce la, min b’a to josira ni horonna baju minnu dantigelen file Dantigekan in kono, olu ka sira soro a ne ma.
29-00	Sariyasen 29n :
29-01	I ka hadamadenna yiriwali sirilen be maaya jekulu min na, o ka ci b’i kan.
29-02	Dan si te josira taama ni horonna tonobo la, fo sariya ka dan sigilen minnu kun ye ka tow josiraw ni horonasiraw gasi sigi, ani tilennenna ni basigi ni jama ka heere tee taga wajibi minnu ko sariyafanga kono ka olu tiime.
29-03	O jow ni horonnasira ninnu te boli cogo si la min be Kabilaton kuntilennaw n’a daliluw kota.
30-00	Sariyasen 30n :
30-01	Joyoro fen o fen dantigelen ye nin Dantigekan in kono, Fanga wali jekulu wali mogo kelen sijo te k’o mine yamaruya ye ka sira taama, wali ka waleke, min kun ye hadamaden josira ni horonnasira jiralen ninnu tineni ye.
