00-00	AKAPACH JAQE WALINKANAPATAKI INOQAT ARU
21-01	Jaqenakajh khuskata, taqe maynin taypita, jilirjama markapa aski apnaqanatakiejh khitirus aj llisipkakispaw.
21-02	Ayllunakan, markanakan munanapaw mae qhauqha marat mara jilirinakaparu cheqa ajllinajh. Uka amtatanakapasti janiw khitis q'eutaykaspati.
22-00	22. T'aqa
22-01	Jaqejh mae markan utjasina masinakapamp chika, walinkanapana, k'umara utj anapana, yatinapana, yaenak jikjhatasitapana, arjhatataenapaw. Uka ch'amapampi lurananakansti jilirinakajh yaqha jilirinakamp arusthapisisa mayni markanakampi yanapt'ayasispaw.
23-00	23. T'aqa
23-00	Taqe mayniw kun lurana munipansa Iurakispaw; yaqha jaqetaki Iuratanakapasti chaninchataenapaw; inakt'awinsti jan lurana utjatap layku, yanapataenapaw.
23-01	Khuska jaqetaki kipka lurananakanjh kipkarakiw chaninchan wakisi.
23-02	Taqe ch'amachasiri jaqejha Iuratapat chanip qatoqasinapaw, ukampisti warmipa wawanakapamp chika jaqjama utjanapataki, jani ukhamaesp ukasti yanapataenapaw.
23-03	Taqe mayniw jupjama ch'amachasir jaqenakamp mathapisin munasinjh mathapisiskakispaw wakisitanakap arjhatasinataki.
24-00	24. T'aqa
24-01	Ch'amjasiri jaqejh sapa mara phoqasina samaranapaw wakisita, ukhamaraki jan lurawi urunakanjh. Uka samarawinakapansti ch'amjasiskaspas ukhama chanichataenapaw.
25-00	25. T'aqa
25-00	Khitis inakt'aspa usuntasna, ijmaptasna, usurmuktasna, achachiptasna, janiraki qolqenispa isi, manq'a, qollanaka alanataki, marka jach'a jilirejh wajcha jaqerjama unjasna yanapanapaw, ukatakisti kunaymana yanapanakaw utji.
25-01	Wawachiri warminakajh, asunakajh taqe isk'a wawanakapas khuskata arjhatataenapaw.
26-00	26. T'aqa
26-00	Taqe mayniw yatichataenapa. Uka yatichawejh janiw qelqana mayatakikaspati, taqe kuna yateqanatakinapaw, chanin 'uka yateqawimpejh wayt 'asinataki.
26-01	Yateqawejh inakinapaw, ukhamat wayna tawaqonakas juk'ampi yatinanakaru arkan munasinjha arkasipkakispaw, ukatakisti jach'a jilirejh taqe maynitaki yanapanak uchanapaw.
26-02	Sapa maynin jaqe kankanapa wayt'asinapataki, inoqat aru taqjhatanataki, markasana maya markanakampinsa jaqe masisaru yaeqanataki, jaqen amuytasitanakap jan jark'ataenapaki, ukatakiw taqe mayniru churataenapa. Auki taykakiw munananejh ajliinataki kuna yatinanaks wakisispa wawanakapataki.
27-00	27. T'aqa
27-00	Taqe jaqen munanapankiw masinakapampi chika ch'amasisa aski yatinanak jikjhatanataki ayllupatakis markapatakis, ukhamarak uka yatiwinakampejh juk'amp wayt'asita utjanatakispaw.
27-01	Sapa mayninkakiw amuytasitanakapas, luratanakapas, qellpatakapas; janiw khitis jupankaspas ukhama ukanakjh unstaykaspati. Maynin inoqatapa lunthatirejh cheqanchataenapaw.
28-00	28. T'aqa
28-01	Khitis wayt 'askakispaw taqe jaqenakan walinkanapataki, aka inoqat aru phoqasinapataki; ul:hamatjamaw markasans mayni markanakans cheqa thakiru sarj hatanasataki.
29-00	29. T'aqa
29-00	Sapa mayniw aylluparu yaechanapa kunat-ti ayllup manqhanakwa kankanapjha jikjhatani.
29-01	Janiw khitis munanap-pin lurkaspati kunat-ti ayllu masipaw nanqhachata unjasispa, ukhamarus taqe mayniw sayt'apjhaspa nanqhachataru arjhatanataki. Uka lantinjha taqpachani kamachit arunaka phoqasna, suma jakan thaki patjharu sarjhatasna, jan pitu unstayasna mae ch'ulla chachjama nukt'anasaw taqe maynin walinkanapa.
29-02	Aka Mathapita Markanakan Arupajh janipiniw khitis maykiptkaspati munanapa luranataki. Wakisiw inoqata arupa arjhatana.
30-00	30. T'aqa
30-01	Janiw kaukir markasa, khiti jaqesa sapapakis masinakapampis arusthapisinsa, j aqen walinkanapatak inoqat arunaka q'eujtayasna kuna lurananakamp, amtananakamp tumpampi, jaqeru arknaqasina, munananakapa, yatinoqtatapa, irnaqasinanakapa, amuyasinanakapa apaqapkaspati.
