00-00	shijierenquanxuanyan
18-01	shirendouyousixiang, liangxinhezongjiaoziyoudequanli;cixiangquanlibaokuogaibianzijiadezongjiaohuoxinyangdeziyou, yijizigerhuojiti, gongkaihuomimideyijiaoyi, shijian, libaihejielubiaoshizijiadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	shirendouyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, hetongguorenhemeijiehebulunguojieshifan, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-00	shirendouyouquanxiangyouhepingjihuihejieshedeziyou. 
20-01	renherenbudeposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	shirendouyouzhijiehuotongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	shirendouyoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingyidingqidehededequequedexuanjuyuyibiaoxian, erxuanjuyingyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshoutadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian, zhezhongshixianshitongguoguojiashijinrheguojihezuobingyizhaogeguodezuzhiheziyuanshir. 
23-00	di23tiao
23-00	shirendouyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhengheshiyidegongzuotiaojianbingxiangshoumianyushiyedebaozhang. 
23-01	shirendouyoutonggongtongchoudequanli, bushourenheqishi. 
23-02	mei1gegongzuoderen, youquanxiangshougongzhengheshiyidebaochou, baozhengshitazijiahejiashuyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-03	shirendouyouweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	shirendouyouxiangyouxiuxihexianxiadequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-00	shirendouyouquanxiangshouweiweichitazijiahejiashudejiankanghefulisuoxudeshenghuoshuizhun, baokuochitour, yizhe, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozaiqitabunengkongzhideshirxiasangshichifannenglishi, youquanxiangshoubaozhang. 
25-01	muqinhertongyouquanxiangshoutebieshinonghexiezhu. 1qiertong, wulunhunshenghuofeihunsheng, douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-00	shirendouyoushoujiaoyudequanli, jiaoyuyingdangmianfei, zhishaozaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandezhidao, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-02	fumuduiqizinusuoyingshoudejiaoyudezhonglei, youyouxianxuanzedequanli. 
27-00	di27tiao
27-00	shirendouyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-01	shirendouduiyouyutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	shirendouyouquanyaoqiu1zhongshehuideheguojidecixu, zaizhezhongcixuzhong, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	shirendouduishehuifuyouyiwu, yinweizhiyouzaishehuizhongtadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-01	shirendouzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-02	zhexiequanliheziyoudexingshi, wulunzairenheqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanderenhetiaowen, budejieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizai pohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingwei. 
