00-00	MBUMBANO YA DZITSHAKA DZA LIFHASI LOTHE
25-01	Muthu munwe na munwe u na pfanelo ya vhuimo ha vhutshilo ho teaho mutakalo na u tshila zwavhudi hawe na muta wawe, hu tshi katelwa na zwiliwa, zwiambaro, vhudzulo na mbavhalelo ya dzilafho na tshumelo dza u tshilisana, khathihi na pfanelo ya tsireledzo musi hu na vhushayamushumo, vhulwadze, vhuholefhali, vhutshilikadzi, vhualuwa kana inwe nyimele ya vhutshilo ine muthu a sa kone u i langa.
25-02	Vhomme na vhana vha tea u wana thuso zwa tshipentshela. Vhana vhothe, hu sa sedzwi uri vho bebwa mbinganoni kana nnda ha mbingano, vha do wana tsireledzo ya zwa u tshilisana i no fana na ya vhanwe.
26-00	Tshitenwa 26
26-01	Muthu munwe na munwe u na pfanelo ya pfunzo. Pfunzo i do nekedzwa hu si na mbadelo kha mirole ya fhasi kana ya u ranga ine ya vha ya vhuthogwa. Pfunzo ya mirole ya fhasi i do vha khombe-khombe. Pfunzo ya zwa thekhikhala na zwa phurofesheni i do itwa uri i wanale na pfunzo dza ntha dzi do swikelelea nga ndila i linganaho ho sedzwa vhukoni.
26-02	Pfunzo i do vha i livhiswaho kha u bveledzisa vhuvha ha muthu wothe na u khwathisedza thonifho ya pfanelo dza vhuthu na mbofholowo dza ndeme. I do tutuwedza u pfesesa, u kondelelana na vhukonani vhukati ha dzitshaka, mirafho kana zwigwada zwa vhurereli, nahone i do bvisela phanda mishumo ya Dzangano la Mbumbano ya Dzitshaka ya u itela uri hu vhe na mulalo.
26-03	Vhabebi vha na pfanelothangwa ya u nanga pfunzo ine ya do nekedzwa vhana vhavho.
27-00	Tshitenwa 27
27-01	Muthu munwe na munwe u na pfanelo ya u shela mulenzhe kha kutshilele kwa mvelele ya tshitshavha o vhofholowa, u diphina nga vhutsila na u vha na mukovhe kha zwa mveledziso ya saintsi na mbuelo yazwo.
27-02	Muthu munwe na munwe u na pfanelo ya tsireledzo kha mikhwa na dzangalelo la ndaka zwi bvaho kha zwibveledzwa zwa saintsi, manwalo kana vhutsila zwine a vha munwali wazwo.
28-00	Tshitenwa 28
28-01	Muthu munwe na munwe u na pfanelo ya nzudzanyo ya u tshilisana na ya zwa mashango a dzitshakatshaka zwine pfanelo na mbofholowo zwo sumbedzwaho kha uyu mulevho zwi nga bveledzwa nga vhudalo.
29-00	Tshitenwa 29
29-01	Muthu munwe na munwe u na mishumo kha tshitshavha ine ya ita uri vhuvha hawe vhu kone u bvelela nga vhudalo nahone nga mbofholowo.
29-02	Musi muthu munwe na munwe a tshi khou shumisa pfanelo na mbofholowo dzawe, u tea u ita izwi a tshi dzhiela ntha ndango ya mulayo wo itelwaho fhedzi u tsireledza pfanelo na mbofholowo dza vhanwe vhathu na u vhona uri hu vhe na u dzhielwa ntha ha mikhwa ya kutshilele, vhudziki na kutshilele kwavhudi kwo teaho tshitshavha tsha demokirasi
29-03	Pfanelo na mbofholowo idzi a dzi tei u shumiswa nga ndila yo fhambanaho na ndivho na mirando ya Dzangano la Mbumbano ya Dzitshaka
30-00	Tshitenwa 30
30-01	A hu na na tshithihi tshi re kha Mbofho iyi tshine tsha nga dzhiiwa tshi tshi amba pfanelo inwe na inwe ine i nga shumiswa kha zwinwe na zwinwe kana u ita inwe nyito yo livhiswaho kha u thutha inwe na inwe ya pfanelo na mbofholowo zwo bulwaho afha malugana na Muvhuso, tshigwada kana muthu.
