00-00	Die Allgemeine Erklaerung der Menschenrechte
13-01	Jeder hat das Recht, jedes Land, einschliesslich seines eigenen, zu verlassen und in sein Land zurueckzukehren.
14-00	Artikel 14
14-00	Jeder hat das Recht, in anderen Laendern vor Verfolgung Asyl zu suchen und zu geniessen.
14-01	Dieses Recht kann nicht in Anspruch genommen werden im Falle einer Strafverfolgung, die tatsaechlich auf Grund von Verbrechen nichtpolitischer Art oder auf Grund von Handlungen erfolgt, die gegen die Ziele und Grundsaetze der Vereinten Nationen verstossen.
15-00	Artikel 15
15-00	Jeder hat das Recht auf eine Staatsangehoerigkeit.
15-01	Niemandem darf seine Staatsangehoerigkeit willkuerlich entzogen noch das Recht versagt werden, seine Staatsangehoerigkeit zu wechseln.
16-00	Artikel 16
16-00	Heiratsfaehige Frauen und Maenner haben ohne Beschraenkung auf Grund der Rasse, der Staatsangehoerigkeit oder der Religion das Recht, zu heiraten und eine Familie zu gruenden. Sie haben bei der Eheschliessung, waehrend der Ehe und bei deren Aufloesung gleiche Rechte.
16-01	Eine Ehe darf nur bei freier und uneingeschraenkter Willenseinigung der kuenftigen Ehegatten geschlossen werden.
16-02	Die Familie ist die natuerliche Grundeinheit der Gesellschaft und hat Anspruch auf Schutz durch Gesellschaft und Staat.
17-00	Artikel 17
17-00	Jeder hat das Recht, sowohl allein als auch in Gemeinschaft mit anderen Eigentum innezuhaben.
17-01	Niemand darf willkuerlich seines Eigentums beraubt werden.
18-00	Artikel 18
18-01	Jeder hat das Recht auf Gedanken-, Gewissens- und Religionsfreiheit; dieses Recht schliesst die Freiheit ein, seine Religion oder Ueberzeugung zu wechseln, sowie die Freiheit, seine Religion oder Weltanschauung allein oder in Gemeinschaft mit anderen, oeffentlich oder privat durch Lehre, Ausuebung, Gottesdienst und Kulthandlungen zu bekennen.
19-00	Artikel 19
19-01	Jeder hat das Recht auf Meinungsfreiheit und freie Meinungsaeusserung; dieses Recht schliesst die Freiheit ein, Meinungen ungehindert anzuhaengen sowie ueber Medien jeder Art und ohne Ruecksicht auf Grenzen Informationen und Gedankengut zu suchen, zu empfangen und zu verbreiten.
20-00	Artikel 20
20-00	Alle Menschen haben das Recht, sich friedlich zu versammeln und zu Vereinigungen zusammenzuschliessen.
20-01	Niemand darf gezwungen werden, einer Vereinigung anzugehoeren.
21-00	Artikel 21
21-00	Jeder hat das Recht, an der Gestaltung der oeffentlichen Angelegenheiten seines Landes unmittelbar oder durch frei gewaehlte Vertreter mitzuwirken.
21-01	Jeder hat das Recht auf gleichen Zugang zu oeffentlichen Aemtern in seinem Lande.
21-02	Der Wille des Volkes bildet die Grundlage fuer die Autoritaet der oeffentlichen Gewalt; dieser Wille muss durch regelmaessige, unverfaelschte, allgemeine und gleiche Wahlen mit geheimer Stimmabgabe oder in einem gleichwertigen freien Wahlverfahren zum Ausdruck kommen.
22-00	Artikel 22
22-01	Jeder hat als Mitglied der Gesellschaft das Recht auf soziale Sicherheit und Anspruch darauf, durch innerstaatliche Massnahmen und internationale Zusammenarbeit sowie unter Beruecksichtigung der Organisation und der Mittel jedes Staates in den Genuss der wirtschaftlichen, sozialen und kulturellen Rechte zu gelangen, die fuer seine Wuerde und die freie Entwicklung seiner Persoenlichkeit unentbehrlich sind.
23-00	Artikel 23
23-00	Jeder hat das Recht auf Arbeit, auf freie Berufswahl, auf gerechte und befriedigende Arbeitsbedingungen sowie auf Schutz vor Arbeitslosigkeit.
23-01	Jeder, ohne Unterschied, hat das Recht auf gleichen Lohn fuer gleiche Arbeit.
23-02	Jeder, der arbeitet, hat das Recht auf gerechte und befriedigende Entlohnung, die ihm und seiner Familie eine der menschlichen Wuerde entsprechende Existenz sichert, gegebenenfalls ergaenzt durch andere soziale Schutzmassnahmen.
23-03	Jeder hat das Recht, zum Schutz seiner Interessen Gewerkschaften zu bilden und solchen beizutreten.
24-00	Artikel 24
24-01	Jeder hat das Recht auf Erholung und Freizeit und insbesondere auf eine vernuenftige Begrenzung der Arbeitszeit und regelmaessigen bezahlten Urlaub.
25-00	Artikel 25
25-00	Jeder hat das Recht auf einen Lebensstandard, der seine und seiner Familie Gesundheit und Wohl gewaehrleistet, einschliesslich Nahrung, Kleidung, Wohnung, aerztlicher Versorgung und notwendiger sozialer Leistungen, sowie das Recht auf Sicherheit im Falle von Arbeitslosigkeit, Krankheit, Invaliditaet oder Verwitwung, im Alter sowie bei anderweitigem Verlust seiner Unterhaltsmittel durch unverschuldete Umstaende.
25-01	Muetter und Kinder haben Anspruch auf besondere Fuersorge und Unterstuetzung. Alle Kinder, eheliche wie aussereheliche, geniessen den gleichen sozialen Schutz.
26-00	Artikel 26
26-00	Jeder hat das Recht auf Bildung. Die Bildung ist unentgeltlich, zum mindesten der Grundschulunterricht und die grundlegende Bildung. Der Grundschulunterricht ist obligatorisch. Fach- und Berufsschulunterricht muessen allgemein verfuegbar gemacht werden und der Hochschulunterricht muss allen gleichermassen entsprechend ihren Faehigkeiten offenstehen.
26-01	Die Bildung muss auf die volle Entfaltung der menschlichen Persoenlichkeit und auf die Staerkung der Achtung vor den Menschenrechten und Grundfreiheiten gerichtet sein. Sie muss zu Verstaendnis, Toleranz und Freundschaft zwischen allen Nationen und allen rassischen oder religioesen Gruppen beitragen und der Taetigkeit der Vereinten Nationen fuer die Wahrung des Friedens foerderlich sein.
26-02	Die Eltern haben ein vorrangiges Recht, die Art der Bildung zu waehlen, die ihren Kindern zuteilwerden soll.
27-00	Artikel 27
27-00	Jeder hat das Recht, am kulturellen Leben der Gemeinschaft frei teilzunehmen, sich an den Kuensten zu erfreuen und am wissenschaftlichen Fortschritt und dessen Errungenschaften teilzuhaben.
27-01	Jeder hat das Recht auf Schutz der geistigen und materiellen Interessen, die ihm als Urheber von Werken der Wissenschaft, Literatur oder Kunst erwachsen.
28-00	Artikel 28
28-01	Jeder hat Anspruch auf eine soziale und internationale Ordnung, in der die in dieser Erklaerung verkuendeten Rechte und Freiheiten voll verwirklicht werden koennen.
29-00	Artikel 29
29-00	Jeder hat Pflichten gegenueber der Gemeinschaft, in der allein die freie und volle Entfaltung seiner Persoenlichkeit moeglich ist.
29-01	Jeder ist bei der Ausuebung seiner Rechte und Freiheiten nur den Beschraenkungen unterworfen, die das Gesetz ausschliesslich zu dem Zweck vorsieht, die Anerkennung und Achtung der Rechte und Freiheiten anderer zu sichern und den gerechten Anforderungen der Moral, der oeffentlichen Ordnung und des allgemeinen Wohles in einer demokratischen Gesellschaft zu genuegen.
29-02	Diese Rechte und Freiheiten duerfen in keinem Fall im Widerspruch zu den Zielen und Grundsaetzen der Vereinten Nationen ausgeuebt werden.
30-00	Artikel 30
30-01	Keine Bestimmung dieser Erklaerung darf dahin ausgelegt werden, dass sie fuer einen Staat, eine Gruppe oder eine Person irgendein Recht begruendet, eine Taetigkeit auszuueben oder eine Handlung zu begehen, welche die Beseitigung der in dieser Erklaerung verkuendeten Rechte und Freiheiten zum Ziel hat.
