00-00	adamianta uphlebebis saqoveltao deklaratsia
11-01	qovel adamians, romelsats bralad edeba danashaulis chadena, uphleba akhvs udanashaulod itvlebodes manam, sanam misi damnashaveoba dadgenili ar ikhneba kanonis shesabamisad sajaro sasamartlo mier, romlis drosats uzrunvelqophili ikhneba datsvis qvela shesadzleblobit.
11-02	aravis sheidzleba msjavri daedos iseti mokhmedebis an umokhmedobisatvis, romelits chadenis momentshi ar tsarmoadgenda danashauls erovnuli an saertashoriso samartlis shesabamisad. agretve, daushvebelia imaze uphro mdzime sasjelis shephardeba, vidre gamoiqenebuli ikhneboda danashaulis chadenis dros.
12-00	muxli 12.
12-01	aravis mimart ar sheidzleba tvitneburi chareva mis piradsa da ojaxur tsxovrebashi, tvitneburi xelqopha misi satsxovrebeli binis xelsheuxeblobis, misi korespondentsiis saidumloebis anda misi pativisa da reputatsiisa. qovel adamians akhvs uphleba datsuli iqos kanonis mier aseti charevisa tu xelqophisagan.
13-00	muxli 13.
13-01	qovel adamians akhvs tavisuphlad gadaadgilebisa da tsxovrebis uphleba qoveli saxelmtsiphos pharglebshi.
13-02	qovel adamians uphleba akhvs datovos nebismieri khveqana, mat shoris tavisits, da dabrundes tavis khveqanashi.
14-00	muxli 14.
14-01	qovel adamians uphleba akhvs devnis satsinaaghmdegod sxva khveqnebshi edzebos da isargeblos tavshesaphrit.
14-02	es uphleba ar sheidzleba gamoqenebul ikhnes iseti devnis shemtxvevashi, romlis saphudzvels namdvilad tsarmoadgens arapolitikuri danashaulis an iseti khmedebis chadena, romelits etsinaaghmdegeba gaertianebuli erebis organizatsiis miznebsa da printsipebs.
15-00	muxli 15.
15-01	qovel adamians akhvs mokhalakheobis uphleba.
15-02	aravis ar sheidzleba tvitneburad chamoertvas mokhalakheoba an tavisi mokhalakheobis shetsvlis uphleba.
16-00	muxli 16.
16-01	srultslovan katsebsa da khalebs uphleba akhvt rasis, erovnebis an religiis nishnit raime shezghudvis gareshe, dakhortsindnen da shekhmnan ojaxi. isini sargebloben ertnairi uphlebebit dakhortsinebisas, khortsinebashi qophnis periodshi da gankhortsinebisas.
16-02	dakhortsineba shesadzlebelia mxolod orive meughlis tavisuphali da sruli tanxmobis saphudzvelze.
16-03	ojaxi aris sazogadoebis bunebrivi da dziritadi ujredi da mas uphleba akhvs datsuli iqos sazogadoebisa da saxelmtsiphos mxridan.
17-00	muxli 17.
17-01	qvela adamians akhvs uphleba phlobdes khonebas, rogorts ertpirovnulad, aseve sxvebtan ertad.
17-02	aravis unda chamoertvas misi khoneba tvitneburad.
18-00	muxli 18.
18-01	qvela adamians akhvs uphleba azris, sindisisa da religiis tavisuphlebisa; es uphleba moitsavs sakutari religiis an rtsmenis shetsvlis, sakutari religiis an aghmsareblobis, rogorts individualurad, aseve sxvebtan ertad, sajarod an kerdzod, modzghvrebis, ghvtismsaxurebis da religiur an ritualur tses-chveulebata shesrulebis tavisuphlebas.
19-00	muxli 19.
19-01	qovel adamians akhvs uphleba azrisa da gamoxatvis tavisuphlebisa. es uphleba moitsavs adamianis tavisuphlebas daubrkoleblad gamotkhvas sakutari azri da qvelanairi sashualebebit moidzios, miighos da gaavrtselos inphormatsia da mosazrebebi saxelmtsipho sazghvrebisagan damoukideblad.
20-00	muxli 20.
20-01	qovel adamians akhvs uphleba mshvidobiani shekrebisa da gaertianebis tavisuphlebisa.
20-02	aravin sheidzleba aidzulon shevides raime gaertianebashi.
21-00	muxli 21.
21-01	qovel adamians akhvs uphleba monatsileobdes tavisi khveqnis martva-gamgeobashi ushualod an mis mier tavisuphlad archeul tsarmomadgenelta meshveobit.
21-02	qovel adamians akhvs uphleba tanabar saphudzvelze shevides tavisi khveqnis saxelmtsipho samsaxurshi.
21-03	saxelmtsipho xelisuphlebis tsqaro xalxis nebaa; es neba unda gamoixatebodes periodul da gauqalbebel archevnebshi, romlebits unda tardebodes saqoveltao da tanastsori saarchevno uphlebis pirobebshi, pharuli kenchisqrit, an sxva tanabar mnishvnelovani phormebis meshveobit, romlebits uzrunvelqophen xmis mitsemis tavisuphlebas.
22-00	muxli 22.
22-01	qvela adamians, rogorts sazogadoebis tsevrs, akhvs sotsialuri uzrunvelqophis uphleba da uphleba moaxdinos tavisi ghirsebis shenarchuneba da pirovnuli tavisuphlebis ganvitareba ekonomikur, sotsialur da kulturul uphlebata ganxortsielebit erovnuli dzalisxmevisa da saertashoriso tanamshromlobis meshveobit da titoeuli  saxelmtsiphos strukhturisa da resursebis shesabamisad.
23-00	muxli 23.
23-01	qvela adamians akhvs shromis, samushaos tavisuphali archevis, samartliani da xelsaqreli samushao pirobebisa da umushevrobisagan datsvis uphleba.
23-02	qvela adamians akhvs uphleba shesabamisis anazghaurebisa qovelgvari diskriminatsiis gareshe.
23-03	qvela dasakhmebuls akhvs uphleba ighebdes samartliansa da damakmaqophilebel gasamrjelos, rats uzrunvelqophs ghirseul adamianur arsebobas, rogorts mistvis, aseve misi ojaxisatvis da romelsats, autsileblobis shemtxvevashi unda daematos sotsialuri uzrunvelqophis sxva saxsrebi.
23-04	qvela adamians akhvs uphleba shekhmnas prophesiuli kavshirebi da shevides prophesiul kavshirebshi tavisi interesebis dasatsavad.
24-00	muxli 24.
24-01	qovel adamians akhvs dasvenebisa da tavisuphali drois gamoqenebis uphleba samushao saatebis gonivruli shezghudvisa da anazghaurebadi perioduli shvebulebis uphlebis chatvlit.
25-00	muxli 25.
25-01	qovel adamians akhvs uphleba hkhondes tsxovrebis iseti done, sakvebis, tansatsmlis, satsxovreblis , sameditsino movlisa da sachiro sotsialuri momsaxureobis chatvlit, romelits autsilebelia tviton misi da misi ojaxis janmrtelobisa da ketildgheobis shesanarchuneblad, da uphleba uzrunvelqophili iqos umushevrobis, avadmqophobis, invalidobis, khvrivobis, moxutsebulobis an misgan damoukidebel garemoebata gamo arsebobis sashualebata dakargvis sxva shemtxvevashi.
25-02	dedoba da chvili qrmis asaki idzleva gansakutrebuli mzrunvelobita da daxmarebit sargeblobis uphlebas. qvela bavshvi, dabadebuli khortsinebashi tu khortsinebis gareshe, unda sargeblobdes ertnairi sotsialuri datsvit.
26-00	muxli 26.
26-01	qovel adamians akhvs ganatlebis uphleba. ganatleba datsqebiti da zogadi maints, uphaso unda iqos. datsqebiti ganatleba unda iqos savaldebulo. tekhnikuri da prophesiuli ganatleba unda iqos saqoveltaod xelmisatsvdomi, umaghlesi ganatleba ki - ertnairad misatsvdomi qvelasatvis titoeulis unaris shesabamisad.
26-02	ganatleba mimartuli unda iqos adamianis pirovnebis sruli ganvitarebisa da adamianis uphlebata da dziritad tavisuphlebata pativistsemis ganmtkitsebisaken. ganatlebam xeli unda sheutsqos qvela xalxis, rasobrivi tu religiuri jguphebis urtiertgagebas, shemtsqnareblobasa da megobrobas da xeli unda sheutsqos gaertianebuli erebis organizatsiis moghvatseobas mshvidobis shesanarchuneblad.
26-03	mshoblebs akhvt upiratesi uphleba airchion, tu ra saxis ganatleba surt tavianti shvilebisatvis.
27-00	muxli 27.
27-01	qvela adamians akhvs uphleba tavisuphlad monatsileobdes sazogadoebis kulturul tsxovrebashi, tkbebodes xelovnebit, monatsileobdes metsnierul progresshi da sargeblobdes misi siketit.
27-02	qvela adamians akhvs uphleba datsuli iqos misi moraluri da materialuri interesebi, rogorts shedegi im metsnieruli, literaturuli da mxatvruli nashromebisa, romelta avtorsats igi tsarmoadgens.
28-00	muxli 28.
28-01	qovel adamians akhvs uphleba iset sotsialur da saertashoriso tsesrigze, romlis pirobebshits shesadzlebelia am deklaratsiashi chamotvlili uphlebata da tavisuphlebata mtlianad ganxortsieleba.
29-00	muxli 29.
29-01	qvela adamians akhvs movaleobani sazogadoebis tsinashe, radgan mxolod sazogadoebashia shesadzlebeli misi pirovnebis tavisuphali da sruli ganvitareba.
29-02	tavisi uphlebata da tavisuphlebata ganxortsielebisas qoveli adamiani unda ganitsdides mxolod iset shezghudvebs, rogorits kanonitaa dadgenili martooden im miznit, rata uzrunvelqophil ikhnes sxvebis uphlebata da tavisuphlebata jerovani aghiareba da pativistsema da dakmaqophildes zneobis, sazogadoebrivi tsesrigisa da saerto ketildgheobis samartliani motxovnebi demokratiul sazogadoebashi.
29-03	daushvebelia, rom am uphlebata da tavisuphlebata ganxortsieleba  etsinaaghmdegebodes gaertianebuli erebis organizatsiis miznebsa da printsipebs.
30-00	muxli 30.
30-01	am deklaratsiashi arapheri sheidzleba ganimartos, rogorts romelime saxelmtsiphosatvis, pirta jguphisa tu tsalkeuli pirebisatvis uphlebis minicheba, rats mati sakhmianobis an garkveuli khmedebebis shedegad gamoitsvevs tsinamdebare deklaratsiit garantirebul uphlebata da tavisuphlebata mospobas.
