00-00	aalamelakxaawi denegaaga sabeowi masalaate
05-01	hhedehhede sabe kabide seqhaaye zawerede, chekaana zemaleo, isabeowi waye sabeowi keberu zawaarede otahhaahhezaa waye maqhetzaaeti oyefetzamone,
06-00	aaneqatze 6
06-01	hhedehhede sabe obe zekxona yekxune botaa obe qedemi hhegi besabeowi manenatu nekefelate masale olawo.
07-00	aaneqatze 7
07-01	kulome sabaate obe qedemi hhegi maaeri obe leeli mekxwaanome bezaye ofalaalaaye naaye hhegi maaeri hhaalawaa kegebarilome masale olawome. kulome sabaate nazi denegaaga’zi bemetehhaasene nazi denegaaga’zi nemetehhaase bezegebaru meleeaalaatene kaabe zebatzehhome odelewo hhaalawaa naaye merekaabe maaeri masale olawome.
08-00	aaneqatze 8
08-01	hhedehhede sabe behhega manegeseti waye behhegi zetafaqhadulu masaritaawi masalaate enetetehhaasewo seletaane bezalawo haagaraawi beete feredi gebue kaahhesaa naaye merekaabe masale olawo.
09-00	aaneqatze 9
09-01	hhedehhede sabe behhegi kaabe zetadanegaga sereaate watzaai oyeesarene, oyetahhaazene waye oyehheyarene.
10-00	aaneqatze 10
10-01	hhedehhede sabe masalune gebuene, kameu’wene nezeqharebalu zekxona yekxune gabanaawi kesi zemelekatu gudaayaate nemewesaane obe natzaane zayeodelaawene beete feredi befetehhaawene elaawene manegadi nekeraaoyulu melue maaerenate olawo.
11-00	aaneqatze 11
11-01	bezaqhetzee gabane zetakxasasa hhedehhede sabe makalaakxaliu oqheribu obe zekaataaalu ewaane behhegi gabananyaa mekxwaanu kesaabe zerigaagatze kamenetzuhe sabe keqhutzare masale olawo.
11-02	hhedehhede sabe hhaada nagare obe zetafatzamalu ewaane nati gudaaye mefetzaame waye zayemefetzaame gabane mekxwaanu behaagaraawi waye beaalamelakxaawi hhegi tadanegigu kesaabe zayetzanehha behhaalaafenate oyehhetatene. kameu’wene nati gabane obe zefatzamalu ewaane nati gabane tawasinu kaabe zenabari maqhetzaaeti nelaaeli zekxabede maqhetzaaeti kewesano oyegebaaene.
12-00	aaneqatze 12
12-01	hhedehhede sabe behhegi kaabe zetadanegaga sereaate watzaai obe leeli weleqa heyewatu , beetasabu, gazeu waye obe rekebaatu taalenye zeotewo oyehelewene. obe leeli keberune zeneune badale oyefetzamone. zekxona yekxune sabe kameziome kaabe zeomasalu ide oetaawenate waye kaaa badale zekalaakxalalu wehhesenate hhegi naaye merekaabe masale olawo.
13-00	aaneqatze 13
13-01	hhedehhede sabe obe wesheti zenaberilu haagare naaye mezewewaarene menebaarene masale olawo.
13-02	hhedehhede sabe kaabe zekxonate tekxune haagare enekolaaye kaabe haagaru naaye mewetzaaene enedaganaa naabe haagaru naaye memelaasene masale olawo.
14-00	aaneqatze 14
14-01	hhedehhede sabe kaabe neheyewatu hhaadaganyaa zekxonu gefeetaate omelitu obe kaaleote haagaraate uqhebaa naaye mehhetaatene naaye merekaabene masale olawo.
14-02	ezi masale ezi bechebute polatikaawi obe zayekonu gabanaate waye neelaamaataatene mamerehhetaatene wedebe hheburaate manegesetaate obe zetzaariru tagebaaraate oyagalegelene.
15-00	aaneqatze 15
15-01	hhedehhede sabe zeegenate naaye merekaabe masale olawo.
15-02	hhedehhede sabe behhegi kaabe zetadanegaga sereaate watzaai zeegenatu keqhenetete waye zeegenatu naaye melewaate masalu kekxelekale oyekxeelene.
16-00	aaneqatze 16
16-01	neaaqhema odaamene heewaanene zebatzehhu daqi tabaaeteyone daqi oneseteyone zarei, zeegenate waye haayemaanote enetayegadabome naaye memereaawene beetasabe naaye memeseraatene masale olawome. obe omasaraaretaa hhaadaare , obe ewaane hhaadaarene obe ewaane fetehhene maaeri masale olawome.
16-02	mareaa benatzaane melue fetaawene tamaraaaaweti teraaye yefetzame
16-03	beetasabe tafateroowene masaritaawene gujela hheberitasabe eyu. selazekxona kaabe hheberitasabene kaabe manegesetene hhaalawaa naaye merekaabe masale olawo.
17-00	aaneqatze 17
17-01	hhedehhede sabe bewelequ yekxune mese kaaleote behhaabaare neberite naaye mewenaane masale olawo.
17-02	hhedehhede sabe behhegi kaabe zetadanegaga sereaate watzaai neberitu oyewerisene.
18-00	aaneqatze 18
18-01	hhedehhede sabe naaye otahhasaasebaa , hhelenaane haayemaanotene natzaanate olawo. ezi masale ezi hhedehhede sabe haayemaanotu waye emenatu nemelewaate , kameu’wene nebehhetu waye mese kaaleote behhaabaare koyenu beeli waye beweleqa bezaaebaa haayemaanotu waye emenatu kesabekxe , ketegebere, kamelekxe waye kabeele nezalawo natzaanatu yateqhaalele.
19-00	aaneqatze 19
19-01	hhedehhede sabe naaye mehhesaabene hhaasaabu naaye megelaatzene natzaanate olawo. ezi masale ezi bezaye ide oetaawenate baaelaawi otahhaasaasebaa naaye mehhaaze , bezaye naaye dobe maaegati kaabe zekxona yekxune meelaa maraakxabi hhaabaweetaane hhaasaabene naaye menedaaye, meqhebaalene metehhelelaafene natzaanate’wene yateqhaalele.
20-00	aaneqatze 20
20-01	hhedehhede sabe besalaame naaye meekaabene mewedaabene natzaanate masale olawo.
20-02	hhedehhede sabe bemaahhebare nekxewedabe oyegedadene.
21-00	aaneqatze 21
21-01	hhedehhede sabe beqatetaa waye benatzaa maritzaa bezetamaritzu wakaletu obilu obe manegeseti haagaru naaye mesetaafe masale olawo.
21-02	hhedehhede sabe behezebaawi ogalegelotaate haagaru bemaaeri naaye metenyeme masale olawo.
21-03	deleyate hezebi masarite seletaane manegeseti kekxawene olawo. ezi deleyate ezi bemesetire waye betamasaasaali manegadi babegizeeu bezekaayade, kulu bemaaeri zesaatafalune oteqhaalaalene bezekxona tekxekelanyaane natzaane naaye medemaatze sereaate kegelatze olawo.
22-00	aaneqatze 22
22-01	hhedehhede sabe obaale hheberitasabe kame mekxwaanu matene masale maahhebaraawi wehhesenate olawo. kameu’wene behaagaraawi tzaaerene beaalame lakxaawi metehhebebaarene mese wedaabane haabetene hhedehhede manegeseti bezesamaamaae malekeu nekeberune nenatzaa ebeete sabeowi manenatune odelayeti zekxonu qutebaawi, maahhebaraawene baahelaawene masalaatu kerigaagatzulu masale olawo.
23-00	aaneqatze 23
23-01	hhedehhede sabe neseraahhe , nenatzaa maritzaa aayenate seraahhe, nefetehhaawene mechuene kunataate seraahhene seraahhe kayeseene nezegebare hhaalawaane masale olawo.
23-02	hhedehhede sabe bezaye odelewo nehhaada aayenate seraahhe maaeri kefelite naaye merekaabe masale olawo.
23-03	hhedehhede obe seraahhe zerekabe sabe sabeowi keberune keberi beetasabune zehhelawalu odelaayi enetakxoyenu’wene bekaaleote maahhebaraawi wehhesenataate zedegafe fetehhaawene zatabaabeene tzaamaa rihaatzu naaye merekaabe masale olawo.
23-04	hhedehhede sabe ribehhaataatu nemeregegaatze maahhebaraawi moyaa naaye meteyaashene obaale naaye mekxwaanene masale olawo.
24-00	aaneqatze 24
24-01	hhedehhede sabe naaye seraahhe saaate erifeti, naaye mazanaagei gizee, kameu’wene fetehhaawi matene saaataate seraahhene mahaayaa zekxefalalome hezebaawi beaalaatene kehelewuwo masale olawo.
25-00	aaneqatze 25
25-01	hhedehhede sabe neteenaane dehhenatene aaresune beetasabune zebaqee darijaa manabaabero enekolaaye megebi, kedaane , manebari gazaa, hhekemenaane odelayeti maahhebaraawi ogalegelotaatene naaye merekaabe masale olawo. kameu’wene seraahhe eneteseene , enetehhaameme, okaala gudue enetekxawene kaabe sabe hhaadaare hhaadiome enetemawete, eneteshemegele waye kaaleote leeli qutzetzeru zekxonu tzagamaate manabaabero enetagaatemewo dehhenatu nekehhelawalu masale olawo.
25-02	odeetaatene hetzaanaatene feluye kenekenene hhaagazene naaye merekaabe masale olawome. behhegaawi waye bezayehhegaawi mareaa zeweladu kulome hetzaanaate bemaaeri maahhebaraawi hhaalawaa naaye merekaabe masale olawome.
26-00	aaneqatze 26
26-01	hhedehhede sabe edele temehereti naaye merekaabe masale olawo. temehereti enetawehhaada obe qadaamaayene masaritaawene bereketaate benatzaa kewahaabe olawo. temehereti qadaamaaye bereki gedenataawi kekxawene olawo. teekenikaawene moyaawene temehereti behhaafashaa kemaalaae olawo. edele laaelawaaye bereki temehereti demaa obe beqheaate tamaseritu bemaaeri kewahaabe olawo.
26-02	temehereti obe melue meebaala sabeowi feturene obe metenekxaarene mekxebaarene sabeowi masalaatene masaritaawi natzaanataatene zatakori kekxawene olawo. temehereti obe manego kulome manegesetaate , zareowi waye haayemaanotaawi gujelataate, merededaae, mekeeolene mehhezenatene zamaaebele kekxawene olawo. betawasaakxi wedebe hheburaate manegesetaate salaame nemeenyebe nezakaayedome tagebaaraate kehhegeze olawo.
27-00	aaneqatze 27
27-01	hhedehhede sabe obe baahelaawi heyewate hheberitasabe benatzaa nekesaatafe, kaabe kinate tatenyemi kekxawene, obe saayenesaawi meebaala betzehhitu nekabareketene kaabe wetzeitu neketeqamene masale olawo.
27-02	hhedehhede sabe baaelu kaabe zefatero saayenesaawi, sena tzehhufaawi waye kinataawi wetzeitaate moraalaawene newaataawene ribehhaataatu nekehhelawulu masale olawo.
28-00	aaneqatze 28
28-01	zekxona yekxune sabe obezi denegaaga ezi zesafaru masalaatene natzaanataatene zerigaagatzalu maahhebaraawene aalame lakxaawene sereaate naaye merekaabe masale olawo.
29-00	aaneqatze 29
29-01	zekxona yekxune sabe nati behhetaawi marigaagatzi natzaane zetamaaleaane meebaala sabeowi manenatu zekxona hheberitasabe zefetzemome gebuote olawuwo.
29-02	zekxona yekxune sabe obe oteqhaaqhemaa masalaatune natzaanataatune nemasalaatene natzaanataatene kaaleote nemeqhebaalene nemekxebaarene, obe hhaada dimokeraasiyaawi hheberitasabe zadeleyu sena megebaare, tzatetaane dehhenatene nememelaaene tabaahilu behhegi nezetawasanulu maaeqabaate teraahhe tagazaai yekxawene.
29-03	ezome masalaatene natzaanataatene eziotome bezekxona yekxune manegadi onetzaare elaamaataatene mamerehhetaatene wedebe hheburaate manegesetaate ketegebaru oyekxeelune.
30-00	aaneqatze 30
30-01	kaabe wesheti ezi denegaaga ezi zekxona yekxune manegeseti, gujela waye weleqa sabe, obezi denegaaga ezi kaabe zesafaru masalaatene natzaanataatene negaliome nemetehhaase obe zeaalama meneqeseqhaase nekesaatafe waye zekxona yekxune tagebaare nekefetzeme masale kame zalawo zehhebere tagayeru zeteregome wesaana yalane.
