00-00	MASH AINTSTI IWIAKMAU AYAMPRUMATI
14-00	Tuwinsha turachkunka yajaa nunkanmasha uwempratin takakji aya neachmau kajerkamu nuya apapekmau akur.
14-01	Juu ayamprumamuka umiktin kirak nuya juunt iruntrau chichamen umikchata tachamuiti, antsu chicham iwiarmaman uwemtikramji.
15-00	Umiktiniun iniakmauri maiwej uwej (Articulo 15)
15-00	Mash aintsti takakji iniu pujamuri nekamu atin.
15-01	Yaksh niniu suritkamu atsui nii pujamu nunkanam nuya aintsan yajaa nunkanam pujustin.
16-00	Umiktiniun iniakmauri maiwej Irak (Articulo 16)
16-00	Uchi natsmaru nuya nuwa nawanmaru nii nuwatnaikiar pujustlnlun yaksha suritkashtiniuti, antsu niniuka nuwatnaik warasar pujustin nuya ni tsaniakmaurijai ajapnayatin nuka nii inintin ainiawai.
16-01	Antsu ninki anajmanirmaujai penker anturnainiak nuwatnaikiatin awai
16-02	li weuka arutam amasmawiti nuya shirmaiti juuiwiakmaunum tura aintsan takakji iniu ayamprukmau atin juu iwiakmaunum nuya juu nunkanam.
17-00	Umiktiniun iniakmaueri maiwej jimiairuk (Articulo 17)
17-00	Mash aintsti takakji iniu, iniuk nuya mashnau jimiastin,
17-01	Yaksha ni takakmau takustin suritkamu atsawai.
18-00	Umiktiniun iniakmauri maiwej mena (Articulo 18)
18-01	Mash aintsti iniu takakji ankan inintimratin, nuya arutam umirkatin tura aintsan iniuka awai iik yapajniatin yash tachamaitiatur ii inintimtairincha nuya arutam umirkatniunmasha turakur paant awajkitn iniuk tura mashnum nekamu arat tusar.
19-00	Umiktiniun iniakmauri maiwej ipiak (Articulo 19)
19-01	Mash aintsti iniu takakji ankan ii inintimmau nuya chichaktin nuya aintsan mash aintsti inintinmau pase ·umakmau nuya ekekar etseramu atsutnuiti.
20-00	Umiktiniun iniakmauri mai nawe (Articulo 20)
20-00	Mash aintsti iniu takakji akan iruntratin nuya shiram kawenkar chicham iwiarmau
20-01	Yash utsukchamuiti kich iruntramunam wetiniun.
21-00	Umiktiniun iniakmauri mai nawe kichik (Articulo 21)
21-00	Mash aintsti iniu takakji ii nunken juunt naamkatin nusha iruntrau chichamejai.
21-01	Mash aintsti iiniu takakji tuwisha takakmastin nusha juu nunkanam paant nekamu
21-02	Aints iruntrau kakarmarijiai juuntri naamkatin jeaji. nuu kakaram susamuakur nekas juntri atatji, tura aintsan ii inintimmau iniaikiatnuiti.
22-00	Umiktiniun iniakmauri mai nawe jimiar (Articulo 22)
22-01	Mash aintsti iniu takakji juu iwiakmaunum pujau asar penker wainkamu atin tu asamti penker wainkamu atiniutji kich iruntrarusha yainmau warasar pujustatji mash yainmau akik chichamnum, nuya penker pujustin turakur emkir wetin ii iwiakmaurin.
23-00	Umiktiniun iniakmauri mai nawe kampatam (Articulo 23)
23-00	Mash aintsti iniu takakji takakmastin wari takata wakeraji nuwi takakmakur warasar pujaji turakur takatrinchau pujatsji iiiwiakmaunum:
23-01	Mash aintsti iniu takakji, yash menankichmau mai metek akik wainkatin aji
23-02	li takakmamunam penker nuya mai metek akikmau atinuiti turakur ii weujisha warasar pujustin tura aintsan penke kakaram uyumakrinkia iruntrau yainmau aartinuitji
23-03	Mash aintsti iniu takakji iruntratin nuya iruntraunam achikiatin iniu ayamprumaktasar.
24-00	Umiktiniun iniakmauri mai nawe yachintiuk. (Articulo 24)
24-01	Mash aintsti iniu takakji ayamratin, warastin akan amaunum nuya aintsank takakmastin nuya ayampratin kintia tesarmau atiriuiti.
25-00	Umiktiniun iniakmauri mai nawe uwej (Articulo 25)
25-00	Mash aintsti iniu takakji penker pujustin ii weujai timia nekaska yurumkanam, ewejmaknum, tsuamatiniam, jea takustin nuya mashnum yainmau atinuiti tura aintsan junmasakrin, wajemawakrin nuya ii namanken pasemarakrin yainkmau atin takakji.
25-01	Nuwa wakentin nuya uchi niniun takakui penker wainkamu nuya yainmau atin nuya aintsan mash uchi niniun takuiniakui penker wainkamu atin nuatnaikiar nuya ikian pujusarakiamu akusha.
26-00	Umiktiriiun iniakmauri mai nawe iruk (Articulo 26)
26-00	Mash aints niniun takuiniakui unuimiartin tura aintsan akikmatkachmau unuimiatnumka unuimiatinuiti nuya aintsan mashnum niniun takakui uchi, natsa, juunt unuimiatiniam unuimiartiniun.
26-01	Unuimiartinka takakui nii penkerin, aintstikia unuimiakir weakur iwiarnaji ii penkerin nuamtaik aintsti arantuniktin, warutam kich aints nuya kich iruntrau irunkuish tuke. arantukmau atinuiti tura aintsar takakmakir weakur juunt nunkanmaya iruntraru yaiminiuash paant awasatatji.
26-02	liniu aparinkia niniun takakui nii wakeramunam uchirin unuiniartin
27-00	Umiktiniun iniakmauri mai nawe jimiairuk (Articulo 27)
27-00	Mash aintsti iniu takakji ii wakeramujai pujustin irutkamunam, irutkamu chichame umiakur warinmash mash yainmau atatji takat nuya unuimiartin chichamnum.
27-01	Mash aintsti iniu takakji warinmash yainmau atin, inintimmaunum nuya aintsan takatnum turasha juu takatnum unuimiartin, kirak najankatin nuya takakmati chichamnun turakur ii nurintin najanartatji.
28-00	Umiktiniun iniakmauri mai nawe mena (Articulo 28)
28-01	Mash aintsti wakeraji iniu ayamprumaktin paant nekamu ati mash nunkanam nuya yaja nunkanmasha.
29-00	Umiktiniun iniakmauri mai nawe ipiak. (Articulo 29)
29-00	Mash aintsti umiktin takakji irutkamu arantuktin ii penker tsakartiniun suramu asakui.
29-01	liniu umiakur warasar pujakrisha tuke umiktinuitji umiktin kirak najanamuka turakur paant nekamu atatji kich aintsush arantakur warasar pujustatji tura aintsaik aintsun umintikniush nuya aints iruntraush waramtikji
29-02	liniu warasar pujamuka anajmarar wari takatash najanmau atsawai antsu yaja nunkanmaya iruntraru inintimmauka aintsnau paant awajsata tamauwiti.
30-00	Umiktiniun iniakmauri kampatam nawe. (Articulo 30)
30-01	Juu takat emtikmauka pase inintimchamuiti antsu juu takatka aintsti Inlu takakmau paant awajsamu nuya arantukmau ati mash nunkanam tamauwiti.
