00-00	Yiith e raan ci caal e pinynhoem
16-03	Moc ku tik kek aamaatic tueng ebaai, kua leng yic bik liek ekoeuny baai ku baai nhoem.
17-00	Wien 17
17-01	Raan eben alen yic bi leng kede erot, kemen bi rom kek koc kok.
17-02	Aci leu bi raan peec cin bei ekake edieny.
18-00	Wien 18
18-01	Raan eben aleng yic bi tak ka lau nhoem popuonde, yanhde kua leng yic bi yanhde waric kemen ke ye theek kua leng yic bi pioc ku yeknhoem ku nyooyh ku tiit ka thien keme ekoc nhiim.
19-00	Wien 19
19-01	Raan eben aleng yic bi wetde luel ka lau nhoem kue yic ken egaem ewel ka launhoem ka cin raan la thin ku y'ong ewel ku tektek ku ceel kek edhol ci takic ka ci luui aken ewuad.
20-00	Wien 20
20-01	Raan eben aleng yic bi met akutic kua kuut la lik.
20-02	Aci leu bi kuat eraan mat akut ci wic yic eriel.
21-00	Wien 21
21-01	Raan eben aloeng yic bi lui miric panden bi kuany egai ekoc ekuany.
21-02	Raan eben aleng yic bi lui ci min ekuat eraan lui baai.
21-03	Ke wic koc ebaai yen eya rie e mir. ku ke wic koc kene ekueny kueny bi kam bi yaa weenic ekuany aliklik ka koc thoeng nhiim kemen bi loui te wen bi raan cuet ka lau nhoem.
22-00	Wien 22
22-01	Raan eben ka ye raan aakutt ekociic aaleng yic bi koeny ekoc bai ku koc epinynhoem ka cit te ye panden ye loui thin ku yith epirde ku cieng ku weet ci rot pal athekde yic la tueng ku thiek yicde.
23-00	Wien 23
23-01	Raan eben aleng yic bi lui ku kuany ka cit te wic e yen kua leng yic bi koeny bi lui.
23-02	Raan eben aleng yic bi lui a riob thong nhoem eloi yic ka ci yic tiel.
23-03	Raan eben aleng yic bi riob ariob ci gam bi rot muk apth ku juak ekak awen bi pirde cokpiny.
23-04	Raan eben aleng yic bi dit ku met akuic bi ka ke tiit koth.
24-00	Wien 24
24-01	Raan eben aleng yic bi long kemen bi cin lau ku nyoth enin ken eloi ku kol cin yen loi thin.
25-00	Wien 25
25-01	Kuat eraan aleng yic bi pir ka piol goup ku mit puou ka pande ecampathic, kua leth ku ten enin ku ka wen ekoc kouny baai kua leng yic bi pir cok nyinic ke cii yen lui, ku tuany, kemen ci bael ku leer kemen ci dhioeb ku la kak awen epir mietic, ka leu yen cin thin.
25-02	Meth ku man aleng yic bi kek koeny ku muk kek apath ku mith eben athoeng nhiim bi kek tiit baai mith dheth moc kek ku mith e lim.
26-00	Wien 26
26-01	Kuat eraan aleng yic bi pioc kua dhil epioc epath tueeng, ku pioc tueeng adhil emac eya nhoem, kua pioc eteet ku loi loi ecin ku col pioc den la tueeng apiolic, bi nhoem thoeng ka jang.
26-02	Ku weet ke ku bi thiekic ku thek ka ye raan ku lau enhoem la tueeng e cieng ku pelpiny ewel ku maeaeth ekem e wuuut ku la kuut, ku koeny thaai epinynhoem bi door muk.
26-03	Warken emith aleng yic bik mithken weet cit te wicke.
27-00	Wien 27
27-01	Kuat eraan aleng yic bi met ka lau nhoem epir ekoc ebaai yic, ku bi liek eteetic kua jueer erin ela tueeng epioc ku bi kak bi ben bei yhin kec koeuny.
27-02	Kuat eraan aleng yic bi ka path ku cieng ken epioc tiit.
28-00	Wien 28
28-01	Kuat eraan aleng yic bi liek ecieng ekoc epinynhoemic, bi yithke ku lau enhoem ci nyooth eceel ken yic yok egai.
29-00	Wien 29
29-01	Raan eben adhil koc loui bi yen nyouth lon te yen ekociic bi dit ka lau nhoem.
29-02	Raan eben adhil yithke thaap ka kacit te ci loong yen nyouth thin bigemgem e yith e koc koek, ku lau e nhoemde kua thekden, ku jol aathoeng nhoem e loiloi yiic, ku ka poth eyok eben ku jam aatheek ecieng ekoc epaan ekec thong nhiim.
29-03	Aci rot kang leu ather bi yith kak thaap ka ce te wen wic thai epiny nhoem ke thin.
30-00	Wien 30
30-01	Acin wet leu bi war kemen bi cokpiny e ceel ken yic ku luel ala ka ci pan ken kemen raan ken aci looi bi lyiith ku lauenhoem ci ben thin rac.
