00-00	BAAQA CAALAMIGA EE XUQ WQDA AADANAHA
02-00	Qod II
02-01	Qof kastaa wuxuu leeyahay xuquuqda lagu tilmaamay Baaqan iyada oo aan loo kale soocin xag qabiil, midabka, dheddig ama lab, afka, diinta, siyaasadda ama fikrad kale, dhalasho ama meesha uu ka soo askumay, xoolaha, dhalasho ama xaalada kale. Waxaa kale oo aan lagu samayneyn kala soocid ku salaysan arrimaha siyaasadeed, xukun ama xaal caalami ee uu ku suganyahay, dhulka ama dalka uu qofka u dhashay, ha ahaado dalkaasi mid madax bannaan, mid weli dawlad kale maamusho (wisaaya) mid aan haysan xukun hoosaad ama aan haysan gobanima buuxda.
03-00	Qod III
03-01	Qof kastaa wuxuu xaq u leeyahay nolol, xorriyo iyo nabad gelyo.
04-00	Qod IV
04-01	Ma jiro qof loo hoysan karo addoon, addoonsiga iyo ka ganacsiga addoonta way reebanyihiin cayn kasta ay ku yimaadaan.
05-00	Qod V
05-01	Ma jiro qof loo geysan karo silic dilyo ama ciqaab ka baxsan aadaninimada.
06-00	Qod VI
06-01	Qof kastaa wuxuu xaq u laayahay in loo aqoonsado, meel kasta oo uu Joogo, qofnimadiisa.
07-00	Qod VII
07-01	Dadka oo dhammi way u simanyihiin sharciga waxayna xaq u leeyihiin, iyaga oo aan la kala soocin, in sharcigu dhowro. Dadka oo dhammi waxay xaq u leeyihiin in si siman looga badbaadiyo wax alla wixii kala sooc-sooc ah oo ka soo horjeeda Baaqan ama dhiirigelni kara kala sooc-soocid.
08-00	Qod VIII
08-01	Qof kasta wuxuu xaq u leeyahay inuu helo Maxkamadaha ku hawsha leh ee dalkiisa cawin celin dhab ah marka lagu xad-gudbo xuquuqda asaasiga ah oo uu dastuurka ama sharciga siiyay.
09-00	Qod IX
09-01	Qofna looma xiri karo, looma hayn karo, ama looma masaafurin karo si sharci darro ah.
10-00	Qod X
10-01	Qof Kastaa wuxuu xaq u leeyahay inuu helo sinnaan buuxda Maxkamad Caadil ah horteed marka la gaynayo xuquuqdiisa iyo waajibaadkiisa iyo marka ay dhacdo in loo haysto dacwo ciqaab ah.
11-00	Qod XI
11-00	Qof kasta oo lagu soo oogay dacwo ciqaab ah wuxuu xaq u leeyahay in loo ictiqaado inuu yahay dembi laawe ilaa laga caddeeyo inuu yahay dembiile sida uu qabo sharcigu, ayna ku dhawaaqdo Maxkamad dadka u furun oo eedeysanayaasha loo oggolaaday dammaanadaha lagama maarmaanka u ah difaacooda.
11-01	Qofna lama saari karo ciqaab ka dhalatay fal ama fal l'aan haddii falkaasi ama fal la'aantaasi xagga sharciga Dalka ama kan Caalamiga ah, aanay ahayn dembi waqtiga la galay. Sidoo kale dembilaha lama saari karo ciqaab ka adag tii u degsanayd falka dembigaas markii la galay.
12-00	Qod XII
12-01	Qofna si sharci darro ah looma faragelin karo arrimihiisa u gaarka ah, qoyskiisa, gurigiisa ama warqadihiisa; sidoo kale lama dhaawici karo sharaftiisa ama sumcaddiisa. Qof kastaa wuxuu xaq u leeyahay inuu sharciga ka hoos galo fara gelintaas iyo dhaawicidaas.
13-00	Qod XIII
13-00	Qof kastaa wuxuu xaq u leeyahay inuu si xornimaa ugu dhex socdo una dego gudaha dal kasta.
13-01	Qof kastaa wuxuu xaq u leeyahay inuu ka dhoofo dal kasta oo uu ku jiro kiisa, kuna soo laabto.
14-00	Qod XIV
14-00	Qof kastaa wuxuu xaq u leeyahay inuu dal kale u raadsado kana helo magan gelyo siyaasadeed isagoo ka baxsanayo cadaadis.
14-01	Xaqa kor ku xusan laguma doodi karo haddii cadaadisku yahay mid dhab ahaan ka dhashay dembi aan siyaaso la xiriirin ama falal ka soo horjeeda ulajeedooyinka iyo mabaadiida Qaramada Midoobay.
15-00	Qod XV
15-00	Qof kastaa wuxuu xaq u leeyahay Jinsiyad.
15-01	Qofna si sharci darro ah loogama qaadi karo Jinsiyadiisa, loomana diidi karo xaqa ah inuu Jinsiyadiisa beddesho.
16-00	Qod XVI
16-00	Ragga iyo dumarka qaan gaarka ah, iyaga oo aan loo kala soocin xagga dhalashada, qowmiyada ama diinta, waxay xaq u leeyihiin inay guursadaan oo qoys abuuraan. Way u siman yihiin xaqa ku saabsan guriga, muddada xiriirka guurka socdo iyo marka uu xiriirkaas dhammaanayo.
16-01	Guur wuxuu dhici karaa oo keli ah marka la helo rabitaan buuxa oo xor ah ee labada doonaysa inay is-guursadaan.
16-02	Qoysku waa unugga saldhigga u ah bulshada, wuxuuna xaq u leeyahay in Dawladda iyo mujtamacu bad baadiyaan.
17-00	Qod XVII
17-00	Qof kastaa wuxuu xaq u leeyahay inuu keli ahaan xoolo yeesho ama cid kale xoolo kula shirkoobo.
17-01	Qofka xoolahiisa si sharci darro ah loogama qaadi karo.
18-00	Qod XVIII
18-01	Qof kastaa wuxuu xaq u leeyahay inuu helo xorriyadda xagga fikradda, wacyiga iyo diinta; wuxuu kale uu qofka xaq u leeyahay inuu beddelan karo diinta iyo wax alle wuxuu aaminsanyahay. Waxa kale uu qofku xaq u leeyahay inuu, keli ahaan ama isaga oo dad kale wehliyaan, soo bandhigo meel fagaara ah ama meel gaar ah, diintiisa ama waxa uu aaminsan yahay, kuna muujinayo xagga waxbarid, ku dhaqanka, caabudid iyo cibaadaysi.
19-00	Qod XIX
19-01	Qof kastaa wuxuu xaq u leeyahay inuu helo xornimo xagga ra'yiga iyo hadalka; wuxuu kale xaq u leeyahay inaan lagu fara gelin ra'yigiisa iyo inuu raadsado, helo, dhiibo warar iyo fikrado isaga oo isticmaalaya qalab kasta oo war baahin ah iyaga oo aan loo fiirin ama xayirin wax soohdima ah.
20-00	Qod XX
20-00	Qof kastaa wuxuu xaq u leeyahay inuu helo xornimo uu uga qayb galo isu-tag iyo urur leh ulajeeddo nabad-gelyo.
20-01	Qofna laguma khasbi karo inuu ka mid noqdo urur.
21-00	Qod XXI
21-00	Qof kastaa wuxuu xaq u leeyahay inuu ka qayb galo maamulka Dalkiisa si toos ah ama isagoo si xornimo ah u dooranaya cid wakiil ka ah.
21-01	Dadka oo dhami way u simanyihiin inay ka qayb galaan maamulka sare ee dalka ka jira.
21-02	Rabitaanka dadweynuhu waa saldhigga awoodda Dawladda; rabitaankaas waxaa lagu muujinyaa dooroshooyin run ah oo xilliyo joogta ah dhacaya, laga wada qayb-galaya, waxayna u dhacayaan si qarsoodi ah ama hab kale oo wax lagu doorto oo xor ah.
22-00	Qod XXII
22-01	Qof kastaa, maadaama uu xubin ka yahay bulshada, uu xaq u leeyahay inuu helo daryeel caafimaad. Daryeelkaas oo qof waliba u fududaynaya xuquuq dhaqaale, mujtamac iyo mid aqooneed ee lagama maarmaanka u ah qofka sharaftiisa, xornimadiisa iyo koritaanka qofnimadiisa. Taasoo ku imaanaysa dadaalka gudaha iyo iskaashiga caalamiga, isagoo laga eegayo nidaamka iyo ilaha dhaqaale ee Dawlad kasta.
23-00	Qod XXIII
23-00	Qof kastaa wuxuu xaq u leeyahay inuu shaqo helo, inuu u madax bannaanaado doorashada shaqada uu qabanayo, in sharuuduhu shaqada ahaadaan kuwo caddaalad ku fadhiya, isagana u danaynaya iyo inaysan shaqo la'aan ku dhicin.
23-01	Qof kastaa, iyadoon dadka la kala soocin, wuxuu xaq u leeyahay inuu helo mushaar la mid ah kan uu qaato qof kale oo ay isku shaqa qabtaan.
23-02	Qofka shaaqeeyaa wuxuu xaq u leeyahay inuu helo mushaar wax taro, kuna filan si uu ugu noolaado isaga iyo qoyskiisuba. Loona kabo haddii loo baahdo daryeellada kale.
23-03	Qof kastaa wuxuu xaq u leeyahay inuu abuuro urur ama ku biiro kuwo jiray si uu u ilaaliyo danihiisa.
24-00	Qod XXIV
24-01	Qof kasta wuxuu xaq u leeyahay nasasho oo ay ku jirto waqti kooban oo macquul ah oo laga jaro saacadaha shaqada iyo xilliyo fasax oo uu mushaar u socdo.
25-00	Qod XXV
25-00	Qof kastaa wuxuu xaq u leeyahay inuu gaaro heer nololeed oo waxtar u ah caafimaadka iyo ladnaanta naftiisa iyo qoyskiisa; ha ugu horeeyaan cuntada, dharka, hoyga, daryeel caafimaad iyo wax alle wixii adeeg bulshadeed oo lagama maarmaan ah; wuxuu kale uu xaq u leeyahay inuu helo daryeel markii ay ku timaada shaqo la'aan, cudur, curyaanimo, geeri, gabow ama dhibaatooyinka kale uusan la shaqaysan kari ka baxsan awoodiisa.
25-01	Hooyada umusha iyo dhalaanku waxay xaq u leeyihiin xannaano iyo gacan siin gaar ah. Caruurta oo idil, ha ku dhashaan ama yaanay ku dhalan meher, waxay xaq u leeyihiin xannaana isku mid ah.
26-00	Qod XXVI
26-00	Qof kastaa wuxuu xaq u leeyahay inuu helo wax-barasho. Waxbarashadu waa lacag la'aan, ugu yaraan heerka dugsiyada hoose iyo heerka aasaasiga ah. Waxbarashada dugsiyada hoose waa khasab. Waxbarashada farsamo iyo midda xirfadeed waa inay noqdaan kuwo la helo; tacliinta sare sidoo kale waa inay u furnaataa dadka oo dhan, iyada oo la tix-gelinayo qof la arko mudnaantiisa.
26-01	Waxbarashadu waa inay ahaato mid loola jeedo in lagu kobciyo shakhsiyadda qofka xoojinta dhowritaanka xuquuqda aadanaha iyo xorriyaadka asaasiga ah. Wax-barashadu waa inay ahaato mid wax ka tarta is-af-garadka isu-dulqaadka iyo saaxibtinimada ka dhexaysa qowmiyaadka ama dadka kala jinsiga iyo diinta ah, waana inay si adkayso hawlaha Qaramada Midoobay ee la xiriira sugidda nabad-gelyada.
26-02	Waalidka ayaa iska leh xaqa koobaad oo ah inay doortaan nooca waxbarashada la siinayo caruurtooda.
27-00	Qod XXVII
27-00	Qof kastaa wuxuu xaq u leeyahay inuu si madax bannaan uga qayb qaato hiddaha nololeed ee bulshada, inuu ka faa'idaysto farshaxanka, inuu ka qayb galo, horumarinta cilmiga iyo ka faa'idaysigiisa.
27-01	Qof kastaa wuxuu xaq u leeyahay in la daafoco danihiisa maadiga iyo macnawiga ha ee ka dhasha waxa uu isagu curiyay xagga cilmi suugaanta iyo farshaxanka.
28-00	Qod XXVIII
28-01	Qof kastaa wuxuu xaq u leeyaday inuu helo nidaam bulsho iyo hab caalami ah oo xuquuqda iyo xorriyaadka lagu tilmaamay Baaqan si buuxda loogu dhaqan gelin karo.
29-00	Qod XXIX
29-00	Qof kasta waxaa ka saaran bulshadiisa waajibaad; bulshadu waa meesha qura oo ay suurtowdo in qofku shakhsiyadiisu si madax bannaan oo buuxda ay ugu kobocdo.
29-01	Marka uu qofku gudanayo xuquuqdiisa iyo xorriyaadkiisa waxaa xiraya oo qura inta sharcigu ka reebay, iyadoo ula jeedadu tahay oo keliya aqoonsiga iyo dhowritaanka xuquuqda iyo xorriyaadka dadka kale in la dhowro iyo sidoo kale anshaxa, nabad-gelyada guud iyo wanaagga guud ee mujtamaca diimaqaraadiga ah.
29-02	Xuquuqda iyo xorriyaadka kor ku xusan looma isticmaali karo si ka soo horjeeda ulajeedooyinka iyo mabaadiida Qaramada Midoobay.
30-00	Qod XXX
30-01	Baaqan kuma jiraan wax loo fasiri karo in micnahoodu yahay in Dawlad, koox ama qof xaq u leeyahay inuu ku kaco fal ama falal loola jeedo in lagu burburiyo xuquuqda ama xorriyaadka lagu qoray Baaqan.
