00-00	kpooloo meen be bena komishona baha wa tina adhama deeng la toobaha la koowa
02-01	mo londo gbi ta mu toobaha nu gbi la kpooloo meen lo lei la kemu mo lo soo gbi beeee a ma, ai ti mo fiima koo o mo kpeima o mo kpooloo mahin mandee, ai ti musu koo o kai, ai sa zii ma o dhine, o pahati, o koo jembe kii o moen bowa booloo mu lo o mo mu nu lo, ai ti sii moon koo o feeng woooo moon, ai sa wooloo kii ma hin koo mandee lei gbi.
02-02	ai basa a bhii la, mo ma mo nu lo soo manja sii koo fe, o sawaha koo kuma o lei mu dhuunyaan be moen la wooloo boolooee fe ena, o pahati mu lo moen bowa, ai ti booloo kung koo, hin pee aha boolooee be booloo mandee koo, hin pee aha boolooee be kule sama baya lo o lei mandee gbi la.
03-00	sawaha sakpanaan (3)
03-01	mo gbi ta mu a fiya boe la, mo gbi beeee a bo koo jongja lo amu mo gbi kung kila loowa a yaha wangga kuma fee.
04-00	sawaha naanninaan (4)
04-01	mo-woo-mo beeee kung biyaha a bo ma jongja o boideengja lo. kpan mu mo nuhin booloo kpeemgba jong koo hin jong ka koo leiye gbi jaha.
05-00	sawaha soooolunaan (5)
05-01	mo-woo-mo ma hana , fala lo taha, o suye kpeeee tahaye a bo la, o koo tahaye kii lei muhin a boe la manja deeleengjaha ma jii. amu mo ma a bo janggata.
06-00	sawaha soonglondonaan (6)
06-01	kpan mu mo nuhin jii sii mo gbi la adhama deengjaha ma kang gbi sawaha jaha.
07-00	sawaha soongfelanaan (7)
07-01	moen nu gbi lo kangndee mu sawaha jaha amu kpan mu sawaha yahanu gbi kuma fee kangndee kemu mo lo soo gbi ma ti koo bhii lo. kpan mu sawahai moen gbi kuma fee kangndee lei mu kpooloo meen laha fo a la solee be mo lo soo koo londo pee la, amu mo nu ma anu bo nu kungndo jahayaha kila lei bhii fe.
08-00	sawaha soongsakpanaan (8)
08-01	mo gbi la toonyaan mu kemu sawaha kiti sa moon tangndee nuhin aha kooee lo fee wahati mu gbi mo la aha toobaha loongndeeee a la solee be sawaha seenjeena mu nu boolooee lahanu sa mo gbi la kuma fee koowa.
09-00	sawaha soongnaanninaan (9)
09-01	mo-woo-mo beeee kung loo ke kahamaan a yaha bo biya a yaha sii kang londo o a yaha ma ai taha nuu fiya lo.
10-00	sawaha tangnaan (10)
10-01	mo gbi la toonyaan mu kemu ai bowang sawaha jaha bai lo anu yaha laha lang kiti sa moon tangndee nu jaha, a lei mu nu ta gbi beeee koo bhii lo, kemu a yaha toobaha fee a la solee be kpeeee jahaya mu gbi mo nu yaha sowa a la.
11-00	sawaha tang londonaan (11)
11-01	anda jahayaha ba solee mo gbi la, mo nu ma a kpa fee a lo ai too a lo anuhin kpa fe soo ma sawaha fe amu anuyaha fee ke a kpa mu. ke kpa fe soo bhii lo, anuhin kilaha kpee beeee a yee kemu a yaha wangga kuma kpai.
11-02	mo beeee kung mo biyaha jahayaha ba la koowa lamatang a ma koo ma we a kemu boolooee o dhuunyaan ke kpee yaha keeee jahayaha ba banda mu koo bhii tahayeha. amu mo beeee kung janggata fahanyaanlee saha mo ma jahayaha la koowa ai too beeee a kemu sawaha laha jiya jahayaha bhii la koowa wahati mu koo bhii tahayeya.
12-00	sawaha tang felanaan (12)
12-01	mo beeee fili loo ke mo ta koo lo, o mo ta kuuye lo koo lo, o mo ta keeng bu lo koo lo. amu mo ma so teeng a boe ta bee siiye la amu mo ma a bo ma jawoo. sawaha mahin kpan mu ai moen kpee nuan toonyaan kuma fee booloo fili koo lo o latee kpawoo lei bhinu nu booloo.
13-00	sawaha tang sakpanaan (13)
13-01	mo gbi toonyaanlee mu kemu ai taha kang mu gbi a woooowa amu ai siinaan bi kang mu gbi a woooowa boolooee bu lo.
13-02	mo gbi toonyaanlee mu kemu ai booloo gbi lo too ai basa a ja boolooee la, amu a toonyaanlee mu hin a woooowa ai jee a ja boolooee lo.
14-00	sawaha tang naanninaan (14)
14-01	mo gbi toonyaanlee mu ai kila loo kemu ai taha booloo mandee lo nuu fiya lo ai janggata kpahaee.
14-02	mo mahin kpan maan ai too tusa ke toonyaan meen la koowa hin kpan mu ai janggata biya kpeeee jahaya mandee la koowa ai fo o gometi ti manja koo ma, kpeeee jahaya lei mu nu be soo teengunahinte neeshongngen la nganhinkiiye be aha koo jembe kiiye la.
15-00	sawaha tang soooolunaan (15)
15-01	mo gbi toonyaanlee mu kemu a ja boolooi ti.
15-02	mo gbi beeee kung loo ke mo ma baiya a ja boolooee ma amu mo beeee kung loo ke booloo kpeemgbaha mo jaha hin a woooowa a yaha ja booloo boolooee lo falang.
16-00	sawaha tang soonglondonaan (16)
16-01	musu kungndee be kai kungndee toonyaanlee mu hin anu woooowa anuhin ti sii nyoonja ma, ai ti pee hin anu ma ti kpooloo londoe wa koo o hin pee anu bowa booloo mandee nu lo wa, o dhine mandee nu lo. toonyaan londoe wa be anuan koowa a kemu la solee be sii nyoonja la kai be musu te hin wahati mu pee anu tei tiya kana.
16-02	sii nyoonjai ti musu be kai te wahati mu loo mo fela bhinu nu kule saha a ma sii nyoonja la koowa, amu mo nu wa ma fahanya anu ma.
16-03	kuujaha nu wa tiya lomgboe seenjeenaan nu koo leenggeeyaha nu ma amu kpan mu leenggeeyaha nu yahanu kuma fee.
17-00	sawaha tang soongfelanaan (17)
17-01	mo gbi toonyaan mu kemu a booloo kooi ti a wangga kung ma hin kemu a be mo nuhin basa koo ma.
17-02	mo beeee kung loo ke mo gbanaan a booloo lo feeng ma.
18-00	sawaha tang soongsakpanaan (18)
18-01	mo gbi toonyaanlee mu ai kungndo kii ma a wangga la koowa, a falaha yaha mehin amu ai ti a falamahin dhineen lo. aha toonyaan meen be a fona ke a kung dhine lo falangnda, hin a saha koo mu la, amu koo beeee a mahin hin a lobeeng o a be mo nu seeyaha ma anu babai o bai lo a yahanuan dhineen ja jiya o a saha koo mu la. a kung kaha ke beeeeya, a kung koo tahaye kii ja jiyaaha, a kung kangmba fuleeya amu ai dhine koo ma.
19-00	sawaha tang soongnaanninaan (19)
19-01	mo gbi toonyaanlee mu ai koo jembe lei mu a woooowa amu a yaha taha fo koo lo; amu toonyaan meen fe, a kung mo nu seeyaha ma kungndo ka beeee koowa amu mo mu ta beeee koo bhii lo a ma ke nu. amu a kung jii ma so loowa, ai jii ma so biya, amu ai jii ma so be mehin beeee kila lei gbi fe amu mo ma booloo kpeemgba a jaha.
20-00	sawaha mo bangndeenaan (20)
20-01	mo nu toonyaanlee mu anuhin seeyaha ma amu anu loi basa kule sama lo.
20-02	mo toonyaanlee maan ai too fahanya mo ma kemu ai ti kule londo la koowa.
21-00	sawaha mo bangndee a koo londonaan (21)
21-01	mo gbi toonyaanlee mu a tai ti gometiye lo a ja boolooee lo a wangga buunaan fe o aha repizenetee fe, a lei mu anu buunaan nu bee la booloo so a la vooti lo.
21-02	moen kpee lo kangndee mu gomeen so kenaan. mo ma tiye a bo jaha.
21-03	kpan mu gometiyei tahaye moen nu fala mahinnye wa fe, amu kpan mu anu fala mahinnye jai jiya vooti nu lo wa, anu salee be wahati loi nu temaan lo. amu vooti lei bhii lo, mo londo gbi tong vooti londo wa, amu vootiyei ke gbundu lo wa o lei mu nyoonma kafa beeee ti a lo.
22-00	sawaha mo bangndee a koo felanaan (22)
22-01	mo gbi boolooee lo, kpan mu basa sananyinyaleei ti aha koowa aha mo baja wahatiye be too wahati la koowa. amu kpan mu kilai ti ke mu a boolooi kung koo nu mahin boolooee la basaha fe o booloo kung mandeeee nu temaan lo basaha fe hin lei mu booloo londo gbi yaha bee najaha nu kung siiya kemu toonyaan lei mu nu mo beeee kung mo nu ma baiya anu la, anuhin ti moen nu booloo ma anuan bee si iye la koowa hin kemu anu kung taha jaha feeya anuan be kiiye nu lo. anu la solee be fiya boe la kpaiye nu la, hin kooee kemu nu tiya basama koo nu koo fiya boe la koowa, hin landa koo.
23-00	sawaha mo bangndee a koo sakpanaan (23)
23-01	mo gbi toonyaanlee mu ai so ke, a yaha fala mahin soe ke, amu aha so kee be aha so kenaanhin ti beena fiya boe la koowa, amu kpan mu sawaha yaha kuma fee a ma ti so ke woooo lo.
23-02	moen nu gbi toonyaanlee mu anuhin pahawa londoe fee so ke londo la koowa amu mo lo soo gbi ma ti a lo.
23-03	mo mu gbii so ke, a toonyaanlee mu ai pahawa tangndee be a nafa belee fee a lei mu a be aha kuuye lo moen nu kung fiya boe lo tiyaha la yo adhama deeng nu, amu hin a kpaiye be, anuhin basa mandee fe, a ke mu kung anu basaha too bandaha nu.
23-04	mo gbi toonyaanlee mu ai mo nu seeyaha ma amu ai ti so ke kule londo nu lo kemu a kung aha toonyaan kuma tiling keya.
24-00	sawaha mo bangndee a koo naanninaan (24)
24-01	mo gbi toonyaanlee mu ai fiya bo so kee lo, o wahatii ti a yee ai fiya boe la kpai sa koo nu ma. amu aha so ke wahatiye fe ma jangnjaha, amu so ke teelee ba nuhin ti banda mu nu ai pahawa fee teeleeee la koowa bemupee ai fiya bowa so kee lo.
25-00	sawaha mo bangndee a koo soooolunaan (25)
25-01	mo gbi toonyaanlee mu a yaha dhuunyaan lo tiye lei mu a kung bengnda mo gbi ma, a la solee kpooloo lo tiye la, hin fiya la ti beenaan a bee la koowa hin aha kuuye lo moen nu, ai sa long feeng ma, hin kili feeng be toonaan, hin jeni keeng koo nu la, hin we kooee mandeeee ke mu nu kung fiya boe kpai saha, hin basa so ke woooo banda, hin kiya sa banda, hin mamgba banda, hin ziyawoo musuye la basa, hin mo baja wahati o wahati mu moen booloo beeee kung lo fiya bo kooee nu mahin koo nuan sii kiiye fe.
25-02	kpan mu basai ti bhoosiye nu be deeng mesee nuan koowa amu mo nuhin anuan kpaiye nu lo fee. deengngen nu gbi anuan sonaan be londo, ai ti a ke mu anu maan wooloo musu kpawooleeee fe o musu kpawooleeee ta deengngen, kpan mu anu gbii basa londoe wa fee.
26-00	sawaha mo bangndee a koo soonglondonaan (26)
26-01	mo gbi toonyaanlee mu kemu ai kaha ke. mo nu ma feeng beeee kaha ke koowa, ka ka nggeeee kaha ke kpaha so kpoolooee nu lo hin seenjee kaha kee nu. ai ti kpan koo kemu mo gbii kaha ke kpaha so kpoolooee nu bang. kaha ke kpeleyahaleeee nu hin so ke kaha maan kei ti moen kpee la koowa. amu kpooloo kung tiye kaha kee nuhin ti moen nuan koowa, anuannu mu nu mahin nyinyaleei tiya aha koowa.
26-02	kaha kee nuhin ti lei la kemu moen nu kpee kung kpai sa feeya anuan be kiiye nu lo hin kemu mo kende nu lo kpeleyaleei kung tiya amu mo nuhin baha so anu boe nuan toonyaan nu be anuan kuma kaha nu ma, a ke mu nu mo beeee kung mo mabaiya anu la. ai naan kule sama la hin lei mu mo nuhin booloo siiya anu nyoon nu koo amu anuhin ti ndiyamoja lo boolooee nu gbi te, ai ti mo fiima nu be mo kpeima nu koo, ai ti dhine seelee ma nu koo, amu anuhin unaite neeshongngen la so kee jondowa jaha kemu mo nuhin too biya lo kule sama ma.
26-03	wooloo moen nu wa ta mu seenjee toonyaan la anu yaha jiya kaha ke mu anu woooowa anuan deengngen nu yaha fee.
27-00	sawaha mo bangndee a koo soongfelanaan (27)
27-01	mo gbi toonyaanlee mu ai fili landa koo nu lo leenggeeyaha nu ma hin a woooowa, amu ai fala sa koo gewee nu ma amu ai basa poooo kooee la nafaha be aha taha jaha nu ma.
27-02	mo gbi toonyaanlee mu a yaha ting beenaan be aha beenajaha nu kuma fee, hin a booloo kpaha be kooee ke mu tiya a ta koo beimaan aha koo nama bo kangndo o aha gewee nama ma.
28-00	sawaha mo bangndee a koo soongsakpanaan (28)
28-01	mo gbi toonyaanlee mu ai ti kule sama lo a boe nu la hin booloo kungngen nu ma lei la kemu toonyaan be kuma ka mu nu malangndee be kpoo loo meen lo, anu kung tiya mo nuan koowa gbeleng.
29-00	sawaha mo bangndee a koo soongnaanninaan (29)
29-01	mo gbi ta ma koo be sii nyoonjaha lo, kang mu lobeeng aha be kiiye kung kpai saha kpee feeya kpanda.
29-02	kemu mo gbi yaha toonyaan be aha kuma kaha ke kpai lo, mo gbi la laannaan tiya kang mu sawaha laha jiya, kemu loo mo nu kung jii siiya amu anuhin bee sii beeee anu boe nu ta toonyaan nu be anuan kuma kaha yee, hin kemu anu kung maanke jiyaha, hin koo mu nu kung a maan lomgboei ti kule sama lo hin kemu anuhin koo nu tahaye lahakiika lei mu kpan mu ai ti kang lei mu toonyaan londoe wa be moen gbi la koowa.
29-03	mo beeee kung ya toonyaan nu be ya kuma kaha nu tahayeha lei la a ke mu be gba lei mu a unahinte neeshoonen la nganhinkiiye be aha koo jembe kiiye lo.
30-00	sawaha mo bangndee a koo tangnaan (30)
30-01	mo ma koowaee kule londo pee fasai kpooloo meen lo lei la a kemu kung ja jiya maan ke booloo kung gbi, o mo nu o mo kung kootahaye kii nu biyaha a kemu nu kung naan koo lo jawoo la amu ai so teeng toonyaan nu be kuma ka mu nu be malangndee be kpooloo meenlo.
