00-00	TOTIHITAWE THAMOTIMA THE A
17-01	Hititiwe the pe re kui the pe matohipi ria kuo, totihitawe thamotima the ha, the pe re perihii hami kama the pe urihipi ria rii kuomopotayou.
17-02	Pei the puhi petouha ayaroni the pe matohipi ria remaimihe the pe re perihii hami urihi a kai remai taomihe.
18-00	Hetipetewe 18
18-01	Hititiwe the pe re kui ai the a reamaiha totihitawe thamotima the ha the pe puhi tao kai ria perio, reahumotima the hami, the pe puhi kateheweha; totihitawe thamotima the ha the a kai koyokoa reahumotima wa the ria re hemihipraiwei, ai the a reamaiha the ria owemamou komi the pe mithari ha the kai ria owemaihe, the pe hirayou tehe, the pe owemayou tehe, peheti the a huamou sharirou ha.
19-00	Hetipetewe 19
19-01	Ai the a reamaiha hititiwe the pe re kui yami the pe puhi ria piyekou, the wahano ria re wayoaiwehei; iha the a kai koyokoa the a hai tehe the a nohi warimopou taomi, ma kui yaniki the ria warimou kuaaherii, the a ria opisi teamou kuaaherii, the a ria weyemou piyekou wanoshimamotima the pe hami.
20-00	Hetipetewe 20
20-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe ai the a reamaiha the pe a ria wayou kai yototai the pe ria re thaiwehei the pe wahano wayoaihe ha.
20-02	Ai theni yototamotima the hami the shimai ayao taomi.
21-00	Hetipetewe 21
21-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe patamorewe the pe re kui the pe a wayou kai ria roaai nareo kama peni a pata re thanowehei pe mithari ha kai.
21-02	Hititiwe the pe ihami totihitawe thamotima the kuprawe kama the pe re periprai hami the ohotepi re shatiprai, the pe ria ohotamou toaai.
21-03	Patamorewe the pe re kui, the pe shaponopi kai re periowei the pe iha the pe patamou. Ei the re kui the pe shaponopi kai re periowei the peni the pe wahano ha wayoaheni the yaiaprai shoaohe yaiamotima the kuo tehe the pe yaiamou hathoo.
22-00	Hetipetewe 22
22-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe kama the pe re periprai hami pata the peni the pe nohi kai hatukepopehe, ai urihitheri the pe patani the pe nohi kai hatukepopehe, the pe puhi topramapopehe, ihi the nohi yaimopou the pe puhi wetinahamou maope, peheti the pe perihope.
23-00	Hetipetewe 23
23-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe urihipi ria hupeo, ai the a reamaiha the ohote hurimope, the prewe thaporaheni, pata theni ohotamorewe the pe re kui the pe nohi peyepou the pe ohote kuo mao tehe.
23-02	Hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe ohotamou he usukuwe re kurenaha the pe no kai koo he usukuope.
23-03	Hititiwe the pe ihami totihitawe thamotima the kuprawe he husukuwe the pe no koo, the pe puhi kai oweheo, kama pe shiro re kui e pe puhi kai perio mi hetuope e theki peheriproimiha pe kai re perioweini ai e theki he ria tikeai e theki he usukuope.
23-04	Hititiwe the pe ihami totihitawe thamotima the kuprawe, sindicato the pe ria thayou, the pehe rumopope.
24-00	Hetipetewe 24
24-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe washimi horuu yanikio pariope, the pe ria huu toatarou, toprao the pe kai re ohotamonowei the no kai ria koamamou the ma yanikia parirani.
25-00	Hetipetewe 25
25-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe ria perio toprao kama theri the pe shiro sho, nii pe hami, yahi pe sho, the pe kai temio topraope, the pe kai titihope , the pe nohi kai re yaimopouwei the pe sho. Enaha hititiwe the pe pehi totihitawe thamotima the ha the kua the pe re ohotamoumai, pe re shawarapiwei, the pe no re huwemai, the pe he re paharaprai, the pe re waro re patai, the pe suwe kai re patai, ai the pe waritiwe kaini the pe pehetipopehe.
25-02	Suwe shipenapi the pe re kui, ihiru, maranapi, suweheri maranapi the pe komi sho, totihitawe thamotima theni, the pe nohi thamopou topraope. Hititiwe ihiru hiipi kua pe re keprouwei, pe hiipi ma kua mai pe kai re keprouwei, totihitawe thamotima the kuprawe peheti pe nohi kai thaprawe.
26-00	Hetipetewe26
26-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe kai hirayope. Hiramotima the pe re kui, nomraiha the pe hiramou pariope. Hiramou pariotima the hami the pe ihirupi shimio he parohoope. Hiramou pariotima the noha hami iha hititiwe the pe onimou taai he parohoope; onimou pata the re kui hititiwe the pe pehi ma kui the pe puhi moyawei re the pe pehi shiro kuope.
26-02	Hiramotima pe hami, puhi tao the pe kuprope ihi the no aha totihitawe thamotima the pe nohi asipopehe ai the a reamai the sho; the pe re periprawe piyekei the peni, the pe nohi kai re yaipouwehei the pe hami, the pe no ihipipopehe, the pe kai puhipoyope, O.N.U. theni the thamai re puhiiwei the a ria praukamai ha piyekoni, the pe a ria topramapou ha totihioni.
26-03	Pe nii, pe hii the peni e the hiramai shi re topraowehei e the hiramai puhipehe.
27-00	Hetipetewe 27
27-01	Komi hititiwe the pe ihami totihitawe thamotima the kuprawe, the pe re perihii the peni the pe re tai re piyekouwehei the pe hami ai the a reamaiha, the pe no ria taayou, the pe a kai ria toprao, matohi pe re thanowehei pe hami, ihi the pe matohi ha the pe a ria toprarou.
27-02	Hititiwe the pe ihami totihitawe thamotima the kuprawe , the pe nohi thaope, kama the peni the pe re thaiwehei the pe hami, the kai re onimaiwehei the pe hami, noshiharirawe the pe kai re kopemaiwehei hami kai.
28-00	Hetipetewe 28
28-01	Komi hititiwe the pe ihami totihitawe thamotima the kuprawe ai the peni the a re thaiwehei, the a nosi popehe.
29-00	Hetipetewe 29
29-01	Komi hititiwe the peni ohote the huripehe kama the pe shaponopi hami, ihi pe shapono hami toprao the pe paraherii.
29-02	Totihitawe thamotima the hami the pe re wapeoheriiwei ai the pe ihami totihitawe thamotima the pe kai kuprawe, ihi ei theni the nohi hatukemapou totihitawe thamotima the re kui ai the a reamai the sho. Mihi totihitawe thamotima the hami peheti the pe kuaaherii, yaiamotima the hami the pe re patamou the kuo tehe.
29-03	Hei totihitawe thamotima the re kui ai the a kua mai the pe sho O.N.U. the re kuuwei the a nohi waripou taomi.
30-00	Hetipetewe30
30-01	The pe re perihouwei the peni, yototarewe peni , ai yami theni wa katehano theni totihitawe thamotima the waha no weyei ha ai theni the waha nohi taeai taomi, the waha kai hemihiprai ayao taomi.
