00-00	XALK-ANTALAP TIN PUTAT AN CHABAL XOH-NI NI KO-YAL AN INIKTSIK
01-01	Kuentsal nap wah-chínal tee ti chabal jayechek-i antip wah-chínal, bá tamá maxak a pulik maxak in exlal, jununul aní ni chap aní jaxtam ko-yal kip le-naxín aní ki k-ana ti ba.
02-00	Artículo 2°
02-01	Junih inik in ko-yal in chálap in ko-yal in kal dhutsal uluts bal ba ka awich kin té-lah tin ba jun max juníh nin xich-al max ejekni ó dhakní uxum oy inik in kawíntal on belómtal xoh-kich anta ch-át-el k-ali política xoh-nin chalpayal ó jelat an ti kwajat, xonti wah-chinenek in ko-yal i tumin owa ch-ontal jayechek-i jelat anti kwajat.
02-02	Jayechk-i, ba neech ki uluw bal ba wa eynal max ka wa-chin k-iat jun i uw in dha-nel k-al juni tak-ix tee ti bitsow o pilakich anta tak-nál ó ták-yal tin ba.
03-00	Artículo 3°
03-01	Ehtal juní inik oy uxum in ko-yal juni tsubaxtalap ka xe-chin te ti chabal, aní in ko-yal bal jajáh ka chú-tat nin beltal.
04-00	Artículo 4°
04-01	Bá tamá ka awich ka ko-yatwik-ats ani balak juni inik a ko-nalk-i ti chot nal; na kin lee-na kin ko-oy jelatak max wik-ats bawa eynal xoh-kich an ti kin lee-na.
05-00	Artículo 5°
05-01	Bá tamá ka awich ka yatsikat k-alí chauxtalap k-ali wik-axte k-ali yajal tín iniktal, ó na bawa eynal.
06-00	Artículo 6°
06-01	Ehtal an inik aní an uwum in ko-yal i tsubaxtalap kin k-aniy tin ba xoh-kích antí kwájat exlantal nin iniktal ti juníh dhé-lid.
07-00	Artículo 7°
07-01	Kuentsal jayechek-íni ey o ni jalbil ti juní dho-lid aní i ko-yal jayé ka chú-tat aní ka dhá-jan ti kuenta k-alan tá-kix, aní kuentsal antí ko-yal kip chú-tat kip k-anyat bal ba kip léhyahtsikat o kin léh ulumk-i axe, i dhutslap o kín ani kin lee-na, tayil kin jalk-uy nin káwintal.
08-00	Artículo 8°
08-01	Juní inik o uxum in walal bal ka pi-dhán ti melu tam kwajat ti dho-lid na max in cho-op, balka tax-ka tam ka lee-ná uwandhá o ka taxk-antsin nan walalaní kwajat dhú-tsat aní wa exlap antí código natí kwajat an tsubaxtalap.
09-00	Artículo 9°
09-01	Ba tamá ka awich ka télaba yak wan dho-lid ó ka wík-an ó ka adhindhá.
10-00	Artículo 10
10-01	Juní inik oy uxum in walal ó ka chú-tat jayechek-i aní ko-yal ka och-owyal k-al tamá, akich aní xoh-kich aní kalih tsubaxtalap ti juní dhó-lid tin kuetemtal ó tin yanel, bal kin leeh-kiyni nain walal aní in ko-yal kin dhá-ja ti kuenta kin chalpay alwa, tam ka lee-náh ka útsbiyat tin leeh tal aní élbad.
11-00	Artículo 11
11-01	Juní inik oy uxum útsbid k-alín walap in ko-yal bal kin jek-a tin ba, kin uluw bal ba, walbid, lejatakix a xalk-anal max walbid o bá, k-alná dhú-tsatantí Constitución tan ti kín élah, jun bal kin jek-a tin bá.
11-02	Ba tamá ká awich ka wálbiyat k-al xoh-ni ni wachin ó bal in chuu, tan-dhó ti k-aléh max ba-já in táka, jelát anti ulal antí dhutsat uw ni ten ti bitsow ó pilakich i chabal, ba ka awich max ka walbiyát k-al nay exlal an walaptalap.
12-00	Artículo 12
12-01	Ba tamá ka awich ka télaba dha-tsín tandhó an tin iniktal ó kal nin chikamiltsik, anti k-ímah aní balak bal ka utsan tandhó, tamá a kích in ko-yal ka taxk-a k-al an dhó-lid tam ka lee-náh ka dhatsin tandhó.
13-00	Artículo 13
13-01	Tamaakich in ko-yal bal ka xe-chín xoh-kich k-alin kanamtál, a ni kin aliy xontakáh kwajay xoh-kich an bitsow.
13-02	Tamaakich in ko-yal bal-ka k-aléh tee, o pilhih chabal ó kin lee-náh, ka witsiy tin chabalil.
14-00	Artículo 14
14-01	Tam káh lee-náh ka yak-wan jún in ko-yal bal kin aliy xentakáh pítk-an ka kuajay alwa xoh-kich an bitsow.
14-02	Axe i tsubaxtalap dhutsame ba ka awich ka kontsinstin bal ka yak-wan k-alan dhó-lid k-alin walap ó tam bá waach i tsubaxtalapk-alan junux bitsow.
15-00	Artículo 15
15-01	Támaakich in ko-yal bal ka kwajay xoh-kich an chabal aní kin lee-kiy nin uwil.
15-02	Ba tamá ka awich ka utsán bal baka awich ká kwajay ti pil i chabal bal pútat i k-ih.
16-00	Artículo 16
16-01	An iniktsik ani an uxumtsik tam ka ulich an ki balkip tomkin jay baye i ko-yal i tsubaxtalap ani k-alin chálap xokich nin xich-al xokich nin bitsow ó xoh-ni in belal, kin éhtow ka tomkin ani kin ko-oy junin k-wahtal, ko-yal ki ko-oy chab-lam i tsubaxtalap k-alan tomkintalap ani max ki lee-náhkip tómkin.
16-02	Ehtal nay ko-yali chálap ani i kulbetal ki ehtow kin tomkín.
16-03	Júni k-imad jach an juniklap alwa aní tanáh tujel juníh bitsow aní ko-yal i tsubaxtalap bal ka k-anedhá k-al xontah tak-nal nin bitsow.
17-00	Artículo 17
17-01	Tamaakich inik oy uxum in ko-yali tsubaxtalap k-al nin k-al ta-kix nin ko-yal tin kwetemtal on yaneik-al.
17-02	Ba tamà ka awich ka télaba tay antsin xoh-nin ko-yal.
18-00	Artículo 18
18-01	Tamaakich inik oy uxum in ko-yali tsubaxtalap bal ka xe-chín ani kin ko-oy in chálap anin belómtal, axe i tsubaxtalap ka awich jaye kin jalkuy an belmach ó nin chálap, ka awich kin aluw xoh-nin belal xoh-nin chalpayal tin kwetamtal ó ti juníh yanel, xontah bihtsinal xoh-nin exobnal, aní xoh-nin dha-jal.
19-00	Artículo 19
19-01	Tamaakich in ko-yali tsubaxtalap kin uluw xoh-nin chalpayal, ani bá ka awich ka takán k-al xoh-nin úlal, ka awich kin konowiy aní kin bach-uw i kaw dhutsat ó oltsidki; aní ki ólnah xoh-nín ach-a xohkich anti kin lee-náh dhutsat ó k-al padtal kaw.
20-00	Artículo 20
20-01	Tamaakich in ko-yali tsubaxtalap ka k-aleh xontip júnkunal yanel xontíh ba waach i jek-axtalap.
20-02	Ba ka awich ka dhá-jan tamá ka ochich xontih ban lee.
21-00	Artículo 21
21-01	Tamaakich in ko-yali tsubaxtalap ka k-aleh kin dhá-já xoh-nin dha-jal juníh ta-kix ka utsán o ka tak-wyat.
21-02	Tamaakich in ko-yal i tsubaxtalap ka ochich, jelat ni k-iat bal kin kwah-na, an ti ta-kix an ti bitsow o xontip kwajil an pak-dha ta-kix.
21-03	Nin chálap an bitsow jach nin ákan an dho-lid aniy awiltalap, axe i chálap wa xalk-anal tam ka k-wahbáh juní dho-lid nina, wa neech dhá-nal jelat tam bít-yat ti dho-lid k-alan voto ani ki dhá-ja bal ka k-akná an voto.
22-00	Artículo 22
22-01	Tamaakich an inik oy uxum in kwajatsik junik i pubel an bitsow in ko-yal i tsubaxtalap k-al nin cháp an bitsow aníh junaxtalap aníh tolmixtalap tin pubel an chabal, xoh-nin ko-yal an tumin ti jun bitsow in k-alnal jaye an tsubaxtalap, an junaxtalap aníh xoh-ní exlal alwa-jaye aní na neech in exlal tin iniktal.
23-00	Artículo 23
23-01	Tamaakich in ko-yal i tsubaxtalap k-ali dhó-tlap aní kin aliy in dho-labil max alwa, max jalbid aní ka k-anedhá, aníh ba ka jilan bak-ali dho-tlap.
23-02	Tamaakich in ko-yali tsubaxtalap bal kin bach-uw in jalbil jayechek-i jelat na jálbinal alwa.
23-03	Támaa na dhó nal in ko-yal juníh tsubaxtalap ka pí-dhan tin jalbil k-idhat ani max ka awich, ka pí-dhan jaye wee max, kin ko-oy leeh-kid nin dhé-labil, jelat nin k-imadhil ka kwajay alwa, aníh ka chú-tat tam jajáh, in ko-yali yejentsixtalap.
23-04	Tamaakich in ko-yali tsubaxtalap kin dhá-ja junih sindicato xonta ka chú-tat aníh ka tolmintsin k-al nin dhó-labil.
24-00	Artículo 24
24-01	Tamaa na dhó-nal in ko-yal ka koyoch tam jelat, aníh tamaa dhó-na ba ka awich ka dhó-jon ti max, ko-yal kin ko-oy junih koytalap aníh ka jalbin tam bawa dhó-nal.
25-00	Artículo 25
25-01	Tamaakich na dhó-nal in ko-yal tsubaxtalap bal ka kwajay alwa tin k-imáh, k-alin in tomkil ka kwajay k-anat, aníh kin ko-oy in k-apwal, in kwa-tsimal, in k-imah, ani ka ilaliat, ka chú-tat k-al nap ilalix, in ko-yal jaye ka kwajay alwa k-al nin dho labil tam ka tálpinal, tam ka yaulme , ó kin k-ipdha juníh pejech in iniktal, tam ka chémech nin tomkil, tam ka pubexich, ó tam ka k-íbeh nin dhó-labil k-al juníh k-ibeltalap na ban dhi-lóm.
25-02	Am chikam na ka wachin ko-yal jaye ka chú-tat. Kuentsal na ka wachin k-alin pailom aníh k-al in mim, ó nabá in ko-yal in pailom ko-yal jaye ka chú-tat aníh ka wachín taman kip chú-xín.
26-00	Artículo 26
26-01	Tamaakich i inik oy uxum in ko-yali tsubaxtalap kin wid-ta ti ajum, an aymach ba jalbid an aymach ma de-kat jalbinchja, an ko-yal ja ka exoblach in lee ó ban lee, an ok-tsixtalap bali dhó-lap ko-yal ka k-aleh lujuts, aníh kin ehtow ka ochich xonti max d-ékat an aymach, jayechek-i bal kwentsal an dhó-lap jelat anti kin ehtow.
26-02	An aymach in ko-yal bal ka dhá-jan yan i dhó-lap bal jun, bal kin ko-oy jun in chap aníh ka k-aknáaníh ka tolmintsin aníh ka och-owyat, k-al nin exlomnawal k-al xowaakich, aníh k-al éhtal an yanel xokích nin kawintal en belómtal, ka awich kin dhá-ja in dhó-lap bal tin pubel an chabal bal ka belat-ná an alwatalap.
26-03	An pailomlap i ko-yali tsubaxtalap bal ki takuy an aymach xenkíh lee-na ban ni chikamil.
27-00	Artículo 27
27-01	Tamaakich i inik oy uxum in ko-yal kin takuy xontin lee-ná kin dhá-já o kin exla xonti kwajal an ti bitsow, aníh ki exobna, xonkín jhá-na, kin dhá-ja xontin exlal bal ka k-ale alwa.
27-02	Tamaakich in ko-yal an tsubaxtalap bal kin ko-oy aníh kin taxk-áh xoh-nin ko-yali tumin oy chabal on chabal on k-ima o xoh-nin ko-yal max, jaján k-al xoh-nin wachindhal xoh-nin exlal in dhá-jal on ahtal anin chalpayal.
28-00	Artículo 28
28-01	Tamaakich an inik oy uxum in ko-yal bal ka kwajay jelat tin lee an yanel na tee ti bitsow o pil i chabal anin ko-yal i tsubaxtalap xonti ulumeh ti junih dhutslap xonti ulu lujuts.
29-00	Artículo 29
29-01	Tamaakich an anik oy uxum in ko-yal junih dhó-lap kin dhá-ja aníh kin k-akna nin bitsow i tajáh an tin ko-yal éhtal kin dhá-ja xoh-nin exlal nin iniktal.
29-02	Xoh-nin dhá-jal k-al xoh-nin exlai tan tin ko-yal kin k-a, kwajay k-anat aníh alobel k-al kuentsal exat ka kwajay lee-badk-i xoh-nin ulal an ta-kixtalap exat bal kin ko-oy aníh ka exlá, aníh ka k-akná aníh kin ko-oy i tsubaxtalap aníh kip kwajay libre k-al na k-iat. Aníh kin ko-oy alwa in chálap bal kin konoy juníh kawimtalap bal kuentsal aníh kwajay alwa kuentsal ti juníh yanel lujuts.
29-03	Axe i tsubaxtalap aníh alwatalap baka áwich dhá-jan max ban cho-op xonti tujenek an junax bitsow.
30-00	Artículo 30
30-01	Ba ka awich tamaa kin jalk-uy jelat ti dhútsat ó jun anti kin chalpay, jelat antin úlal axeh dhútsalap antip bitsow o jun bolleh y yanel ó tin kwetemtal bal kin tujuw kin dhá-ja, ó kin lee-ná, kin teh-na, kin télabah, jalk-uy xoh-ní kwajat dhútsat aníh ulúts k-al axe i uw.
