00-00	ADAMA XAFE RAFALƐ SARIYƐE DƐNTƐGƐ
05-00	Sariyɛ sulinde (5)
05-01	Ɲaxankatɛ nun tɔrɛ mu sama ndende fari. Xanamu yayixarɛ naxan mulan ibunadama bɛ.
06-00	Sariyɛ senninde (6)
06-01	Kankan xa adamaya daxa axa kolon yire birin.
07-00	Sariyɛ soloferende (7)
07-01	Adamadi birin lan sariyɛe kui e man birin lan e xun xa magaga sariyɛe yi kɛɲa keren.
08-00	Sariyɛ solomasaxande (8)
08-01	Bɔoxi sariyɛ banxidɛe lan eka ibunadama keren keren ma xun magaga fee ma naxe bara tuxunsan.
09-00	Sariyɛ solomananinde (9)
09-01	Ndende mulan a suxu tɔɲɛgɛ kui, amakankan xanamu bɔxi ma xandi ama.
10-00	Sariyɛ funde (10)
10-01	Awayibiyaxi ibunadama xafe xa yaxandi alaxinɛra, alankɛnɛmaya kiti banxi tinxinyira, ayo nun ayalagi waxan naba.
11-00	Sariyɛ fu nun keren nde (11)
11-00	Xa sikɛnteya bara rasiga adamadi ndema fe kobi rabafe nde xunma, ɲaxankatɛ yo mu daxa a bɛ sinden fo na fe yegi.
11-01	Mixi yo mulan axa makankan fendema naxan murotɔnxi bɔxi sariyɛe kui. Ɲaxanketɛ gbɛtɛ fan mu dɔxɔ ama naxan dangi yi fera ba tɛmui ɲaxankatɛra.
12-00	Sariyɛ fu nun firinde (12)
12-01	Birin nun a yɛtɛkan xafe raɲɛrɛki nara. Mixi ɲiya mu naxan yama. A na findi axa denbaya xafera, a lingira xa fera, xanamu a hayie xafera naxan a niɲɛma axa xɔrɛya nun a xa lasiriya nu mabere. Awayibiyaxi ibunadama bɛ, sariyɛ xa a xun magaga na fee ma.
13-00	Sariyɛ fu nun saxannde (13)
13-00	Awayibixi mixi bɛ axa a sabatide sugandi anun axa ɲɛrɛ a sagora.
13-01	Adamadi birin nɔma kelide a baride a sa sabati bɔxi gbɛtɛ ma. A man gbilen xa ma gbilenfe.
14-00	Sariyɛ fu nun naninde (14)
14-00	Xɔrɔ rɔe kui, daxa adamadi birin bɛ, axa siga bɔxi gbɛtɛ ma naxan nɔma arasɛnɛ de alako axa axun na kisi.
14-01	Na sariyɛ daxa exa raba tinxinyi fari, kirae fari naxan aniɲɛma adamadi mulu tɔɲɛgɛ kui O.N.U. sariyɛ tɔnyi dɔxi naxe ra.
15-00	Sariyɛ fu nun sulinde (15)
15-00	Adaxa adamadi birin bɛ sɔtɔ de fe ya xa i mini a bɛ.
15-01	Ndende mu daxa ixa ratɔn i sɔtɔ de xa fera, xanamu iratɔnfe sɔtɔde masara fera.
16-00	Sariyɛ fu nun senninde (16)
16-00	Xa ginɛ nun xamɛ bara suda kamali, adaxa e xa futi raso e tagi, na mufa siɲɔxɔya ma, baride fema, xanamu dinɛ fema. A man daxa e bɛ, e yɛtɛ xa denbaya rasabati. E man lan sariyɛ kima futi kui nun futi galife kui.
16-01	Futi mu nɔma sode fo ginɛ nun xamɛ lan fe keren ma.
16-02	Ɲama xundɛ singe lanxi denbaya nan ma, adaxa na denbaya xun xa makanta ɲama nun mangasanyi yira.
17-00	Sariyɛ fu nun solofere nde (17)
17-00	Mixi nalu a keren ma xanamu ɲama nde kui, awayibiya xi a sɔtɔde xa lu a sago.
17-01	Funmalaya nde yo mulan axa adamadi sɔtɔse yira.
18-00	Sariyɛ fu nun soloma saxan nde (18)
18-01	Adamadi birin lan axa axa maɲɔxunyi masen a sagora, a xaxili rawali, a so dinɛ a sagora. Na sariyɛe nɔma a niɲɛde adamadi dinɛ masara, a nɔma dɛnxɛniya de a keren xanamu ɲama yama lɔnni nun namunyie sabura.
19-00	Sariyɛ fu nun solomanani nde (19)
19-01	Adaxa adamadi birin bɛ axa afondo fe masen. Nakui a mulan axa tɔɲɛ mafixɛ nde sɔtɔ. Na fondo fe masenyi nɔmɔ rabade naninyi yo mulu ama, a fa findi xibaru fenfera, amasɔtɔfera, xanamu ara wundan fera kɛɲa mɔli birin na.
20-00	Sariyɛ mɔxɛɲɛnnde (20)
20-00	Adaxa adamadi birin bɛ axa lan malanyi, xanamu malanyi xundɛ nde bɔɲɛ sa naxan kui.
20-01	Ndende mu karaxan ma sofera lanxundɛ nde yama.
21-00	Sariyɛ mɔxɛɲɛnnun keren nde (21)
21-00	Adaxa adamadi birin ɲiya xalu axa bɔxi raɲɛrɛfe kui, a findi i yɛtɛra xanamu mixi gbɛtɛ naxan sugandixi.
21-01	Adaxa adamadi birin bɛ axa mangasanyi wali sɔtɔ a bari bɔxi ma ta girasa yo mu naxɛ.
21-02	Ɲama waxɔnfe lanma axa masen sugandi tinxinxi kui, naxan nabama tɛmui-tɛmui ma, birin lan sugandi naxan kui, kundo sugandi xanamu sugandi lankɛnɛ maya xi matexɛtɛnyi mu naxan kui.
22-00	Sariyɛ mɔxɔɲɛn nun firin nde (22)
22-01	Wayibiya nara ɲamanɛ mixi birin xun xa makanta, na findixi daxamuife, dɔxɔboreya nun lɔnni ratinmɛ sabu nan na. Na fee birin fatanma bɔxi diexa duruxɔtɔɛ nun xanunteya luti naxan na e nun bɔxi gbɛtɛe safera bɔxi yayilanki fari nun a daxamuie.
23-00	Sariyɛ mɔxɔɲɛn nun saxan nde (23)
23-00	Wali, nun mixi waxɔn wali sugandi fe wayibiya xi birin bɛ. Birin ma lan wali munafanyi kui, aman daxa a xun xa makanta wali sɔtɔtareya ma.
23-01	Adaxa birin bɛ fisamanteya mu naxan yama, a mu sundi sɔtɔ axa wali bɛrɛ ma.
23-02	Ndende walima, awayibiyaxi a bɛ axa musundi sɔtɔ naxan nɔma axa denbaya bun tide, a yigi nun binyɛ sa ma, a man nɔ a malide sabu gbɛtɛe sɔtɔ fera naxan ibunadama xafe makanta ma.
23-03	Adaxa adamadi birin bɛ axa walikɛe xa lanxundɛ nde yayilan e xa munafanyi xun magaga fera.
24-00	Sariyɛ mɔxɛɲɛn nun naninde (24)
24-01	Malabui nun ɲaxɛ-ɲaxɛ daxa adamadi birin bɛ a man daxa a bɛ axa wali tɛmui xa sugandi, malabui waxatie xa lu a bɛ a naxee sare sɔtɔma.
25-00	Sariyɛ mɔxɛɲɛn nun suli nde (25)
25-00	Adaxa adamadi birin bɛ axa sabati sɔtɔ alako axa santeya xa makanta. A tan nun axa denbaya xa yiriwɛ sɔtɔ donse fe kima, sosefe, lingirafe, saribafe anun ibunadama xafe yayiba fe nax an fan a bɛ. A xun xa makanta xa bara fura, xa lanyuri bara a sɔtɔ, xa bara fori, xa muna walide, xa kaɲɛ ginɛ nora xanamu fɛrɛ yo muna ayi naxan axa mantɔrɔli bama.
25-01	Mali wayibiyaxi nɛ dingɛya bɛ nun dimɛdiya bɛ. Dimɛdi birin lan axa mɛni kɛɲa keren, a fa sɔtɔ futi kui xanamu a fari ma.
26-00	Sariyɛ mɔxɛɲɛn nun seni nde (26)
26-00	Adamadi daxa axa matinxin; na matinxinyi daxa axa sa birin sago naxan findi dimɛdi xunxurie nun a matexie xaran fera. Xarande banxi xundɛ singe sofe findixi teku non na. Yamakɔta xaranyi nun yirawali xaranyi lanma axa rayiriwa. Lɔnni banxindɛ xungbe wayibiya xi birin bɛ, birin nun a xaxili bɛrɛ.
26-01	Lɔnni lan axa sɛnbɛ fi adamayama amakɛnɛn, a sɛnbɛ fi ibunadama xa wayibiyae ma. Alan, axa faxamui, di ɲɛ, marafanyi rasɔnɛya ɲamanɛe tagi, sie birin tagi, dinɛ xundɛe tagi nun O.N.U. malanyi xa walie rasabati fe bɔɲɛ sa kui.
26-02	Adaxaxinɛ di kanyie bɛ e xa xuri sugandi e naxan fima e xadie ma.
27-00	Sariyɛ mɔxɛɲɛn nun solofere nde (27)
27-00	Adaxa adamadi birin bɛ a so ɲama xa lɔnni yayibafe a yɛtɛra. Abɛlɛxɛ rawalie tɔnɛ sɔtɔ yamakɔta walie nun munafanyie naxe minima a kui.
27-01	Adaxa birin bɛ axa xaxili rawali, a bɛlɛxɛ rawali nun yamakɔta walie munafanyi xun magaga naxee yayilan fe fatanxi atan na.
28-00	Sariyɛ mɔxɛɲɛn nun solomasaxan nde (28)
28-01	Adaxa adamadi birin bɛ axa a fondo rasiga yi sariyɛe ratinmɛ fe xɔn ɲamanɛ kui nun a farima.
29-00	Sariyɛ mɔxɛɲɛn nun solomanani nde (29)
29-00	Lanlɛ rakamali daxi na ibunadama bɛ axa ɲama kui, ɲama naxan findi axa adamaya a nun axa yɛtɛralui sabura.
29-01	Sariɛyɛ dande saxinɛ adamadi birin bɛ axa maraba, a nun axa yɛtɛralui rasabati kui, na nan aniɲɛma axa na maraba anun axa yɛtɛralui mabanban sadɔxɔfe mixi gbɛtɛ ra alako taxasi nun yiriwɛ sabati ma ɲama kui kinaxɛ naxan a yɛtɛ ra.
29-02	Na wayibiyae nun na yɛtɛ ralui mu nɔma rabade muku O.N.U. waxɔnfe nun axa sariyɛ saxie xanbi.
30-00	Sariyɛ tongosaxan nde (30)
30-01	Sariyɛ nun wayibiya yo muna yi masenyi xungbe kui naxan kiraya nde masenxi ɲamanɛ bɛ, malanyi xanamu mixi nde bɛ naxan aniɲɛma axa kɛwali nde raba naxan sabui nɔma mayibiya e nun sariyɛe naxee masen xi nee xunnakanade.
