00-00	ปฏิญญาสากลว่าด้วยสิทธิมนุษยชน
10-01	ทุกคนย่อมมีสิทธิในความเสมอภาคอย่างเต็มที่ในการได้รับการพิจารณาคดีที่เป็นธรรมและเปิดเผยจากศาลที่อิสระและไม่ลำเอียง ในการพิจารณากำหนดสิทธิและหน้าที่ของตนและข้อกล่าวหาอาญาใดต่อตน
11-00	ข้อ 11
11-00	ทุกคนที่ถูกกล่าวหาว่ากระทำผิดทางอาญา มีสิทธิที่จะได้รับการสันนิษฐานไว้ก่อนว่าบริสุทธิ์จนกว่าจะพิสูจน์ได้ว่ามีความผิดตามกฎหมายในการพิจารณาคดีที่เปิดเผย ซึ่งตนได้รับหลักประกันที่จำเป็นทั้งปวงสำหรับการต่อสู้คดี
11-01	บุคคลใดจะถูกตัดสินว่ามีความผิดทางอาญาใด อันเนื่องจากการกระทำหรือละเว้นใด อันมิได้ถือว่าเป็นความผิดทางอาญาตามกฎหมายแห่งชาติหรือกฎหมายระหว่างประเทศ ในขณะที่ได้กระทำการนั้นไม่ได้ และจะกำหนดโทษที่หนักกว่าที่บังคับใช้ในขณะที่ได้กระทำความผิดทางอาญานั้นไม่ได้
12-00	ข้อ 12
12-01	บุคคลใดจะถูกแทรกแซงตามอำเภอใจในความเป็นส่วนตัว ครอบครัว ที่อยู่อาศัย หรือการสื่อสาร หรือจะถูกลบหลู่เกียรติยศและชื่อเสียงไม่ได้ ทุกคนมีสิทธิที่จะได้รับความคุ้มครองของกฎหมายต่อการแทรกแซงสิทธิหรือการลบหลู่ดังกล่าวนั้น
13-00	ข 13
13-00	ทุกคนมีสิทธิในอิสรภาพแห่งการเคลื่อนย้ายและการอยู่อาศัยภายในพรมแดนของแต่ละรัฐ
13-01	ทุกคนมีสิทธิที่จะออกนอกประเทศใด รวมทั้งประเทศของตนเอง และสิทธิที่จะกลับสู่ประเทศตน
14-00	ข้อ 14
14-00	ทุกคนมีสิทธิที่จะแสวงหา และที่จะได้ที่ลี้ภัยในประเทศอื่นจากการประหัตประหาร
14-01	สิทธินี้จะยกขึ้นกล่าวอ้างกับกรณีที่การดำเนินคดีที่เกิดขึ้นโดยแท้ จากความผิดที่มิใช่ทางการเมืองหรือจากการกระทำอันขัดต่อวัตถุประสงค์และหลักการของสหประชาชาติไม่ได้
15-00	ข้อ 15
15-00	ทุกคนมีสิทธิในสัญชาติหนึ่ง
15-01	บุคคลใดจะถูกเพิกถอนสัญชาติของตนตามอำเภอใจ หรือถูกปฏิเสธสิทธิที่จะเปลี่ยนสัญชาติของตนไม่ได้
16-00	ข้อ 16
16-00	บรรดาชายและหญิงที่มีอายุครบบริบูรณ์แล้ว มีสิทธิที่จะสมรสและก่อร่างสร้างครอบครัวโดยปราศจากการจำกัดใด อันเนื่องจากเชื้อชาติ สัญชาติ หรือศาสนา ต่างย่อมมีสิทธิเท่าเทียมกันในการสมรส ระหว่างการสมรส และในการขาดจากการสมรส
16-01	การสมรสจะกระทำโดยความยินยอมอย่างอิสระและเต็มที่ของผู้ที่จะเป็นคู่สมรสเท่านั้น
16-02	ครอบครัวเป็นหน่วยธรรมชาติและพื้นฐานของสังคม และย่อมมีสิทธิที่จะได้รับความคุ้มครองจากสังคมและรัฐ
17-00	ข้อ 17
17-00	ทุกคนมีสิทธิที่จะเป็นเจ้าของทรัพย์สินโดยตนเอง และโดยร่วมกับผู้อื่น
17-01	บุคคลใดจะถูกเอาทรัพย์สินไปจากตนตามอำเภอใจไม่ได้
18-00	ข้อ 18
18-01	ทุกคนมีสิทธิในอิสรภาพแห่งความคิด มโนธรรม และศาสนา ทั้งนี้ สิทธินี้รวมถึงอิสรภาพในการเปลี่ยนศาสนาหรือความเชื่อ และอิสรภาพในการแสดงออกทางศาสนาหรือความเชื่อถือของตนในการสอน การปฏิบัติ การสักการะบูชา และการประกอบพิธีกรรม ไม่ว่าจะโดยลำพังหรือในชุมชนร่วมกับผู้อื่น และในที่สาธารณะหรือส่วนบุคคล
19-00	ข้อ 19
19-01	ทุกคนมีสิทธิในอิสรภาพแห่งความเห็นและการแสดงออก ทั้งนี้ สิทธินี้รวมถึงอิสรภาพที่จะถือเอาความเห็นโดยปราศจากการแทรกแซง และที่จะแสวงหา รับและส่งข้อมูลข่าวสารและข้อคิดผ่านสื่อใด และโดยไม่คำนึงถึงพรมแดน
20-00	ข้อ 20
20-00	ทุกคนมีสิทธิในอิสรภาพแห่งการชุมนุมและการสมาคมโดยสันติ
20-01	บุคคลใดไม่อาจถูกบังคับให้สังกัดสมาคมหนึ่งได้
21-00	ข้อ 21
21-00	ทุกคนมีสิทธิที่จะมีส่วนร่วมในการปกครองประเทศตน โดยตรงหรือผ่านผู้แทนซึ่งได้รับเลือกตั้งโดยอิสระ
21-01	ทุกคนมีสิทธิที่จะเข้าถึงบริการสาธารณะในประเทศตนโดยเสมอภาค
21-02	เจตจำนงของประชาชนจะต้องเป็นพื้นฐานแห่งอำนาจการปกครอง ทั้งนี้ เจตจำนงนี้จะต้องแสดงออกทางการเลือกตั้งตามกำหนดเวลาและอย่างแท้จริง ซึ่งต้องเป็นการออกเสียงอย่างทั่วถึงและเสมอภาค และต้องเป็นการลงคะแนนลับ หรือวิธีการลงคะแนนโดยอิสระในทำนองเดียวกัน
22-00	ข้อ 22
22-01	ทุกคน ในฐานะสมาชิกของสังคม มีสิทธิในหลักประกันทางสังคม และย่อมมีสิทธิในการบรรลุสิทธิทางเศรษฐกิจ สังคม และวัฒนธรรม อันจำเป็นยิ่งสำหรับศักดิ์ศรีของตน และการพัฒนาบุคลิกภาพของตนอย่างอิสระ ผ่านความพยายามของรัฐและความร่วมมือระหว่างประเทศ และตามการจัดการและทรัพยากรของแต่ละรัฐ
23-00	ข้อ 23
23-00	ทุกคนมีสิทธิในการทำงาน ในการเลือกงานโดยอิสระ ในเงื่อนไขที่ยุติธรรมและเอื้ออำนวยต่อการทำงาน และในการคุ้มครองต่อการว่างงาน
23-01	ทุกคนมีสิทธิที่จะได้รับค่าจ้างที่เท่าเทียมกัน สำหรับงานที่เท่าเทียมกัน โดยปราศจากการเลือกปฏิบัติใด
23-02	ทุกคนที่ทำงานมีสิทธิที่จะได้รับค่าตอบแทนที่ยุติธรรมและเอื้ออำนวยต่อการประกันความเป็นอยู่อันควรค่าแก่ศักดิ์ศรีของมนุษย์สำหรับตนเองและครอบครัว และหากจำเป็นก็จะได้รับการคุ้มครองทางสังคมในรูปแบบอื่นเพิ่มเติมด้วย
23-03	ทุกคนมีสิทธิที่จะจัดตั้งและที่จะเข้าร่วมสหภาพแรงงานเพื่อความคุ้มครองผลประโยชน์ของตน
24-00	ข้อ 24
24-01	ทุกคนมีสิทธิในการพักผ่อนและการผ่อนคลายยามว่าง รวมทั้งจำกัดเวลาทำงานตามสมควร และวันหยุดเป็นครั้งคราวโดยได้รับค่าจ้าง
25-00	ข้อ 25
25-00	ทุกคนมีสิทธิในมาตรฐานการครองชีพอันเพียงพอสำหรับสุขภาพและความอยู่ดีของตนและของครอบครัว รวมทั้งอาหาร เครื่องนุ่งห่ม ที่อยู่อาศัย และการดูแลรักษาทางการแพทย์ และบริการสังคมที่จำเป็น และมีสิทธิในหลักประกันยามว่างงาน เจ็บป่วย พิการ หม้าย วัยชรา หรือปราศจากการดำรงชีพอื่นในสภาวะแวดล้อมนอกเหนือการควบคุมของตน
25-01	มารดาและเด็กย่อมมีสิทธิที่จะรับการดูแลรักษาและการช่วยเหลือเป็นพิเศษ เด็กทั้งปวงไม่ว่าจะเกิดในหรือนอกสมรส จะต้องได้รับการคุ้มครองทางสังคมเช่นเดียวกัน
26-00	ข้อ 26
26-00	ทุกคนมีสิทธิในการศึกษา การศึกษาจะต้องให้เปล่าอย่างน้อยในขั้นประถมศึกษาและขั้นพื้นฐาน การศึกษาระดับประถมจะต้องเป็นภาคบังคับ การศึกษาด้านวิชาการและวิชาชีพจะต้องเปิดเป็น การทั่วไป และการศึกษาระดับสูงขึ้นไปจะต้องเข้าถึงได้อย่างเสมอภาคสำหรับทุกคนบนพื้นฐานของคุณสมบัติความเหมาะสม
26-01	การศึกษาจะต้องมุ่งไปสู่การพัฒนาบุคลิกภาพของมนุษย์อย่างเต็มที่ และการเสริมสร้างความเคารพต่อสิทธิมนุษยชนและอิสรภาพขั้นพื้นฐาน การศึกษาจะต้องส่งเสริมความเข้าใจ ขันติธรรม และมิตรภาพระหว่างประชาชาติ กลุ่มเชื้อชาติ หรือศาสนาทั้งมวล และจะต้องส่งเสริมกิจกรรมของสหประชาชาติ เพื่อการธำรงไว้ซึ่งสันติภาพ
26-02	ผู้ปกครองมีสิทธิเบื้องแรกที่จะเลือกประเภทการศึกษาที่จะให้แก่บุตรของตน
27-00	ข้อ 27
27-00	ทุกคนมีสิทธิที่จะเข้าร่วมโดยอิสระในชีวิตทางวัฒนธรรมของชุมชน ที่จะเพลิดเพลินกับศิลปะ และมีส่วนในความรุดหน้า และคุณประโยชน์ทางวิทยาศาสตร์
27-01	ทุกคนมีสิทธิที่จะได้รับการคุ้มครองผลประโยชน์ทางจิตใจและทางวัตถุ อันเป็นผลจาก ประดิษฐกรรมใดทางวิทยาศาสตร์ วรรณกรรม และศิลปกรรมซึ่งตนเป็นผู้สร้าง
28-00	ข้อ 28
28-01	ทุกคนย่อมมีสิทธิในระเบียบทางสังคมและระหว่างประเทศ ซึ่งจะเป็นกรอบให้บรรลุสิทธิและอิสรภาพที่กำหนดไว้ในปฏิญญานี้อย่างเต็มที่
29-00	ข้อ 29
29-00	ทุกคนมีหน้าที่ต่อชุมชน ซึ่งการพัฒนาบุคลิกภาพของตนโดยอิสระและเต็มที่ จะกระทำได้ก็แต่ในชุมชนเท่านั้น
29-01	ในการใช้สิทธิและอิสรภาพของตน ทุกคนจะต้องอยู่ภายใต้ข้อจำกัด เพียงเท่าที่มีกำหนดไว้ตามกฎหมายเท่านั้น เพื่อวัตถุประสงค์ของการได้มาซึ่งการยอมรับและการเคารพสิทธิและอิสรภาพอันควรของผู้อื่น และเพื่อให้สอดรับกับความต้องการอันสมควรทางด้านศีลธรรม ความสงบเรียบร้อยของประชาชน และสวัสดิการทั่วไปในสังคมประชาธิปไตย
29-02	สิทธิและอิสรภาพเหล่านี้ไม่อาจใช้ขัดต่อวัตถุประสงค์ และหลักการของสหประชาชาติไม่ว่าในกรณีใด
30-00	ข้อ 30
30-01	ไม่มีบทใดในปฏิญญานี้ ที่อาจตีความได้ว่า เป็นการให้สิทธิใดแก่รัฐ กลุ่มคน หรือบุคคลใด ในการดำเนินกิจกรรมใด หรือกระทำการใด อันมุ่งต่อการทำลายสิทธิและอิสรภาพใดที่กำหนดไว้ ณ ที่นี้
