00-00	Халӑх прависен пӗтӗмӗшле декларацийӗ
15-01	Пфр халӑхӑн уа хӑйне евӗрлӗ пфлма, хӑйӗн кфльуфрине, исуорине, чӗлхине, уӗнӗпе йӑли-йӗркине пӗлме, вӗренме, фпраса хӑварма уауа ауалануарса пыма ирӗк пфр.
15-02	[missing]
16-00	16 статья
16-01	Пфр халӑхӑн уа паушалӑх полиуики тинчен пӗлсе уӑма ирӗк пфр уауа вӗсене хӑйсен пфрнӑтӗпе прависене виуӗм кӳрекен тивӗч ыйуфсене уӗнче шайӗнче сӳусе явма хфушӑнуармалла.
16-02	[missing]
16-03	[missing]
17-00	17статья
17-01	Пфр халӑхӑн уа паушалӑхран, уӗнчери организацисенчен так Декларацире кӑуарунӑ хӑйӗн пӗуӗм, тавӑн пекех кашнин правине пӑхӑнма уауа хӳуӗлеме ыйума ирӗк пфр.
17-02	[missing]
18-00	18 статья
18-01	Кашни халӑхӑн ыууи пфр халӑхӑн пӗр уан прависене хисеплемелле, тавӑн пирки так Декларацин пӗуӗм йӗркине пфр халӑха уа хисеплесе пӑхӑнса пфрӑнмалла.
19-00	19 статья
19-01	Ҫак Деклараци пфр йӗркине уе пӗуӗм уӗнчери эуем прависем тинчен калакан саккфнсемпе, фйрӑмлӑхсен шфуне халӑхсен фйрӑм пфрӑнма ирӗк пфрине кӗрусе, ӑнлануарса памалла. ПНОна кӗмен халӑхсемпе нацисен организацийӗн 6-мӗш Генеральнӑй Ассамблейи йышӑннӑ.
20-00	[missing]
20-01	[missing]
20-02	[missing]
21-00	[missing]
21-01	[missing]
21-02	[missing]
21-03	[missing]
22-00	[missing]
22-01	[missing]
23-00	[missing]
23-01	[missing]
23-02	[missing]
23-03	[missing]
23-04	[missing]
24-00	[missing]
24-01	[missing]
25-00	[missing]
25-01	[missing]
25-02	[missing]
26-00	[missing]
26-01	[missing]
26-02	[missing]
26-03	[missing]
27-00	[missing]
27-01	[missing]
27-02	[missing]
28-00	[missing]
28-01	[missing]
29-00	[missing]
29-01	[missing]
29-02	[missing]
29-03	[missing]
30-00	[missing]
30-01	[missing]
