00-00	הכרזה לכל באי עולם בדבר זכויות האדם
16-01	כל איש ואשה שהגיעו לפרקם רשאים לבוא בברית הנשואין ולהקים משפחה, ללא כל הגבלה מטעמי גזע, אזרחות או דת. הם זכאים לזכויות שוות במעשה הנשואין בתקופת הנשואין ובשעת ביפולם.
16-02	נישואין יערכו רק מתוך הסמה חופשית ומלאה של בני הזוג המיועדים.
16-03	המשפחה היא היחידה הטבעית והבסיסית של החברה וזכאית להגנה של החברה והמדינה.
17-00	סעיף יז.
17-01	כל אדם זכאי להיות בעל קנין, בין לבדו ובין ביחד עם אחרים.
17-02	לא יישלל מאדם קנינו דרך שרירות.
18-00	סעיף יח.
18-01	כל אדם זכאי לחירות המחשבה, המצפון והדת; חירות זו כוללת את הזכות להמיר את דתו או את אמונתו ולתת בטוי לדתו או לאמונתו, לבדו או כציבור, ברשות היחיד או ברשות הרבים, דרך הוראה, נוהג, פולחן ושמירת מצוות.
19-00	סעיף יט.
19-01	כל אדם זכאי לחירות הדעה והבטוי, לרבות החירות להחיק בדעות ללא כל הפרעה, ולבקש ידיעות ודעות, ולקבלן ולמסרן בכל הדרכים וללא סייגי גבולות.
20-00	סעיף ב.
20-01	כל אדם זכאי לחירות ההתאספות וההתאגדות בדרכי שלום.
20-02	לא יכפו על אדם השתייכות לאגודה.
21-00	סעיף כא.
21-01	כל אדם זכאי להשתתף בהנהלת ארצו, בין השתתפות ישירה ובין דרך נציגות שובחרה בבחירות חופשיות.
21-02	כל אדם זכאי לשויון בכניסן בכניסה לשירות במנגנון של ארצו.
21-03	רצון העם הוא היסוד לסמכותה של הממשלה. העם ידיע את רצונו בבחירות כשרות הנשנות לעיתים מזזמנות, לפי זכות בחירה כללית ושווה ובהצבעה חשאית, או לפי סדר של בחירה חופשית כיוצא בזש.
22-00	סעיף כב.
22-01	כל אדם, כחבר החברה, זכאי לבטחון סוציאלי וזכאי לתבוע שהזכויות הכלכליות הסוציאליות והתרבותיות, שהן חיוניות לכבודו כאדם ולהתפתחות החופשית של אישיותו, יובטחו במשמץ לאומי ובשיתוף פעולה בינלאומי בהתאם לארגונה ולאוצרותיה של המדינה.
23-00	סעיף כג.
23-01	כל אדם זכאי לעבודה, לבחירה חופשית של עבודתו, לתנאי עבודה צודקים והוגנים ולהגנה מפני אבטלה.
23-02	כל אדם, ללא כל הפכיה, זכאי לשכר שווה בעד עבודה שווה.
23-03	כל עובד זכאי לשכר צודק והוגן, אשר יבטיח לו ולבני ביתו קיום הראוי לכבוד האדם שיושלם, אם יהיה צורך בכך, על ידי אמצעים אחרים של הגנה סוציאלית.
23-04	כל אדם זכאי לאגד אגודות מקצועיות ולהצטרף לאגודות כדי להגן על עניניו.
24-00	סעיף כד.
24-01	כל אדם זכאי למנוחה ולפנאי, ובכלל זש הגבלת שעות העבודה במידה המתקבלת על הדעת וחופשה בשכר לעיתים מזומנות.
25-00	סעיף כה.
25-01	כל אדם זכאי לרמת חיים נאותה לבריאותם ולרווחתם, שלו ושל בני ביתנ. לרבות מזון, לבוש, שיכון, טיפול רפואי, שירותים סוציאליים כדרוש וזכות לבטחון במקרה של אבטלה, מחלה, אי-כושר לעבודה, אלמון, זקנה או מחסור אחר בנסיבות שאינן תלויות בו.
25-02	אמהות וילדות זכאיות לטיפול מיוחד ולסיוע. כל הילדים, בין שנולדו בנשואין או שלא בנשואין, יהנו במידה שווה מהגנה סוציאלית.
26-00	סעיף כו.
26-01	כל אדם זכאי לחינוך. החינוך ינתן חינם, לפחות בשלבים הראשונים והיסודיים; החינוך בשלב הראשון הוא חובה. החינוך הטכני והמקצועי יהיה מצוי לכל, והחינוך הגבוה יהיה פתוח לכל במידה שווה שעל יסוד הכשרון.
26-02	החינוך יכוון לפיתוחה המלא של האישיות ולטיפוח יחס כבוד לזכויות האדם ולחירויות היסודיות; החינוך יטפח הבנה, סובלנות וידידות בין כל העמים והקיבוצים הדתיים והגזעיים, ויסייע למאמץ של האומות המאוחדות לקיים את השלום.
26-03	להורים זכות בכורה לבחור את דרך החינוך ליליהם.
27-00	סעיף כז.
27-01	אדם זכאי להשתתף תוך חירות בחייו התרבותיים של הציבור, ליהנות מהאמנויות ולהיות שותף בהתקדמות המדע ובברכתו.
27-02	כל אדם זכאי לוגנת האינטרסים המוסריים והחמריים הכרוכים בכל יצירה מדעית, ספרותית, או אמנותית שהיא פרי רוחו.
28-00	סעיף כח.
28-01	כל אדם זכאי למשטר סוציאלי ובינלאומי, שבו אפשר יהיה לקיים במלואן את הזכויות והחרויות אשר נקבעו בהכזש זו.
29-00	סעיף כט.
29-01	כל אדם יש לו חובות כלפי הכלל, כי רק בתוך הכלל נתונה לו האפשרות להתפתחות החופשית והמלאה של אישיותו.
29-02	לא יוגבל אדם בזכויותיו ובחירויותיו, פרט לאותן ההגבלות שנקבעו בחוק על מנת להבטיח את ההכרה בזכויות ובחירויות של הזולת ואת יחס הכבוד אליהן, וכן את מילוי הדרישות הצודקות של המוסר, של הסדר הציבורי ושל טובת הכלל בתוך חברה דמוקרטית.
29-03	לעולם לא ישתמשו בזכויות ובחירויות אלה בניגוד למטרותיהן ולעקרונותיהן של האומות המאוחדות.
30-00	סעיף ל.
30-01	שום דבר בהכרזש זו לא יתפרש כאילו הוא בא להקנות למדינה, לציבור או ליחיד כל זכות שהיא לעסוק בפעולה או לבצע מעשה שתכליתם לקפח כל זכות או חירות מן הזכויות והחירויות הקבועות בהכרש זאת.
