00-00	Ауаҩытәыҩса изинқәа Зегьеицырзеиҧшу Адекларациа
02-00	Ахуҭаҷ 2
02-01	Дарбанзаалак ауаҩы абри Адекларациа ирыланаҳәо азинқәеи ахақәиҭрақәеи зегь имазароуп, милаҭлеи, хаҵалеи ҧҳәыслеи, бызшәалеи, хылҵшьҭралеи, динлеи, маллеи, маҵуралеи, нхарҭа ҭыҧлеи дунеихәаҧшышьалеи, цәаҧшшәахәылеи дызҵазкуазаалак.
02-02	Иара убас дахьықәнхо атәыла аполитикатә, азинтә, ма Адунеижәларбжьаратәи астатус зеиҧшразаалак, уи атәыла хьыҧшымзаргь, ма ахатә напхгара амамкуа аӡәыр инапаҵаҟа иҟазагь, мамзаргьы даҽакала ахақәиҭра наӡа амамзаргьы.
03-00	Ахәҭаҷ 3
03-01	Дарбанзаалак ауаҩы аҧсҭазаареи, ахақәиҭреи, хаҭала аӡә диламкьысуа аҟазаареи рзин имоуп.
04-00	Ахәҭаҷ 4
04-01	Дарбанзаалак ауаҩы атәра дҭаргыламзароуп, ма акгьы дақәиҭымкәа ҽаӡә инапаҵаҟа дыҟамзароуп; атәреи атәыҭииреи зеиуахк рылазаалагьы рзин ыҟам.
05-00	Ахәҭаҷ 5
05-01	Дарбанзаалак ауаҩы ирҳәацәарара, иргәаҟра, иаҳаҭыр аларҟәра, иакәым иақәыршәара залшом.
06-00	Ахәҭаҷ 6
06-01	Дарбанзаалак ауаҩы, тәылас дахьыҟазаалакгьы азин имоуп иара изинхаҭара азхарҵаларц.
07-00	Ахәҭаҷ 7
07-01	Азакәан аҿаҧхьа ауаа зегь еиҟароуп, насгьы еилых ҟамҵакәа азин рымоуп азакәан еиҟараны иахьчаларц. Дарбанзалак ауаҩы изинқәа реилагара, ма игәы иаҭахымкәа зинеилагарак иалархәра азакәан иалнамыршозароуп.
08-00	Ахәҭаҷ 8
08-01	Дарбанзаалак ауаҩы аконституциа ма азакәан ирҭаз ихадароу изинқәа анааилагаха азин имоуп иашьашәалоу амчхара змоу амилаҭтә усӡбарҭала изинқәа реиҭашьақәыргылара.
09-00	Ахәҭаҷ 9
09-01	Дарбанзаалак ауаҩы хаҳәатәыла ирбаандаҩтәра, иаанкылара, мамзаргьы иқәцара ҟалом.
10-00	Ахәҭаҷ 10
10-01	Дарбанзаалак ауаҩы, иара изинқәеи уалс идуи еилкаахарцаз, насгьы иара идырҵоз ашьауҕатә аара ҵаҵҕәыс иамоу ашьақәыргылараз азин имоуп зегьы рзы иҟоу аиҟарара ихы иархәаны иус аартны, иашала, ихьыҧшым аусӡбара иаӡбартә аҟаҵара.
11-00	Ахәҭаҷ 11
11-00	Дарбанзаалак, ацәгьара ҟаиҵеит ҳәа ахара здырҵаз ауаҩы, азин имоуп аара змам ҳәа дыҧхьаӡазарц, иду аара азакәанмҩа инақәыршәаны, иаарту усӡбарала еилырганы ишьақәыргылахаанӡа. Аара здырҵо изаҧҵахароуп закәанла ихы ихьчартә еиҧш аҭагылазаашьақәа.
11-01	Дарбанзаалак ауаҩы заа иҟаиҵахьаз ирахәым уск ма иуалҧшьа ахьынеимыгӡаз азы аус даҭаны иқәӡбара ҟалом, аара зхаидырҵо аус инапы аналакыз амилаҭтә закәан ма адунеижәларбжьаратәи азин ас еиҧш иҟоу аус цәгьоураны иамҧхьаӡозҭгьы. Насгьы еиҳа еицәоу хьырхура дузақәыршәом, ацәгьара аниуаз аамҭаз хьырхушьас иҟаз аамҷыдрахаз.
12-00	Ахәҭаҷ 12
12-01	Дарбанзаалак ауаҩы ихатәи иҭаацәаратә ҧсҭазаареи хаҳәатәыла, азакәан иаҵанамкуа аҧырхагахара аӡәгьы азин имам, иара убасгьы инхарҭа ҭыҧи, шәҟәыла‐быҕьшәыла имоу аимадарақәа рымаӡеи, ихьӡ‐иҧшеи иаҳаҭыри кьыс рықәым. Дызусҭзаалак абас еиҧш ианиҧырхагаха ма ианилакьыс аамҭаз азакәан дахьчароуп.
13-00	Ахәҭаҷ 13
13-00	Дарбанзаалак ауаҩы ҳәынҭқаррас дахьыҟазаалакгьы дахцо‐дахьаауеи, иахьааиҭаххалак иҭыӡ‐ҭыҧ алхреи дрықәиҭуп.
13-01	Дарбанзаалак ауаҩы иарбан тәылазаалакгьы, иара итәылагь убрахь иналаҵан далҵны ацареи иҧсадгьылахь ахынҳәреи рзин имоуп.
14-00	Ахәҭаҷ 14
14-00	Дарбанзаалак ауаҩы иара итәылаҿ дыкҿацалан дрымазар, азин имоуп даҽа тәым тәылак аҿы ахыҵәахырҭа аҧшаара.
14-01	Ари азин хархәара амоуроуп, аполитикатә ҵакы змоу ацәгьоура акәымкәа ус даҽа цәгьоурак иуызар, мамзаргьы Еиду Амилаҭқәа Реиҿкара ахықәкәеи апринципқәеи ирҿагыло уск иадҳәалазар.
15-00	Ахәҭаҷ 15
15-00	Дарбанзаалак ауаҩы азин имоуп атәылауаҩ ҳәа ахьӡ аиура.
15-01	Дарбанзаалак ауаҩы хаҳәатәыла итәылауаҩра ма итәылауаҩра аҧсахразы имоу азин иалхәдаара ҟалом.
16-00	Ахәҭаҷ 16
16-00	Зықәра наӡоу арҧарацәеи аҳәса хәҷқәеи цәаҧшшәахәыла, милаҭла ма динхаҵарала ҳәа ҧкра ҟамҵакуа аҭаацәара алалара азин рымоуп. Урҭ аҭаацәара ианалало аамҭазгьы, ҭаацәаракны ианеицынхогьы, мамзаргьы еилыҵуазар аӡәи аӡәи зинла еиҟароуп.
16-01	Аҭаацәара алаларазы ашәҟәҭагалара ҟалоит аҭаацәара иалало рҩыџьагьы ирҭахны, еиқәшаҳаҭны еибагозар.
16-02	Аҭаацәара ҧсабаратәла ауажәларратә еилазаара гәцәс иамоуп, убри аҟынтә аилазаарагь аҳәынҭқаррагь аҭаацәара рыхьчозароуп.
17-00	Ахәҭаҷ 17
17-00	Дарбанзаалак ауаҩы азин имоуп амазара ихала ма ҽаџьоукы дрылахәны ҧшәымара азиуа дыҟазарц.
17-01	Аӡәымзар аӡәгьы хаҳәатәыла имазара имхра ҟалом.
18-00	Ахәҭаҷ 18
18-01	Дарбанзаалак ауаҩы ихәыцреи, иламыси, идинхаҵареи дрықәиҭны аҟазаара азин имоуп; ари азинахь иаҵанакуеит ауаҩы идинхаҵареи идунеихәаҧшышьеи рыҧсахра ақәиҭра ахьилшо, азин имоуп иара убасгьы идини идунеихәаҧшышьеи рымаҵ иулар ихала, ма егьырҭ ауаа дрылахәны, иаартны, мамзаргьы хаз ҷыдала, еиуеиҧшым анцәахаҵара иацу аритуалтә ҵасқәеи аусхкқәеи рынагӡара.
19-00	Ахәҭаҷ 19
19-01	Дарбанзаалак ауаҩы иара идунеихәаҧшышьа дақәиҭуп, насгьы ишиҭахыу уи аарҧшра азин имоуп; ари азин иаҵанакуа‐досу иара идунеихәаҧшышьа ҧымкрыда дықәныҟәалар илшоит, иара убасгьы дарбанзаалак аҳәынҭқарратә ҳәаақәа днырымкыло, ишааиҭаххалак, еиуеиҧшым адыррақәеи аидеақәеи рыҧшаареи, риуреи, иара излаиманшәалоу амҩақәа рыла ауаа рыларҵәареи илшоит ҳәа ауп.
20-00	Ахәҭаҷ 20
20-00	Дарбанзаалак ауаҩы аҭынчратә еизарақәеи ахеидкылақәеи ахрылархәра азин имоуп.
20-01	Аӡәымзар аӡәгьы мчыла џьара хеидкылак иалаҵара ҟалом.
21-00	Ахәҭаҷ 21
21-00	Дарбанзаалак ауаҩы иҳәынҭқарра напхгара аҭара ихы алаирхәыр илшоит хаҭала, мамзаргьы зхы иақәиҭу алхрала иалхыу ахаҭарнакцәа рыла.
21-01	Дарбанзаалак ауаҩы егьырҭ зегь реиҧш азин имоуп иҳәынҭқарраҿ амаҵураҭыҧ аанкылара.
21-02	Ажәлар ргәаҳәара акәхароуп аиҳабыра рымчра шьаҭас иаиуа4 урҭ ргәаҳәара зныҧшуа аамҭа‐аамҭала, насгьы еилагарада имҩаҧгоу алхрақәа роуп. Алхрақәа мҩаҧысуазароуп зегьы еицырзеиҧшу, еиҟароу алхратә зинтә шьаҭа инақәыршәаны, маӡа бжьыҭирала мамзаргьы ауаҩы ихы дақәиҭны ибжьы аҭира илзыршо даҽа мҩақәак азыҧшааны.
22-00	Ахәҭаҷ 22
22-01	Дарбанзаалак ауаажәларратә еилазаара иалахәу ауаҩы ауаажәларратә маншәалара имазарц азы, иара убас иаҳаҭыр аламырҟәреи, ихаҭара ҿиара аиуларци рзы ихы иаирхәарц илшоит аекономикеи ауаажәларреи акульутреи рганахь ала имоу азинқәа, амилаҭтә ҽазышәарақәеи адунеижәларбжьаратәи аицхыраарақәеи рыбзоурала иарбан ҳәынҭқарразаалак ашьақәгылашьеи абеиарақәа иамои зеиҧшроу инақәыршәаны.
23-00	Ахәҭаҷ 23
23-00	Дрбанзаалак ауаҩы имоуп аџьеи иара ииҭахыу аусхк алхреи рзин, насгьы изаҧҵазароуп иусураз иахәҭоу аҭагылазаашьа бзиақәа, усурада даанымхарцаз дзыхьчаша азингьы имазароуп.
23-01	Дарбанзаалак ауаҩы, изинқәа рҟны ҧкрак ҳәа ҟамҵакуа иџьабаа иашьашәалоу аџьаҧса аиура азин имоуп.
23-02	Дарбанзаалак аус зуа ауаҩы иара ихәҭоу, насгьы изхаша, ихи иҭаацәареи қәнагала изланыҟәигаша иџьабааҧса аиура азин имоуп, зны‐зынлагь ҧсыхәа анимам аамҭазы асоциалтә цхыраара иоулароуп.
23-03	Дарбанзаалак ауаҩы азаанаҭтә еидгылақәа раҧҵареи, иара интересқәа рыхьчараз азаанаҭтә еидгылақәа ралахәхареи азин имоуп.
24-00	Ахәҭаҷ 24
24-01	Дарбанзаалк аҧсшьареи, иҧсшьара аамҭа иара ишиҭахыу аиҿкаареи рзин имоуп, иусура мшы аркьаҿреи ауалафахәы зхыршәаауа изаамҭанытәиу аҧсшьара мшқәа риуреи азин абрахь иналаҵаны.
25-00	Ахәҭаҷ 25
25-00	Дарбанзаалак ауаҩы, ифатә‐ижәтә, ишәҵатәы, иҩны‐игәара, амедицинатә хылаҧшреи асоциалтә маншәалареи уҳәа зда ҧсыхәа имам зегьы рганахь ала убри еиҧш аҧсҭазаара азин имазароуп иара ихгьы иҭаацәарагь ргәабзиареи рыбзазареи ирыгмыжькуа иныҟәигаларц азы, иара убасгьы усурада данаанха, ма данычмазҩха, ма ааха ҕәҕәа аниоу, данеибаха ма данажә аамҭазы, мамзаргьы иара ихарамкуа ихы изныҟәымго даныҟала имазароуп ахныҟәгараз ацхыраара азин.
25-01	Анацәеи ахәыҷқәеи иҷыдоу ахылаҧшреи ацхыраареи рзин рымоуп. Дарбан хәыҷызаалакгьы, аҭаацәараҿы диизаргьы, днашҧазаргьы социалла дыхьчазароуп.
26-00	Ахәҭаҷ 26
26-00	Дарбанзаалак ауаҩы аҵара азин имоуп. Аҵара аиура, алагамҭатәи абжьаратәи ирыдамхаргьы, хәыда‐сада иҟазароуп. Алагамҭатә ҵара зда ҧсыхәа ыҟам акакәзароуп. Атехникатә, ма апрофессионалтә ҵара изҭаххалак зегьы ироуртә аҭагылазаашьа ыҟазароуп. Иреиҳау аҵарагьы, досу илшара зеиҧшроу ала, иқәманшәалахо зеиҧшроу еиҧш изҭаххалак зегьы аиура азин рымазароуп.
26-01	Аҵара ауаҩы ихаҭара инаӡаны аҿиара иацхраауазароуп, иара убасгьы ауаҩы изинқәеи ихадароу ихақәиҭрақәеи рышҟа иҟоу аҳаҭырқәҵара шьҭнахуазароуп. Аҵара адунеи ажәларқәа зегь рыбжьареи, цәаҧшшәахәылеи, хылҵшьҭралеи динхаҵаралеи еихшоу ауаа ргәҧқәа рыбжьареи аилибакаареи, анеибачҳареи, аиҩызареи ирыцхраауазароуп, насгьы Еидҵоу Амилаҭқәа Реиҿкаара аҭынчра арҕәҕәаразы имҩаҧнаго аусура иацхраауазароуп.
26-02	Аҭаацәа рхәыҷқәа рықәра маҷнаҵ азин рымоуп рхәыҷқәа рзы еиҕьуп ҳәа ҵара хкыс ирыҧхьаӡо алхра.
27-00	Ахәҭаҷ 27
27-00	Дарбанзаалак ауаҩы азин имоуп акультуратә ҧсҭазаара иара ишиҭахыу алахәхара, аҟазара гәахәара инаҭо аҟаҵара, аҵарадырратә прогресс аҽалархәра, насгьы уи уаҩы инаҭо абеиарақәа рхархәара.
27-01	Дарбанзаалак анаукатә, алитературатә, ма асахьаркыратә усумҭақәа аҧызҵаз иусумҭақәа рганахь ала имоу ауаҩышәаратәи аматериалтәи интересқәа рыхьчара азин имоуп .
28-00	Ахәҭаҷ 28
28-01	Дарбанзаалак ауаҩы абри Адекларациаҿ зыӡбахә ҳәоу азинқәеи ахақәиҭрақәеи инагӡаны аҧсҭазаараҿы аларҵәара алзыршаша ауаажәларратәи адунеижәларбжьаратәи еиҿкаашьақәа рзин имоуп.
29-00	Ахәҭаҷ 29
29-00	Дарбанзаалак ауаҩы аилазаара аҿаҧхьа идуп еиуеиҧшым ауалқәа. Убри аилазаара аҩныҵҟоуп иара ихаҭарагьы инагӡаны ҧымкрыда иахьҿиауа.
29-01	Абарҭ азинқәеи ахақәиҭрақәеи рынагӡараан ауаҩы дҧызкуа ҳәа акгьы ыҟамзароуп, егьырҭ ауаа рзинқәеи рхақәиҭрақәеи иахәҭоу аҳаҭырқәҵара роурц азы, насгьы ауаҩышәара дҵак аҳасабала хра зланы иқәнаргыло азҵаатәқәа рынагаразы, адемократиатә еилазаараҿ ауаажәларратә еиҿкаара ашьақәыргылареи азеиҧш мышхәабзазареи рзы азакәан ишьақәнаргыло ҧкрақәак рыда.
29-02	Абарҭ азинқәеи ахақәиҭрақәеи рынагӡара Еидҵоу Амилаҭқәа Реиҿкаара ахықәкқәеи апринципқәеи ирҿамгылозароуп.
30-00	Ахәҭаҷ 30
30-01	Абри Адекларациаҿ иану иарбан хәҭаҷзаалакгьы хаз игоу ҳәынҭқаррак, ма гәҧҩык ауаа, мамзаргьы хаҭала аӡәы абраҟа зыӡбахә ҳәоу азинқәеи ахақәиҭрақәеи раҧыхраз аусқәа рымҩаҧгара азин инаҭоушәа аилкаара иашам.
