00-00	NANONDIRAL WINNDEREYANKEEWAL HAKKEEJE AADE
25-02	Jibinaaɗo debbo e sukaaku ina njogii hakke ballal e toppitaagol keeriiɗi. Sukaaɓe fof, woni a jibinaaɓe e nder dewgal walla caggal dewgal poti fotde to bannge ndeenka renndoyankeewo.
26-00	Kuulal 26
26-01	Neɗɗo kala ina jogii hakke jaŋde jaŋde foti wonde ko nde alaa njoɓdi hay sinna ko to arwaniire e gadanal. Jaŋde sukaaɓe ina foti wonde alay sago. Jaŋde karallaagal ina foti huɓtidin’de: jaŋde toownde ina foti udditanaade moni kala taw alaa heedi-heeda, tawa ko e baawal mum.
26-02	Jaŋde foti ko feertinde neɗɗankaagal, ɓeyda teddin’de hakkeeji innama Aadee, heɓde hoore mum. Ina foti waalitde paamondiral, muñundiral, cehilaagalhakkunde leyɗeele e kala senngooji leƴƴi walla diineeji, fawitii heen ɓamtaare golle dowlaaji dentuɗi ngam moƴƴere ina duumoo.
26-03	Jibinaaɓe ina poti suɓaade hol fannu jaŋde ndokkata sukkaaɓe mumen.
27-00	Kuulal 27
27-01	Neɗɗo kala ina waawi e sago mum jeyeede e ɓamtugol pinal rennde mum, huutoroo ñeeñe e wallitde ɓamtaare ganndaliyankeewal e kala ɓure jaltooje heen.
27-02	Neɗɗo kala ina jogii hakke ndeenka muuyaaɗe mum to bannge neɗɗankaagal e jawɗi tuugniiɗe e ɓulgno ganndal, coñce, ñeeñal ɗe o tafi.
28-00	Kuulal 28
28-01	Neɗɗo kala ene foti daranaade ñiɓagol hakkeeji innama aadee kam e ndi maagu mum to bannge renndo e nder winndere mbele kuule kaalaaɗe ender ngalɗo nanondiral njetto faandaare toɗɗaande nde.
29-00	Kuulal 29
29-01	Innama aadee ina jogii hujjaaji fayde e renndo ngo ngannduɗaako ɓamtaare huuɓtidinde neɗɗankaagal makko tan waawi wootde.
29-02	E nder kuutorogol hakkeeji makko kam e naftorogol ndimaagu makko, moni kala fawaa e mum tan ko ɗooftogol sarɗiyeeji ngam teeŋtin’de keftingol e nehtanagol hakkeejie wodɓe ngam timminde neɗɗaŋ kaagalngam geɗe denndaande kam e ngonka moƴƴa kuuɓtidinɗo ngam dañje renndo potal.
29-03	Ɗii hakkeeji e nguu ndimaagu mbaawa dañeede e dow luundaare paandaalee muuyaabe dowlaaji dentuɗi.
30-00	Kuulal 30
30-01	Hay kuulal gootal gummingal e ngal ɗo nanondiralfotaani jaggireede ummii ko e leydi, walla dental keeringal, walla neɗɗo keeriiɗo. Hay neɗɗo gooto, walla dental walla leydi potaani jogaade golle tawa faandaare mumen ko firtude hakkeejie e ndimaagu kalaaɗi e nder nanondiral ngal.
