00-00	Кижини тоолағанынаң ужун декларациязы
20-00	Статьязы 20
20-00	Парчын кижи абыр чыылыжарға саназа, абыр чыылышсын.
20-01	Кемни да кӱшпе чыылышқа кииридерге чарабас.
21-00	Статьязы 21
21-00	Парчын кижи қаан-тӧрези керегинге арлажарға саназа, позу да, позуның кижины ызып, арлашсын.
21-01	Парчын кижи, позуның черинде қаан-тӧрези керегинге кирерге саназа, пашқа кижилербе тең кирзин.
21-02	Каан-тӧрези қалықтың санағанын уқчалар, ол қалығы қаан-тӧрезинге тутча, қалыктың санағаны пош уғулзын.
22-00	Статьязы 22
22-01	Парчын кижи, қалық аразында чӧрӱуп, чақшы чадарға, қатчы поларға, пай поларға керек небелерин алзын.
23-00	Статьязы 23
23-00	Парчын кижи қайда иштерге саназа, анда иштезин, чақшы черде иштезин, иш чоқ қалбазын.
23-01	Парчын кижи, пирда қыстатпан, иштеп тең ӱлӱш алзын.
23-02	Парчын иштепчыған кижи, позу, ааң семьязы чақшы пай чадарға, чедер ақча алзын.
23-03	Парчын кижи позуның керегинең ужун профсоюз пӱдӱрзин, пашқа профсоюстарынға кирзин.
24-00	Статьязы 24
24-01	Парчын кижи тынанарға керек полза, тынанзын, ойун ойнарға саназа, ойназын, ужы-пажы чоқ тем иштебезин, отпусктығ ползын.
25-00	Статьязы 25
25-00	Парчын кижи аға керек чиижин чиизин, керек кебин кессин, керек эминде чатсын, қазықтығ поларға, пашқа да керек небени алзын, иш чоқ пол-парза, қаар-парза, палығлығ, ағрығ пол-парза, пашқа да шедиктерге кир-парза, чедер ақчалығ ползын,
25-01	Корсақтығ эпчи, кичиғ пала матап полуштығ ползыннар. Сурас паллар аба-ичелиғ палларба тең ползыннар.
26-00	Статьязы 26
26-00	Парчын кижи қатқа ӱргензин. Ақча тӧлебен қатқа школда ӱргензин. Тӧрт класқа тӧӧнче парчын пала  ӱргензин.  Техникалығ,  профессиялығ школларда  ӱргенерге саназалар, ӱргензиннер. Институтқа ӱргенерге саназалар, сағыш четсе, ӱргензиннер.
26-01	Катқа  ӱргенип,  кижилер позуның қуттарын ажып кӧрзиннер,  пашқа кижилерди тоолазыннар,  религияларынға,  чон-қалықтарынға кӧрбен,  тоолазыннар,  пириктеген қалықтардың организациязының керегин эдип, абыр-қазық эдип чатсыннар.
26-02	Аба-ичелери позуның кичиғ палларынға қатқа ӱргенер черин қайда саназалар, анда табалзыннар.
27-00	Статьязы 27
27-00	Парчын кижи чӱлӱң керегинге кирерге саназа, кирзин, пилим керегинге кирерге саназа, кирзин, иштеген пайын алзын.
27-01	Кем да, пилим небени, кер сӧс, чооғаш пас-салза, ааң иштегенин улуғ тоолазыннар, асқайлабазыннар.
28-00	Статьязы 28
28-01	Парчын кижи қалықтар, кижилер араларында, по декларацияда пасқан небелерге кӧре, улуғ тоолаттырзын, асқайлатпазын.
29-00	Статьязы 29
29-00	Парчын кижиниң ааң позуның чон-қалығынаң алында ӧдӱш пар; ол ӧдушти чонқалығынға тӧлеп, кижи позуның қудын ажылып, ырызын-ӱлӱжин алча.
29-01	Парчын кижини, ол пош, тең полчығанда, аны чозақ ла тоқтатча; ол чозақ пашқа кижилердиң пожын, тең полчығанын тоолапчыған чозағы.
29-02	Парчын кижиниң пожы, теңи пириктеген қалықтар организациязынынх керегинең тоғра полбазын.
30-00	Статьязы 30
30-01	По декларацияда пасқан небелери пир ле қаан черин, пир чон-қалықтың керегин тутчаң небелери эбес; кемге да, по декларацияда пасқан небелерин чоқ эдерге чарабас; по декларацияда пасқан небелери,  кижилерге полуш-келип,  пистиң чақшы чадыйыбыс пӱдӱрзиннер.
