00-00	ዓለምለኻዊ ድንጋገ ሰብኦዊ መሰላት
03-01	ሕድሕድ ሰብ ብህይወት ናይ ምንባር፣ ናይ ነፃነትን ድሕንነትን መሰል ኦለዎ፡፡
04-00	ዓንቀፅ 4
04-01	ሕድሕድ ሰብ ብባርነት ወይ ብጊልያነት ክግዛእ የብሉን፡፡ ባርነትን ናይ ባርያ ንግድን ብዝኾነ ይኹን መልክዑ ክልኩል እዩ፡፡
05-00	ዓንቀፅ 5
05-01	ሕድሕድ ሰብ ከቢድ ስቓይ ዘውርድ፣ ጭካነ ዝመልኦ፣ ኢሰብኦዊ ወይ ሰብኦዊ ክብሩ ዘዋርድ ኦተሓሕዛ ወይ መቕፃዕቲ ኦይፍፀሞን፣
06-00	ዓንቀፅ 6
06-01	ሕድሕድ ሰብ ኦብ ዝኾነ ይኹን ቦታ ኦብ ቅድሚ ሕጊ ብሰብኦዊ መንነቱ ንክፍለጥ መሰል ኦለዎ፡፡
07-00	ዓንቀፅ 7
07-01	ኩሎም ሰባት ኦብ ቅድሚ ሕጊ ማዕሪ ኦብ ልዕሊ ምዃኖም ብዘይ ኦፈላላይ ናይ ሕጊ ማዕሪ ሓለዋ ክግበሪሎም መሰል ኦለዎም፡፡ ኩሎም ሰባት ነዚ ድንጋገ’ዚ ብምጥሓስን ነዚ ድንጋገ’ዚ ንምጥሓስ ብዝግበሩ ምልዕዓላትን ካብ ዝበፅሖም ኦድልዎ ሓለዋ ናይ ምርካብ ማዕሪ መሰል ኦለዎም፡፡
08-00	ዓንቀፅ 8
08-01	ሕድሕድ ሰብ ብሕገ መንግስቲ ወይ ብሕጊ ዝተፈቐዱሉ መሰሪታዊ መሰላት እንትጠሓስዎ ስልጣን ብዘለዎ ሃገራዊ ቤት ፍርዲ ግቡእ ካሕሳ ናይ ምርካብ መሰል ኦለዎ፡፡
09-00	ዓንቀፅ 9
09-01	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ኦይእሰርን፣ ኦይተሓዝን ወይ ኦይሕየርን፡፡
10-00	ዓንቀፅ 10
10-01	ሕድሕድ ሰብ መሰሉን ግቡእን፣ ከምኡ’ውን ንዝቐርበሉ ዝኾነ ይኹን ገበናዊ ክሲ ዝምልከቱ ጉዳያት ንምውሳን ኦብ ነፃን ዘይኦድላውን ቤት ፍርዲ ብፍትሓውን ዕላውን መንገዲ ንክራኦዩሉ ምሉእ ማዕርነት ኦለዎ፡፡
11-00	ዓንቀፅ 11
11-01	ብዘቕፅዕ ገበን ዝተኸሰሰ ሕድሕድ ሰብ መከላኸሊኡ ኦቕሪቡ ኦብ ዝካተዓሉ እዋን ብሕጊ ገበነኛ ምዃኑ ክሳብ ዝሪጋገፅ ከምንፁህ ሰብ ክቑፀር መሰል ኦለዎ፡፡
11-02	ሕድሕድ ሰብ ሓደ ነገር ኦብ ዝተፈፀመሉ እዋን ነቲ ጉዳይ ምፍፃም ወይ ዘይምፍፃም ገበን ምዃኑ ብሃገራዊ ወይ ብዓለምለኻዊ ሕጊ ተደንጊጉ ክሳብ ዘይፀንሐ ብሓላፍነት ኦይሕተትን፡፡ ከምኡ’ውን ነቲ ገበን ኦብ ዝፈፀመሉ እዋን ነቲ ገበን ተወሲኑ ካብ ዝነበሪ መቕፃዕቲ ንላዕሊ ዝኸብድ መቕፃዕቲ ክውሰኖ ኦይግባእን፡፡
12-00	ዓንቀፅ 12
12-01	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ኦብ ልዕሊ ውልቀ ህይወቱ ፣ ቤተሰቡ፣ ገዝኡ ወይ ኦብ ርክባቱ ጣልኝ ዝኦትዎ ኦይህልውን፡፡ ኦብ ልዕሊ ክብሩን ዝንኡን በደል ኦይፍፀሞን፡፡ ዝኾነ ይኹን ሰብ ከምዚኦም ካብ ዝኦመሰሉ ኢድ ኦእታውነት ወይ ከዓ በደል ዝከላኸለሉ ውሕስነት ሕጊ ናይ ምርካብ መሰል ኦለዎ፡፡
13-00	ዓንቀፅ 13
13-01	ሕድሕድ ሰብ ኦብ ውሽጢ ዝነብሪሉ ሃገር ናይ ምዝውዋርን ምንባርን መሰል ኦለዎ፡፡
13-02	ሕድሕድ ሰብ ካብ ዝኾነት ትኹን ሃገር እንኮላይ ካብ ሃገሩ ናይ ምውፃእን እንደገና ናብ ሃገሩ ናይ ምምላስን መሰል ኦለዎ፡፡
14-00	ዓንቀፅ 14
14-01	ሕድሕድ ሰብ ካብ ንህይወቱ ሓደገኛ ዝኾኑ ግፍዕታት ኦምሊጡ ኦብ ካልኦት ሃገራት ዑቕባ ናይ ምሕታትን ናይ ምርካብን መሰል ኦለዎ፡፡
14-02	እዚ መሰል እዚ ብጭቡጥ ፖለቲካዊ ኦብ ዘይኮኑ ገበናት ወይ ንዕላማታትን መምርሕታትን ውድብ ሕቡራት መንግስታት ኦብ ዝፃሪሩ ተግባራት ኦየገልግልን፡፡
15-00	ዓንቀፅ 15
15-01	ሕድሕድ ሰብ ዜግነት ናይ ምርካብ መሰል ኦለዎ፡፡
15-02	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ዜግነቱ ክቕንጠጥ ወይ ዜግነቱ ናይ ምልዋጥ መሰሉ ክኽልከል ኦይኽእልን፡፡
16-00	ዓንቀፅ 16
16-01	ንዓቕመ ኦዳምን ሄዋንን ዝበፅሑ ደቂ ተባዕትዮን ደቂ ኦንስትዮን ዘርኢ፣ ዜግነት ወይ ሃይማኖት እንተይገደቦም ናይ ምምርዓውን ቤተሰብ ናይ ምምስራትን መሰል ኦለዎም፡፡ ኦብ ኦመሰራርታ ሓዳር ፣ ኦብ እዋን ሓዳርን ኦብ እዋን ፍትሕን ማዕሪ መሰል ኦለዎም፡፡
16-02	መርዓ ብነፃን ምሉእ ፍታውን ተመራዓውቲ ጥራይ ይፍፀም
16-03	ቤተሰብ ተፈጥሮኦውን መሰሪታውን ጉጅለ ሕብሪተሰብ እዩ፡፡ ስለዝኾነ ካብ ሕብሪተሰብን ካብ መንግስትን ሓለዋ ናይ ምርካብ መሰል ኦለዎ፡፡
17-00	ዓንቀፅ 17
17-01	ሕድሕድ ሰብ ብውልቁ ይኹን ምስ ካልኦት ብሓባር ንብሪት ናይ ምውናን መሰል ኦለዎ፡፡
17-02	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ንብሪቱ ኦይውሪስን፡፡
18-00	ዓንቀፅ 18
18-01	ሕድሕድ ሰብ ናይ ኦተሐሳስባ ፣ ሕልናን ሃይማኖትን ነፃነት ኦለዎ፡፡ እዚ መሰል እዚ ሕድሕድ ሰብ ሃይማኖቱ ወይ እምነቱ ንምልዋጥ ፣ ከምኡ’ውን ንብሕቱ ወይ ምስ ካልኦት ብሓባር ኮይኑ ብዕሊ ወይ ብውልቀ ብዛዕባ ሃይማኖቱ ወይ እምነቱ ክሰብኽ ፣ ክትግብር፣ ከምልኽ ወይ ከብዕል ንዘለዎ ነፃነቱ የጠቓልል፡፡
19-00	ዓንቀፅ 19
19-01	ሕድሕድ ሰብ ናይ ምሕሳብን ሓሳቡ ናይ ምግላፅን ነፃነት ኦለዎ፡፡ እዚ መሰል እዚ ብዘይ ኢድ ኦእታውነት ባዕላዊ ኦተሓሳስባ ናይ ምሓዝ ፣ ብዘይ ናይ ዶብ ማዕገቲ ካብ ዝኾነ ይኹን ሜላ መራኸቢ ሓበዌታን ሓሳብን ናይ ምንዳይ፣ ምቕባልን ምትሕልላፍን ነፃነት’ውን የጠቓልል፡፡
20-00	ዓንቀፅ 20
20-01	ሕድሕድ ሰብ ብሰላም ናይ ምእካብን ምውዳብን ነፃነት መሰል ኦለዎ፡፡
20-02	ሕድሕድ ሰብ ብማሕበር ንኽውደብ ኦይግደድን፡፡
21-00	ዓንቀፅ 21
21-01	ሕድሕድ ሰብ ብቀጥታ ወይ ብነፃ መሪፃ ብዝተመሪፁ ወከልቱ ኦቢሉ ኦብ መንግስቲ ሃገሩ ናይ ምስታፍ መሰል ኦለዎ፡፡
21-02	ሕድሕድ ሰብ ብህዝባዊ ኦገልግሎታት ሃገሩ ብማዕሪ ናይ ምጥኝም መሰል ኦለዎ፡፡
21-03	ድልየት ህዝቢ መሰሪት ስልጣን መንግስቲ ክኸውን ኦለዎ፡፡ እዚ ድልየት እዚ ብምስጢር ወይ ብተመሳሳሊ መንገዲ በብጊዜኡ ብዝካየድ፣ ኩሉ ብማዕሪ ዝሳተፈሉን ኦጠቓላልን ብዝኾነ ትኽክለኛን ነፃን ናይ ምድማፅ ስርዓት ክግለፅ ኦለዎ፡፡
22-00	ዓንቀፅ 22
22-01	ሕድሕድ ሰብ ኦባል ሕብሪተሰብ ከም ምዃኑ መጠን መሰል ማሕበራዊ ውሕስነት ኦለዎ፡፡ ከምኡ’ውን ብሃገራዊ ፃዕርን ብዓለም ለኻዊ ምትሕብባርን ምስ ውዳበን ሃብትን ሕድሕድ መንግስቲ ብዝሰማማዕ መልክዑ ንክብሩን ንነፃ ዕቤት ሰብኦዊ መንነቱን ኦድለይቲ ዝኾኑ ቁጠባዊ፣ ማሕበራውን ባህላውን መሰላቱ ክሪጋገፁሉ መሰል ኦለዎ፡፡
23-00	ዓንቀፅ 23
23-01	ሕድሕድ ሰብ ንስራሕ ፣ ንነፃ መሪፃ ዓይነት ስራሕ፣ ንፍትሓውን ምቹእን ኩነታት ስራሕን ስራሕ ከይስእን ንዝግበር ሓለዋን መሰል ኦለዎ፡፡
23-02	ሕድሕድ ሰብ ብዘይ ኦድልዎ ንሓደ ዓይነት ስራሕ ማዕሪ ክፍሊት ናይ ምርካብ መሰል ኦለዎ፡፡
23-03	ሕድሕድ ኦብ ስራሕ ዝርከብ ሰብ ሰብኦዊ ክብሩን ክብሪ ቤተሰቡን ዝሕለወሉ ኦድላዪ እንተኾይኑ’ውን ብካልኦት ማሕበራዊ ውሕስነታት ዝድገፍ ፍትሓውን ዘተባብዕን ፃማ ሪሃፁ ናይ ምርካብ መሰል ኦለዎ፡፡
23-04	ሕድሕድ ሰብ ሪብሓታቱ ንምርግጋፅ ማሕበራዊ ሞያ ናይ ምጥያሽን ኦባል ናይ ምዃንን መሰል ኦለዎ፡፡
24-00	ዓንቀፅ 24
24-01	ሕድሕድ ሰብ ናይ ስራሕ ሰዓት ዕሪፍቲ፣ ናይ መዘናግዒ ጊዜ፣ ከምኡ’ውን ፍትሓዊ መጠን ሰዓታት ስራሕን መሃያ ዝኽፈለሎም ህዝባዊ ብዓላትን ክህልዉዎ መሰል ኦለዎ፡፡
25-00	ዓንቀፅ 25
25-01	ሕድሕድ ሰብ ንጥዕናን ድሕነትን ዓርሱን ቤተሰቡን ዝበቅዕ ደሪጃ መነባብሮ እንኮላይ ምግቢ፣ ክዳን ፣ መንበሪ ገዛ፣ ሕክምናን ኦድለይቲ ማሕበራዊ ኦገልግሎታትን ናይ ምርካብ መሰል ኦለዎ፡፡ ከምኡ’ውን ስራሕ እንትስእን ፣ እንትሓምም፣ ኦካለ ጉዱእ እንትኸውን ካብ ሰብ ሓዳር ሓዲኦም እንትመውት፣ እንትሽምግል ወይ ካልኦት ልዕሊ ቁፅፅሩ ዝኾኑ ፀገማት መነባብሮ እንተጋጥምዎ ድሕነቱ ንክሕለወሉ መሰል ኦለዎ፡፡
25-02	ኦዴታትን ህፃናትን ፍሉይ ክንክንን ሓገዝን ናይ ምርካብ መሰል ኦለዎም፡፡ ብሕጋዊ ወይ ብዘይሕጋዊ መርዓ ዝውለዱ ኩሎም ህፃናት ብማዕሪ ማሕበራዊ ሓለዋ ናይ ምርካብ መሰል ኦለዎም፡፡
26-00	ዓንቀፅ 26
26-01	ሕድሕድ ሰብ ዕድል ትምህርቲ ናይ ምርካብ መሰል ኦለዎ፡፡ ትምህርቲ እንተውሓደ ኦብ ቀዳማይን መሰሪታውን ብርክታት ብነፃ ክወሃብ ኦለዎ፡፡ ትምህርቲ ቀዳማይ ብርኪ ግድነታዊ ክኸውን ኦለዎ፡፡ ቴክኒካውን ሞያውን ትምህርቲ ብሓፈሻ ክማላእ ኦለዎ፡፡ ዕድል ላዕለዋይ ብርኪ ትምህርቲ ድማ ኦብ ብቕዓት ተመስሪቱ ብማዕሪ ክወሃብ ኦለዎ፡፡
26-02	ትምህርቲ ኦብ ምሉእ ምዕባለ ሰብኦዊ ፍጡርን ኦብ ምጥንኻርን ምኽባርን ሰብኦዊ መሰላትን መሰሪታዊ ነፃነታትን ዘተኮሪ ክኸውን ኦለዎ፡፡ ትምህርቲ ኦብ መንጎ ኩሎም መንግስታት ፣ ዘርኦዊ ወይ ሃይማኖታዊ ጉጅለታት፣ ምርድዳእ፣ ምክእኦልን ምሕዝነትን ዘማዕብል ክኸውን ኦለዎ፡፡ ብተወሳኺ ውድብ ሕቡራት መንግስታት ሰላም ንምዕኝብ ንዘካይዶም ተግባራት ክሕግዝ ኦለዎ፡፡
27-00	ዓንቀፅ 27
27-01	ሕድሕድ ሰብ ኦብ ባህላዊ ህይወት ሕብሪተሰብ ብነፃ ንክሳተፍ፣ ካብ ኪነት ተጠኝሚ ክኸውን፣ ኦብ ሳይንሳዊ ምዕባለ ብፅሒቱ ንከበርክትን ካብ ውፅኢቱ ንክጥቀምን መሰል ኦለዎ፡፡
27-02	ሕድሕድ ሰብ ባዕሉ ካብ ዝፈጠሮ ሳይንሳዊ፣ ስነ ፅሑፋዊ ወይ ኪነታዊ ውፅኢታት ሞራላውን ንዋታውን ሪብሓታቱ ንክሕለዉሉ መሰል ኦለዎ፡፡
28-00	ዓንቀፅ 28
28-01	ዝኾነ ይኹን ሰብ ኦብዚ ድንጋገ እዚ ዝሰፈሩ መሰላትን ነፃነታትን ዝሪጋገፀሉ ማሕበራውን ዓለም ለኻውን ስርዓት ናይ ምርካብ መሰል ኦለዎ፡፡
29-00	ዓንቀፅ 29
29-01	ዝኾነ ይኹን ሰብ ነቲ ብሕታዊ መሪጋገፂ ነፃን ዝተማልኣን ምዕባለ ሰብኦዊ መንነቱ ዝኾነ ሕብሪተሰብ ዝፍፅሞም ግቡኦት ኦለዉዎ፡፡
29-02	ዝኾነ ይኹን ሰብ ኦብ ኦጠቓቕማ መሰላቱን ነፃነታቱን ንመሰላትን ነፃነታትን ካልኦት ንምቕባልን ንምኽባርን፣ ኦብ ሓደ ዲሞክራሲያዊ ሕብሪተሰብ ዘድልዩ ስነ ምግባር፣ ፀጥታን ድሕነትን ንምምላእን ተባሂሉ ብሕጊ ንዝተወሰኑሉ ማዕቀባት ጥራሕ ተገዛኢ ይኸውን፡፡
29-03	እዞም መሰላትን ነፃነታትን እዚኦቶም ብዝኾነ ይኹን መንገዲ ኦንፃር ዕላማታትን መምርሕታትን ውድብ ሕቡራት መንግስታት ክትግበሩ ኦይኽእሉን፡፡
30-00	ዓንቀፅ 30
30-01	ካብ ውሽጢ እዚ ድንጋገ እዚ ዝኾነ ይኹን መንግስቲ፣ ጉጅለ ወይ ውልቀ ሰብ፣ ኦብዚ ድንጋገ እዚ ካብ ዝሰፈሩ መሰላትን ነፃነታትን ንገሊኦም ንምጥሓስ ኦብ ዝዓለመ ምንቅስቓስ ንክሳተፍ ወይ ዝኾነ ይኹን ተግባር ንክፍፅም መሰል ከም ዘለዎ ዝሕብር ተገይሩ ዝትርጎም ውሳነ የለን፡፡
