00-00	POASON PWUNG EN KAWEID TOHN WEIN SAMPA KAROS
07-01	Aramas karos ni nan irair pahrek ehu pahn kosonned oh ahniki de paiki epwel kan pahn kosonned. Aramas karos ahniki de paiki epwel pahrek pwehn kore songen apwal akan me uhong poason wet de me pahn kasohwe irehkan nan poason wet.
08-00	Iralaud 8.
08-01	Aramas karos ahniki de paiki soangen epwel katapan akan me pwihn koiek en teneki sapwung kan me uhong poason en pwung kesempwal me kosonned kosnehiong irail.
09-00	Iralaud 9.
09-01	Sohte me pahn pakadeida, de poardi, de selidi, de pekeusda.
10-00	Iralaud 10.
10-01	Aramas karos aniki de paiki pwung karos me irair en kopwung pahrek oh pil kapeidek nan pokkon rehn pwihn ehu me seu peupali, pwehn kosonehdi de kasalehda arail pwung kan oh pwukoah kan oh pil songen pekeid me uhong irail karos.
11-00	Iralaud 11.
11-01	Irail kan me pakadeikda me re dipada pil ahniki pwungin wehkada me re sohte dipada lau lel mwolen kopwung eh pahn kasalehda ni sansal me dihp wet uhongehr kosonned-ahpw me pakadeida kan uhdahn pahn mie arail soun sawas pwehn wia daroperail.
11-02	Sohte me kak pakadeida oh kalokolok ki sapwung ehu de dihp ehu de sapwung ehu me e dipekihda oh kawehkihla kosonned en ehu wehi de wein sampa ma ansou me dipada wet wiawio dihp wet sohte uhong kosonned pwukat. Oh pil kalokepen dihp wet sohte pahn laud sang uwe me dehde ni ansou me dihp wet wiawihdau.
12-00	Iralaud 12.
12-01	Sohte me kak lidere emen nin sohte kahrepe, de eh peneinei, imwe oh kisin likou me e kadar de me emen kadarodohng, oh pil sohte me kak kauwehla eden emen de mwaren emen. Karos ahniki de paiki epwelpen pahn kosonned ohng songen liderewes de kawehla eden aramas kwukat.
13-00	Iralaud 13.
13-01	Karos ahniki de paiki manaman en saledek me pid seilok de kouson nan uhdahkarail.
13-02	Karos ahniki de paiki manaman en seusang de mwekid sang wasa seu lipilipil, pil iangahki uhdahn eh wasahn kouson oh pil seulahng de mwekidlahng sapwe de ehu wasa.
14-00	Iralaud 14.
14-01	Karos ahniki de paiki manaman en rapahki insenamwahu ekei wasa de tanasang mehla oh apwal sang wasa me a kouson ie.
14-02	Ahpw manaman wet sohte pahn mie ma lipada wet pahn sohte poason dahsang ni mwekid en "Government" en weio oh ma lipada wet e uhong kosondi oh poason en "United Nations".
15-00	Iralaud 15.
15-01	Aramas karos ahniki de paiki manaman en wia uhdaken ehu wasa de tohnwehi ehu.
15-02	Manaman de paien wia tohn wei ehu, sohte me kak adiasang aramas, de pil keinepwihsang rehn emen en wiahla tohn ehu wei tohrohr.
16-00	Iralaud 16.
16-01	Ohl oh lih me lelehr sounparen aramas laud, me sohte inepwi ehu mie me pid tohn ehu wasa de tohn ehu wehi de towehla ehu lamalam de mwomwhohdiso, ahniki de paiki manaman en pwopwoud oh kauwada ehu peneinei. Re ahniki de paiki manaman pahrek me pid pwopwoud, de nan ansoun pwopwoud oh pil lel anson mweipeseng.
16-02	Pwopwoud pahn wiawi ni ansou me lih oh ohl pahn pwungki pene irahn pwopwoud.
16-03	Peneinei me uhdahn poason de tepin tohn sampa kahrehda peneinei pil ahniki de paiki manaman en epwel sang rehn tohn sampa oh pil wehi kan.
17-00	Iralaud 17.
17-01	Aramas karos ahniki de paiki de ahniki manaman en kelepw ahniki dipwisou en ohpis oh pil iang meh teikan ahniki pene dipwisou ehu.
17-02	Sohte me pahn adihasang an emen ah dipwisou.
18-00	Iralaud 18.
18-01	Aramas karos ahniki de paiki manaman en saledengki eh lamalam de medemedewe, eh mour oh pein eh mwomwohdsou; manaman wet kihpene de iangahki saledek en welian de wikidala en emen emen eh mwomwodisou oh me e kameleleh kan, oh eh pil ahniki manaman en kasale seli songen lamalan de mwomwodiso me e pwoson de kamehlele soangen kasansal pwukat kakmihmi ni padahk, wiewia, pwongih de kapdaiada ireh kan me kosondi.
19-00	Iralaud 19.
19-01	Aramas karos ahniki de paiki manaman en saledengki arail medemedewe oh saledengki arail kosoi; manaman wet pidada irair en saledek nan medemedewe me sohte pahn kadirepw de peki, ale, de kasalehda sohng kan de medemedewe kan me seu lipilipilki wasa kan.
20-00	Iralaud 20.
20-01	Aramas karos ahniki de paiki manaman en wie kupwur nan onepek mwahu oh saledek nan pwihn kan.
20-02	[Missing?]
21-00	Iralaud 21.
21-01	Aramas karos ahniki de paiki manaman en iang pwukoahki "Government" en arail wehi, nan duen pein ih de nin duen weliepehkan.
21-02	Aramas karos ahniki de paiki manaman en kak ale sawas akan sang arail wehi.
21-03	Insenen aramas akan we pahn poasonehda manaman en "Government'' insen pwukat pahn kin sansalada ahnsou kan me usuhs mehlel kan kin wiawi oh pil usuhs pwukat uhdahn pahn unsek, pahrek oh pahn kin wiawi ni rir oh saledek nin duen kosonned.
22-00	Iralaud 22.
22-01	Aramas karos pwehki arail tohn wehi pokon en sampa ahniki manaman en ale epwel sang pwihn en epwelpen roson oh re pil paiki ar ese me sang sawasepehwehi oh pil sawas epen tohn sampa nan duen kosondi oh pil dipwisou ehu en wehi, me pelien kekeirdahn wahn sahpw oh roson en aramas, mie arail manaman me uhdahn konehng oh saledek en kakairada emen emen.
23-00	Iralaud 23.
23-01	Aramas karos ahniki de paiki manaman en kak de iang doadoahk oh pil pilada songen doadoahk da me e mwahuki, oh doadoahk pwung oh pahrek, pil iangahki wasahn daodoahk mwahu oh mwakelekel, oh petehk pen doadoahk kan en dehr sohrala.
23-02	Aramas karos seu lipilipil ahniki manaman en ale pweipwei, pweinen eh doadoahk uwe ieu me pahn pahrekiong eh daodoahk.
23-03	Aramas karos me ahniki pwukaohn doadoahk ehu ahniki manaman en ale keting pen eh wiewia me pwung oh mwahu ong pein ih oh pil peneinei. Pil mie en aramas karos me ahniki pwukoahn doadohahk en arail mour kesempwal nin duen arail wie aramas, ama songen sawas pwukat sohte pah keitarahla arail mour mwahu, songen sawas oh epwel teikan pahn pil kohieng irail.
23-04	Aramas karos kak de ahniki manaman en kauwada de iangala tewehda pwihn en daodoakh kan pwehn sewese de apwalih arail ineng kan me pid mwekid en daodoahk.
24-00	Iralaud 24.
24-01	Aramas karos ahniki de paiki manaman en kak kommol oh mwemweit, pil iangahki awahn doadoahk kan en dehr daulihla duen me konehng, oh pil insenamwahuki kommol lahsang doadaohk rahn kesempwal akan ahpw pil alepweipwei.
25-00	Iralaud 25.
25-01	Aramas karos ahniki de paieki manaman en mour insenamwahu oh itar ohng emen emen oh arail peneinei kan, irair wet iangahki kisin mwenge, likou, ihmw oh imwen wini oh pil soangen epwel teikan nan ansou me doadoahk kan apwal, ansoun luwet de soumwahu, ansoun kiripw, oh ohl laudla, oh soangen ansou apwal akan me eman emen lelohng ahpw kaidehk sang ni pein eh wie wia de inseneki.
25-02	Nohno kan oh serih kan ahniki manaman en ehu soangen epwel oh sawas soangen pwukat. Seri karos, mendo ma serihn pirap, pahn paiki soangen sawas pwukat.
26-00	Iralaud 26.
26-01	Aramas karos ahniki de paiki manaman en iang sukuhl. Sukuhl kan pahn sohte pweipwei ahpw mehlel "elementary" oh ansoun tepidahn kaiahn akan. Tepidahn sukuhl kan de "elementary" sukuhl kan pahn mi ni kosonned ehu pwe seri karos en uhdahn iang. Sukuhl ileile de laud kan pahn mie oh mweimweida oh me pwukat pahn mie oh kaparek ong karos nin duen en emen emen ah kak.
26-02	Kaiahn akan de sukuhl kan pahn kosondi pwehn kak kamarainihda de kakaiada mour en aramas akan oh kakehlada wahu de kesempwelen aramas, arail manaman oh pwuhng kan oh pil poason en arail saledek. Kaiahn akan de sukul kan pahn kosondi pwehn kalaudehla marain, kanengamah oh limpok penehn wehi karos, songen aramas akan oh mwomwohdiso kan, oh pahn kakairada doadoakh en "United Nations" kan pwehn kak kolokol de apwahpwalih meleilei.
26-03	Pahpa oh nohno kan, mwohn aramas karos, me pahn pilada songen sukuhl da me neirail serihkan pahn ale de iang.
27-00	Iralaud 27.
27-01	Aramas karos ahniki de paiki manaman pwe ren pein pilada songen pwihn da de mwomwen pwihn da me re rahn towehda pwe kak iang perenki de insenamwahuki kekeirdahn dipwisoun sahpw de iang paiki kalaud lahn dipwisou kapwakan oh iang paiki kamwahu parail akan.
27-02	Aramas karos ahniki manaman en iang paiki kamwahu kan me peisang soangen daodoahk kan me re iang wiahla de koadahkihada.
28-00	Iralaud 28.
28-01	Aramas karos uhdahn pahn iang kosondi me pid wein sampa ni irair en saledek me "poason" wet kasalehdahr karos en iang wehwehki.
29-00	Iralaud 29.
29-01	Aramas karos ahniki pwukoah ong wasa me re kouson ie pwe arail saledek de kekeirdahn arail mour en kak pweida ie.
29-02	Nin doken aramas akan arail pahn daodoahngki arail pwuhng oh saledek, karos pahn mi pahn irair kei me kosonned pahn kosonehdi ongete songen kahrepeh kan me pahn kapwaiada kitail en wauniki en mehtei kan arail pwuhng oh saledek pwe mehn kapwaiada mour pwung oh mwahu, oh meleilei en kipe tohn wein sampa karos.
29-03	Songen pwuhng oh saledek pwukat en dehr wiawi ni irair ehu me pahn uhong irehkan de kosondihkan en "United Nations".
30-00	Iralaud 30.
30-01	Ire karos me sansalehr nan poason wet sohte pahn wehwehki me re kosondi pwe ehu wehi, de ehu pwihn en aramas en mie arail manaman en wia de kosonehdi mehkot me pahn kak kasohwe de kawehla songen pwung de saledek me sansalehr nan poason wet.
