00-00	INTËRU MUNDUCHO LAPAN RUNAKUNAPA DERËCHUNKUNANTA WILAKUSHQAN
15-01	Lapantsikunapami derëchuntsi kan may nasyunkunamanpis pertene.sinantsipaq.
15-02	Juk nasyunman pertenësiyta munaptintsi, manami pipis lutalaqa nimashwantsu "Manami qam pertenësinkimantsu kay nasyunman." Tsaynoqpis lutalaqa nimashwantsu "Qam manami kikikipa nasyunnikimanpis pertene'sinkimantsu."
16-00	NISHQAN CHUNKA SOQTA (16)
16-01	Olqupapis y warmipapis, edäninman chayaptin, derëchun kanmi kasarakunanpaq. Tsaynoq derëchun kan kasarakunanpaq ima räsa runakunawanpis, mayqan nasyunman pertene.seqkunawanpis, ima relijyunkunaman kriyeqkunawanpis. Tsaynoq kasarakurmi derëchun kan familyanta formananpaq. Kasädu kar, rakikashqa kar, o mayqankuna nawpata wanuptinpis, derëchunkuna kanmi iwalla olqupaq y warmipaqpis.
16-02	Manami pipis fersanmantsu kasarakunanpaqqa. Itsanqa kasarakärenqa kikinkuna awninakur munanakushqalanpita.
16-03	Tsay kasarashqa kaqkunapitami juntakashqa kaykan lapan markakunapis. Tsaynoqpis derëchun kanmi runakuna y nasyunpa mandaqninkunapis kasarashqa kaqkunata kuydananpaq.
17-00	NISHQAN CHUNKA QANCHIS (17)
17-01	Lapantsikunapami derëchuntsi kan imaykantsikunapis kikintsipaq kananpaq. Y tsaynoqpis derëchuntsi kanmi pi lawanpis imaykantsikunalachöpis dwëñunoq kapäkunantsipaq.
17-02	Manami pipis lutalaqa qechunmantsu pitapis imalankunatapis.
18-00	NISHQAN CHUNKA PUSAQ (18)
18-01	Lapantsikunapami derëchuntsi kan shonquntsicho munashqantsita yarpanantsipaq y munashqantsi relijyunman kriyinantsipaq. Tsaynoq derëchuntsi kaptin trukashwan juk relijyunpita juk relijyunmanpis. Relijyunnintsita rikatsikushwan japalantsi y wakin runakunawanpis, kikintsikunalapaq o runakunapa nawpanchöpis. Tsaynoq rikatsikushwan yachatsikushpantsi, kumplishpantsi, y kultuntsikunata rurashpantsi.
19-00	NISHQAN CHUNKA ISQUN (19)
19-01	Lapantsikunapami derëchuntsi kan yarpashqantsita parlanantsipaq mana pipis fastidyaylapa. Tsaynoqpis derëchuntsi kanmi ima notisyakunalatapis ashinantsipaq runakunata mayatsinantsipaq imaykanoqpapis: parlaypa, eskribiypa, o radyupa pasatsiypapis mayqan nasyunkunamanpis.
20-00	NISHQAN ISHKAY CHUNKA (20)
20-01	Lapantsikunapami derëchuntsi kan juk patsalaman juntakänantsipaq itsanqa mana búllata ruraylapa.
20-02	Mana munaptenqa manami pipis pitapis "kay noqakunaman pertenësiy" ninmantsu fersaypaqa.
21-00	NISHQAN ISHKAY CHUNKA JUK (21)
21-01	Lapantsikunapami derëchuntsi kan nasyunnintsikunacho mandaq kayta munar chayanantsipaq. Tsaynoqpis derëchuntsi kanmi kikintsi jukta munashqantsi kaqta akranantsipaqpis mandaq kananpaq.
21-02	Lapantsikunapami derëchuntsi kan iwalla awturidä kanantsipaq nasyunnintsikunachöpis.
21-03	Markakunapa munayninchömi churakashqa kanman gobyernupa yanapäsheqnin awturidäkuna. Tsaykuna rurakashqa kanman käda bötukuna watakunalacho. Tsaymi Iapantsikuna imanoq karpis munashqantsi kaqpaq iwalla pakaylapa bötushwan. Tsaycho gänaq kaqmi yaykunman awturidä kananpaq. Mana pakaylapa bötorqa juknoqpa bötushwan awturidänintsikuna markantsi munashqannoq akrashqa kananpaq.
22-00	NISHQAN ISHKAY CHUNKA ISHKAY (22)
22-01	Lapantsikunapami derëchuntsi kan ali kawanantsipaq. Wakin imayoqpis kaqkuna yanapäshinman mana imayoqpis kaqkunata. Tsaynoqpis nasyunnintsipita y juklä nasyunkunapitapis pwëdishqanyaq yanapäshinman pishiycho kawaqkunata lapan derëchunkuna kumplikänanpaq. Tsay yanapäshiy kanman respitashqa kanantsipaq y kikintsi aliyätsikunantsipaqpis.
23-00	NISHQAN ISHKAY CHUNKA KIMSA (23)
23-01	Lapantsikunapami derëchuntsi kan kikintsikuna munashqantsinoq arunantsipaq mana despresyashqa kaylapa. Shumaq sigurashqa kanman ima aruychöpis. Y tsaynoqpis aruynintsipita yarquptintseqa yanapäshishqa kashwan imalawanpis.
23-02	Lapantsikunapamj derëchuntsi kan mana despresyaylapa aruynintsikunacho iwal gänanantsipaq wakin aroq mayintsikunanoq.
23-03	Lapan aroqkunapami derëchun kan ali pägashqa kananpaq kikinpaqpis y familyankunapaqpis ali respitashqa runanoq kawananpaq. Pishëpakoqnoq kaptenqa yanapäshishqa kanman imanoqpapis runa mayinkunapita.
23-04	Lapantsikunapami derëchuntsi kan aroq mayintsikunawan juntakaykur imalatapis formanantsipaq mandaqnintsikunapita respi tatsimänantsipaq.
24-00	NISHQAN ISHKAY CHUNKA CHUSKU (24)
24-01	Lapantsikunapami derëchuntsi kan aruynintsikunapita jamakunantsipaq. Manami aläpaqa arushwantsu pwëdishqantsipita mastaqa. Y tsaypita juk watata kumplirkuptin bakasyunnintsi kanman itsanqa pägashqa
25-00	NISHQAN ISHKAY CHUNKA PITSQA (25)
25-01	Lapantsikunapami derëchuntsi kan ima!antsikunapis ali aypänanpaq kikintsikunapaq y familyantsikunapaqpis. Tsaykunapaqqa kanman kaykuna: mikuynintsikuna, röpantsikuna, wayintsikunapis. Tsaynoqpis qeshyaptintsi mëdikukuna atyendimashwan, y imalachöpis wakin runakuna yanapäshimashwan. Tsaynoqpis derëchuntsi kanmi kuydashqa kanantsipaq mana aruynintsi kaptin, qeshyaqtukur mana aruyta pwëdiptintsipis, byúdayashqa kaptintsipis, awkin kaptintsipis, o ima desgrasya päsamaptintsipis.
25-02	Wachaq warmipa y akapa wamrankunapapis derëchun kanmi shumaq ali kuydashqa kananpaq. Kasarashqa kaqkunapa y mana kasarashqa kaqkunapapis wamrankuna iwalla derëchun kanmi kuydashqa kananpaq.
26-00	NISHQAN ISHKAY CHUNKA SOQTA (26)
26-01	Lapantsikunapami derëchuntsi kan dembaldila primarya kaq eskwëlakunaman yachakoq yaykunantsipaq. Manami ni juklaylapis mana yachakuypaqa kanmantsu. Tsaynoqpis mas jatun kaq yachakuy eskwëlakunapis kanman imalapis kayta munaptintsi yachakunantsipaq. Tsay eskwëlakunaqa lapan runakunata chaskinman iwalla yachashqantupu.
26-02	Kay yachakuy kanman noqantsikuna runa mayintsikunawan ali shonquyoq kanantsipaq. Tsaynoqpis kanman runa mayintsikunapa derëchunkunata respitanantsipaq, tantyanakunantsipaq, pasensyantsi kananpaq y pipis yanasantsi kananpaq. Tsaykuna kanman markantsikunawan, juklä nasyunkunawan, jukniraq räsakunawan, ima relijyunkunaman kriyeqkunawanpis. Tsaynoqpis yachakuy kanman yanapänantsipaq Nasyones Unidasta runakunata ali kawayman churananpaq.
26-03	Taytankunapami derëchun kan tsurinkunata munashqannoq imanoqpapis edukananpaq.
27-00	NISHOAN ISHKAY CHUNKA QANCHI (27)
27-01	Lapantsikunapami derëchuntsi kan markantsikunacho kustumrintsikunata ruranantsipaq. Tsaynoqpa munaq kaqpa derëchun kan kantananpaq, dansananpaq, dibuj ananpaq, tukananpaq, puklananpaq, y imalatapis rurananpaq markanpa kustumrin kashqannoq. Tsaynoqpis juk yachaq imalatapis mushoqta ruraptenqa tsay kanman lapantsikunapaq juknintsi y juknintsipis mas ali kawanantsipaq.
27-02	Lapantsikunapami derëchuntsi kan imalatapis mushoqta ruraptintsi o eskribiptintsi kikilantsipaq gänashqantsi kaqkuna kananpaq. Manami pipis ninmantsu lulakushpan "Noqami rurashqä kayta" tsaynoqpa apakunanpaq ruraq kaqpa derëchunta.
28-00	NISHQAN ISHKAY CHUNKA PUSAQ (28)
28-01	Lapantsikunapami derëchuntsi kan gobyernuntsi kananpaq nasyunnintsikunacho y lapan nasyunkuna juntakashqanchöpis kay derëchuntsikúna rasunpa kumplikashqa kananpaq.
29-00	NISHQAN ISHKAY CHUNKA ISQUN (29)
29-01	Lapantsikunapami ruranantsikuna kan markantsicho kumplinantsipaq. Tsaynoqlapami aliyätsikuntsi kikintsikuna.
29-02	Derëchuntsikunata rurarpis mana qechushwantsu jukpa derëchunkunata. Tsaypaq kanmi laykuna respitatsikunantsipaq y tsaynoqpis reqitsimänantsipaq wakinkunapa derëchunkunapis kashqanta. Tsaynoqpis tsay laykuna kaykan ali shonquyoq runakuna kanantsipaq, ali respitanakunantsipaq, y ali runa mayintsikunawan kawanantsipaq. Tsay ali kaway kaykan runakuna awturidäninkunapaq bötushqan nasyunkunacho.
29-03	Kay derëchuntsikunata kumplishpantsi manami Nasyones Unidas nishqankunapa kontrannin yarqushwantsu.
30-00	NISHQAN KIMSA CHUNKA (30)
30-01	Kay nishqankunacho manami qam tarinkimantsu derëchuykikuna kaptin pipa derëchunkunatapis elqätsinaykipaq imata rurashpaykipis. Tsaynoq kaykan qampaq, juk nasyunpaq, juntakashqa runakunapaq, o pi runalapaqpis.
