00-00	ХҮНИЙ ЭРХИЙН ТҮГЭЭМЭЛ ТУНХАГЛАЛ
16-01	Насанд хүрсэн эрэгтэй, эмэгтэй хүмүүс арьс өнгө, яс үндэс, шашин шүтлэгтэй холбогдсон аливаа хязгаарлалтгүйгээр гэрлэх, өрх тусгаарлах эрхтэй. Тэд гэрлэхдээ, гэрлэснийхээ дараа болон гэрлэлтээ цуцлуулах үед тэгш эрх эдэлнэ.
16-02	Эрэгтэй, эмэгтэй хоёр хүн чөлөөтэй, харилцан бүрэн зөвшөөрсөн нөхцөлд гэрлэж болно.
16-03	Гэр бүл бол нийгмийн жам ёсны үндсэн нэгж мөн бөгөөд нийгэм, төрөөр хамгаалуулах эрхтэй.
17-00	Арван долдугаар зүйл
17-01	Хүн бүр эд хөрөнгийг хувьдаа буюу бусадтай хамтарч өмчлөх эрхтэй.
17-02	Хэний ч эд хөрөнгийг дураар хураан авч болохгүй.
18-00	Арван наймдугаар зүйл
18-01	Хүн бүр чөлөөтэй бодож сэтгэх, шүтэж бишрэх, сүсэглэх эрхтэй, энэ нь шашин шүтлэг буюу үзэл бодлоо өөрчлөх эрх, ганцаараа буюу бусадтай хамтран нийтийн болон хувийн журмаар шашин шүтлэг, үзэл бодлоо заан түгээх, төргөл хийх, сургаал гүйцэтгэх, шашны хийгээд зан үйлийн ёслол үйлдэх эрхийг хамарна.
19-00	Арван есдүгээр зүйл
19-01	Хүн бүр өөрийн зэл бодолтой байж, түүнийгээ чөлөөтэй илэрхийлэх эрхтэй, үүнд үзэл бодлоо ямар ч хориг цээргүй баримтлах, аливаа үзэл санаа, мэдээллийг улсын хилийн заагаар үл хязгаарлан боломжтой арга замаар эрж сурвалжлах, олж ашиглах, түгээн дэлгэрүүлэх эрх багтана.
20-00	Хорьдугаар зүйл
20-01	Хүн бүр тайван замаар сайн дураар хуран цуглах, эвлэлдэн нэгдэх эрхтэй.
20-02	Хэнийг ч аливаа эвлэл холбоонд албадан оруулах ёсгүй.
21-00	Хорин нэгдүгээр зүйл
21-01	Хүн бүр улс орноо удирдахад шууд буюу чөлөөтэй сонгосон төлөөлөгчдөөрөө уламжлан оролцох эрхтэй.
21-02	Хүн бүр улс орондоо төрийн алба хаших тэгш эрхтэй.
21-03	Ард түмний хүсэл зориг бол засаг заслын үндэс мөн: энэ хүсэл зориг нь бүх нийтэд сонгуулийн тэгш эрх эдлүүлэх үндсэн дээр саналыг нууцаар хураах, эсвэл саналаа чөлөөтэй гаргах явдлыг хангахуйц өөр бусад хэлбэрийг ашиглах замаар тогтмол, хуурамч бус сонгууль явуулахад илрэлээ олно.
22-00	Хорин хоёрдугаар зүйл
22-01	Хүн бүр нийгмийн гишүүний хувьд нийгмээс хангамж авах эрхтэй бөгөөд нэр төрөө хамгаалах , биеэ боловсруулж хөгжүүлэхэд зайлшгүй шаардлагатай эдийн засаг, нийгэм, соёлын талын эрх дархаа тухайн улс орны хүчин чармайлт хийгээд олон улсын хамтын ажиллагааны нөөц бололцоонд нийцүүлэн эдлэх эрхтэй.
23-00	Хорин гуравдугаар зүйл
23-01	Хүн бүр хөдөлмөрлөх, ажлаа чөлөөтэй сонгох, хөдөлмөрийн шударга, таатай нөхцлөөр хангуулах, ажилгүйдлээс сэргийлэн хамгаалуулах эрхтэй.
23-02	Хүн бүр ямар ч ялгаваргүйгээр адил хэмжээний хөдөлмөрт адил хэмжээний шан хөлс авах эрхтэй.
23-03	Ажил хөдөлмөр эрхэлж байгаа хэн боловч хувийн болон ам бүлийнхээ ахуй амьжиргааг хүний зэрэгтэй авч явахад хүрэлцэхүйц бөгөөд зайлшгүй тохиолдолд нийгмийн хангамжийн эх үүсгэврээр нэмэн арвижуулсан, хийсэндээ таарсан, хүртээмжтэй шан хөлс авах эрхтэй.
23-04	Хүн бүр эрх ашгаа хамгаалуулах зорилгоор үйлдвэрчний эвлэл байгуулах буюу нэгдэх эрхтэй.
24-00	Хорин дөрөвдүгээр зүйл
24-01	Хүн бүр ажлын цагийг зохистойгоор хязгаарлахыг шаардах, цалинтай тогтмол амралт эдлэх эрхийг оролцуулан амрах, зав чөлөөтэй байх эрхтэй.
25-00	Хорин тавдугаар зүйл
25-01	Хүн бүр хоол хүнс, хувцас хунар, орон байр, эмчилгээ сувилгаа, нийгэм ахуйн зайлшгүй шаардлагатай үйлёилгээг оролцуулаад өөрийн болон ам бүлийнхнийхээ эрүүл мэнд, аж амьдралыг тэтгэхэд хүрэлцэхүйц амьжиргаатай байх эрхтэй, ажилгүйдэх, өвчлөх, тахир дутуу болох, бэлэвсрэх, өтлөх, эсвэл өөрөөс үл хамаарах бусад шалтгаанаар амь зуулгагүй болох нөхцөлд тэтгэмж авах эрхтэй.
25-02	Эх, нялхас онцгой асрамж, туслалцаа авах эрхтэй. Баталгаатай гэр бүлээс гарсан болон бутач хүүхэд ялгаагүй нийгмээр адилхан хамгаалуулна.
26-00	Хорин зургадугаар зүйл
26-01	Хүн бүр сурч боловсрох эрхтэй. Наад зах нь анхан шатны болон ерөнхий боловсролыг үнэ төлбөргүй олгодог байвал зохино. Хүн бүр заавал анхан шатны боловсролтой байх шаардлагатай. Техникийн болон тусгай мэргэжлийн боловсрол нийтэд хүртээмжтэй байх ёстой, авъяас чадварыг нь үндэслэн хүн бүрт дээд боловсрол эзэмших боломжийг адилхан олгох ёстой.
26-02	Боловсрол нь бие хүнийг өв тэгш хөгжүүлэх, хүнйи эрх, үндсэн эрх ёөлөөг улам бүр хүндэтгэдэг болгоход чиглэх ёстой. Боловсрол нь аливаа улс түмэн, янз бүрийн арьстан хийгээд шашны бүлгүүд бие биенээ ойлгох, хүлцэн тэвёих, эвсэн найрамдах, мөн түүнёлэн Нэгдсэн Үндэстний Байгууллагаас энх тайвныг сахин хамгаалах талаар явуулж буй үйл ажиллагаанд дөхөм үзүүлэх ёстой.
26-03	Бага насны хүүхдийн боловсролын чиглэлийг сонгоход эцэг эх давуу эрх эдэлнэ.
27-00	Хорин долдугаар зүйл
27-01	Хүн бүр нийгмийнхээ соёлын амьдралд чөлөөтэй оролцох, урлагийг бахдах, шинжлэх ухааны дэвшилд оролцож үр шимийг нь хүртэх эрхтэй.
27-02	Хүн бүр өөрийн туурвисан шинжлэх ухаан, утга зохиол, уран сайхны бүтээлийн материаллаг болон ёс суртахууны үр шимийг хүртэж, ашиг сонирхлоо хамгаалуулах эрхтэй.
28-00	Хорин наймдугаар зүйл
28-01	Хүн бүр энэ Тунхаглалд заасан эрх, эрх чөлөөг бүрэн эдэлж болохуйц тийм нийгмийн байгууламж болон олон улсын дэг журамд аж төрөх ёстой.
29-00	Хорин есдүгээр зүйл
29-01	Хүн бүр нийгмийнхээ өмнө тодорхой үүрэг хүлээх бөгөөд гагцхүү нийгэм л бие хүний чөлөөтэй, өв тэгш хөгжлийг хангана.
29-02	Хүн бүр эрх, эрх чөлөөгөө эдлэхдээ бусдын эрх, эрх чөлөөг зүйн дагуу зөвшөөрөн хүндлэх, ёс суртахууны шударга шаардлагыг биелүүлэх, ардёилсан нийгэмд байдаг хэв журам, бүх нийтийн сайн сайхан байдлыг хангах үүднээс хуульчлан тогтоосон зохих хязгаарлалтад л захирагдана.
29-03	Эдгээр эрх, эрх чөлөөг Нэгдсэн Үндэстний Байгууллагын зорилго, зарчимд харшлуулан эдлэх ёсгүй.
30-00	Гучдугаар зүйл
30-01	Энэхүү Тунхаглалын ямар ч зүйл ангийг аль нэг улс орон, бүлэг буюу бие хүний зүгээс энд тунхагласан эрх, эрх чөлөөг үгүйсгэхэд чиглэсэн аливаа ажиллагаа явуулах, тийм үйлдэл хийх эрх, бололцоо олгож байгаа мэтээр мушгин ойлгож болохгүй.
