00-00	DEN INTERNASJONALE FRÅSEGNA OM MENNESKERETTANE
03-01	Alle har rett til liv, fridom og personleg tryggleik.
04-00	Artikkel 4.
04-01	Ingen skal haldast i slaveri eller trældom. Slaveri og slavehandel av alle slag er forbode.
05-00	Artikkel 5.
05-01	Ingen må torturerast, pinast eller straffast på umenneskeleg eller nedsetjande vis.
06-00	Artikkel 6.
06-01	Alle menneske har krav på at domstolane alle stader godtek dei som rettssubjekt.
07-00	Artikkel 7.
07-01	Alle er like for lova og har krav på same rettsvern, utan skilnad av noko slag. Alle har krav på same vern mot at det blir gjort skilnad på folk i strid med denne fråsegna, og vern mot tiltak som ber i seg ein slik fare.
08-00	Artikkel 8.
08-01	Alle har rett til å få fullgod hjelp frå dei lovlege nasjonale domstolane når det gjeld handlingar som krenkjer den retten den einskilde har fått i grunnlova eller lovverket elles.
09-00	Artikkel 9.
09-01	Ingan må utan lov og rett arresterast, setjast i fengsel eller visast ut or landet.
10-00	Artikkel 10.
10-01	Alle har same rett til å få saka si rettferdig og offentleg granska av ein sjølvstendig og upartisk domstol, både når det er pliktene og retten til den einskilde som skal fastsetjast, og når det er reist klagemål mot han.
11-00	Artikkel 11.
11-00	Den som er klaga for ei straffbar handling, har rett til å bli rekna som skuldlaus til ein offentleg domstol, der han har fått full trygd for retten til å forsvare seg, har prova at han er skuldig etter lova.
11-01	Ingen skal kjennast skuldig i ei straffbar handling når det han har gjort eller forsømt ikkje streid mot nasjonal lov eller folkeretten på den tida det hende. Han må heller ikkje dømast hardare enn det lova gav høve til då den straffbare handlinga vart utførd.
12-00	Artikkel 12.
12-01	Ingen skal lide under vilkårleg innblanding frå andre, anten det gjeld hans eigen person, familie, heim, brevskifte, eller åtak på ære og omdøme. Alle har krav på at lova vernar dei mot slik innblanding eller slike åtak.
13-00	Artikkel 13.
13-00	Alle menneske har rett til å ferdast fritt og til å velje bustad innafor grensene i sitt eige land.
13-01	Det skal også vere full rett til å reise ut or det landet ein bur i, same kva land det er, og til å vende attende til sitt eige land.
14-00	Artikkel 14.
14-00	Alle som blir forfølgde har rett til å søkje og ta imot asyl i eit anna land.
14-01	Denne retten gjeld ikkje i rettssakar som har røynleg grunnlag i upolitiske brotsverk eller handlingar som strir mot formålet og prinsippet til Dei Sameinte Nasjonane.
15-00	Artikkel 15.
15-00	Alle har rett til eit statsborgarskap.
15-01	Ingen skal misse statsborgarskapet sitt vilkårleg, eller bli nekta retten til å endre det.
16-00	Artikkel 16.
16-00	Vaksne menn og kvinner har rett til å gifte seg og skipe familie utan avgrensing av noko slag på grunn av rase, nasjonalitet eller religion. Dei har krav på dei same rettane når det gjeld ekteskapet, både så lenge ekteskapet varer og medan det blir løyst opp.
16-01	Ekteskapet må berre kome i stand etter fritt og fullt samtykke frå begge partar.
16-02	Familien er den naturlege og grunnleggjande eininga i samfunnet og har krav på at staten og samfunnet vernar om det.
17-00	Artikkel 17.
17-00	Alle har rett til å ha eigedom åleine og saman med andre.
17-01	Ingen skal vilkårleg bli fråteken eigedomen sin.
18-00	Artikkel 18.
18-01	Alle har rett til tankefridom, samvitsfridom og religionfridom. Denne retten gjeld fridom til å endre religion eller tru, og fridom til å målbere sin eigen religion eller si eiga truslære i gjerning og framferd, anten åleine eller saman med andre, offentleg eller privat.
19-00	Artikkel 19.
19-01	Alle skal ha meinings- og ytringsfridom. Denne retten gjeld fridom til å ha meiningar utan innblanding, til å søkje, ta imot og gjere kjent opplysningar og idear gjennom alle dei informasjonskanalar som finst, og på tvers av alle grenser.
20-00	Artikkel 20.
20-00	Alle har rett til fritt å vere med på møte og i organisasjonar med fredelege formål.
20-01	Ingen kan tvingast inn i ein organisasjon.
21-00	Artikkel 21.
21-00	Alle skal ha rett til å vere med på å styre landet sitt, beinveges eller gjennom talsmenn som er peika ut i frie val.
21-01	Alle skal ha same retten til å gjere teneste i offentlege ombod i landet sitt.
21-02	Folkeviljen skal vere grunnlaget for den makta som er lagd til styremaktene. Folkeviljen skal kome til syne gjennom regelfaste og røynlege val, som er grunna på allmenn og lik røysterett i løynlege val eller på annan jamgod røystemåte.
22-00	Artikkel 22.
22-01	Kvar einskild medlem i samfunnet har rett til sosial tryggleik, og har krav på at dei økonomiske, sosiale og kulturelle godane, som han ikkje kan vere utan om han skal ha vørdnad for seg sjølv og styrke den personlege karakteren sin, blir løyste gjennom nasjonale tiltak og internasjonalt samarbeid i samsvar med det kvar stat maktar.
23-00	Artikkel 23.
23-00	Alle har rett til arbeid, til fritt å velje yrke, til rettferdige og gode arbeidstilhøve og vern mot arbeidsløyse.
23-01	Alle har same rett til å få lik betaling for likt arbeid, utan skilnad av noko slag.
23-02	Den som arbeider har krav på rettferdig og god betaling, så han kan syte for familien sin og seg sjølv på ein menneskeverdig måte, og om det trengst, få hjelp gjennom andre og utfyllande sosiale midlar.
23-03	Alle har rett til å skipe og melde seg inn i fagforeningar for å verne interessene sine.
24-00	Artikkel 24.
24-01	Alle har rett til kvile og fritid, og dermed til ei rimeleg avgrensa arbeidstid, og til ferie med løn.
25-00	Artikkel 25.
25-00	Alle har rett til ein levestandard som kan tryggje helsa og velværet til forsytaren og familien hans, og gje dei mat, klede, hus, helsestell og nødvendige sosiale trygder ved arbeidsløyse, uføre, dødsfall, alderdom eller andre tilhøve som skiplar livskåra, og som forsytaren ikkje er herre over.
25-01	Mor og barn har rett til særskild omsorg og hjelp. Alle barn skal ha same sosiale vern, anten dei er fødde i eller utafor ekteskapet.
26-00	Artikkel 26.
26-00	Alle har rett til undervisning. Opplæringa skal vere kostnadsfri, i det minste i den allmenne grunnskulen. Den elementære undervisninga skal vere pliktig for alle. Alle skal ha høve til å få fagopplæring, og det skal vere like vilkår for alle til å få høgre utdaning, alt etter dei evnene dei har.
26-01	Undervisninga skal ha til mål å styrkje den menneskelege personlegdomen og auke vørdnaden for menneskerettane og den grunnleggjande fridomen, fremje skjønsemd, toleranse og venskap mellom alle nasjonar, folkeslag og religiøse grupper og stø fredsarbeidet til Dei Sameinte Nasjonane.
26-02	Foreldra har førsteretten til å velje kva slag opplæring barna deira skal få.
27-00	Artikkel 27.
27-00	Alle har rett til fritt å vere med i det kulturelle livet i samfunnet, til å nyte kunst og til å få sin part av dei vitskaplege nyvinningane og godane som følgjer med dei.
27-01	Kvar einskild har rett til å få verna dei moralske og materielle interessene som han har skapt seg gjennom vitskapleg, litterært eller kunstnarleg arbeid.
28-00	Artikkel 28.
28-01	Alle har krav på å få leve under slike sosiale kår og internasjonale tilhøve at dei fullt ut kan gjere til røyndom retten og fridomen i denne fråsegna.
29-00	Artikkel 29.
29-00	Alle har plikter andsynes samfunnet, då personlegdomen til den einskilde einast der kan få frie og fullgode voksterkår.
29-01	Retten og fridomen til den einskilde skal ikkje vere avgrensa av anna enn det lova tydeleg slår fast for å tryggje den vørdnaden alle andre har krav på når det gjeld rett og fridom, og dei krav som eit demokratisk samfunn med rette kan setje til moral, offentleg orden og allmenn velferd.
29-02	Denne retten og fridomen kan ikkje i noko høve nyttast i strid med formålet og prinsippet til Dei Sameinte Nasjonane.
30-00	Artikkel 30.
30-01	Ikkje noko i denne fråsegna må tolkast slik at det gjev stat, grupper eller einskildmenneske rett til å vere med på tiltak eller handlingar av noko slag som har til mål å øydeleggje den retten og fridomen som denne fråsegna stadfester.
