00-00	Mʌshelɔ Ma Aŋfəm ŋa Rʌru Ta Ʌmari Ma Rʌwuni Kəpet
02-01	Wuni o wuni ɔ ba mari ma rʌwankom, yi mʌmari a bot ka mʌsekrʌnɛ ame, kama a te say kɔ tʌ ʌbɔnshɔ, mʌyi ma ʌŋdɛr ŋɔŋ, kəpa uwan duni thalɔm wunibom, sɔthlɔm ʌtənt mʌŋ fɔf, ʌŋdina mʌŋ tʌŋ, thalɔm kəpa ʌŋgbʌp ʌŋ yi, təkə ʌte mɔ wop ka ʌmerʌ ŋɔŋ, ʌŋthɔf ŋɔŋ, thalɔm ʌŋbɔnshɔ ɔ wur, tə mɔnɛ, ta ro a kom kɔ‐o, yi mətəma ɔ‐e. Rodi kati sɔ, a yɛ təkə yɔ kɔ agbʌy tə kəpa aŋgbʌp ʌŋe rɔ yi, ʌmari ɔ təmʌ, thalɔm mʌtəmʌ ma ʌŋthɔf, thalɔm aŋgbʌŋ ɔwuni ɔ yi‐e, thalɔm kəpa ʌŋthɔf ʌŋe po chiyʌ ka ʌŋyɛthɛ ŋati, thalɔm a taŋ ŋi mʌshehɛkɛ, aŋyi ro ratha ka ʌthɔf ʌlɔm, thalɔm ʌŋ bayɛ ʌte ma yɔ ka ʌŋyɛthɛ ŋate.
03-00	3. Ʌŋsəkəl bekʌ məsas
03-01	Wuni o wuni ɔ ba ʌmari ta ʌŋesəm ŋɔŋ, rʌwankom rɔŋ yi kʌfisɔs ʌŋesəm ŋɔŋ.
04-00	4. Ʌŋsəkəl bekʌ mʌŋlə
04-01	A yɛ sɔ təkə wop wuni rətar, thalɔm kəyis kɔ məshɛkɛ. A yɛ sɔ təkə wop wuni, kəthila atar də roŋ o roŋ. Kʌthila aŋfəm ka rʌtar a yi təkə gbiŋe ki.
05-00	5. Ʌŋsəkəl bekʌ tamath
05-01	A yɛ təkə thʌlər, kəsɔmpar, thalɔm kəgbalo wuni ka ʌŋfɔsɔ rəkɔm.
06-00	6. Ʌŋsəkəl bekʌ tamthurukin
06-01	Wuni o wuni ɔ ba ʌmari mɔŋ a yi təkə sɔŋ kɔ kətanŋʌnɛ ka aŋthɔ‐e.
07-00	7. Ʌŋsəkəl bekʌ tamthədɛrəŋ
07-01	Aŋfəm ʌkəpet a thənʌnɛ teri ro der ka ʌŋthɔ. Ɔwa ʌŋ ba ʌmari ma kʌmʌ ʌŋthɔ ʌŋ gbəpər ŋa. Ɔwa ʌŋ ba ʌmari ma kʌmʌ ʌŋthɔ ʌŋ bum ŋa kəwur ka ʌŋe mə yɔ ŋa ʌŋgbʌy; ta ʌŋe məshim mʌsekranɛ ʌme, thalɔ m təkə yɔ aŋfəm alɔm ʌŋ ləsər mʌsekranɛ ʌme.
08-00	8. Ʌŋsəkəl bekʌ tamthərɛsas
08-01	Wuni o wuni ɔ ba ʌmari kʌmʌ a thonkanɛ kɔ ta bepi wuni o wuni ɔ kʌthi kɔ ʌmari mɔŋ ka rəwuni kəpet kətaŋʌnɛ ka ʌŋ thɔ.
09-00	9. Ʌŋsəkəl bekʌ tamthərɛŋanlɛ
09-01	A yɛ təkə barkar wuni ka ʌŋfɔsɔ. A yɛ təkə bot kɔ dɛr ɔfenʌnɛ thalɔm kəfitha kɔ rʌthɔf ʌtel ka mʌ te mɔ yema.
10-00	10. Ʌŋsəkəl bekʌ tɔfɔt
10-01	A yi təkə sɔŋ wuni o wuni ʌfɛrɛ ʌthənʌnɛ suʌ kɔ ɛləŋs ka ʌŋbare ŋa ʌŋthonkas gberkethe mə te yɔ ʌgbʌy ka kʌgbɛngbɛn ʌmari mɔŋ yi ʌŋgbɛthɛ ŋɔŋ, yi mʌləs thalɔm tʌləs a pa tɔ yɔ‐e.
11-00	11. Ʌŋsəkəl bekʌ tɔfɔt ŋin
11-01	Ɔwa wuni o wuni a po bot ka ʌŋbare ŋa ʌŋthonkas bɛ ta mʌləs a pa mɔ yɔ‐e, a yɛ təkə gbasi kəpa ʌte a lɔm kəpa tɔ yu‐e təteŋ, haŋ thas a po gbɛngbɛŋ yi kələfthi ləfthi. Ɔwa a sɔŋ kɔ ʌŋfɛrɛ ŋa kʌthonka kʌmʌ ɔ kʌthinɛka ʌte a deŋ kɔ. Ɔwa thas a bəp kəpa ʌte a l m təteŋ yenka ma wop kɔ tɛn.
11-02	Ɔwa a yɛ təkəwop wuni ka ʌŋthɔ ka mʌləs ʌme pəyi ɔ botɛ ri mʌta mɔŋ, pə ka ʌŋthɔ ŋa ʌŋthɔf ŋɔŋ‐o, thalɔm ʌthɔf ʌtel ka ʌlɔkɔ a yɔ mʌləs mati‐e. Ɔwa a yɛ təkə thʌlər wuni pə thas mɔ to a bot təkəthʌlər wuni məshim ʌŋthɔ ka ʌŋlɔkɔ ɔ shim ʌŋthɔ‐ɔ.
12-00	12. Ʌŋsəkəl bekʌ tɔfɔt mʌrəŋ
12-01	A yɛ təkə bot kəsəŋ ka ʌŋgbundu, ʌŋbɔnshɔ, mʌyirʌ thalɔm ʌte mɔ gbal, ɔwa kəsambos ayiki tɔŋ yi ʌŋes ŋɔ ʌfinɔ. Ɔwa wuni o wuni ba ʌmari ma kʌ yɔ ʌŋthɔ ʌŋ chimʌ kɔ ka ʌŋe mə bot kɔ kəsəŋ‐e.
13-00	13. Ʌŋsəkəl bekʌ tɔfɔt məsas
13-01	Wuni o wuni ɔ ba rʌwankom ra kʌkɔnɛ ro ɔ yema yi kəbot məyira mɔŋ ro ɔ yema‐e ra thɔf o thɔf.
13-02	Ɔwa wuni o wani ɔ ba ʌmari ma kʌtey hali ro a kom kɔ‐e təkə kɔnɛ ro ɔ yema‐e, thalɔm kəkalʌnɛ ro ɔ wur‐e.
14-00	14. Ʌŋsəkəl bekʌ tɔfɔt maŋlɛ
14-01	Wuni o wuni ɔ ba ʌmari ma kʌgbukɛ ɔ kɔ mʌnknɛ rʌ ʌthɔf ʌlɔm, kʌmʌ a te dif kɔ.
14-02	Ɔwa a yɛ təkə nɔy kɔ ʌmari ʌme ta salata ɛfɔf ɛyay yay, thalɔm rə tətək təlɔm tə wɔŋ rʌpɔlitikis, thalɔm tətək te ləsər mʌthank ma Ʌŋyunaytɛd Neshɔn.
15-00	15. Ʌŋsəkəl bəkʌ tɔfɔt tamath
15-01	Wuni o wuni ɔ ba ʌmari təkŋ yirʌ ka ʌŋthɔf ŋɔŋ.
15-02	Ɔwa wuni ɔ baye mari təkə kʌthi ɔkos kɔŋ ʌmari ma kayi ukin ka aŋthɔf ŋɔŋ, thalɔm kəbɛnt kɔ kʌmʌ ɔ te shinkar kayi ukin ka ʌŋthɔf ɔ te yema.
16-00	16. Ʌŋsəkəl bəkʌ tɔfɔt tamthrukin
16-01	Aŋfəm aruni yi aŋfəm abom po tɛna‐e, aŋ ba mʌri təkə nʌntʌnɛ mɔ to aŋ yema‐e; təkə te kəlɛnɛ tʌ ʌbɔnshɔ, ʌŋthɔf, thalɔm ʌŋdina kʌmʌ aŋ təpi tʌlek taŋ.
16-02	Ɔwa a yɛ təkə nɔt wuni kə kɔnɛ balʌ ka ɔwe ɔ te yema. Aŋe mənʌntʌnɛ‐e, aŋ yi təkə bɛŋ ka mʌyema maŋ.
16-03	Ɔwa mʌ pəyi rʌlek ra mʌyira rʌ yi kʌboth ka ʌkələŋ kələŋ ka mʌyiranɛ‐e, aŋə ka ʌkələŋ bɛ yi ka ʌŋthɔfe, a yi təkə bum ŋa də roŋ o roŋ maŋ yema yʌtha‐e.
17-00	17. Ʌŋsəkəl bəkʌ tɔfɔt tamthədɛrəŋ
17-01	Wuni o wuni ɔ ba ʌmari təkə ba ʌkeŋ kɔŋ kɔn son. Ɔwa ɔ gbəli sɔ kʌl ba ʌkeŋ yi afəm alɔmŋ.
17-02	Ɔwa wuni ɔ bayɛ mari təkə kʌthi kɔ ki rʌ fɔsɔ rəkom.
18-00	18. Ʌŋsəkəl bekʌ tɔfɔt tamthrɛsas
18-01	Wuni o wuni ɔ ba ʌmari ma rʌwankom ra kʌtəmtəmnɛ to ɔ yema, ɛnanɛ yɔŋ yi ʌŋdina ɔ yema wop‐e. Wa ɔ ba ʌmari ma kʌshinkar ʌŋdina ɔ yema, yi mʌlanɛ mɔŋ. Ɔwa ɔ ba rʌwankom ra kʌthəksʌ, kʌbʌtho, kʌtaŋʌŋɛ yi kəthəksʌ mʌlanɛ mɔŋ pəyi kɔŋ son‐o, ka ʌkələŋ kələŋ yi afəm alɔm‐o, dɛr ɔgberkethe‐o, thalɔm ka ʌŋ gbundu ŋɔŋ.
19-00	19. Ʌŋsəkəl bekʌ tɔfɔt tamthrɛŋanlɛ
19-01	Wuni o wuni ɔ ba rʌwankom ra ʌte ɔ təmʌ yi kʌfɔf ʌte ɔ yema‐e. Ɔwa rʌwankom ʌre ɔ ba ri təkə bət ʌte ɔ nanɛ kə tə bot kɔ kə səŋ yi kəthɛns, thalɔm kəsakəthi təra yi ɛtəmtəmnɛ də roŋ o roŋ kə təkəlɛnɛ ro ɔ yi‐e.
20-00	20. Ʌŋsəkəl bekʌ kəgba
20-01	Wuni o wuni ɔ ba ʌmari ma kʌwop məgbanɛ məthɔfəl yi kəkulunɛ aŋe ɔ yema‐e.
20-02	A yɛ təkə fɔsar wuni kʌmʌ ɔ kɔkulunɛ ka ʌte ɔ te yema‐e.
21-00	21. Ʌŋsəkəl bekʌ kəgba ŋin
21-01	Wuni o wuni ɔ ba ʌmari ma kʌgbasi ʌgbʌp ka ʌŋkwament ŋa aŋthɔf ŋɔŋ, kətʌŋ ka kɔŋɔŋ gbeŋ thalɔm ka ɔwe ɔ thithe.
21-02	Aŋkwhamɛnt ʌŋ yi təkətʌŋʌnɛ ʌte aŋfem aŋ yema‐e. Ɔwa mʌyema ʌme aŋ tə tɔrinɛ ŋʌ ka kʌtente thith aŋe aŋ yema‐e, ka aŋgbundu. Ɔwa a yɛ təkə pɛnshanɛ ʌmari ma wuni o wuni po bək təki thith wuni‐e, kama ɔ thith ɔwe ɔ yema ɔ təma ta ʌtɔŋ.
21-03	[Missing?]
22-00	22. Ʌŋsəkəl bekʌ kəgba mʌrəŋ
22-01	Ɔwa mʌ pəyi wuni o wuni ɔ yi kətɔŋ ka aŋfəm ʌkəpet‐e, ɔ ba ʌmari ma kʌmʌranɛ kɔ kʌmʌ pəfisa kɔ kətʌŋ ka ɛmar ya aŋthɔf, ɛmar ya tʌthɔf tətel, kətʌŋʌnɛ ka mɔ to ɔ gbəli təmʌ ukolo yi yiki kətɔŋ ka aŋkos ŋɔŋ.
23-00	23. Ʌŋsəkəl bekʌ kəgba ɛsas
23-01	Ɔwa wuni o wuni ɔ ba ʌmari ma kʌworək mʌpanth, rʌwankom ra kʌthith kɔ rəmʌpanth yi ka ɔlompi wati kʌmʌ ʌte pɛnshanɛ kəsɔŋ wuni mʌpanth.
23-02	Ɔwa wuni o wuni ɔ yi təkə ba ʌrʌm ʌthənʌnɛ bepi aŋ yɔ məpath məthənʌnɛ kəte tɔ ʌgbay.
23-03	A yi təkə rʌm wuni o wuni ʌrʌm ʌfinɔ mə gbəli sɔŋ kɔ ayiki tɔŋ ka rʌlek rɔŋ yi kəmar mʌtʌy məlɔm ɔ yi təkə yɔ ka ʌkələŋ kələŋ ɔyi‐e.
23-04	Wuni o wuni ɔ ba ʌmari təkə kulunɛ, thalɔm kətəpi ʌnənki mə chimʌ kɔ kʌmʌ ɔ sɔthɔ ʌrʌm ʌfinɔ ka mapanth mɔ worək‐e.
24-00	24. Ʌŋsəkəl bekʌ kəgba manlɛ
24-01	Wuni o wuni ɔ ba ʌmari ma kʌfothanɛ kəwur kʌyɔ mʌpanth to ɔ yema. Ɔwa ɔ ba ʌmari ma kʌsɔŋ kɔ ʌlɔkɔ mɔ fothanɛ ʌlɔkɔ o lɔkɔ.
25-00	25. Ʌŋsəkəl bekʌ kəgba tamath
25-01	Wuni o wuni ɔ ba ʌmari ma kayi uyenki mədɛr, yi kʌbɔr kɔŋ. Ɔwa aŋ yi təkə ba ɛdi ɛbeki, ɛyet ɛwɔŋ, aŋseth kʌyi, tɔl ɛbeki, ɛmar ya ʌŋthɔf. Ɔwa ɔ yi təkə sɔthɔ ʌmar ka ʌŋlɔkɔ mɔ te yi rə məpanth‐e, thalɔm utuy, bepi ɔ səkɛ ulopʌnɛ, thalɔm kəsəkɛ ubora, ubʌki, ɔwa sɔthəlɔm mʌ mɔ tə sɔ gbəli worək ka aŋyɛthɛ ŋɔŋ.
25-02	Aŋkomrʌ yi aŋfɛth bɛ a yi təkə sɔŋ ŋa məmari məthɔkɔŋ. Aŋfəth ʌŋe ma kom ka kʌ te tha nʌntanɛ yinkʌ te tha nʌntʌnɛŋ, a yi təkə sɔŋ ŋa ɛmar ɛthənənɛ.
26-00	26. Ʌŋsəkəl bekʌ kəgba tamthurukin
26-01	Uwath O wath ɔba ʌmari ma k ʌyɔkɔ ɔKarʌn A yi təkə yɔ wath o wath ɔ pon kʌ kʌraŋ ka ʌtaranthɛ təfɛth. Kɛrɛ kʌthəkəs tʌtol yi kʌkʌraŋ kəboli rəkɔm a yi təkə sɔŋ ki ka aŋfəth ʌŋe gbəli thəkəs yi kʌkaraŋ kati.
26-02	Ɔwa kakaraŋ a yi təkə yɔ ki kʌmʌ kə gbəli mar ɔwuni kʌmʌ ɔ kɔ rodi, tə kəbʌr ʌyiki tɔŋ yi rʌwankom rɔŋ. Ɔwa kəyi təkə gbəli kʌrʌ kɔ kəsɔthrʌnɛ ɛmerʌ, kʌmuyʌnɛ, kə kʌrʌ rəyathki kətɔŋ ka tʌ bona ta ʌrʌru, aŋfəm ʌkəpet, ɛdina ɛgbaske gbaske, ɔwa yi kə kʌrʌ məthɔfəl mɔ to Aŋyunatɛd Neshon aŋ yema‐e.
26-03	Aŋkomra aŋ ba ʌmari ma kathith ko kə karanŋ kaŋ yema aŋfɛth ŋaŋ aŋ karaŋ‐e.
27-00	27. Ʌŋsəkəl bekʌ kəgba tamthədɛrəŋ
27-01	Ɔwa wuni o wuni ɔba ʌmari ma kʌtʌŋ mʌkur ma aŋfəm ŋɔŋ ʌme ɔ yema‐e, yi ka ʌkələŋ kələŋ ɔ yi‐e. Ɔ yi təkə yanthenɛ mʌtʌy ʌme, ɔwa ɔ yi təkə mar kʌmʌ mə kɔ ro di ka mɔyɛŋ.
27-02	Wuni o wuni ɔ ba ʌmari ma kəbum mʌyi, mʌyɛt ʌme ɔ bɛmpa yi ʌtafʌ ʌte kɔnɔŋ ɔ gbal‐e.
28-00	28. Ʌŋsəkəl bekʌ kəgba tamthrɛsas
28-01	Ɔwa wuni o wuni ɔ ba ʌmari ma kʌtʌŋʌnɛ ʌŋe ɔ yema pəyi ka aŋthɔf ŋɔŋ rəkor‐o, thaɔm rə təthof tətel ro mɔ gbəli sɔthɔ ʌŋfɛrɛ ŋa ka sɔthɔ mʌtʌy ʌme bɛ a gbal ka mʌsekrʌnɛ ʌme ka rʌwʌnkom rɔŋ kəyankaŋ.
29-00	29. Ʌŋsəkəl bekʌ kəgba tamthrɛnaŋlɛ
29-01	Ɔwa wuni o wuni ɔ ba ʌŋgbɛthɛ ŋa təkə mar ʌkələŋ kələŋ ɔ sɔthɔ rʌwankom bɛ ɔ po teŋa yi kəwur ŋaŋiɛŋ.
29-02	Ɔwa hali ma apa wuni o wuni ɔ ba ʌmari yi rʌwankomrɔŋ, ta tʌrʌ ti kəpa ɔ yi ro ratha ka ʌ ŋthɔ. Ɔwa ɔ yi təkə yikis ʌmari yi rʌwankom ra aŋkos ŋɔŋ. Ɔwa ɔ anfəm ŋa rʌwankom.
29-03	Ɔwa ʌmari ʌme yi rʌwankom ʌre, ɛ sɔŋ yɛ wuni mari təkə te tʌŋʌnɛ mʌbotəs ma Aŋyunayted Neshɔn.
30-00	30. Ʌŋsəkəl bekʌ kəgba tɔfɔt
30-01	Ɔwa ʌte yi ka mʌsekranɛ ʌme bɛ, a yɛ təkə gbasi ti təkə sɔmpar ʌŋthɔf, wuni o wuni, thalɔm ʌnənki ŋa ʌŋfəm, thalɔm təkə kasara ʌmari yi rʌwankom yi ka mʌsekranɛ ʌme.
