00-00	Най правосални Всеобщай Декларацияни
01-01	Хэмту найсал гипалин, мэнэ гэбудиэри, правосалдиари эмуту балдичи. Нёанчи муруӈку, дэрэлку, диа диавари а-нэу-мэт бодомари тагилайчи.
02-00	Дюэечиэ статья
02-01	Най таони, голони, хэрэктэни бойкони хо̄ни бимиу, эктэни, хусэни бимиу, хай хэсэдиэни хисаӈгоамио, хай эндуривэ, политикава гучи гой дякасалба агдачамио, хавой голо бимиу, баян, синэди бимиу, дяӈгиан, байби най бимиу, гучи хадёни гой хай-да хаӈгис-хаӈгис бӣ-дэ, – чава эм бодоами, эй Декларация са̄ваӈкини хэмту правосалку, хэмту свободасалку бигини.
02-02	Тэй оячиани, найва, хай боадоани, на̄доани бӣ-дэ, тэй боа, на̄, страна хо̄ни би статусако бимиу: политическай, правовой, международнай-ну, мэнэ энчэхэндии-ну, гой страна далайдиани бӣни-ну гучи хо̄ни-да энчэхэмбэни камаливачи аличайни-ну – гэрбиэсиухэн тургундулэни хаӈгис-хаӈгис бодоваси.
03-00	Илиачиа статья
03-01	Най таони бимбэ, свободава, уй-дэ нёамбани тоӈгаласивани гэлэми мутэй. Тэй нёани правони.
04-00	Дуечиэ статья
04-01	Уйвэ-дэ лаодинчами ачаси; лаодинчаорива, лаодинсалба хачинди ходасиорива камалиори.
05-00	Тойӈгиачиа статья
05-01	Уйвэ-дэ эрулэури, кэпсуӈгэди, гэбувэни тугбуми таори, кэсулиури ачаси.
06-00	Нюӈгиэчиэ статья
06-01	Най таони, хайдо-да бичин-дэ, нёани правосубъектностиди правоковани тэдеуривэ гэлэй.
07-00	Надачиа статья
07-01	Хэмту найсал гиандо эмуту, хангис-хангис би анадиани, эмутуди гиан кандёйвани гэлэмэри мутэйчи. Эй Декларациява эм тургунчиэми, уйвэ-дэ хо̄ни-да тугбуриду гучи хо̄ни-да хэм би тугбунчи пикпуриду хэмту най эмуту кандёмба гэлэмэри мутэйчи.
08-00	Дякпочиа статья
08-01	Най таони, нёандоани Конституция, гиан бӯхэчи основной правосалбани боялиори осини, гиамба улэн са̄ри мэнэ голои дёдяни нёани правосалбани хэм тэрэк таогойвани гэлэми мутэй.
09-00	Хуюэчиэ статья
09-01	Уйвэ-дэ байта анадиани дяпаори, камалиори, пуӈнэури ачаси.
10-00	Дёаячиа статья
10-01	Най таони, мэнэ правосалби гучи таи дякасалба тэрэк осигоаӈгоачи, м пибайталтойвачигиаӈкономса̄гоачи,гэрэнгурундиэмутуди,хэмтунайсал са̄ридиачи, гиандола тэрэк мэнэ энчэхэндии дёбой дёдян дёдяйвани гэлэми мутэй.
11-00	Дёан эмунчиэ статья
11-01	Най таомбани, нёамбани байталториду, чава гиандола дёдями са̄гори- чиа, байта анади бодори; тэй оячиани нёамбани, хони-да хэм м пи кандёми мутэгуэни, хачинди бэлэчиури.
11-02	Уйвэ-дэ, хайва-да тахандолани-ну, та̄чиндолани-ну, чава тахани эринду нёани голони гиандолани, международнай праволани тэй байта биэчини осини, байтакоам байталтоми ачаси. Гучи байтагои ба̄хани эринду бичин кэсулиндуй маӈгади кэсулими ачаси.
12-00	Дёан дюэечиэ статья
12-01	Уй-дэ гой най эргэмбэни, дёгбани, гэбувэни, дёӈкани балдимбани тоӈгалами мутэси. Най таомбани гиан кандёйни.
13-00	Дёан илиачиа статья
13-01	Най таони мэнэ мурундулэй хэӈгэлди пулсими, мэнэ государствои долани бигуи боава ба̄ми мутэй.
13-02	Най таони гой странава, мэнэ странаи на̄лами, мэнэ страначии мочогоми мутэй.
14-00	Дёан дуечиэ статья
14-01	Най таони, нёамбани гой най хасасидоани, мэнэ бэуӈгуи гой боаду гэлэми, ба̄хамби бэумби такорами мутэй.
14-02	Най мэнэ оркиндолаи хай-да байтава тайни осини, Объединённай Нациясал Организацияни принципэвэни хаӈгис-хаӈгис тайни осини, нёани эй правова такорами мутэси.
15-00	Дёан тойӈгиачиа статья
15-01	Най таони гражданствоку бими мутэй.
15-02	Уй-дэ гражданствовани бай туй абанавами ачаси, гражданствои мэнэ мурундулэи калами мутэйни правова чӣгуми ачаси .
16-00	Дёан нюӈгучиэ статья
16-01	Хусэ, эктэ най, дёан дякпон с вэ исипари, гой-гой голоко, религияку-да, эди-аси осимари мутэйчи. Нёанчи, эди-аси осидоари, гэсэ балдидоари, па̄дилагойдоари, хэм эмуту правокул.
16-02	Най хэӈгэлди мэнэ мурундулэи, эе-тая чихалайдоани, эди-аси осимари мутэйчи.
16-03	Нуктэн – общество боӈго ячейкани; обществоди, государстводи нуктэмбэ кандёйчи. Тэй нуктэн правони
17-00	Дёан надиачиа статья
17-01	Най таони мэнэ хадёмби эмучэн, гой найди-да гэсэ эделэчэми мутэйни.
17-02	Уй-дэ гой най хадёмбани чӣми мут си.
18-00	Дёан дякпочиа статья
18-01	Най таони мэнэ хэӈгэлди муруӈку, дэрэлку, религияку бими мутэй; эй правола най мэнэ чихалами религияи, мурумби калами мутэй. Най таони мэнэ тэдючии мурумби, религияи эмучэн, гой гурунди гэсэ-дэ голои колилани тами мутэй.
19-00	Дёан хуюэчиэ статья
19-01	Най таони мэнэ тэдючии муруӈку бими мутэй. Тэй мурумби гой гурумбэ тэдевэӈкичэми, хэӈгэлди уми мутэй. Нёандоани тэй право би. Эй правочи ӣричи: хай границасалба-да бодоами, мэнэ мурумби го̄лани биури, хамача-да мэдэвэни хай-да хэм эрдэнди гэлэмэчиури, ба̄ори, найсалба са̄вамбори.
20-00	Хоринчиа статья
20-01	Най таони хэӈгэл мирнэй собраниесалду, ассоциациясалду бими мутэй.
20-02	Уйвэ-дэ, чихаласи найва, хавой-да ассоциациячи ӣвэӈкичэвэси.
21-00	Хорин эмунчиэ статья
21-01	Най таони странаи мэнэ бэедии-ну, гой сондёхан найсал алдандиани-ну далачами мутэй.
21-02	Най таони мэнэ странадои государственнай дёбондо дёбоми мутэй.
21-03	Государстводу балди голосал мурунчи – правительство гиани тэхэни. Гэрэн гурун мурундулэчи странаду тоӈдо сондёнсалба осивамбори. Тайнай голосованиеду сондёй найсал хэм эмутуди правоку осивачи гэлэури.
22-00	Хорин дюэечиэ статья
22-01	Най таони, общество членни бими, нёани экономическай, социальнай, культурнэй удэду мэнэ гэбуи эурӣчэми, хэӈгэлди урэми балдигоани, нёани странадоани балди голосал гой-гой боаду балди голосалди гэсэ диа диавари бэлэчивэчи гэлэури. Тэй найсал таони правочи.
23-00	Хорин илиачиа статья
23-01	Най таони правони: дёбори, мэнэ мурундулэи дёбоӈгои сондёри, тэрэк би, улэн условиеку дёбондо дёбори, дёбон ана осидиани хоричако биури.
23-02	Най таони гой найди эмуту дёбондола эмуту туримбэ гэлэми мутэй.
23-03	Дёбой най таони, нёандоани, нёани дёӈкандоани иси туримбэ гэлэуриди правоку; турини исиасини осини, государство нёамбани бэлэчидиэни правоку.
23-04	Най таони нёани интересэвэни кандёй профсоюзава аӈгоми, тэй профсоюзачи ӣуми ая правоку.
24-00	Хорин дуечиэ статья
24-01	Дёбой най таони тэими, туриӈку отпускава гэлэми мутэй. Тэй нёани правони.
25-00	Хорин тойӈгиачиа статья
25-01	Най таони, мэнэ гучи дёӈкамби аяди, элгиэчимэри балдигоачи, дёко, сиаптаӈгико, тэтуэку, энусидуэри, окчичи гучи дэӈси гуруӈку биуриди правоку. Дёбон ана осиочиани, энусидуэни, дебоми мутэсидуэни, на̄он дэрэдигучиэни, сагдаӈгочиани, албан бэлэчивэни гэлэми мутэйни. Тэй най таони правони.
25-02	Нӯчи пурилку экэсэл, нӯчи пурил чу маӈга эмуту этэхимбэ, бэлэчимбэ гэлэуриди правокул. Хэмту пурил, эдику ба̄охан бимиу, эди ана ба̄охан бимиу, эмутуди албан бэлэчидиэни, ка̄ндёйдиани бӣвэчи гэлэури. Тэй нёанчи правочи.
26-00	Хорин нюӈгиэчиэ статья
26-01	Най таони тачиочиориди правоку. Начальнай, общай образование таман ана бигилэйчи. Хэмту пурил начальнай образованиева ба̄гилайчи. Техническэй, профессиональнай, увуй образованиева мутэй гурун хэм ба̄гичи.
26-02	Образование найва улэн, маси, гой най правосалбани, свободасалбани кидуривэ тачиочигини. Образование диа диавари, гой голосалба дэрэлэми, аличами биуривэ, Объединённай Нациясал Организацияни мирбэ кандёйвани бэлэчиуривэ тачиочигини.
26-03	Аминсал, энинсэл нӯчи пурилбэри хайдо-да тачиочигоачи мэнэ сондёриди правокул.
27-00	Хорин надачиа статья
27-01	Най таони мэнэ мурундулэи общество культурнэй биндуэни, искусствова улэсими, научнай прогрессаду участвовалами, бэнчиэмбэни такорами мутэуриди правоку.
27-02	Най таони моральнай, материальнай интересэсэлби – мэнэ научнай, культурнэй, художественнай дёбонсалби – кандёми мутэуриди правоку.
28-00	Хорин дякпочиа статья
28-01	Най таони социальнай гучи международнай порядокба гэлэуриди правоку. Тэй право эй Декларацияду нирувухэн най правосалбани, свободасалбани тэде оповандини.
29-00	Хорин хуюэчиэ статья
29-01	Най таони хэӈгэлди, тэӈ улэнди урэи, бии обществоду нэ таодаӈко.
29-02	Най таони мэнэ правосалби, свободасалби тэде оповандидои, демократическай обществоду би гой най правосалбани, свободасалбани, общественнай порядокбани, гэрэн гурун бэнчиэмбэчи гиандола са̄гини, кидугини .
29-03	Тэй правосалба, свободасалба тэде оповандидои, ха̄ли-да Объединённай Нациясал Организацияни целисэлни, принципэсэлни хангиактолани тами ачаси.
30-00	Гочиачиа статья
30-01	Хайва-да эй Декларацияду нирувухэмбэ, хавой-да государстводо-ну, найсал хопандоачи-ну, па̄ди найдо-ну правосалба гучи свободасалба абанагоами тагоачи правова бувуриэм, отолими ачаси.
