00-00	LAWA RARABA NI DODONU NI LEWENIVANUA
02-01	Na tamata kece e nodra na dodonu kei na galala e tukuni tiko ena Lawa oqo, e sega ni dua me vakaduiduitaki ena vuku beka ni kawa, roka ni kuliniyago, tagane se yalewa, vosa, lotu, nanuma vakapolitiki se nanuma cava tale, vanua se itikotiko e cavutu mai kina, iyau, sucu se itutu cava tale.
02-02	Me kua tale ga ni vakaduiduitaki e dua ena vuku ni matanitu se vanua e cavutu mai kina, ena vakasama beka vakapolitiki, vakaiyalayala se itutu ena vuravura, se mani vanua tu vakataki koya, vanua qali, koloni, se itutu cava ga.
03-00	Tikina e 3.
03-01	Na tamata kece e dodonu me bula, me galala, me taqomaki tale ga.
04-00	Tikina e 4.
04-01	Me kua ni dua me bobula se vakabobulataki; e vakatabui na bobula kei na veivakabobulataki ena kena mataqali kece sara.
05-00	Tikina e 5.
05-01	Me kua ni dua e vakararawataki, se vakacacani, me caka vua se totogitaki ena itovo e sega ni vakatamata, e veivakalolomataki.
06-00	Tikina e 6.
06-01	Na tamata kece e dodonu me raici vakatautauvata ena liga ni lawa.
07-00	Tikina e 7.
07-01	E tautauvata kece na tamata ena liga ni lawa, mera taqomaki kece tale ga ena lawa, me kua ni dua me vakaduiduitaki. Na tamata kece e sega ni dodonu me  vakaduiduitaki ena vuku ni dua na tiki ni Lawa oqo se me uqeti me vakaduiduitaki.
08-00	Tikina e 8.
08-01	E nodra dodonu na tamata kece me rogoci vinaka na nodra kisi ena dua na mataveilewai cicivaki vinaka ena nona matanitu kevaka e beci na nona dodonu e maroroi tu ena lawatu se ena lawa.
09-00	Tikina e 9.
09-01	Me kua ni dua e vesu, qaqauraki, se me lesavi vakailoa
10-00	Tikina e 10.
10-01	E dodonu ni tamata kece me rogoci vakatautauvata, vakadodonu, ena mataveilewai e tu vakataki koya qai sega ni veitovaki me macala kina na nonu dodonu kei na ka me cakava ena cala e beitaki kina.
11-00	Tikina e 11.
11-00	E dodonu ni tamata kece e beitaki ena dua ena cala me nanumi ni sega. ni cala me yacova ni sa qai vakacalai dina ena lawa ena veilewai a vakatarai kina me valataka na nona kisi.
11-01	Me kua ni dua e beitaki ena cala ena vuku ni ka e cakava se sega ni cakava kevaka e sega ni wili me cala ena lawa ni vanua se lawa ni vuravura ena gauna se cala kina, me kua tale ga ni tau vua na itotogi bibi cake mai na itotogi se vakamuri tiko ena gauna e cala kina.
12-00	Tikina e 12.
12-01	Me kua ni dua e vakasaurarataki me baleta na nona bula, vuvale, itikotiko, se  ivola, se me beci o koya kei na kena irogorogo. E dodonu ni tamata kece me taqomaki ena lawa mai na cakacaka se veivakacacani vaka oqo.
13-00	Tikina e 13.
13-00	E dodonu ni tamata kece me veitosoyaki qai vakaitikotiko ena loma ni nona vanua.
13-01	E dodonu ni tamata kece me biuta na vanua cava ga, wili kina na nona vanua, se me lesu i nona vanua dina.
14-00	Tikina e 14.
14-00	E dodonu ni tamata kece me saga qai marautaka nona kerea me bula ena dua na vanua me kua kina ni vakatotogani.
14-01	Me kua ni vakayagataki na dodonu oqo kevaka e vakacacani ena vuku ni basulawa e sega ni yavutaki vakapolitiki se ena vuku ni cakacaka e veicalati kei na inaki kei na vakasama ni Matabose Levu kei Vuravura.
15-00	Tikina e 15.
15-00	E dodonu ni tamata kece me lewe ni dua na vanua.
15-01	Me kua ni dua e vakasaurarataki me kua ni tiko ena nona vanua se me veisautaka na vanua e sa volai kina.
16-00	Tikina e 16.
16-00	E dodonu ni tagane kei na yalewa sa tamatabula, veitalia na nodra kawa, vanua se lotu, mera vakamau ra qai tauyavutaka nodra vuvale. E dodonu me tautauvata tiko ga na nodra dodonu nira vakamau, ni vakamau oti kei na gauna ni sere.
16-01	Me rau qai vakamau ga e lewe rua ke rau vinakata rau qai vakadonuya ruarua.
16-02	E yavu dina qai yavu dodonu ga ni bula vakaitikotiko na vuvale, sa dodonu kina me taqomaka na vuvale na vanua kei na matanitu.
17-00	Tikina e 17.
17-00	E dodonu ni tamata kece me taukena na iyau, me nona ga se taukena vata kei na so tale.
17-01	Me kua ni dua e kovei vua na nona iyau.
18-00	Tikina e 18.
18-01	E nona dodonu na tamata kece na galala ni vakasama, lewaeloma kei na lotu; e okati ena dodonu oqo na galala me veisautaka na nona lotu se vakabauta, kei na galala me vakaraitaka na nona lotu se vakabauta ena nona veivakavulici, vakaitovotaka, sokalou qai vakamuria, se cakava duadua sc cakava vata kei ira tale e so, ena matanalevu se cakava vakataki koya.
19-00	Tikina e 19.
19-01	E dodonu ni tamata kece na galala me vakamacala se soli vakasama; wili ena dodonu oqo na galala me tukuna nona nanuma qai sega ni vakacacani. Me vakasaqara tale ga, ciqoma, tukuna na itukutuku kei na vakasama ena tabana ni itukutuku cava se vanua cava ga e tiko kina.
20-00	Tikina e 20.
20-00	E dodonu ni tamata kece na galala me soqovata qai veimaliwai ena vakacegu.
20-01	Me kua ni vakasaurarataki e dua me lewe ni dua na isoqosoqo.
21-00	Tikina e 21.
21-00	E dodonu ni tamata kece me vakaitavi ena matanitu ni nona vanua, se vakaitavi sara ga kina se ena vukudra na mata a digitaka ena galala.
21-01	E dodonu ni tamata kece me vakayagataka vakatautauvata na veiqaravi ni matanitu.
21-02	Na lewa ni matanitu me yavutaki ena nodra lewa na lewenivanua; e tau na nodra lewa ena veidigidigi me dau caka vagauna, vakadodonu tale ga. Me dolavi raraba qai vakatautauvata na veidigidigi ena nodra digidigi lo se dua na ivakarau ni digidigi vaka oya ena galala.
22-00	Tikina e 22.
22-01	Na tamata kece, ni lewe ni dua na itikotiko, e nodra dodonu me taqomaki ena vanua e tiko kina, me soli tale ga vei ira, ena sasaga ni nodra matanitu se ena nodra veitokoni na veimatanitu me salavata kei na ituvatuva kei na iyau ni matanitu yadua, na nodra dodonu vakailavo, vakaitikotiko, vakavanua. E bibi na dodonu oqo ena vuku ni nodra dokai kei na vakavinakataki ni nodra itovo.
23-00	Tikina e 23.
23-00	E dodonu ni tamata kece me cakacaka, me lewa nona cakacaka, me vinaka qai caka vakadodonu na kena isau kei na ivakarau ni cakacaka, me taqomaki tale ga mai na sega ni cakacaka.
23-01	E dodonu ni tamata kece me saumi vakadodonu ena cakacaka e cakava, me kua na veivakaduiduitaki.
23-02	E dodonu ni tamata kece e cakacaka me dodonu qai vinaka na kena isau me ratou bula vinaka kina, me dokai tale ga kina o koya kei na nonu vuvale, me qai tokoni, ke gadrevi, ena sala ni veivuke rale e so
23-03	E dodonu ni tamata kece me vakaduria se lewena na unioni me taqomaki kina.
24-00	Tikina e 24.
24-01	E dodonu ni tamata kece me vakacegu, me gade me veirauti tale ga nona gauna ni cakacaka qai saumi ena nona gauna ni gade vakayabaki.
25-00	Tikina e 25.
25-00	E dodonu ni tamata kece me vinaka na nona ivakarau ni bula me bula kina o koya kei na nona vuvale, bau kina na kakana, isulu, vale, veiqaravi vakavuniwai kei na ka ni veivuke tale vaka oya, na dodonu tale ga me vukei ke sega nona cakacaka, tauvimate, vakaleqai na yagona, mate o watina, qase, se dua tale na leqa e sega ni cakava rawa kina e dua na ka.
25-01	E dodonu mera qaravi vinaka ra qai vukei na tina kei na luvedra. Se sucu na gone ena loma ni vakamau se sega, e dodonu mera na vukei tiko ga vakatautauvata.
26-00	Tikina e 26.
26-00	E dodonu ni tamata kece me vuli. Me kua ni saumi na vuli, vakabibi mada ga ena paraimari, ena cala tale ga ke ra sega ni vuli no gone era tiko ena yabaki ni bula ni paraimari. Me na tiko vakarawarawa na vulitara kei na vulitorocake. Me na dola tale ga na vulitorocake vei ira kece era yacova.
26-01	Me vagolei na vuli ena kena bucini na itovo vinaka kece, me vaqaqacotaki tale ga na dokai ni dodonu ni lewenivanua kei na galala yadua. Me vakabulabulataka na vuli na veikilai, veivosovosoti kei na veiwekani vakamatanitu, vakamatatamata, se vakamatalotu, me qai vamuria na cakacaka ni tiko veisaututaki ni Matabose Levu kei Vuravura
26-02	E nodra dodonu na itubutubu mera digia na vuli mera vuli kina na luvedra.
27-00	Tikina e 27.
27-00	E dodonu ni tamata kece me vakaitavi kevaka e vinakata ena itovo ni bula ni nona vanua, me marautaka na droini, ivakatagi kei na veika vaka oya, me vakaitavi tale ga ena sasaga vakasaenisi, me vakila tale ga na kena yaga.
27-01	E dodonu ni tamata kece me taqomaki na yacana kei na ka e cakava ena saenisi, volavola, se droini.
28-00	Tikina e 28.
28-01	E dodonu ni tamata kece me lewe ni itikotiko e tuvanaki maqosa ena nona vanua se vanua tani me muri kina vakavinaka na dodonu kei na galala e virikotori ena Lawa oqo.
29-00	Tikina e 29.
29-00	Na tamata kece e tiko na nona itavi ina nona itikotiko me vakavinakataka kina na nona itovo.
29-01	Ni muria e dua na nona dodonu kei na nona galala, me na yalani kece vakatautauvata ena lawa, ni kilai qai dokai tale ga na nodra dodonu kei na galala tale na so, kei na kena vinakati me muri na itovo e vinaka, na itovo e yaga raraba, me tiko vinaka kina na noda itikotiko vakademokarasi.
29-02	[?]
30-00	Tikina e 30.
30-01	Me kua ni vakadewa e dua na ka ena Lawa Raraba oqo me nanuma kina e dua na Matanitu, ilawalawa, se tamata ni solia na dodonu me vakaitavi se cakava e dua na ka me vakaleqa kina na dodonu kei na galala era virikotori e ke.
