00-00	BOIKANOKAKARETŠO BJA DITOKELO TŠA BOTHO
09-01	Ga go motho yo a swanetšego go no swarwa, go hlahlelwa goba go rakwa nageng ka mokgwa wo o sa kwešišegego.
10-00	Temana 10
10-01	Mang le mang o dumeletšwe go fiwa tsebe ke lekgotla leo le sa kgethego mahlakore go bona ge eba ditokelo tša gagwe le dinyakwa tša setšhaba go yena gammogo le molato wo mongwe le wo mongwe wo a pharwago ka wona ga se tša maitirelo.
11-00	Temana 11
11-01	Mang le mang yo a pharwago ka molato o na le tokelo ya go se bonwe molato go fihla ge go laetšwa gore o na le molato go ya ka molao le gona mo kgorong ya phatlalatša yeo a nago le ditokelo ka moka tša tšhireletšo.
11-02	Ga go motho yo a tla bonwago molato go ya ka tiro goba tlogelo yeo e sa bopego karolo ya molato wo a pharwago ka wona, ka tlase ga molao wa setšhaba goba wa ditšhabatšhaba ka nako yeo molato o dirwa. Goba a fiwa kotlo ye boima go feta yeo a bego a tla e fiwa ka nako ya ge molato o dirwa.
12-00	Temana 12
12-01	Ga go motho yo a swanetšego go šalwašalwa morago fao e bilego a se sa na sephiri ka boyena, ka lapeng, mangwalong a gagwe, goba fao go mo šalašala morago go tshwenyanago le maemo le go tsebega ga gagwe. Motho yo mongwe le yo mongwe o na le tokelo ya go šireletšwa ke molao maleba le go šalašalwa morago ka tsela ye goba go hlaselwa.
13-00	Temana 13
13-01	Mang le mang o na le tokelo ya tokologo ya mosepelo le mo a dulago gona ka gare ga naga ye nngwe le ye nngwe.
13-02	Mang le mang o na le tokelo ya go tlogela naga ye nngwe le ye nngwe, go akaretšwa le ya gabo, le go boela go yona naga yeo ya gabo ge a rata.
14-00	Temana 14
14-01	Mang le mang o na le tokelo ya go nyaka le go ipshina ka tšhireletšo dinageng tše dingwe maleba le tshekišo.
14-02	Tokelo ye e ka se dirišwe ge tshekišo e tšwelela mo molatong wo o sa amanego le dipolitiki goba mo molatong wo o thulanago le melao le maikemišetšo a Ditšhaba Kopano.
15-00	Temana 15
15-01	Mang le mang o na le tokelo ya go ba wa setšhaba seo se itšego.
15-02	Ga go yo a ka amogwago, ka go rata, mohlobo wa gagwe goba a ganetšwa ka tokelo ya go fetola mohlobo wa gagwe.
16-00	Temana 16
16-01	Basadi le banna ba ba godilego, ka ntle le go beelwa mellwane go ya ka mohlobo goba bodumedi, ba na le tokelo ya go nyala le go thea lapa. Ba loketšwe ke ditokelo tše di lekanego tša lenyalo, ka nako ya tšeano le ge lenyalo le fedišwa.
16-02	Lenyalo le tla diragatšwa fela ka tumelelo ye e lokologilego le gona ya go tlala go tšwa go banyalani.
16-03	Lapa ke tlhago le motheo wa sehlopha sa botee bja setšhaba gomme le loketše go šireletšwa ke setšhaba le mmušo.
17-00	Temana 17
17-01	Mang le mang o na le tokelo ya go ba le phahlo a nnoši goba go di hlakanela le ba bangwe.
17-02	Ga go yo a ka amogwago phahlo ka mabaka a go se kwagale.
18-00	Temana 18
18-01	Mang le mang o na le tokelo ya kgopolo ye e se nago mellwane gammogo le letswalo le bodumedi, tokelo ye e akaretša tokologo ya go ka fetola borapedi goba tumelo, le tokologo, a nnoši goba ka kopano le ba bangwe phatlalatša goba sephiring, go tšweletša pepeneneng bodumedi goba tumelo ya gagwe go ruteng, phethagatšong, borapeding le bohlokomeding.
19-00	Temana 19
19-01	Mang le mang o na le tokelo ya tokologo ya kgopolo le tlhagišo ya kgopolo ye: tokelo ye e akaretša tokologo ya go ba le dikgopolo, ka ntle le thibelo le go nyakišiša, go amogela le go tšwleletša dikgopolo le dikakanyo ka sephatlalatši se sengwe le se sengwe ntle le mellwane.
20-00	Temana 20
20-01	Mang le mang o na le tokelo ya go kgona go ka swara kopano ya khutšo le go tsenela makgotla ao a a ratago.
20-02	Ga go yo a ka gapeletšwago go ba leloko la lekgotla ge yena mong a sa rate.
21-00	Temana 21
21-01	Mang le mang o na le tokelo ya go tšea karolo mmušong wa naga ye, ka nnoši, goba ka boemedi bjo bo kgethilwego ka tokologo.
21-02	Mang le mang o na le tumelelo ye e tletšego ya go ipshina ka ditirelo tša mmušo wa naga ya gabo.
21-03	Thato ya batho e tla ba motheo wa maatla a mmušo. Thato ye e tla tšweletšwa ka go swara dikgetho tša kgonthe kgafetšakgafetša. Dikgetho tše di tla ba tša kakaretšo le gore mang le mang o tla ba le tokelo ya go bouta. Dikgetho tše di swanetše go dirwa ka kgetho ya sephiri goba ke mekgwa ye mengwe ya go bouta ye e swanetšego le gona e amogelegago.
22-00	Temana 22
22-01	Mang le mang, yo e lego leloko la setšhaba, o na le tokelo ya tšhireletšo ya setšhaba e bile o lokela go fihlelela ditumo tša gagwe maitekong a setšhaba le ka go šomišana le ditšhaba tše dingwe. Taba ye e ama gape le thulaganyo le dithušo tša lefase le lengwe le le lengwe, tša ekonomi, kgwerano le ditokelo tša setho. Dintlha tše ka moka di swanetše go godiša seriti le botho bja gagwe ka mokgwa wo o lokologilego.
23-00	Temana 23
23-01	Mang le mang o na le tokelo ya go šoma, go kgetha mošomo ka tokologo, ditlamo tše di kaone tša mošomo, le tšhireletšo maleba le go hloka mošomo.
23-02	Mang le mang, ka ntle le kgethollo, o na le tokelo ya go amogela moputso wa go lekana le mošomo wo a o dirago.
23-03	Mang le mang yo a šomago o na le tokelo ya go amogela moputso wo o kgotsofatšago wa go mo kgoniša go phela ka tlhompho gammogo le lapa la gagwe. Tokelo ye e swanetše go tlaleletšwa, ge go kgonagala, ka dithušo tše dingwe tša tšhireletšo ya setšhaba.
23-04	Mang le mang o na le tokelo ya go thoma le go ba leloko la mokgatlo wa bašomi go šireletša dikgahlego tša gagwe.
24-00	Temana 24
24-01	Mang le mang o na le tokelo ya go khutša le go itketla, go akaretšwa le nako ye e swanetšego ya diiri tša mošomo le matšatši a maikhutšo ao a lefelwago ka mehla ge a le boikhutšong.
25-00	Temana 25
25-01	Mang le mang o na le tokelo ya maemo a bophelo a swanetšego bophelo le boiketlo bja gagwe gammogo le lapa la gagwe. Maemo a a bophelo a akaretša dijo, diaparo, kago ya dintlo le tlhokomelo ya kalafo le ditirelo tše dingwe tše bohlokwa tša setšhaba, tokelo ya tšhireletšo maleba le tlhokego ya mošomo, bolwetši, bofokodi, bohlologadi, botšofadi goba ditšhitišo tše dingwe tša bophelo tše di sa laolegego.
25-02	Botswadi le bongwana di swanetše go fiwa tlhokomelo ya moswananoši le thušo. Bana ka moka bao ba belegwago e ka ba ka lenyalong goba ka ntle ga lenyalo ba swanetše go amogela tšhireletšo ya setšhaba ya go swana.
26-00	Temana 26
26-01	Mang le mang o na le tokelo ya thuto. Thuto e tla ba e sa lefelwe mefatong ya ka fase le ya go thoma. Thuto ya mathomo e tla ba ya kgapeletšo. Thuto ya thekniki le thuto ya profešene di tla hwetšwa gabonolo ka kakaretšo. Thuto ya godimo le yona e tla hwetšwa ke bohle go ya ka bokgoni bja bona.
26-02	Thuto e tla lebantšhwa kgodišong ye e tletšego ya botho le tiišong ya tlhompho ya ditokelo tša botho le motheo wa ditokologo. E tla tšweletša kwešišo, kgotlelelo le segwera gare ga ditšhaba, dihlopha tša morafe goba tša bodumedi gomme e tla thuša go tšweletša gape le ditiro tša Ditšhaba Kopano mo phegelelong ya go lota khutšo.
26-03	Batswadi ba na le tokelo ya pele ya go kgetha mohuta wa thuto ye e tla rutwago bana ba bona.
27-00	Temana 27
27-01	Mang le mang o na le tokelo ya go tšea karolo meetlong ya setšhaba, go ipshina ka bokgabo, le go abelana ka tšwelopele ya thutamahlale le dithutišo tša yona.
27-02	Mang le mang o na le tokelo ya tšhireletšo ya setho le phišegelo ya didirišwa tše di tšwago thutamahlaleng, dingwalong goba dipoelong tša bokgabo tšeo a lego mongwadi wa tšona.
28-00	Temana 28
28-01	Mang le mang o lokelwa ke bophelo bjo bo lokilego setšhabeng le lefaseng ka bophara moo ditokelo le ditokologo tše di theilwego Boikanong bjo di kgonago go tšweletšwa.
29-00	Temana 29
29-01	Mang le mang o na le ditshwanelo tšeo a di phethago setšhabeng fao go lego bonolo go tšweletša le go godiša ka botlalo botho bja gagwe.
29-02	Mo tšweletšong ya ditokelo tša gagwe le ditokologo, mang le mang ga a swanela go tshela mellwane ye e beilwego fela ke molao ka mabaka a go boloka kwešišo le tlhompho ya ditokelo le ditokologo tša ba bangwe le go amogela dinyakego tše lokilego tša setho. Ga di a swanela gape go tshela molao wa botho, polokego ya setšhaba le maemo a bophelo ka kakaretšo mmušong wa setšhaba wa demokrasi.
29-03	Ditokelo tše le ditokologo ga di a swanela go ka šomišwa thulanong le mehola le maikemišetšo a Ditšhaba Kopano.
30-00	Temana 30
30-01	Ga go selo mo Boikanong bjo se se ka kwešišwago bjalo ka seo se lebanego le mmušo ofe kapa ofe, sehlopha goba motho go dira mošomo ofe goba ofe wo o lebišitšwego pšhatlaganyong ya ditokelo le ditokologo tše di beilwego mokhwi.
