00-00	Universala Deklaracio de Homaj Rajtoj
17-02	Al neniu estu arbitre forprenita lia proprieto.
18-00	Artikolo 18
18-01	Ĉiu havas la rajton je libereco de penso, konscienco kaj religio; tiu ĉi rajto inkluzivas la liberecon ŝanĝi sian religion aŭ kredon, kaj liberecon manifesti, ĉu sola ĉu kune kun aliaj, ĉu publike ĉu private, sian religion aŭ kredon per instruado, praktikado, adorado kaj observado.
19-00	Artikolo 19
19-01	Ĉiu havas la rajton je libereco de opinio kaj esprimado; ĉi tiu rajto inkluzivas la liberecon havi opiniojn sen intervenoj de aliaj, kaj la rajton peti, ricevi kaj havigi informojn kaj ideojn per kiu ajn rimedo kaj senkonsidere pri la landlimoj.
20-00	Artikolo 20
20-01	Ĉiu havas la rajton je libereco de pacema kunvenado kaj asociiĝo.
20-02	Neniu estu devigita aparteni al asocio.
21-00	Artikolo 21
21-01	Ĉiu homo rajtas partopreni la regadon de sia lando, aŭ rekte aŭ pere de libere elektitaj reprezentantoj.
21-02	Ĉiu rajtas je egala aliro al publika servo en sia lando.
21-03	La volo de la popolo estu la bazo de la aŭtoritato de la registaro; tiu volo estu esprimata per regulaj kaj aŭtentikaj elektoj, kiuj okazu per universala kaj egala balotrajto, kaj per sekreta voĉdono aŭ ekvivalentaj liberaj voĉdonaj proceduroj.
22-00	Artikolo 22
22-01	Ĉiu, kiel membro de la socio, havas rajton je socia sekureco kaj povas postuli la realigon, per naciaj klopodoj kaj internacia kunlaboro, kaj konforme al la organizo kaj disponeblaj rimedoj de ĉiu Ŝtato, de tiuj ekonomiaj, sociaj kaj kulturaj rajtoj, kiuj estas nepre necesaj por lia digno kaj por la libera disvolviĝo de lia personeco.
23-00	Artikolo 23
23-01	Ĉiu havas rajton je laboro, je libera elekto de sia okupo, je justaj kaj favoraj laborkondiĉoj kaj je protekto kontraŭ senlaboreco.
23-02	Ĉiu, sen ia ajn diskriminacio, rajtas ricevi egalan salajron pro egala laboro.
23-03	Ĉiu, kiu laboras, rajtas ricevi justan kaj favoran kompenson, kiu certigu por li mem kaj por lia familio ekziston konforman al homa digno, kaj kiun suplementu, laŭnecese, aliaj rimedoj de socia protekto.
23-04	Ĉiu rajtas formi kaj aliĝi sindikatojn por protekto de siaj interesoj.
24-00	Artikolo 24
24-01	Ĉiu havas rajton je ripozo kaj libertempo, inkluzive racian limigon de la laborhoroj kaj periodajn feriojn kun salajro.
25-00	Artikolo 25
25-01	Ĉiu havas rajton je vivnivelo adekvata por la sano kaj bonfarto de si mem kaj de sia familio, inkluzive de nutraĵo, vestaĵoj, loĝejo kaj medicina prizorgo kaj necesaj sociaj servoj, kaj la rajton je sekureco en okazo de senlaboreco, malsano, malkapablo, vidvineco, maljuneco aŭ alia perdo de la vivrimedoj pro cirkonstancoj ekster sia povo.
25-02	Patrineco kaj infaneco rajtigas al specialaj prizorgoj kaj helpo. Ĉiuj infanoj, egale ĉu ili naskiĝis en aŭ ekster geedzeco, ricevu saman socian protekton.
26-00	Artikolo 26
26-01	Ĉiu havas rajton je edukiĝo. La edukado estu senpaga, almenaŭ en la elementa kaj fundamenta stadioj. La elementa edukado estu deviga. La teknika kaj porprofesia edukado estu ĝenerale akirebla, kaj pli alta edukado estu egale akirebla por ĉiuj laŭ ties meritoj.
26-02	Edukado celu la plenan disvolvon de la homa personeco kaj plifortigon de la respekto al la homaj rajtoj kaj fundamentaj liberecoj. Ĝi kreskigu komprenon, toleron kaj amikecon inter ĉiuj nacioj, rasaj aŭ religiaj grupoj, kaj antaŭenigu la agadon de Unuiĝintaj Nacioj por konservo de paco.
26-03	Gepatroj havas unuavican rajton elekti la specon de la edukado, kiun ricevu iliaj infanoj.
27-00	Artikolo 27
27-01	Ĉiu rajtas libere partopreni la kulturan vivon de la komunumo, ĝui la artojn kaj partopreni sciencan progreson kaj ĝiajn fruktojn.
27-02	Ĉiu havas rajton je protekto de la moralaj kaj materialaj interesoj rezultantaj el eventualaj sciencaj, literaturaj aŭ artaj produktaĵoj, kiujn li aŭtoris.
28-00	Artikolo 28
28-01	Ĉiu havas rajton je socia kaj internacia organizo, en kiu la rajtoj kaj liberecoj difinitaj en ĉi tiu Deklaracio povas esti plene realigitaj.
29-00	Artikolo 29
29-01	Ĉiu havas devojn al la komunumo, en kiu, sole, estas ebla la libera kaj plena disvolviĝo de lia personeco.
29-02	En la uzado de siaj rajtoj kaj liberecoj, ĉiu estu subigita sole al tiuj limigoj, kiuj estas jure difinitaj ekskluzive kun la celo certigi adekvatan rekonon kaj respekton por la rajtoj kaj liberecoj de aliaj kaj por konformiĝi al justaj postuloj de moralo, publika ordo kaj ĝenerala bonfarto en demokrata socio.
29-03	Tiuj ĉi rajtoj kaj liberecoj estas en neniu okazo efektivigeblaj kontraŭe al la celoj kaj principoj de Unuiĝintaj Nacioj.
30-00	Artikolo 30
30-01	Nenio en ĉi tiu Deklaracio estu interpretita kiel implico, ke iu ajn Ŝtato, grupo aŭ persono iel ajn rajtas entrepreni ian ajn agadon aŭ plenumi ian ajn agon, kiu celus detrui kiun ajn el la rajtoj kaj liberecoj ĉi-ene difinitaj.
