00-00	Mkamulano Wa Ilambo Yoscope Pa Ufulu Wa Chipago Wa Wandu
24-01	Mundu akwete ufulu wakupumula nambo soni ng'anda. Mundujo soni, akasakamuliskwa masengo ndawi jajilewu mnope. Akoleje soni ndawi jakupumula jajilewu (Holiday), mundawi jeleji mundujo apocheleje soni malipilo.
25-00	Mtwe 25.
25-00	Mundu jwalijose akwete ufulu wakutama umi wambone wangalwalalwala kwajwalakwejo nambo soni liwasa lyakwe pa kola yakulya, yakuwala, mtela ni yindu yine yakamuchisya pa umi wakwe. Mundujo soni akole yindu yakwanila kuti tiyimkamichisye naga masengo gali gammalile, kapena ali alwasile, ali alemele, ali akalambele, mwine soni ali awililwe.
25-01	Uchembele ni uwanache ipochele chikamuchisyo chakwanila. Wanache wosope, wakupagwila mwiwasa kapena iyayi, awonekwe mpela wandu wakulandana.
26-00	Mtwe 26.
26-00	Mundu jwalijose akwete ufulu wakulijinganya. Sukulu siwesyalulele makamaka mmakalasi gaganondi. Wanache achisikwe kuti alijiganye mmakalasi gamanondiga. Wandu akole upile wakwinjila mmuasukulu gakwiganya masengo. Masukulu gane mpela Univesite, wakupambanapewo ni wakuwajilwa kwinjila.
26-01	Sukulu jimkamuchisyeje mundu kuti akule ni misyungu jambone mipingo. Sukulu jikamuchisye soni pa masengo ga United Nations gakutamilsya mtendele pa chilambo shesope chapasi.
26-02	Achinangolo akwete ufulu wakwasagulila wanache wawo mtundu wa sukulu jakusaka kuti wanache wawewo akalinjiganye.
27-00	Mtwe 27.
27-00	Mundu jwalijose akwete ufulu wakutenda nawo yindu yakumtundu kwake, kutenda nawo mang'asi, yakwambula niyakusepasepa ni yindu yine nambo soni kupata nawo chikamuchisyo chilichonse chakopoka mu yinduyo.
27-01	Yindu iliyonse yapatile mundu kutyochela mmang'asi, yakwambula yakulembalemba, yakusepasepa, yili yakwe. Boma jimpe mundu chitetezo pa yindu yeleyi ligongo yikopweche mulanda lwakwe.
28-00	Mtwe 28.
28-01	Mundu jwalijose akwete ufulu wakutama mchilambo mwamtendele kuti akomboleche kuwa ni maufulu gagali mumkamulano awu.
29-00	Mtwe 29.
29-00	Mundu akwenela kuchitendela chilambo chakwe yindu yine ni yine. Yinduyi iwe iyoyo yiyili yangamlepelekasya mundujo kula ni kola nganisyo ni maufulu gakwe gakwanila chenene.
29-01	Maufulu ga wandu gakole malile mmalamusi ga chilambo kuti ufulu wajwine ukasiusokonesya ufulu wamjakwe nambo soni kuti ikamuchisye kusunga misyungu ni mtendele mchilambomo.
29-02	Maufulu gelega gakasigakamulisikwa masengo mwakutindana ni malamusi ga chiwanja cha United Nations.
30-00	Mtwe 30.
30-01	Mkamulunano awu ngaukupeleka ufulu kwa chilambo chine chilichose, likuga, kapena mundu jwalijose wakutenda chindu chine chilichose chimpaka chayochesye wandu maufulu gawo gagali mumkamulanowu.
