00-00	JERA TOTE PIYANLE TSA'CHILACHI MANTA
25-01	Jera tsa'chila sene sonano, nalabe panshi jono, kiya i'tuto, sen ano fino, sen ya tano, sele se ino, junshi janpe ino manta taralae, tsankenan panshile, kiya i'to, unika i'to, titi keno pode i'tuto, mankari pura i'to, sele kiralake'sanan, manta tae.
25-02	Ayan na ke'to junshi nanan, sele kirato, wa i'sa karela ke'sa manta joe, tsankenan jera nala, a'pa, ayan tan kuwentanan, se kirato wa i'sa karela ke'sa manta pejoe.
26-00	26. Manta
26-01	Jera tsa'chila pila mi ino manta taralae, yari e'pe jonojoe, fe munaranunti,e'pe jo'sa joe, aman pila mi ibi jino kuwenta joe, tsankenan jeralela, layan pila mi ino manta taralae, yala mira la'chunae, ti mi ino mo'kinati.
26-02	Pilari, tsa'chilaka sen junshi tuka jo'sa, jonojoe, pata i'tuto sona'chun, panshi jo'chun, tikati entede i'chun, piyanlelabe, a'ko kuventa jo'chun. Tsankenan man Junnin jun lari, layan kiranolajoe, yape piyanle payila, pata i'tuto sonrala'sa.
26-03	A'pala miranolajoe, ya'chi na, ti junshi niyake pila mi i'sa tenjanan.
27-00	27. Manta
27-01	Jera tsa'chila, chununte mi taralanunka, pe kino pode ino joe, miranunkanan mi inojoe, aman panshi1e, junbinechi titi se lonari, yanan pe kano manta tae.
27-02	Jera Tsa'chila, titi miranunka, tanunka, junshi ten kachike lareka junka, sele kirato kuwala ke'sa manta taralae.
28-00	28. Manta
28-01	Jera Tsa'chila, manta talarae, in manta piyanlelachi jo'sa, aman yakari tileti, fi'ki arare'to, merawola ke'sa, yape i'tsanleri pura i'tusa.
29-00	29. Manta
29-01	Jera tsa'chila, yalachi komunabi manta taralae, junka merato, ya jonunka, jaminkanan se larede ji'chunae.
29-02	Tsankenan, manta ta'tonan, miranojoe, weyan mantalari ya se jo'sa jo eke, junto shiri, panshi junshi ya ti manta tanunka kirato, weyan tsa'chilabe, panshi jono pode i'chunae.
29-03	In mantalari, numatoti, man Junin Junlaka, be'ko pa'to, se i'toe tino i'tolajoe, jun tsanchunin mirano lajoe, niya i'to in manta lare kalajonunka.
30-00	30. Manta
30-01	In mantakari, monanti, ti payilati junshi bolonlati, tenka muna, se i'toe ti'to, piyarechike, tenfenola i'toe.
