00-00	Dá̱ldɨ́ŋáꞌŋ Toŋkuriꞌŋ Jansaꞌŋ Daara Dᵾldɨꞌŋkwěꞌŋ nisilaꞌŋ Janyal da̱ldɨ-lé
16-01	Nɨw na dee ammíŋ jʉ́seꞌŋ ka̱a̱gʉl nisil-si ka̱ɨŋ ásáŋ jʉ́se káwal ná dɨ́eŋ tóŋ dítinꞌíŋ kʉ́ʉl, na áláŋ dɨ́eŋ órré káwa, ilâíŋ ere dᵾó togbɨ́r tabʉ́ŋ as keerba áláŋ-si úríŋí, ati tirgeꞌŋ ʉʉꞌŋ-ii wala tá̱á̱rɨ́ꞌŋ ere, naŋ-si dog nisil arrá ka̱ɨŋ jʉ́seꞌŋ jáa-lé namaŋ dééŋ jaaró-le.
16-02	Jʉ́seꞌŋ gǎar-sí á keréŋéliba abá kí kwa a̱wdʉoŋ níŋ tᵾs {jɨɨn} janí, na áláŋ ila tᵾs janí kí dorá á-iiba.
16-03	Toŋꞌíŋ jáa yé a̱rɨ ɨt-ii ǎl tɨmor kíe tᵾ́mɨ́ŋ na in lóŋ tɨmor ná ba̱rʉ ásáŋ toŋꞌíŋ jáa-sí kanyíŋíal nás ka̱á̱nʉl.
17-00	Baam 17
17-01	Dʉó bi dᵾó nisil-si kee ásáŋ ótáŋá dééŋ dítiníŋ kee wala gal nás kí kwa kerŋaꞌŋ sa̱rɨ́ga (sa dɨ́ga) gé.
17-02	Dʉó bi dʉó bára-sí kééŋ ótáŋá kí durú ásáŋ á rɨ́éba.
18-00	Baam 18
18-01	Dᵾó bi dᵾó nisil baaj jarriꞌŋ na suurꞌíŋ urmaꞌŋ na tá̱á̱rɨ́ꞌŋ-si kee, na in nisil dog gî baaj ínni ati dᵾó kǒel ásáŋ dééŋ tá̱á̱rɨ́ já̱ɨ́ŋó, wala ásáŋ ɨwɨ́ kí gʉʉd na áláŋ kééŋ taɨma piá ati kí bʉ̌tʉ-ii wala kí ʉrʉ́ ati in lóŋá ná dítinꞌíŋ-ii wala kí kwa suŋŋâŋ-ii.
19-00	Baam 19
19-01	Dᵾó bi dʉó nisil-si kee baaj jírsíŋoꞌŋ, na dééŋ jwǎꞌŋ, na in nisil dog gî ʉʉŋa kɨt-sí ínni ǎl kǒel áláŋ deb kǎ̱ɨ dᵾó áláŋ ǎis úríŋíba (íríba), ilâíŋ ere na kin ʉʉŋaꞌŋ jǎ̱ɨ, na dééŋ jawar-sí ka̱tɨ́ as kayeba.
20-00	Baam 20
20-01	Dʉó bi dʉó nisil na baaj-si kee áláŋ-si daaraŋa kwaꞌŋ jɨ́sɨ́ŋoŋaꞌŋ ǎl seeŋa gé nás dée-lé jɨ́gɨ́ŋɨ́e.
20-02	Dᵾó-sí á keba áláŋ kɨgɨ́al ásáŋ daara díg-le jɨ́gɨ́ŋɨ́ kí durú.
21-00	Baam 21
21-01	Dʉó bi dʉó nisil-si kee áláŋ dééŋ ba̱rʉꞌŋ ótáŋáꞌŋ táárí-le ká̱rɨ́ ati yé kí dééŋ suur-ii wala kí dʉó keerꞌíŋ dorá ǎl yé rééŋél kí baajꞌíŋ dorá.
21-02	Dʉó bi dʉó nisil-si kee áláŋ ʉ́tóŋá nyéttiŋ sa̱ga̱lɨŋ tɨ̌ɨ dééŋ ba̱rʉ́.
21-03	Kʉldɨŋaꞌŋ muráa yé-ii ǎl gî da̱lɨmɨŋ ínni na in muráa-sí áláŋ-si kí jᵾmbᵾtɨŋꞌíŋ dorá terere kélal, namá in lóŋ paraŋaꞌŋ jiŋí-le áláŋ kí bʉ̌tʉ-ii wala gal kí â̱y dorá keer ǎl jʉ́ndɨ áláŋ paraŋaꞌŋ jiŋí kí baaj eeŋ.
22-00	Baam 22
22-01	Dʉó bi dʉó yé tɨmor-lé tógóló-ii tɨmorꞌíŋ-si mɨrod kee ǎl kí ba̱rʉꞌŋ kʉrroꞌŋ táas ja̱rɨ́ ɨ́ndélíŋ na da̱ldɨŋaꞌŋ kotte, ǎl jʉ́ndɨ áláŋ ba̱rʉ bi barʉ kééŋ kosomona na ɨwɨlɨ́ŋ nisila na bʉllɨŋ tɨmorꞌíŋ na jʉrnyó ǎl nyéttiŋ ta̱gɨdɨŋ-sí na suurꞌíŋ tʉ́ɨꞌŋ jʉ́ndɨ áláŋ kí baaj eeŋ.
23-00	Baam 23
23-01	Dʉó bi dʉó tááríꞌŋ nisil-si kee na dog baaj-si kee áláŋ táárí ɨt jááŋo ǎl yé kǒel áláŋ piá, kí moralꞌíŋ dorá naŋ-si dog nisil kee áláŋ ka a nʉl tááríꞌŋ wa̱rɨŋ ere.
23-02	Na dʉó á keba áláŋ-si kí bára kǎ̱wŋʉl (ka̱wgɨ́ŋíal) ǎ̱w ná soŋŋâ arrá kanníá.
23-03	Dʉó bi dʉó ná táárí pii áláŋ sôŋgoŋa ɨt kaníal áláŋ ye-sí na dééŋ toŋꞌíŋ kwa-sí pa a gʉl ná ruugꞌíŋ kí ta̱gɨdꞌíŋ dorá, na ásáŋ tɨmorꞌíŋ jaánoꞌŋ koraŋa kerŋa nyiíŋí dée-lé.
23-04	Dʉó bi dʉó nisil-si kee áláŋ tááríŋáꞌŋ jɨ́sɨ́ŋoꞌŋ daara piá wala ásáŋ ɨt-lé jɨ́gɨ́ŋɨ́ ǎl yé dée-lé dééŋ suur túllên la̱w.
24-00	Baam 24
24-01	Dʉó bi dʉó nisil-si kee áláŋ ʉmel jáwíti, tina hǒoŋa-lé, na ásáŋ dɨoŋa dǐi kaye tááríꞌŋ, na pa̱rrɨ́ŋá ǎl terere ʉ́ndʉ́lá áláŋ kí sôŋgoŋa gé.
25-00	Baam 25
25-01	Dʉó bi dʉó nisil-si kee áláŋ ruug ɨt bʉ́lóŋ ǎl jʉ́ndɨ áláŋ dééŋ suur ká̱kkɨ́ré-ii (da̱kkʉrɨŋ) na írí joo–si kee dééŋ suurꞌíŋ na dééŋ toŋꞌíŋ kwaꞌŋ, in namá in lóŋ áláŋ-si míŋ anni-le tuuŋ na̱mɨ́e-lé na jʉrɨŋa na jôŋꞌíŋ lóó na ɨpɨrɨŋꞌíŋ já̱lpʉ́ŋóla na dɨmorꞌíŋ ótáŋá, na áláŋ-si ruug kee ati in lóŋ ná hǒo ǎ̱w ná táárí ás keba, wala hǒo jaŋꞌíŋ ere, wala inná tʉyɨŋ wala gal nás a̱rɨ keer kee ná jɨ́gé áláŋ táárí júndí.
25-02	Nyʉrgɨŋꞌíŋ na iyaŋaꞌŋ nisil-si ka̱ɨŋ ja̱lpʉŋꞌíŋ na jányíŋi-lé na ásáŋ dogólá nyéttiŋ dɨmoraꞌŋ jaáno ka̱ɨŋ arrá ati in lóŋ ná dééŋ da̱a̱rɨŋ kí asâb kéŋá wala gal kí asâb á kéŋaba.
26-00	Baam 26
26-01	Dʉó bi dʉó nisil-si kee gʉʉd-lé, na in lóŋ áláŋ diílkuri (diílkuriŋaꞌŋ) na kʉréemeŋaꞌŋ gʉʉd áláŋ kee hǒo-ii na diílkuriŋaꞌŋ gʉʉd áláŋ kí jɨgé-ii, na gʉʉd in lóŋ áláŋ ʉstɨŋaꞌŋ na teŋgeŋaꞌŋ gʉʉd-ii na áláŋ gʉʉd íríkwǎꞌŋ-lé kwa-sí nyét arrá ka̱bɨ́a kí kɨ́eŋ kʉrroꞌŋ adde.
26-02	Namá in lóŋ áláŋ kí dorá ɨt ná kí dᵾldɨꞌŋkwě'ŋ jᵾtᵾ́mó-le péégél na dᵾldɨꞌŋkwěŋ ba̱gɨ gîs nyiíŋíti na baaj dǔuŋa na áláŋ suurꞌíŋ jɨrmó na ja wrɨŋꞌíŋ kwa nyéttiŋ táas-lé kee ati tá̱á̱rɨ́ꞌŋ ere-ii wala inná dá̱ldɨ́ŋáꞌŋ toŋkuriꞌŋ daaraꞌŋ ta bʉ áláŋ dóŋáꞌŋ janí ta̱gɨdeŋ piá.
26-03	Da a rɨŋkwǎ (íya kí Âbba) nisil-si kaɨŋ áláŋ dorá ɨt-sí kěyal kɨ́eŋ dogóláꞌŋ jᵾrnyóꞌŋ ǎl yɨeŋ taaras ka̱lʉe-ii.
27-00	Baam 27
27-01	Dʉó bi dʉó nisil-si kee áláŋ dɨmoraꞌŋ bʉllɨŋ-lé ká̱rɨ́ kí baajꞌíŋ dorá, na áláŋ-si jápírtígoŋa na mʉʉgɨŋ-sís táárí piá áláŋ-si gʉʉdꞌíŋ írí joo-lé nyiíŋí ásáŋ kééŋ tulléŋa koomé.
27-02	Dʉó bi dʉó nisil-si kee áláŋ-si kééŋ tulléŋa-sí ka a gʉl ati bʉllɨŋ-ii wala jápírtíŋogaꞌŋ ere ása gʉʉd-sí nyiíŋítíá na asá yé arríti.
28-00	Baam 28
28-01	Dʉó bi dʉó nisil-si kee áláŋ da̱ldɨꞌŋ dɨmoraꞌŋ dorá táárí piá áláŋ gîs baaja na nisila kin-lé páágó ǎl in sabarꞌíŋ dɨó ka̱ɨŋ.
29-00	Baam 29
29-01	Dʉó bi dʉó tááríŋás kee dééŋ dɨmorꞌíŋ ere áláŋ piá ǎl yé kǒel áláŋ dée-lé tʉ́ɨ́ kí baaj.
29-02	Dʉó asá kééŋ nisila na baaja-sís táárí pii ka̱tɨ́ŋás kee nás dáálí jáwríti délliŋ. Ɨdɨ̂ɨ́ŋ ná kǒel áláŋ dʉó keerꞌíŋ baaj na nisila-lé a ká̱rɨ́ba, Ɨdɨ̂ɨ́ŋ na kǒel áláŋ kwa kerŋaꞌŋ baaja ba̱gɨ káa, áláŋ kwa nyéttiŋ ótáŋá-sís ba̱gɨ na arrás káa, na dɨmora dɨmogurátês ka̱ɨŋ.
29-03	Ásáŋ á kɨɨ́naba kí dorá bi dorá áláŋ-si kin nisila-sís táárí kí dorá ɨt káal ǎl kí dá̱ldɨ́ŋáꞌŋ toŋkuriꞌŋ daaraꞌŋ tááríŋá tarŋa sa̱rgɨ ba̱we.
30-00	Baam 30
30-01	Ínné in janyal-lé rim togbɨ́r á keba áláŋ ba rʉ júndí, wala kwa dǐiŋa wala dʉó díg-sí áláŋ jee ná ʉʉ ɨt piá áláŋ kin nisila na baaja-sí jɨ́o ǎl in janyal (sabar-lé) ka̱ɨŋ.
