00-00	Xifzef Rentchwent Xwenxyant
07-01	Nal fallif renrrenr yunl xif pingtdengl, mev chwentlif daif bolhuf pingtdengl fallif, kaml tingf citsif. Renrrenr yunl mev chwent tingf pingtdengl bolhuf, kaml tingf renfhet citsif singtweit weitfanl nait xwenxyant ndams renfhet singtweit sanxongf nait citsif weixhaif.
08-00	Tit pyats
08-01	Renr chwentlif zixbenl xenffal wol fallif tingf cinxhaif rof, mev chwent tingf faltingt kwotcas hetget nait cinxhaif singtweit zwof bulzaof mev saofkwol.
09-00	Tit cul
09-01	Renfhet renr kaml renfyif daifbul, zixzinf wol fangfzut.
10-00	Tit repw
10-01	Renrrenr yunl pingtdengl mev chwent tingf faltingt dutlif ndams kaml pianxyil gongxzengf gongxkaix senlpanf, cofdingf chwentlif ndams yifwuf ndams panfdingf renfhet singtsif zilkongf.
11-00	Tit repw tov
11-00	Renr daif kongfgaof singtsif, kaml tingf senlpanf gongxkaix baolzengf bianfhuf mev zengfsit zuif mev, mev chwent tingf xins zweif kaml mev.
11-01	Renfhet singtweit wol kaml singtweit renfhet renr, faxsengx rof yixzaof kwotcas fal wol kwotzif fal kaml finr zweif singtsif, kaml panfdingf mev zweif singtsif. Singtfat kaml ranr gweixdingf fallif zweif fanf rof sifyong.
12-00	Tit repw yar
12-01	Sengxhwot six, yainr, yainr naiut ndams tongxsinf kaml renfyif ganxsef, kaml gongxzix rongtyif ndams mintyif. Renr mev chwent tingf fallif baolhuf rof, kaml daif nait ganxsef wol gongxzix.
13-00	Tit repw samr
13-00	Renr yaiul kwotzingf mev chwent zifyaot canxsit ndams naiut.
13-01	Renr mev chwent ukx renfhet kwotcas, mev kwotcas ris, mev chwent mar kwotcas ris.
14-00	Tit repw sis
14-00	Renr mev chwent tingf cittax kwotcas bifhuf rof kaml tingf pofhaif.
14-01	Mev rof singtweit zuifsingr kaml mev zengfzifsingf wol weitbeif zongxzil ndams yantzet Lyanthet Kwot tingf cilsuf rof, kaml nait chwentlif yongf.
15-00	Tit repw ngof
15-00	Renr mev chwent mev kwotzit.
15-01	Kwotzit renr kaml renfyif boxdot, kaml fulrenf chwentlif gailbyanf kwotzit.
16-00	Tit repw lyokw
16-00	Airmbainr lakfbiks, kaml tingf kwotzit wol zongxzaof xenfzif mev chwent hunx zaf ndams centlif yainr. Ter yur hunxyinx, hunx zet rof ndams zelcut rof hunxyot, mev chwentlif pingtdengl.
16-01	Airmbainr lakfbiks zifyaot ndams pingtdengl tongtyif wail, nangv dif hunx.
16-02	Yainr xif danxyant sefhuif tyanxrant ndams zixbenl, tingf sefhweif ndams kwotcas baolhuf.
17-00	Tit repw xitx
17-00	Renr mev chwent caitcanl ris ndams chwent mev cher gongftongt mev.
17-01	Caitcanl renr renfyif kaml boxdot.
18-00	Tit repw pyats
18-01	Renr mev chwentlif zifyaot sixsangl, lyangtsinx ndams zongxzaof; nait chwentlif mev zifyaot gailbyanf zongxzaof wol sinfyangl, zifyaot danxdut wol zittil, gongxkaix wol mifmif yongf zaofyif, sitzanf, lilbaif ndams zeflif byaolsif zongxzaof wol sinfyangl.
19-00	Tit repw cul
19-01	Renr mev chwent mev zifyaot zulzangx ndams faxbyaol yifzanf; nait chwentlif mev zifyaot mev zulzangx kaml tingf ganxsef, zifyaot yongf meitzef ndams kaml sail kwotzef nimr, daif ndams cwantdif saoxsit ndams sixsangl.
20-00	Tit yar repw
20-00	Renr mev chwent mev zifyaot hetpingt zithweif ndams zet sef.
20-01	Renfhet renr kaml tingf pofsil lifsul twenttil.
21-00	Tit yar repw tov
21-00	Renr mev chwentlif zitzex wol tongxgwof daifbyaol zifyaot xenlzet canxyil ziflil kwotcas.
21-01	Renr mev chwentlif zixhweif pingtdengv canxzax kwotcas gongxwuf.
21-02	Yifzif yinrminr xif zixcul chwentlit zengfful; nait yifzif tingf xwenlzil dingfcix ndams zenxzengf byaolxenf, xwenlzil yixzif toutpyaof chwent pulbyanf ndams pingtdengl, yongf toutpyaof kaml zif mint wol centxif toutpyaof zifyaot sangxdangx zinfsingt.
22-00	Tit yar repw yar
22-01	Renr zwofweit centyant sefhweif, mev chwent daif baolzangf sefhweif, mev chwent daif sitxenf chwentlif zingxzif, sefhweif ndams wentwaf zunxyanr ndams renrget zifyaot faxzanl aur, nait sitxenf yongf kwotcas nullif ndams kwotzif hetzwof ndams cingtkwangf zulzix ndams zixyant kwotcas.
23-00	Tit yar repw samr
23-00	Renr mev chwent gongxzwof, zifyaot xwenlzet zityef, daif tyaotzanf gongxzwof gongxzengf ndams hetsif ndams daif baolzangf kaml sityef.
23-01	Renr mev chwent tongt gongx tongt cout, kaml tingf citsif.
23-02	Renr gongxzwof, chwent mev daif baofcout gongxzengf ndams hetsif, ris ndams renr yainr mev tyaotzanf sengxhwot fulhet renr, baolzangf sefhweif mev rof byfyaof mev cittax fangxsif.
23-03	[missing]
24-00	Tit yar repw sis
24-01	Renr mev chwentlif mev souxxit ndams santsat, sitzanx gongxzwof mev sanfzif hetlil ndams dingfcix geilsinx souxzav.
25-00	Tit yar repw ngof
25-00	Renr mev chwent daif sweilzunl sengxhwot weitcit zanfkangx ndams futlif ris ndams renr yainr aur, mev sitwuf, kukx, yainr, yixlyaot ndams futwuf sefhweif bifyaof; daif sixyef, zitbingf, cantfeif, soulgwav, swaixlaol wol cittax cingtkwangf kaml nangv kongfzif kaml mev rof nengtlif moutsengx, mev chwent daif baolzangf.
25-01	Nif ndams lakfmbanr lakfbikf mev chwent daif zaofguf ndams xetzuf tefbyet. Lakfmbanr lakfbikf, hunx sengx wol feix hunx sengx, yunl daif baolhuf sefhweif tongtyangf.
26-00	Tit yar repw lyokw
26-00	Renr yunl mev chwentlif tingf zaofyif, zaofyif kaml aur ryenv, zwaif xeul zexdwanf cuxzit ndams zixbenl xif yait. Zaofyif cuxzit xif singfzif yifwuf. Zaofyif zifsuf ndams zityef pulbyanf seflif. Zaofyif gaoxdengl genxzif cengtzif duif renr pingtdengl kaixfangf.
26-01	Mufdif zaofyif xif congxfenf faxzanl gefsingf renr zaxchangt zunxzongf renrchwent ndams zifyaot zixbenl. Zaofyif cufzinf lyaolzel, rongtrenl ndams yaolyit kwotcas, zonglzut wol zittwant zongxzaof, cufzinf hwotdongf Lyanthet Kwot weithuf hetpingt.
26-02	Tev nif duif zonglleif zaofyif lakfmbanr lakfbikf daif, mev chwentlif youxxenx xenlzet.
27-00	Tit yar repw xitx
27-00	Renr mev chwent zifyaot canxzax sengxhwot wentwaf sefhweif, sanglsouf yifsuf, fenxsangl zinfbuf kexxwet ndams futlif manv rangf.
27-01	Renr duif lifyif zingxsent ndams wufzif zwofpinl kexxet, wentxet wol meilsuf ris, mev chwentlif tingf baolhuf.
28-00	Tit yar repw pyats
28-01	Renr mev chwent aur zifxif sefhuif ndams kwotzif, nait yaiul zifxif, chwentlif ndams zifyaot yaiul nait xwenxyant nangf daif congxfenf sitxenf.
29-00	Tit yar repw cul
29-00	Renr duif sefhuif mev yifwuf, yaiul sefhuif gefsingf daif faxzanl zifyaot ndams congxfenf.
29-01	Renr singtsil rof chwentlif ndams zifyaot, tingf xenfzif fallif chefdingf, mufdif weityix chefdingf nait xenfzif xif baolzengf duif chwentlif ndams renr jilyil cengtrenf ndams zunxzongf, yaiul sefhuif mintzul sifyingf aur zengfdangf daofdet, zifxif gongxgongf ndams futlif pulbyanf.
29-02	Singtsil nait chwentlif ndams zifyaot, renfhet cingtkwangf kaml weitbeif zongxzil ndams yantzet Lyanthet Kwot.
30-00	Tit samr repw
30-01	Renfhet tyaotwent nait xwenxyant, kaml zelsif weit mofxil renfhet kwotcas, zittwant wol renr mev chwent zinfsingt renfhet hwotdongf wol singtweit pofhwaif renfhet chwantlif ndams zifyaot yaiul nait xwenxyant.
