00-00	IMANDAP KIPKOSOBEI EN NGWONDUINI
06-01	Chito agetogol koyanat en tayitop ngotutik.
07-00	Ngongutietap Tisap
07-01	Piik togol kogergey en tayitap ngotutik iso nyolji imanda.Togol kotinyey imanda kerip agopo sosisyet agetogol ag ngoliyot agetogol netotkoip sosisiyet.
08-00	Ngongutietap Sisit
08-01	Chito agetogol kotinyey imanda negimwoitechin imandanyin chenyolji kotiengeg ngotutik.
09-00	Ngongutietap Sogol
09-01	Chito agetogol komaginam, magigerta ono geuyis en emenyin komagisip ngotutik.
10-00	Ngongtietap Taman
10-01	Chitoagetogol kotinyey imanda neititaat kerwokchi kotop kirwoknotet nepo imanda iso nimoruchin pataita agenge.
11-00	Ngongutietap Taman ak Agenge
11-00	Chito agetogol negisitogoniy agopo lelutietap putetop ngotutik kotinyey imanda negigerey komayay lelutik otkoyanag en iman en ngotutik kele kayay.
11-01	Monyolu kenam chito age togol agopo goput ngotutik komagisip ngotutikap emenet ono chepo kipagenge chepo emotinik cheiporu gele goput ngotutikchono.
12-00	Ngongutietap Taman ak Oeng
12-01	Chito agetogol komogichut ngalekchig chepo gaa,chepo piik chiik,ono chepo paronok chig, omogiputi gonginyin ag golosutik chig.Agetogol gotinyey ngotutik cheripey agopo ngaleg cheyuchon.
13-00	Ngongutietap Taman ak Somok
13-00	Chito agetogol gotinyey imanit neween iyet agetogol iyemochey isomeny iyemochey en emet gotogol.
13-01	Chito age togol gotinyey imanit gomangnda en emenyin isoyey gora en magenyin
14-00	Ngongutietap Taman ak Angwan
14-00	Chito agetogol gotinyey imanda komwechi emet age agopo seretetap sergalit.
14-01	Imanigomogisomey gopunu nyalilda nimopunu yetetap kosipetap ngotutik
15-00	Ngongutietap Taman ak Mut
15-00	Chito agetogol kotinyey imanda nepo mengetop emet.
15-01	Chito agetogol komagipaney mengongnotenyin komagisip ngotutik iso magiyetey gowis en magenyin
16-00	Ngongutietap Taman ak Lo
16-00	Piik cheech,tiepiosok ak ngetotik kotinyey imanit komutkey, sotech kanyuwan komomi terchinyet agetogol. Togol kotinyey imanda negergey en gomutisyet.
16-01	Keset ketiengey ichek chonomochey komutkey
16-02	Koot kopogomonut en emet nepo piik,nyolji koriip pig ag sergalit
17-00	Ngongutietap Taman ak Tisap
17-00	Chito agetogol gotinyey imanda nepo gurpetnyin inegey ono goganamkey ag piik alag.
17-01	Magipaney chito kurpenyin gomagisip ngotutik.
18-00	Ngongutietap taman ak sisit
18-01	Chito agetogol kotichey imanda nepo katiagetap, kopuotutik,saet, imanigotinyey kora gatiagetap waletap saet.
19-00	Ngongutietap Taman ak Sogol
19-01	Chito agetogol kotinyey katiaget komwa kopwotutik chig,imuch kora kotononey kopootutikchig,komogichut chito agetogol.
20-00	Ngongutietap Tomonwogig Oeng
20-00	Chito agetogol gotinyey imanda kowo tuyietap chamait agopo ngalegap kaliet.
20-01	Chito agetogol komogisiimji kopunji chamait agetogol.
21-00	Ngongutietap Tomonwogig Oeng ak Agenge
21-00	Chito agetogol kotinyey imanda kochut sergalitap emenyin, inegey ono en oretap koyogindet,nigilewen inegey
21-01	Chito agetogolkotinyey imanda koyay gasit en sergalit, mogitichu komageporu en lewenisiet, nepo iman negiyoyey gasarta age togol nepirey agetogol gura.
21-02	Mogutikap piik kochon cheipo isosip sergalit.
22-00	Ngongutietap Tomonwogig Oeng ak Oeng
22-01	Chito agetogol nepo emoni kotinyey imanit nepo ripet en oratinik togol chepo yoindo kopuni toretetop sergalinyin ak emotinik chegoituyogei. Tinye imanitop kurpet togol chebo emenyin ak tesetaptai nenyinet
23-00	Ngongutietap Tomonwogig Oeng ak Somok
23-00	Chito agetogol kotinyey imanda koyay gasit, kolewen gasit nechomey, isotinyey imanda kerip komagosan gasit.
23-01	Chito agetogol kotinyey imanda kegochi mushara negergey ag nepoeng komagitengel
23-02	Chii agetogol neyoyey gasit kotinyey imanda kelipan ropinik cheimuchey kotoretey key ag logogchi, isosich otepto nesingoy.
23-03	Chito agetogol kotinyey imandakotoy ono kochut chamait agetogol nepo piikap kasit agopo ripetop imanda nenyuwan nepo gasit.
24-00	Ngongutietap Tomonwogig Oeng ak Angwan
24-01	Chito agetogol kotinyey imanda kosich otepto nesingoy inegey ag gainyin kopoto logogchig, isosich omndit,oguroig,koot ag konyoiset. Tiepiosok ag logog konyolji ripet isegochi toretet neititaat.
25-00	Ngongutietap Tomonwogig Oeng ak Mut
25-00	Chito agetogol kotinyey imanda komuny soyay gasit en saisyek chenyolunotin.Tinyey imanda kegochi ruset isonam ropisiek koyu iyon komi gasit.
25-01	Tiepiosok ak logok konyolgi ripet nesingoy ak toretet.logog togol, chegigisich en oritap komutisiet ono sang, konyolgi ripet negergey.
26-00	Ngongutietap Tomonwogig Oeng ak Lo
26-00	Chito agetogol kotinye imanda nepo somanet. Somanet konyolu kopo galeg chepo ngwony .Somanetap tekset kopunji togol.
26-01	Somanet kenet agopo tesetap tay nepo kipkosopey ag, ripetapimandap kipkosopey. Somanet koipu chomyet, nayetap key en pigap emotinik chetersin ag piik togol.
26-02	Sigig kotinyey imanit kolewen agopo somanet neginetey logogchuwag.
27-00	Ngongutietap Tomonwogig Oeng ak Tisap
27-00	Chito agetogol kotinyey imanda kochutkey ag gotet agetogol, tinyey imanda kongerekchi gasit isochut tesetap tay nepo ngalechono.
27-01	Chito agetogol kotinyey imanda nepo ripet agopo ngalek, chigasir, chegaipuat ono chigoisior.
28-00	Ngongutietap Tomonwogig Oeng ak Sisit
28-01	Imanda gorip agetogol ngotutik chepo emet kosipey key kinemwoey ngotutichon.
29-00	Ngongutietap Tomonwogig Oeng ak Sogol
29-00	Chito agetogol konyolu kotoret piik omu nono neimuchey koip tesetapkey nenyinet ag otepto nesingoy.
29-01	Nyolji chii agetogol kosip ngotutik chesirotin en emet agopo ripetap oteptanyin, ag gongit.
29-02	Katiagani ag imanda komogipoisey en oret nimoisipiy ngotutikap kipange nepo emotinik.
30-00	Ngongutietap Tomonwogig Somok
30-01	Momiten ngalek alag togol en ngotutichu che iyonjin emet, piik ono chito agetogol koput ngotutichu ono maget neputey ngotutichu.
