00-00	DUNYA’’ MUMƐ MƆƆGƆƆYA’’ HAKƐYAW DANTIIGƐLIIKAN
07-01	Bɛɛ ká kán sàriya’ lá, àyiwa bɛɛ ká kán ní sàriya’ ya làtangali’ ye kà à sɔ à má kɛ wólomali ye. Bɛɛ ká kán ní kɔsɛmɛ ye sàriya’ là kà i yɛrɛ tànga bɔ wólomali’ súgu ó súgu mà, mín be dàntigɛlikan’ nìn sɔsɔ, àni mín be se kà nà ní à sɔsɔli’ ye.
08-00	Báabu 8 nan
08-01	A be bɛn mɔgɔ bɛɛ ye cɛn yɛrɛ l, í ye í ya jàmana’ sàriyaso’ màgbɛ sàriya’ mín ɲásininin bɛ ò kóɲa’ mà, kà i lákisi kà bɔ wálew mà, minw be jàmana sàriyaw sɔsɔ.
09-00	Báabu 9 nan
09-01	A mán kán mɔgɔ sí ye mina, wálima kà dòn kàso’ la, wálima kà à gbɛn kà bɔ à fàso’ la, kà à sɔrɔ kùn te à la.
10-00	Báabu 10 nan
10-01	A ká kán mɔgɔ’ bɛɛ ye, bɛɛ fána ká kán ò lá, ni bèn kɛra i kán, i ya kiti tigɛ námara te min na, bɛɛ ɲa’na, tìribinali la, mín be à yɛrɛ sàgo’ la, ká kán mín na fána, tìribináli’ mín bena jó dí à mà kà à ya hákɛ lɔ à ye, wálima kà jàlaki’ bèn à kán cɛn’ yɛrɛ la, ni à jó tɛ à la.
11-00	Báabu 11 nan
11-01	Ní mìnaliko lára mɔgɔ ó mɔgɔ kùn, à te se kà mìna ábada, fó ni kíti kà à yìra tìribináli’ la, kà à sɔrɔ áwoka kà à láfàsa, kó àle nɔ’ lò làkíka’ la.
11-02	Mɔgɔ sí te se kà mìna kó la, kó’ mín kɛtuma’ kà à sɔrɔ kójugu tɛ i ya jàmana’ kɔnɔ, wálima dúnya’ sàriya’ la. Mɔgɔ’ be kó’ kɛ tùma’ mín na fána, à ni ɲàngíli’ mín ká kán, ò wágati’ la, fóyi te se kà fàra ò kán kɔ’ fɛ.
12-00	Báabu 12 nan
12-01	A te bɛn mɔgɔ sí ye i sèn’ dòn mɔgɔ gbɛrɛ ya ɲánamaya’ kóɲaw la, à ya sókɔnɔ kóɲaw la, àni kà à ya bàtakiw kɔnɔna gundow la, kà à sɔrɔ jɔnjɔn te à lá ; wálima kà mɔgɔ’ lèebu, kà à tɔgɔ’ cɛn. Sàriya’ ká kán kà lɔ bɛɛ kɔ kɔrɔ kà i látànga kà bɔ ò kó súguya’ mà.
13-00	Báabu 13 nan
13-01	Kà tágama jàmana’ kɔnɔ, yɔrɔ ó yɔrɔ ká dí i ye, jàmana’ yɔrɔ’ mín ká dí i ye, kà sìgi yèn fána, o bɛnna bɛɛ ye.
13-02	Kà bɔ i fàso’ la à ká dí cógo’ mín, kà sègi à ká dí i ye cógo’ mín, ò bɛnna bɛɛ ye.
14-00	Báabu 14 nan
14-01	ɲánimabori’ ɲá, mín ye kà siran i ní’ ɲá kà i yɛrɛ ɲíni, à be bɛn bɛɛ ye ye dògotu ɲíni, kà jàmana gbɛrɛ ɲíni, kà i kàlifa’ sìgi yèn, wà jàmana sí te se kà bàn i la kà i gbɛn.
14-02	Kà kójugu’ kɛ sàriya’ ká kán kà i nɔ’ mìna mín na, wálima mín dúnya’ sàriyaba’ sɔsɔ, kó i be bòli kà tága i kàlifa jàmana gbɛrɛ la, ò kó tɛ.
15-00	Báabu 15 nan
15-01	Mɔgɔ’ kɛra cógo ó cógo, à ká kán ni jàmana’ dɔ jàmanadénya ye.
15-02	Mɔgɔ si ya jàmanadénya’ te se kà bɔsi i la kà à sɔrɔ kùn jɔnjɔn te à wà mɔgɔ si te se kà mɔgɔ si bàli kà bɔ jàmana’ dɔ jàmanadénya’ la kà dòn dɔgbɛrɛ tá la.
16-00	Báabu 16 nan
16-01	Cɛ’ ni mùso’ fɛn ó fɛn séra bálikuya’ mà, à be bɛn i ye fúru kɛ, kà kɛ ; lónanya ní dùgulénya te ò la, díinako te ò la. Cɛ ni mùso bɛɛ ká kán sàriya’ la, fúru’ sìrili’ la, cɛlasígi’ kɔnɔ, àni fúrusa’ tá fànfɛla’ la.
16-02	Fúru’ te sé kà sìri ní à má kɛ ni fúruɲgɔn’ fìla ya jɛn’ ye.
16-03	Dénbaya dénbayaw kɛnin ɲɔgɔn kán, ò le ye sìgida’ ni màrada’ jù’ ye, wà à ká kán sìgida’ ni fànga’ ye ù lákanda.
17-00	Báabu 17 nan
17-01	Mɔgɔ kélen, wálima jɛkúlu’, bɛɛ ká kán ni táya’ ye, bɛɛ tá ye i tá ye.
17-02	Mɔgɔ dɔ mán kán kà bèn dɔ kán kà à tá bɔsi à la fàniya’ kán.
18-00	Báabu 18 nan
18-01	Míiriya’ mín ká dí i ye, i hákili’ kà fɛn’ mín mìna, díina’ mín ká dí i ye, bɛnna bɛɛ ye ; ò kɔrɔ’ ye kó ni i be à fɛ kà bɔ díina’ dɔ la kà dòn dɔgbɛ la, ò be i mà ; kà díina’ fàlen, ò be i mà ; àyiwa bɛɛ be se kà i ya séli’ ni ya díina’ kɛ i kélén, wálima jàma’ la, sùtara la wálima kɛnɛ’ kán, à kɛra kàlanni’ tá síra’ ye, wálima bàto’ tá síra’, wálima séli.
19-00	Báabu 19 nan
19-01	Hákilila’ mín ká dí mɔgɔ’ mín ye, ò bɛnna i ye, à fɔli’ kɛnɛ’ kán, ò dàgara ye. O kɔrɔ’ ye kó mɔgɔ si te se kà mɔgɔ tɔɔrɔ à hákilila’ kánma, mɔgɔ se kà mɔgɔ’ bàli kà kùnnafóniw gánsi yɔrɔ’ mín ká dí i ye, jàmana’ mín ká dí i ye.
20-00	Báabu 20 nan
20-01	Kà ɲɔgɔn lájɛn ɲɔgɔnye bolo mà, wálima kà tɔn’ sìgi, ò dàgara mɔgɔ’ bɛɛ ye.
20-02	A te se kà wájibiya mɔgɔ si kán, kó i ye kɛ tɔn dɔ tɔnden ye kà à sɔrɔ à mán dí i ye.
21-00	Báabu 21 nan
21-01	A be bɛn bɛɛ ye i sèn’ dòn i fàso’ kóɲaw ɲánabɔli’ la, à kɛra yɛrɛbakun’ ye wálima i kà i wàsa’ dòn mɔgɔ gbɛrɛ la, i yɛrɛ kà mɔgɔ’ mín súgandi i yɛrɛ mà.
21-02	Kà lɔyɔrɔ’ sɔrɔ i fàso’ fòrobabáaraw la, ò be bɛn mɔgɔ bɛɛ ye, wà bɛɛ ká kán à la.
21-03	Jàma’ ŋàniya’ le ye màrabólo’ ya fànga’ jù’ ye ; jàma’ be ò ŋ lánkɛnɛmaya kàlafíli’ sèn’ fɛ, ni’ ò ye wóte’ ye, námara te mín na. O kàlafíli’ ká kán kà kɛ tùma ni tùma, bɛɛ ye wóte cógo kélen na, gùndo la wálima cógo la, bɛɛ be i yɛrɛ le ŋàniya’ yìra.
22-00	Báabu 22 nan
22-01	Sìgidénya’ húkumu’ kɔnɔ, bɛɛ ká kán ni i fàso’ màrabólo’ ni dúnya’ tɔ dɛmɛ’ ye, i ya dúnyalatigɛ’ gbɛlɛyaw la ; bɛɛ ká kán ni nàfasɔrɔ hákɛya’ ye, àni mɔgɔya’ hákɛya’, àni lɔnko’ ni séko’ hákɛya’ mín be í lànbe’ kɔrɔta, kà í ya hádamadenya’ sàbati.
23-00	Báabu 23 nan
23-01	Bɛɛ ká kán ni báara’ ye, báara’ mín kà dí à ye, bèn te kɛ à kán báara’ mín na ; bɛɛ ká kán kà látànga báarasɔrɔbaliya’ fána mà
23-02	Mɔgɔ’ ni mɔgɔ’ mín ya báara’ ye kélen ye, òlugu ká kán ni sàra kélen ye, wólomali te mín na.
23-03	Báarakɛla’ bɛɛ ká kán ni sàra ye, mín be bɛn à ya báara’ kíima’ mà, mín be à màko’ ɲà, mín be à tó à ni à ya dénbaya’ be bálo ù hákɛ’ la, bònya’ kɔnɔ ; kà síniɲasigi’ fána jàte’ mìna ò la n’à be bɛn.
23-04	A be bɛn bɛɛ ye sɛndika sìgi, wálima kà dòn sɛndika’ la, yálasa kà i yɛrɛ látànga.
24-00	Báabu 24 nan
24-01	Bɛɛ ká kán ni làganfíya’ ni dàamu’ ye : ò be à yìra ko dàn ká kán kà ye báara’ kùntaga’ la, báarakɛla ká kán kà baara’ bìla tùma ni tùma.
25-00	Báabu 25 nan
25-01	Bɛɛ ká kán ni ɲánamaya’ dàamu’ ye, mín be à tó à ni à ya bálo’, ù fɛɛrɔbɔ, ù sìyɔrɔ’, ù fúrakɛli’, àni ɲánamaya’ làganfiyalan’ be nɔgɔya cógo’ mín ; báarakɛla’ ká kán ni màrabólo’ ya dɛmɛ’ ye ní ya báara’ cɛnna, ní jànkáro’ kà lásìgi, ní lùjura kà à sɔrɔ, ní à kɛ fìriyatɔ ye, ni kɔrɔ’ nàna kà à dɛsɛ, wálima gbɛlɛya’ fɛn ó fɛn kà à sɔrɔ, mín be à kɛ dɛsɛbagatɔ ye kà à sɔrɔ à yɛrɛ nɔ tɛ.
25-02	Mùsow ya kɔnɔmaya’ ni dénw ya dénmisɛnya’ ká kán ní dɛmɛ màgbɛn kɛrɛnkɛrɛnnin ye. A kɛra fúrukɔnɔden ye, wálima à kɛra fúrukɔfɛden ye, dén’ bɛɛ ká kán ni tàngali’ ye.
26-00	Báabu 26 nan
26-01	Bɛɛ ká kán ni kàlan’ ye. Sàra mán kán kà bɔ ò kàlan’ nà, i n’àfɔ kàlan’ dùgumála’ fó kà tága sé sépe’ mà, wálà bèpes’ la. Kà tága sé mà, ò ye wájibi ye. Tɛkinikikálan’ ni báarakalan’ ká kán kà kɛ fɛ lɔɔkɔnin ye ; sánfɛkalan’ ká kán kà nɔgɔya bɛɛ mà, bɛɛ ká kán kà kánya à la.
26-02	Kàlan’ làɲíni’ ká kán kà kɛ kà mɔgɔ’ ya hádamadenya’ fá, àni mɔgɔya’ hákɛw ni à hɔrɔnya’ lásàbati. A ká kán kà ɲɔgɔnfaamuya ɲɔgɔnbonya’ sàbati mɔgɔw ni ɲɔgɔn cɛ, kà tériya’ sàbati jàmanaw síyaw ni díinaw ni ɲɔgɔn cɛ, àni kà dúnya’ tɔnba’ dɛmɛ ɲásuma’ la dúnya’ kɔnɔ.
26-03	Dén’ ládamu cógo ni à ya kàlan’ sífaya’ súgandili’ ye fàcɛ ni bámuso’ tá lè ye fɔlɔ.
27-00	Báabu 27 nan
27-01	A be bɛn bɛɛ ye i sèn’ dòn, à ká dí i ye cógo’ mín na, i ya jàmalájɛkow ni ɲánagbɛw la, kà dàamu’ sɔrɔ sékow la, àni kà i nìyɔrɔ’ kɛ lɔnkow yíriwali’ la, kà ù nàfa’ sɔrɔ.
27-02	Fɛn ó fɛn bɔra lɔnkow ni sékow ni másalaw kɔnɔ, ní à béna kɛ báasi mɔgɔw mà, à kɛra ù bólofɛn cɛnni ye wálà kùnmasúuli, bɛɛ ká kán ni làtangali ye òlúgu mà.
28-00	Báabu 28 nan
28-01	Dàntigɛlikan’ nɔnɔ hákɛyaw ni hɔrɔnya’ sàbatíli’ sìgida’ la, jàmana’ kɔnɔ, àni dúnya’ mùmɛ kɔnɔ, bɛɛ ká kán ní ò ye.
29-00	Báabu 29 nan
29-01	Sìgida’ ya hákɛ’ ye mɔgɔ kélen kélen bɛɛ kùnko ye, k’à lá à kán ní sìgida’ tɛ, i ya mɔgɔya’ te dáfa.
29-02	Dàn sí te mɔgɔ’ ya hákɛyaw’ ni à ya yɛrɛmabíla’ la, fó à dɔ bɛ kà i kɔrɔsi à kana mɔgɔ gbɛrɛ tɔɲɔ, à ye i jànto mɔgɔ gbɛrɛ ya hákɛyaw la, àni jógoɲumanya’ ni ɲàli’ ni jàma’ làganfíya’ kánma, bɛɛkanya’ kɔnɔ.
29-03	O hákɛyaw ni n-tá-ye-n-yɛrɛ-ye’ te bɛn cógo sí la, ní ù be Dúnya’ tɔnba’ ya sàriyaw sɔsɔ.
30-00	Báabu 30 nan
30-01	Yɔrɔ sí te dàntigɛlikan‘ nìn kɔnɔ, ní fànga, wálima jàmakúlu, wálima mɔ gbansan be sé kà míiriya gbɛrɛ bɔ ò kɔnɔ kà nà ni ków ye wálima wáleyaw ye, minw bena ni dàntigɛlikan’ nin hákɛw ni à hɔrɔnya’ bènni’ ye.
