00-00	Universal Declaration of Human Rights
11-00	If goment or anybodi say person do bad, and dem come carry am go court, nobodi fit talk say dat person do bad until say dem judge well well so tay mago mago no de, na dat time dem fit talk say di person na really bad person and e do ting we make dem becos of am bring am come court. Di person must to get people wey go defend am before dem fit talk say e do di bad ting wey dem say e do.
11-01	Dem come talk again say nobodi fit talk say person do bad ting if di ting no really bad, weda for di law of im kontri or for di whole world, for dat time wen e do am. Again na di punishment wey e fit di bad ting wey di person do for dat time if e do am, naim dem must to give am, no be di one wey e heavy pass di offence wey e do, for di time.
12-00	Article 12
12-01	Dem talk say nobodi fit put mouth any how for anoda person mata or im family or im house mata or even any ting wey e concern di person. Wen everibodi know say person good, nobodi get right to de go about to say di person na bad person. Everibodi as di law, talk naim goment must to protect, if anybodi wan do dat kind ting to person.
13-00	Article 13
13-00	Everione naim get right to go anywhere wey e wan go, weda na to go see im friend o, or to go anoda town o, or to travel comot for where e de live to anoda place. Dat na im own palava.
13-01	Everione naim get right to comot im kontri if e wan go to anoda kontri and make e come back if e like, e no concern anybodi.
14-00	Article 14
14-00	Everione naim get right to go anoda kontri, wey e like to tell dem say im wan live for dat kontri, sake for say dem de look for am for im own kontri or dem won arrest am for im kontri, wen im no do any bad ting.
14-01	But if dat person really do bad ting o, for im own kontri and e come run comot to wan go live for anoda kontri, sake for say di goment of im kontri de look for am, di goment of di kontri wey e run go, no go gree at all, at all o. Even sef, di meeting of di whole world wey we de call United Nations, say dis ting no good at all and dem too gree say if person do bad ting for im kontri, e good make im eye see wetin e de look for, as e do di bad ting for im kontri.
15-00	Article 15
15-00	Everione naim get right to say na any kontri wey im like, im go call im own.
15-01	Nobodi fit talk say di person no get right to belong to di kontri wey e like or if e like make a say im no wan belong to im kontri again, na anoda kontri im wan belong to. Make dem say e no fit change to di kontri wey e like and make e call im own.
16-00	Article 16
16-00	Man or woman, so far e don reach di age wey e fit marry, so tay nobodi fit disturb am, sake for sake of im religion or di kontri wey e come from, get di right to marry and get im own family. Dem get right to marry and if dem don tire for di marriage, dem fit go court to say if dem no wan do again, say make everibodi de go im own way.
16-01	If two people wan marry, so far di two people gree say dem like demselves, dem free to marry.
16-02	Di family, say mama, papa and di children, dem be one small group for di society dem de live, sake for dis, goment suppose to look after dem, say bad ting no happen to dem.
17-00	Article 17
17-00	Everibodi naim get right to own propati of im own or if e like, with other people.
17-01	Nobodi get right to seize di propati of anoda person.
18-00	Article 18
18-01	Everione naim get right to tink any ting e like, do as e like or do as im mind tell am to do, do di kind religion e wan do. Naim be say person fit change im religion or wetin e tink say naim be di truth for im religion. E fit do dis by imself or make nobodi know or with other people, make everibodi know. If e like self, e fit teach people dis im religion, e fit show di kind religion wey e belong to, for di way, wey e de behave or way, wey e serve im god.
19-00	Article 19
19-01	Everione naim get right to tink or talk wetin e like about any mata. Naim be say wen di person tink about wetin e like, nobodi get right to say make e no tink like dat. Even sef di person get right to look for or get any information wey e like from any where.
20-00	Article 20
20-00	Everione get right make e join any group wey come together, say dem wan do something or say dem wan de hold meeting, so far nobi wetin go bring kata kata, peace must to de.
20-01	Anybodi wey say im no wan join any group, nobodi for dis world fit force to join.
21-00	Article 21
21-00	Everione naim get right to say im wan de for goment of im kontri if di person like e fit be say naim go de there by imself or if e like, e fit choose person wey e wan make e de for di goment.
21-01	Everione get right to say dem wan de for public service, naim be say dem wan work for goment.
21-02	Na wetin di people of di kontri want, naim go be wetin di goment go stand on. Na dat, goment go take de rule di people. Naim be say na di people go de vote for di people wey dem want make e rule dem. Di ting be say, everibodi get right to vote o, so far you don reach di age to vote for di kontri. And if people wan vote, e fit be say na by secret ballot or by any other way, wey di kontri tink say e good.
22-00	Article 22
22-01	Everione, wey be member of di society wey e belong to, get right say make goment give am weting go make life beta for am, so tay life go beta for am. Dem talk again say, di goment of im society and di whole world must work together, so tay, noting must to disturb person for dis life.
23-00	Article 23
23-00	Everione naim get right to work, do di work wey e like, wey e be say di conditions of di work favour am and e good for am. Even sef, if person no get work, e get right say dem must to protect am.
23-01	Everione, no mata who di person be or wetin di person be, get right to get di moni wey fit di kind work e de do.
23-02	Anybodi wey de work, weda for goment o, or no be for goment, get right to de get di kind moni wey e be say e go reach am to take de look after imself and in family, di moni wey dem dey pay am no be yeye moni, e worth am and if no be so, make e get anoda way, wey e go take make extra.
23-03	Everione naim get right to form or make e join any union wey dem form for im working place, so far na say de union go de see say di people wey employ dem, treat dem well, dem no cheat dem at all, at all o.
24-00	Article 24
24-01	Everione naim get right say dem wan rest and enjoy demself and also dem get right to work for di kind time wey good for dem, wey no go give dem wahala at all o, and wen dem work for some time, dem get right say dem wan go rest for some time. Dat time wey dem de rest, dem must to dey get their salary o.
25-00	Article 25
25-00	Everione naim get right say dem must to live well, well, wey e be say dem no de sick anyhow, say their bodi de kampe and their family own too. Naim be say, dem must to get good food, dem de wear beta cloths, dem must to live for beta house, dem get beta treatment if dem sick and everi other ting wey dey make life beta for person, for im kontri. And if dem no get work or dem sick or dem lose wife or husband or dem don old or dem no fit do anything, say for sake say dem blind, dem no de hear or fit talk or dem get one kind sickness wey make dem useless or make dem no fit work, dem get everi right, say goment must to look after dem and make dem live well, well like everi other person wey all im bodi correct.
25-01	Everi mama and pickin get right say make dem take care of dem well, well and make people helep dem anytime dem need helep. Everi pickin wey dem born, weda di papa marry di mama or di papa and mama no marry demself, get right say make dem take care of dem and protect dem well, well.
26-00	Article 26
26-00	Everione naim get right say e must to go to skul. Dis skul wey e go, go, must be free o, e no go pay o. Everibodi must to go to primary skul and Teknikal College, naim be say skul we e be say pickin go learn mechanic work or any other work we e wan be like am and any other work where person go learn de trade wey e like, goment go see say anybodi wey wan learn am, learn am well, well. Again dem say nobodi wey wan learn pass secondary skul, say e wan go unifasiti or anoda skul like unifasiti, fit go, so far di person merit am.
26-01	Dis skul wey dem say everibodi must to go so, go helep person well, well, so tay di person go de kampe for im society and people go respect am too and all dis right wey we dey talk about since say human beings get, education, go make us know dem well, well, so tay we go know our right. Dis education go make all di kontris for di whole world understand each other, fit stand each other and all of dem go de friendly with each other no mata di kind kontri or di kind religion wey everibodi de do. E go also make di work of dis meeting of di whole world, we de call United Nations, go well, well and e go make peace de.
26-02	[Article 26.3 not available]
27-00	Article 27
27-00	Everione naim get right and de free to join for the culture of im people, naim be say, de way dem dey live, di kind tradition wey dem get. Di person even get right to enjoy di kind tings wey be say na oyibo witch dem take make am, to make di kontri be like oyibo own.
27-01	Anybodi wey e be say naim do dis oyibo witch to make im kontri advance or make e be like pyibo own or de do wetin go make people enjoy demself or na person wey e be say na ogbonge person for di ting wey e de do, so tay people de enjoy am, e get right say dem must to protect all dis tings e de do.
28-00	Article 28
28-01	Everione naim get right say make dem live in peace, for their society and di whole world and make dem make sure say dem dey aware of all di rights we don dey talk about since for this small book.
29-00	Article 29
29-00	Everione naim get duty to im society wey e de live, for am to make sure say e develop imself well, well.
29-01	When we de use our rights and freedom, wey we don dey talk about since, we fit use am as dem talk, so fa say, we no use am do anyting wey go, go against di law of di society. Dis na because na dis law be guarantee for di rights and freedom wey other people get.
29-02	All dis rights and freedom we get, we must to use dem, as dem talk say make we use dem, no be say make we go do as dem, no be say make we go do as dem say make we no do.
30-00	Article 30
30-01	Nothing for dis small book wey we talk about human right so, talk say any kontri, person or people get any right to do something wey e go destroy all dis rights we dey talk about since.
