00-00	Decleranza universala dals drets da l'uman
02-01	Mincha uman no far valair ils drets e las libertats proclamats in quista Decleranza, sainza ingüna differenza, ne da razza, da culur, da sex, da lingua, da religiun, d'opiniun politica o d'üna otra opiniun, d'origin naziunal o social, da proprietà, da naschentscha ne da qualunque otra circunstanza.
02-02	Plünavant nu poja gnir fat ingüna differenza in basa a la situaziun politica, giuridica o internaziunala dal pajais o dal territori, al qual üna persuna appartegna, cha quist pajais o territori saja independent, suot tutela, na autonom ch'el saja suottamiss a qualunque otra limitaziun da sia libertà.
03-00	Artichel trais. (3)
03-01	Mincha uman ha il dret da la vita, da la libertà e da la sgürezza da sia persuna.
04-00	Artichel quatter. (4)
04-01	Ingün nu po gnir tgnü in sclavitüd o in servitüd; sclavitüd e commerzi da sclavs sun scumandats in tuot lur appariziuns.
05-00	Artichel tschinch. (5)
05-01	Ingün nu po gnir suottamiss a la tortura, ne a painas o trattamaints crudels, inumans o ümiliants.
06-00	Artichel ses. (6)
06-01	Mincha uman ha dapertuot il dret, cha sia persunalità giuridica vegna arcugnuschüda.
07-00	Artichel set. (7)
07-01	Tuots umans sun eguals davant la ledscha ed han il dret da gnir protets egualmaing da la ledscha sainza ingüna distincziun. Tuots han il dret da gnir protets egualmaing cunter mincha discriminaziun chi violess quista Decleranza e cunter mincha provocaziun ad üna tala discriminaziun.
08-00	Artichel ot. (8)
08-01	Mincha persuna ha il dret a protecziun legala davant las giurisdicziuns naziunalas competentas cunter tuots fats chi violeschan ils drets fundamentals chi tilla sun gnüts concess tras la constituziun o tras la ledscha.
09-00	Artichel nouv. (9)
09-01	Ingün nu po gni arrestà arbitrariamaing, tgnü in fermanza o gir exilà arbitrariamaing.
10-00	Artichel desch. (10)
10-01	Mincha persuna la il dret, in plaina egualità, ad üna procedura tenor dret e güstia e publica davant ün tribunal independent ed imparzial chi ha da decider sur da seis drets e seis dovairs o sur da qualunque achüsa in materia penala drizzada cunter eIla.
11-00	Artichel ündesch. (11)
11-01	Mincha persuna chi vain achüsada d'ün fat culpabel sto gnir resguardada sco innozainta, fintant cha sa cuolpa nu vain cumprovada legalmaing in üna procedura publica, ingio cha tilla sun asgüradas tuottas garanzias necessarias per sa defaisa.
11-02	Ingün nu po gnir chastià per ün fat o per ün interlasch chi nu d'eira punibel tenor il dret naziunal o internaziunal da quel temp ch'els sun gnüts commiss. Medemmamaing nu poja gnir inchargià ün chasti plü greiv co quel chi d'eira applichabel da quel temp cha l'act penal d'eira gnü commiss.
12-00	Artichel dudesch. (12)
12-01	Ad ingün nu's poja as masdar arbitrariamaing in sa vita privata, in sa famiglia, in seis domicil o in sia correspundenza ed ingün nu po gnir attachà in sia onur ed in sia reputaziun. Mincha uman ha il dret a protecziun legala cunter talas infiltraziuns o attachas.
13-00	Artichel traidesch. (13)
13-01	Mincha persuna ha il dret da circular libramaing e da tscherner libramaing seis domicil aint il intern d'ün stadi.
13-02	Mincha persuna ha il dret da bandunar mincha pajais, cumprais seis agen, e da tuornar in seis pajais.
14-00	Artichel quattordesch. (14)
14-01	Pervi da persecuziuns ha mincha persuna il dret da tscherchar asil e da giodair asil in oters pajais.
14-02	Quist dret nu po gnir fat valair in cas da persecuziuns pervi da delicts na politics o pervi da fats cuntraris a las meras ed als princips da las Naziuns unidas.
15-00	Artichel quindesch. (15)
15-01	Mincha persuna ha il dret ad üna naziunalità .
15-02	Ad ingün nu poja gnir priva arbitrariamaing sia naziunalità e neir il dret da müdar sia naziunalità.
16-00	Artichel saidesch. (16)
16-01	Homens e duonnas ill'età da's maridar han il dret da conclüder üna lai e da fuondar üna famiglia, sainza ingüna restricziun in reguard, a la razza, Ia naziunalità o la religiun. Els han ils medems drets pro'l maridar, dürant il matrimoni e pro'l sfar oura.
16-02	La marida po gnir conclüda be in basa a l'acconsentimaint liber e cumplet da tuots duos conjugals venturs.
16-03	La famiglia es l'elemaint natüral e fundamental da la cumünanza umana ed ha il dret da gnir protetta da la cumünanza e dal stadi.
17-00	Artichel deschset. (17)
17-01	Mincha persuna, o suletta o in comuniun cun otras, ha il dret a proprietà.
17-02	Ingün nu po gnir privà arbitrariamaing da sia proprietà.
18-00	Artichel deschdot. (18)
18-01	Mincha persuna ha il dret e libertà d'impissamaints, da conscienza e da religiun; quist dret cumpiglia la libertà da müdar la religiun o la persvasiun ed eir la libertà da manifestar sa religiun o sa persvasiun sulet o in comuniun cun oters, tant publicamaing o privatamaing, tras instrucziun, in pratcha, in cult divin o accumplind rits.
19-00	Artichel deschnouv. (19)
19-01	Mincha uman ha il dret a la libertà d'opiniun e d'expressiun: quista libertà cumpiglia il dret dad aderir libramaing ad opiniuns da tscherchar e dad artschaiver e derasar infuormaziuns ed ideas per qualunque mez d'informaziun pussibel sainza resguards da cunfins.
20-00	Artichel vainch. (20)
20-01	Mincha uman ha il dret a la libertà da reuniun e d'associaziun cun meras paschaivlas.
20-02	Ingun nu po gnir oblià dad appartgnair ad üna associaziun.
21-00	Artichel vainchün. (21)
21-01	Mincha uman ha il dret da tour part a la direcziun dals affars publics da seis pajais, opür directamaing o tras rapreschantants tschernüts libramaing.
21-02	Mincha persuna ha il dret da tour part cullas medemmas cundiziuns als uffizis publics da seis pajais.
21-03	La voluntà dal pövel es la fundamainta per l'autorità da la pussanza publica: quista voluntà sto s'exprimer tras elecziuns vardaivlas chi ston seguir periodicamaing cun dret da vuschar general ed egual e cun scrutin secret o tenor üna procedura equivalenta chi garantischa la libertà da vuschar.
22-00	Artichel vaincheduos. (22)
22-01	Mincha persuna, sco member da la cumünanza umana, ha il dret a la sgürezza sociala; ella ha il dret dad obtgnair ils drets economics, socials e culturals indispensabels per sia dignità e pel svilup liber da sia persunalità, tras sforzs naziunals e tras la cooperaziun internaziunala, tgnand quint da l'organisaziun e dals mezs da mincha pajais.
23-00	Artichel vainchetrais. (23)
23-01	Mincha persuna ha il dret a lavur, a tscherna libra d'üna vocaziun, a cundiziuns cunvgnaintas e satisfacentas per la lavur ed a protecziun cunter dischoccupaziun.
23-02	Tuots han il dret, sainza ingüna discriminaziun, a paja eguala per lavur eguala.
23-03	Minchün chi lavura ha il dret ad üna remuneraziun cunvgnainta e satisfacenta chi garantischa ad el ed a sia famiglia üna existenza correspundenta a la dignità umana e chi'd es da cumplettar, schi fa dabsögn, tras oters mezs da protecziun sociala.
23-04	Mincha persuna ha il dret da fuondar insembel cun oters associaziuns professiunalas e da s'affiliar a talas per defender seis interess.
24-00	Artichel vainchequatter. (24)
24-01	Mincha persuna ha il dret a pos ed a temp liber, ad üna limitaziun radschunaivla dal temp da lavur ed a congedis pajats periodics.
25-00	Artichel vainchetschinch. (25)
25-01	Mincha persuna ha il dret ad ün livel da vita satisfacent per garantir sa sandà e seis bainstar e quels da sa famiglia, cumprais la nudritüra, la büschmainta, I'abitaziun, la chüra medicala e'ls servezzans socials necessaris; ella ha il dret a sgürezza in cas da dischoccupaziun, malatia, invalidità, sch'el(la) dvainta guaivd(a), in cas da vegldüna o sch'el perda otramaing ils mezs da viver sainza aigna cuolpa.
25-02	La mamma e l'uffant han il dret ad ün agüd ed üna assistenza speciala. Tuot ils uffants, legitims ed illegitims, giodan la medemma protecziun sociala.
26-00	Artichel vaincheses. (26)
26-01	Mincha persuna ha il dret ad educaziun. L'educaziun sto esser gratuita, almain illas scoulas elementaras e fundamentalas. L'instrucziun elementara es obligatoria. L'instrucziun specifica e professiunala dess esser generalmaing accessibla; I'access als stüdis superiuors dess esser avert a tuots in basa a lur capacitats e prestaziuns.
26-02	L'educaziun dess avair sco mera il svilup cumplet da la persunalità umana e'l rinforzamaint dal respet dals drets da l'uman e da las libertats fundamentalas. Ella dess promouver l'incletta, la toleranza e l'amicizcha tanter tuot las naziuns e tuot las gruppas da razza e da religiuns, e favurisar l'actività da las Naziuns unidas per mantgnair la pasch.
26-03	In prüma lingia han ils genituors il dret da tscherner il möd d'educaziun chi`d es da dar a lur uffants.
27-00	Artichel vaincheset. (27)
27-01	Mincha persuna ha il dret da tour part libramaing a la vita culturala da la cumünanza, da giodair las arts e da partecipar al progress scientific ed a seis resultats.
27-02	Minchün ha il dret a la protecziun dals interess morals e materials chi resultan da mincha producziun scientifica, litterara o artistica, da la quala el es l'autur.
28-00	Artichel vainchot (28)
28-01	Mincha persuna ha il dret ad ün uorden social ed internaziunal, i'l qual ils drets e las libertats manzunats illa Decleranza preschainta pon gnir realisats plainamaing.
29-00	Artichel vainchenouv. (29)
29-01	Mincha uman ha dovairs invers la cumünanza; be in quella es pussibel il svilup liber e cumplet da sia persunalità.
29-02	Pratichand seis drets e sas libertats es suottamiss minchün be a quellas restricziuns chi sun gnüdas stabilidas tras la ledscha per garantir l`arcugnuschentscha e'l respet dals drets e da las libertats dals oters e per satisfar a las exigenzas güstas da la moralà, da l'uorden public e dal bainstar general in üna cumünanza democratica.
29-03	Quists drets e quistas libertats nu pudaran gnir pratichats in ingüns cas in sen cuntrari a las meras ed als princips da las Naziuns unidas.
30-00	Artichel trenta. (30)
30-01	Ingüna disposiziun da la Decleranza preschainta nu po gnir interpretada in quel sen chi resultess landroura per ün stadi, per üna gruppa o per üna persuna qualunque dret da pratichar una actività o dad accumplir ün fat chi vessan per mera da desdrüer ils drets e las libertats manzunadas in quista Decleranza.
