00-00	Чипа̄линне̄сал деклара̄сиjачи нари доролбони
22-01	Хамаче̄дда̄ чипа̄ли нари, хупанне̄, дорони бūни гэлэми сосиалинэи бэлэччурре̄ддэ̄, андупурре̄ддэ̄ на̄дамба мэ̄нэ дороббū дапутабуӡӡи, мэ̄нэ маӈгабби гэвумэ балӡибуддо̄ни экономическиду, сосиалинэиду кулитурнэиду областиду гурума кусуӡӡи гуру-гурума гэсэ уилэӡӡи бэлэчимэри бо̄-бо̄ структурэ̄ннū, ресурсэ̄нни хэттэ̄ини.
23-00	Статиjа 23
23-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни уилэккуду, гэвумэ уилэкко̄ силмабуӡӡū, эмэри камаличче̄ улиӈгаӡи уилэури уилэккуду уилэбуӡӡū, уилэкку ана̄дуни аксачибуддо̄чи.
23-01	Хамаче̄дда̄ чипа̄ли нари, мэ̄пи эми сэӈгэррэундэ, дорони бūни омоттомо уилэпулэ уилэду омоттомо тамма̄ тамабуддо̄чи.
23-02	Хамаче̄дда̄ чипа̄ли уилле̄ нари дорони бūни эввуми камаличче̄ улиӈгамако̄ тамма̄ тамабуддо̄чи, ои бигини хамаче̄дда̄ гои сосиалинэи бэлэччурре̄ бубуддо̄чи мэ̄ппū мэ̄нэ нумиббū улиӈгаӡи кихамбуддо̄ни.
23-03	Хамаче̄дда̄ чипа̄ли нари дорони бūни пропе̄си хӯпамбани андуми, пропеси хӯпатаини ūррэ̄ мэ̄нэ дороби аксачибуӡӡи.
24-00	Статиjа 24
24-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни дэрукпуритэjjū, хуппуритэjjū, уидо̄киӡи дуралипула уилэури инэӈитэjjū, анани-анани таммаури отпускатаjjū.
25-00	Статиjа 25
25-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни эргими биввурре̄; тари дэппи, багдухи, дуку, окчичими е̄ропури, на̄дассури сосиалинэи бэлэччури-тари чипа̄ли на̄да мэ̄нэ эргэббū, мэ̄нэ нумиби эргэмбэннū окчичибуӡӡи, эргими бибуӡӡи, мэ̄ппū, мэ̄нэ нумиббū бэлэчибуӡӡи уилэлу ана̄ опе̄, сагдаппе̄, хаимидда̄ эргимбэ вэ̄дэпе̄ мэ̄нэ баитала ана̄ӡи.
25-01	Эни оччисал jатауна бūсэл дорочи бūни даjиӡи кихами бэлэчибуддо̄чи. Чипа̄л пурил мūрэм балӡихалдда̄, мūрэм эччил балӡе̄дда̄ чипа̄линне̄таи омоттомо сосиалинэи бэлэччурре̄ тамме̄чи.
26-00	Статиjа 26
26-00	Хамаче̄дда̄ чипа̄ли нари таччӯриду дорони бūни. Тэнэ̄ тачикку тамала ана̄, нэ̄ тачими хоӡӡӯттаури. Чипа̄л тачикку тамала ана, нэ тачими хоӡӡӯттаури. Техническаjjū, пропессионалинэjjū, гугдамаjjū таччури чипа̄линне̄па ūввонӡини, ӈуи уидо̄ки бūни.
26-01	Таччури нари мөррө̄ннө, нари дөррө̄ннū, нари иддэ̄ннū маӈга опо̄нӡини, гэббо̄ннū нари доротоини, нари даjи гэвутэини даjи опонӡини. Таччури мэ̄нэ мэ̄пэри са̄маччурре̄, маӈиттаурре̄ бэлэччини, ӡе̄лачимари биввурре̄ гуру-гуру таундуни, ра̄самма̄ религио̄синамма̄ хӯпа-хӯпа таундуни бэлэччини Органисасиjа Обедиԩонэи На̄сиjа уилэкко̄ни эмэри валле̄ биввурре̄ дапучче̄вани бэлэччини.
26-02	Амиjjа̄ – эниjjэ̄ дорочи бūни дуллӯӡи силмами тачикко̄, хоттои пурилбэри ūвуличи тачибуддо̄чи.
27-00	Статиjа 27
27-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни гэвум каксибуӡӡи кулитурнэитэи хӯпа биввуритэини, сэбдэними пакчиӡи андупулаӡи, каксими наука прогресситэини, улиӈгамаӡини таккурами.
27-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни но̄ни мөрөммө абдумма̄ интере̄ссе̄ни аксачибуддо̄чи, тари андупула (топула) бūгини но̄ни научинэи литературинэи худосественнэи уилэни тари авторини но̄ни бигини.
28-00	Статиjа 28
28-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни сосиа̄линэиддӯ, гуру-гуру тауни эпсиӡидду, jэ Декларасиjаду нурипула доролбо гэвулбэ чипа̄ли андусилил.
29-00	Статиjа 29
29-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни хӯпаду, хамаче̄ду чадӯмали гэвумӡӡū даjиӡӡū но̄ни маӈгани балӡини.
29-01	Таккураини мэ̄нэ доролӡӡū, мэ̄нэ гэвулӡи хамаче̄мбадда̄ чипа̄ли нарре̄ камаличчичи сако̄ну кусудуни ӡэӈкūр са̄буддо̄ннū гэбубуддо̄нни гоинне̄ доролбоччū гэбулбэччū, тэдэмэ мөррө̄, хупама эбсиӡӡū, чипа̄линне̄сал эргикко̄ччи гэллэ̄лбэни каксими тобуддо̄ни.
29-02	Эрил доролӡӡū гэвулӡӡū таккурами хо̄нидда эввури камаличче̄ се̄лилбэ принсипилбэ Органисасиjани Обедиԩо̄нэхи Насиjаӈи.
30-00	Статиjа 30
30-01	Хаидда̄ эсипчи Декларасиjаду хаӈасаилакка эсини мөрөчө̄ндэ тамачикка хаива буввуре̄ государствутаи, нари хӯпатаини, ге̄да-ге̄да наритаи дорро̄ хамаче̄дда̄ уилэкко̄ товвурре̄, андуми товвурре̄ хамаче̄ атуччини доролбо, гавулбэ, декларасиjаду нурипулалба.
