00-00	PACHATIN LLAQTAKUNAPI RUNAQ ALLIN KANANPAQ JATUN KAMACHIKUY
25-00	Llapa runapaqmi kanan allin kausay, kaqllataq warminpaqpas, wawankunapaqpas. Kananmi mikliunanpas, wasinpas, p 'achanpas; kanantaqmi janpiqnin "medicupas". "Seguro Socialpas" kananmi paypaq-qa mana llank'ayta atiqtin, onqoqtin; warmin wañuqtin, ima llakipiña kaqtinpas.
25-01	Wachakoq warmiqa rikusqan qhawasqan kanan. Wawakunapas kaqllataqmi kanan; "Casadoq" wawanpas, mana "casadoq" wawanpas.
26-00	ISHKAYCHUNKA SOQTAYOQ ÑIQEN (26)
26-00	Tukuy runapaq churasqan "escuela", "colegio", "educación", llapataqmi chaykunata chaskinan mana qolqellamanta.
26-01	Jatun yachaywasimantaqmi jaykunan ashwan umayuq, yuyayniyoq, jamautayoq jina.
26-02	"Educacionqa" llapa runaq ashwan allinruna kananpaqmi, llapa runamasintin munanakunanpaqmj, maymantaña kaqtinpas, may llaqtayuqña kaqtinpas.
27-00	ISHKAYCHUNKA QANCHISNIYOQ ÑIQEN (27)
27-00	Llapa runan reqsinan jatun yachayniyoqpa yachayninkunata, chaymi "ciencia" nisqa, llapan reqsinan tukuy sumaq ruwaykunata: "artes" sutiyoq.
27-01	Llapa runan yachanan, aypanan jatun yachay, kausay yachay, ashwan jatun "filosofía" nisqa jamutay kuraq yachayta.
28-00	ISHKAYCHUNKA PUSAQNIYOQ ÑIQEN (28)
28-01	Sapanka runan munannanchis kay jatun kamachikuy simikunaq juntakunanta, llapa pachantin, "munduntin" llaqtakunapi.
29-00	ISHKAYCHUNKA ISHQONNIYOQ ÑIQEN (29)
29-00	Ayllunchispi kausaq runataqa, llaqtanchis runataqa, anchatan, munana, yupaychana; ayllun, llaqtan sapanka runatapas uywawanchis, wawanmi kanchis.
29-01	[Missing?]
29-02	[Missing?]
30-00	KINSACHUNKA ÑIQEN (30)
30-01	Kay jatun kamachikuy simikunaqa manan juj runallapaqchu; manataqmi "nacionkunaq" kamacheqkunallapaqchu, llapa runaq allinninpaqmi, pachantin llaqtakunapitaqmi junt'akunan.
