00-00	Edeklarasau ya molumwenku ya Edireito sa Mutthu
23-02	Onivara muteko ohaana edireito yowakhela saana, wi akhale n’amusi awe variyari v’edignidade ya mutthu, n’okhaviheriwa ahikhale saana.
23-03	Wakunla mutthu ohaana edireito yothukumana n’akhwawe khiyapaka esindicato, ni wilepiha mwa mathukumano akina wira alipihere edireito sawe.
24-00	ARTIKU 24
24-01	Wakunla mutthu ohaana edireito yomumula, n’okathi wamuteko ohivirikanihe elei, ni edireito yokhalana ifeeria soolinva.
25-00	ARTIKU 25
25-00	Wakunla mutthu ohaana edireito sa itthu wi akhale saana n’amusi awe ( ekuwo, yoja, enupa,…) ni ekumi, okhaviheriya ahikhalane muteko, awereyaka, apahun’we, onakhweliye an’yawe walaa amwara awe, onoluvanle ni sinamwirenle itthu sothakhala.
25-01	Muthiyana orupanle nuule oyanre naanano ohaana edireito yokhaviheriwa saana. Ana othene ayariwe variyari va mulopwana ni muthiyana ahithelanne arina edireito solikana ni sa anamwane akina.
26-00	ARTIKU 26
26-00	Wakunla mutthu ohaana edireito yosoma. Osoma ohaana okhalaka wihinlivia mpaka omaliha myakha sopajera onisuthiya olepa n’osoma. Myakha sopajera iya atthu othene ahaana yilepihaka nnakhala vahasivelaka. Sihaana sipankaka esikola sinjene sinakumiha mateekniko. Esikola yulupale yesomi, ehaana otthukuliwa wi atthu othene akeleke moota wolikana, ale othene aniweryasa.
26-01	Esikola ekhale opuro oninnuwiha muru ni murima wa mutthu, eninnuwiha edireito n’eliberdade sa mutthu. Esikola ela ehaana yinnuwihaka moota onimoona’hu pinatamu m’khwahu variyari vamurettele n’atthu othene, niphelaka wi ninnuwihe miteko sa Nações Unidas.
26-02	Asipapa ahaana edireito yopajera othanla moota ontthuna’ya onsomiha mwanaya.
27-00	ARTIKU 27
27-00	Wakunla mutthu ohaana edireito yotthuna okela mwaneene mmitekoni sinvariya mmwannhawe, ni wakhela itthu sinkhumelela mmitekoni sinvara’we.
27-01	Atthu othene ahaana edireito yoprotejeria itthu sothene sinvaraya s’osuela waya wa osomi.
28-00	ARTIKU 28
28-01	Wakunla mutthu ohaana edireito yokhavihera, wi edireito n’eliberdade silempwe muwarakhani mu sihikelihiwe iphiro sonanara.
29-00	ARTIKU 29
29-00	Pinatamu ohaana idevere mulaponi mwawe, sinrowa omwinnuwiha ni moota anaweha’we atthu akhwawe.
29-01	Ottharihela idireito n’eliberdade silempwe mu, khavo onrowa ovariwa wi alalee edireito ni eliberdade s’atthu akina, wi esariya ni makhalelo a murettele yonaneye mulaponi variyari v’edomocracia.
29-02	Edireito n’eliberdade iya sihiraneye sivirikanihaka elei sin’holela makhalelo a Nações Unidas.
30-00	ARTIKU 30
30-01	Khanivo nlamulo na edeklarasau ila ninrowa otthariheleliwa, n’estado, mathukumano a’tthu, walaa mutthu, epankaka etthu enrowa ovirikaniha idireito ni eliberdade silempwe mu.
