00-00	UNIVERZALNA DEKLARACIJA O LJUDSKIM PRAVIMA
04-01	Niko se ne smije držati u ropstvu ili potčinjenom položaju: ropstvo i trgovina robljem zabranjeni su u svim oblicima.
05-00	Član 5.
05-01	Niko ne smije biti podvrgnut mučenju ili okrutnom, nečovječnom ili ponižavajućem postupku ili kažnjavanju.
06-00	Član 6.
06-01	Svako ima pravo da bude priznat kao osoba pred zakonom.
07-00	Član 7.
07-01	Svi su pred zakonom jednaki i imaju pravo na podjednaku zaštitu zakona bez ikakve razlike. Svi imaju pravo na jednaku zaštitu protiv bilo kakve diskriminacije kojom se krši ova Deklaracija i protiv svakog podsticanja na ovakvu diskriminaciju.
08-00	Član 8.
08-01	Svako ima pravo na djelotvorni pravni lijek pred nadležnim nacionalnim sudovima protiv djela kojima se krše osnovna prava koja su mu priznata ustavom ili zakonima.
09-00	Član 9.
09-01	Niko ne smije biti proizvoljno uhapšen, pritvoren, niti protjeran.
10-00	Član 10.
10-01	Svako ima potpuno jednako pravo na pravično i javno suđenje pred nezavisnim i nepristrasnim sudom koji će odlučiti o njegovim pravima i obavezama, i o osnovanosti svake krivične optužbe protiv njega.
11-00	Član 11.
11-01	Svako ko je optužen za krivično djelo ima pravo da se smatra nevinim dok se na osnovu zakona krivica ne dokaže na javnom pretresu na kojem su mu obezbijeđena sva jamstva potrebna za njegovu odbranu.
11-02	Niko se ne smije osuditi za djela ili propuštanja koja nijesu predstavljala krivično djelo po unutrašnjem ili međunarodnom pravu u vrijeme kada su izvršena. Isto tako ne smije se izricati teža kazna od one koja se mogla primijeniti u vrijeme kada je krivično djelo izvršeno.
12-00	Član 12.
12-01	Niko se ne smije izložiti proizvoljnom miješanju u privatni život, porodicu, stan ili prepisku, niti napadima na čast i ugled. Svako ima pravo na zaštitu pred zakonom protiv ovakvog miješanja ili napada.
13-00	Član 13.
13-01	Svako ima pravo na slobodu kretanja i izbora stanovanja u granicama pojedine države.
13-02	Svako ima pravo da napusti svaku zemlju, uključujući svoju vlastitu, i da se vrati u svoju zemlju.
14-00	Član 14.
14-01	Svako ima pravo da traži i uživa u drugim zemljama azil od progona.
14-02	Na ovo pravo se ne može pozvati u slučaju gonjenja koje se istinski odnosi na krivična djela nepolitičke prirode ili na postupke protivne ciljevima i načelima Ujedinjenih nacija.
15-00	Član 15.
15-01	Svako ima pravo na državljanstvo.
15-02	Niko ne smije samovoljno biti lišen svog državljanstva niti prava da promijeni državljanstvo.
16-00	Član 16.
16-01	Punoljetni muškarci i žene, bez ikakvih ograničenja u pogledu rase, državljanstva ili vjeroispovijesti, imaju pravo da sklope brak i da zasnuju porodicu. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegovog trajanja i prilikom njegovog razvoda.
16-02	Brak se može sklopiti samo uz slobodan i potpun pristanak lica koja stupaju u brak.
16-03	Porodica je prirodna i osnovna ćelija društva i ima pravo na zaštitu države i društva.
17-00	Član 17.
17-01	Svako ima pravo da posjeduje imovinu, sam i u zajednici s drugima.
17-02	Niko ne smije biti samovoljno lišen svoje imovine.
18-00	Član 18.
18-01	Svako ima pravo na slobodu misli, savjesti i vjeroispovijesti; ovo pravo uključuje slobodu promjene vjeroispovijesti ili uvjerenja i slobodu da čovjek sam ili u zajednici s drugima, javno ili privatno, ispoljava svoju vjeru ili uvjerenje podučavanjem, običajima, molitvom i obredom.
19-00	Član 19.
19-01	Svako ima pravo na slobodu mišljenja i izražavanja, što obuhvata i pravo da ne bude uznemiravan zbog svog mišljenja, kao i pravo da traži, prima i širi informacije i ideje bilo kojim sredstvima i bez obzira na granice.
20-00	Član 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruživanja.
20-02	Niko se ne može primorati da pripada nekom udruženju.
21-00	Član 21.
21-01	Svako ima pravo da učestvuje u upravljanju svojom zemljom, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svako ima pravo na jednak pristup javnoj službi u svojoj zemlji.
21-03	Volja naroda je osnova državne vlasti: ova volja treba da se izražava na povremenim i slobodnim izborima, koji će se sprovoditi opštim i jednakim pravom glasa, tajnim glasanjem ili odgovarajućim postupkom kojim se obezbjeđuje sloboda glasanja.
22-00	Član 22.
22-01	Svako, kao član društva, ima pravo na socijalno osiguranje i pravo da ostvaruje privredna, društvena i kulturna prava neophodna za svoje dostojanstvo i za slobodan razvoj svoje ličnosti, uz pomoć države i putem međunarodne saradnje, a u skladu sa organizacijom i sredstvima svake države.
23-00	Član 23.
23-01	Svako ima pravo na rad, na slobodan izbor zapošljenja, na pravične i zadovoljavajuće uslove rada i na zaštitu od nezapošljenosti.
23-02	Svako, bez ikakve razlike, ima pravo na jednaku platu za jednaki rad.
23-03	Svako ko radi ima pravo na pravednu i zadovoljavajuću naknadu koja njemu i njegovoj familiji obezbjeđuje egzistenciju koja odgovara ljudskom dostojanstvu i koja će, ako bude potrebno, biti upotpunjena drugim sredstvima socijalne zaštite.
23-04	Svako ima pravo da osniva sindikat i učlanjuje se u njega radi zaštite svojih interesa.
24-00	Član 24.
24-01	Svako ima pravo na odmor i dokolicu, uključujući razumno ograničenje radnog vremena i povremeno plaćeni odmor.
25-00	Član 25.
25-01	Svako ima pravo na standard života koji obezbjeđuje zdravlje i blagostanje, njegovo i njegove familije, uključujući hranu, odjeću, stan i ljekarsku njegu i potrebne socijalne službe, kao i pravo na osiguranje u slučaju nezapošljenosti, bolesti, onesposobljenja, udovištva, starosti ili drugih slučajeva gubljenja sredstava za izdržavanje usljed okolnosti nezavisnih od njegove volje.
25-02	Majke i djeca imaju pravo na naročito staranje i pomoć. Sva djeca, rođena u braku ili van njega, uživaju jednaku socijalnu zaštitu.
26-00	Član 26.
26-01	Svako ima pravo na obrazovanje. Obrazovanje treba da bude besplatno bar u osnovnim i nižim skolama. Osnovno obrazovanje je obavezno. Tehničko i stručno obrazovanje treba da bude svima podjednako dostupno na osnovu njihove sposobnosti.
26-02	Obrazovanje treba da bude usmjereno ka punom razvitku ljudske ličnosti i učvršćivanju poštovanja ljudskih prava i osnovnih sloboda. Ono treba da unaprjeđuje razumijevanje, trpeljivost i prijateljstvo među svim narodima, rasnim i vjerskim grupama, kao i djelatnost Ujedinjenih nacija za održanje mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vrstu obrazovanja za svoju djecu.
27-00	Član 27.
27-01	Svako ima pravo da slobodno učestvuje u kulturnom životu zajednice, da uživa u umjetnosti i da učestvuje u naučnom napretku i u dobrobiti koja otuda proističe.
27-02	Svako ima pravo na zaštitu moralnih i materijalnih interesa koji proističu iz svakog naučnog, književnog ili umjetničkog djela čiji je on tvorac.
28-00	Član 28.
28-01	Svako ima pravo na društveni i međunarodni poredak u kojem prava i slobode objavljeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	Član 29.
29-01	Svako ima obaveze prema zajednici u kojoj je jedino moguć slobodan i pun razvitak njegove ličnosti.
29-02	U vršenju svojih prava i sloboda svako se može podvrgnuti samo onim ograničenjima koja su predviđena zakonom isključivo u cilju obezbjeđenja potrebnog priznanja i poštovanja prava i sloboda drugih, kao i zadovoljenja pravičnih zahtjeva morala, javnog poretka i opšteg blagostanja u demokratskom društvu.
29-03	Ova prava i slobode se ni u kom slučaju ne mogu ostvarivati protivno ciljevima i načelima Ujedinjenih nacija.
30-00	Član 30.
30-01	Nijedna odredba ove Deklaracije ne može se tumačiti kao pravo za ma koju državu, grupu ili lice da obavlja bilo koju djelatnost ili da vrši bilo kakvu radnju usmjerenu na rušenje prava i sloboda koji su u njoj sadržani.
