00-00	ꦥꦿꦚꦠꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦔꦼꦤꦤꦶꦲꦏ꧀ꦲꦏ꧀ꦲꦱꦱ꧀ꦱꦶꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱ
00-11	꧋ꦩꦶꦤꦁꦏꦱꦮꦶꦗꦶꦤꦶꦁꦥꦲꦸꦒꦼꦂꦫꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦏꦁꦒꦺꦴꦏꦱꦶꦭ꧀ꦭꦶꦁꦒꦼꦒꦪꦸꦃꦲꦤ꧀ꦱꦧꦼꦤ꧀ꦧꦁꦱꦭꦤ꧀ꦱꦧꦼꦤ꧀ꦤꦒꦫ꧈​ꦢꦺꦤꦺꦏꦁꦏꦠꦸꦗꦸꦱꦸꦥꦪꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦭꦤ꧀ꦱꦧꦼꦤ꧀ꦧꦼꦧꦢꦤ꧀ꦲꦶꦁꦱꦠꦼꦔꦃꦲꦶꦁꦧꦼꦧꦿꦪꦤ꧀​ ꦏꦤ꧀ꦛꦶꦠꦤ꧀ꦱꦃꦲꦺꦭꦶꦁꦭꦤ꧀ꦔꦸꦒꦼꦩ꧀ꦩꦶꦥꦿꦚꦠꦤ꧀ꦲꦶꦏꦶ꧈​ꦠꦤ꧀ꦱꦃꦩꦼꦂꦱꦸꦢꦶꦔꦢꦤ꧀ꦤꦶꦥꦁꦒꦸꦭꦺꦴꦮꦼꦤ꧀ꦠꦃꦱꦸꦥꦪꦫꦱꦔꦗꦺꦤꦶꦭꦤ꧀ꦔꦸꦂꦩꦠ꧀ꦠꦶꦲꦏ꧀ꦲꦏ꧀ꦱꦂꦠꦲꦸꦫꦶꦥ꧀ꦧꦺꦧꦱ꧀ꦏꦱꦼꦧꦸꦠ꧀ꦱꦪꦩꦼꦏꦂꦔꦽꦩ꧀ꦧꦏ꧉​ꦱꦂꦠꦏꦤ꧀ꦛꦶꦉꦏꦢꦪꦥꦿꦺꦴꦒꦿꦺꦱꦶꦥ꧀ꦏꦁꦲꦱꦶꦥꦠ꧀ꦤꦱꦶꦪꦺꦴꦤꦭ꧀ꦭꦤ꧀ꦆꦤ꧀ꦠꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀꧈​ꦧꦶꦱꦤꦁꦒꦸꦁꦮꦸꦗꦸꦢ꧀ꦠꦶꦁꦏꦱꦒꦸꦃꦲꦤ꧀ꦔꦏꦺꦴꦤꦶꦭꦤ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦲꦱꦸꦁꦥꦏꦸꦂꦩꦠ꧀ꦠꦤ꧀ꦏꦤ꧀ꦛꦶꦈꦤꦶꦮ꦳ꦼꦂꦱꦭ꧀ꦭꦤ꧀ꦌꦥ꦳ꦼꦏ꧀ꦠꦶꦥ꦳꧀​ ꦲꦶꦪꦱꦏꦧꦁꦱ​ꦧꦁꦱꦲꦶꦁꦤꦒꦫꦤꦒꦫꦲꦁꦒꦺꦴꦠ꧈​ꦏꦊꦧꦸꦧꦁꦱꦧꦁꦱꦲꦶꦁꦭꦭꦢ꧀ꦢꦤ꧀ꦏꦁꦏꦧꦮꦃꦥꦔꦸꦮꦱꦤꦶꦁꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦫꦺ꧉​.
01-00	ꦧꦧ꧀꧇꧑꧇​
01-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦭꦲꦶꦂꦫꦏꦺꦏꦤ꧀ꦛꦶꦩꦂꦢꦶꦏꦭꦤ꧀ꦢꦂꦧꦺꦩꦂꦠꦧꦠ꧀ꦭꦤ꧀ꦲꦏ꧀ꦲꦏ꧀ꦏꦁꦥꦝ꧉​ꦏꦧꦺꦃꦥꦶꦤꦫꦶꦁꦔꦤ꧀ꦲꦏꦭ꧀ꦭꦤ꧀ꦏꦭ꧀ꦧꦸꦱꦂꦠꦏꦲꦗꦧ꧀ꦥꦱꦿꦮꦸꦁꦔꦤ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦩꦼꦩꦶꦠꦿꦤ꧀ꦱꦶꦗꦶꦭꦤ꧀ꦱꦶꦗꦶꦤꦺꦏꦤ꧀ꦛꦶꦗꦶꦮꦺꦴꦱꦸꦩꦢꦸꦭꦸꦂ꧉​
02-00	ꦧꦧ꧀꧇꧒꧇​
02-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦠꦸꦩꦿꦥ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦼꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦼꦧꦱ꧀ꦱꦤ꧀ꦏꦁꦠꦶꦤꦸꦭꦶꦱ꧀ꦲꦶꦁꦥꦿꦚꦠꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦲꦶꦏꦶꦠꦤ꧀ꦥꦥꦶꦭꦶꦃꦏꦱꦶꦃ꧈​ꦏꦧꦺꦃꦮꦫꦠꦭꦤ꧀ꦲꦢꦶꦭ꧀ꦲꦶꦁꦱꦩꦸꦧꦫꦁ꧈​ꦏꦪꦠꦧꦺꦢꦧꦺꦢꦤꦶꦁꦫꦱ꧀​ ꦮꦂꦤꦤꦶꦁꦲꦮꦏ꧀​ ꦧꦺꦢꦧꦺꦢꦤꦶꦁꦭꦤꦁꦭꦤ꧀ꦮꦢꦺꦴꦤ꧀​ ꦧꦱ꧈​ꦄꦒꦩ꧈​ꦥꦸꦭꦶꦠꦶꦏ꧀ ꦭꦤ꧀ꦥꦤꦼꦩꦸꦭꦶꦪꦤꦺ꧈​ꦲꦱꦭ꧀ꦲꦸꦱꦸꦭ꧀ꦱꦸꦏꦸꦧꦁꦱꦭꦤ꧀ꦧꦼꦧꦿꦪꦤ꧀​ ꦲꦏ꧀ꦢꦂꦧꦺ꧈​ꦠꦠꦭꦲꦶꦂꦭꦤ꧀ꦏꦭꦸꦁꦒꦸꦃꦲꦤ꧀ꦭꦶꦪꦤꦺ꧉​
02-02	꧋ꦱꦏ꧀ꦧꦚ꧀ꦗꦸꦂꦫꦺ꧈​ꦲꦺꦴꦫꦧꦏꦭ꧀ꦲꦤꦥꦿꦧꦺꦢꦤꦺꦠꦸꦩ꧀ꦫꦥ꧀ꦏꦭꦸꦁꦒꦸꦃꦲꦤ꧀ꦥꦸꦭꦶꦠꦶꦏ꧀꧈​ꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦲꦸꦠꦮꦏꦭꦸꦁꦒꦸꦃꦲꦤ꧀ꦆꦤ꧀ꦠꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀ꦱꦏꦤꦒꦫꦲꦸꦠꦮꦭꦭꦢ꧀ꦢꦤ꧀ꦲꦱꦭ꧀ꦲꦸꦱꦸꦭ꧀ꦭꦶꦁꦱꦮꦶꦗꦶꦤꦶꦁꦲꦸꦮꦺꦴꦁ꧈​ꦱꦤꦢꦾꦤ꧀ꦱꦏꦤꦒꦫꦩꦂꦢꦶꦏ꧈​ꦭꦭꦢ꧀ꦢꦤ꧀ꦭꦭꦢ꧀ꦢꦤ꧀ꦲꦶꦁꦥꦔꦸꦮꦱꦤꦶꦁꦮꦭꦶ꧈​ꦗꦗꦃꦲꦤ꧀ꦲꦸꦠꦮꦏꦁꦮꦶꦤꦼꦁꦏꦸꦲꦶꦁꦏꦮꦱꦤ꧀ꦤꦶꦁꦭꦶꦪꦤ꧀꧈​
03-00	ꦧꦧ꧀꧇꧓꧇​
03-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦲꦶꦁꦔꦠꦱ꧀ꦱꦶꦁꦲꦸꦫꦶꦥ꧀ꦥꦺ꧈​ꦧꦺꦧꦱ꧀ꦱꦶꦁꦲꦸꦫꦶꦥ꧀ꦥꦺ꧈​ꦭꦤ꧀ꦏꦱ꧀ꦭꦩꦼꦠ꧀ꦠꦤ꧀ꦤꦺꦩꦶꦤꦁꦏꦥꦿꦶꦧꦢꦶ꧉​
04-00	ꦧꦧ꧀꧇꧔꧇​
04-01	꧋ꦲꦺꦴꦫꦏꦼꦤꦱꦮꦶꦗꦶꦤꦶꦁꦲꦸꦮꦺꦴꦁꦢꦶꦢꦢꦺꦏ꧀ꦏꦏꦺꦧꦸꦝꦏ꧀ꦲꦸꦠꦮꦧꦠꦸꦂ꧈​ꦩꦮꦸꦗꦸꦢ꧀ꦠꦶꦁꦧꦸꦝꦏ꧀ꦭꦤ꧀ꦧꦠꦸꦂꦠꦸꦏꦺꦴꦤ꧀ꦏꦤ꧀ꦛꦶꦲꦸꦗꦸꦢ꧀ꦲꦥꦮꦲꦺꦢꦢꦶꦭꦫꦁꦔꦤ꧀꧉​
05-00	ꦧꦧ꧀꧇꧕꧇​
05-01	꧋ꦲꦺꦴꦫꦏꦼꦤꦱꦮꦶꦗꦶꦤꦶꦁꦲꦸꦮꦺꦴꦁꦢꦶꦱꦶꦪꦱꦶꦪꦲꦶꦁꦱꦶꦏ꧀ꦱ꧈​ꦲꦸꦠꦮꦤꦤ꧀ꦝꦁꦠꦶꦤ꧀ꦢꦏ꧀ꦏꦼꦗꦼꦩ꧀​ ꦢꦶꦥꦠꦿꦥ꧀ꦥꦶꦲꦸꦠꦮꦤꦩ꧀ꦥꦥꦶꦢꦤꦏꦁꦲꦺꦴꦫꦏꦪꦭꦸꦩꦿꦃꦲꦶꦁꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱꦲꦸꦠꦮꦱꦶꦤꦶꦁꦏꦸꦂꦏꦫꦺꦩꦺꦃꦲꦏꦺ꧉​
06-00	ꦧꦧ꧀꧇꧖꧇​
06-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦠꦸꦩꦿꦥ꧀ꦥꦱꦼꦏ꧀ꦱꦶꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦩꦶꦤꦁꦏꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱꦱꦕꦫꦥꦿꦶꦧꦢꦶꦲꦶꦁꦲꦺꦤ꧀ꦢꦶꦮꦲꦺꦥꦥꦤ꧀ꦢꦸꦤꦸꦁꦔꦺ꧉​
07-00	ꦧꦧ꧀꧇꧗꧇​
07-01	꧋ꦔꦢꦼꦥꦶꦲꦸꦏꦸꦩ꧀​ ꦏꦧꦺꦃꦢꦸꦮꦺꦲꦏ꧀ꦥꦝꦭꦤ꧀ꦢꦂꦧꦺꦲꦏ꧀ꦲꦺꦴꦭꦺꦃꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦱꦶꦁꦥꦝ꧈​ꦠꦤ꧀ꦥꦢꦶꦧꦺꦢꦧꦺꦢꦏ꧀ꦏꦏꦺ꧉​ꦏꦧꦺꦃꦢꦸꦮꦺꦲꦏ꧀ꦲꦶꦁꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦱꦶꦁꦥꦝꦩꦫꦁꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦲꦩ꧀ꦧꦺꦢꦩ꧀ꦧꦺꦢꦏ꧀ꦏꦏꦺꦏꦁꦲꦺꦴꦫꦕꦸꦤ꧀ꦝꦸꦏ꧀ꦏꦫꦺꦴꦥꦿꦚꦠꦤ꧀ꦲꦶꦏꦶ꧈​ꦭꦤ꧀ꦩꦫꦁꦱꦮꦼꦂꦤꦤꦶꦁꦥꦩꦶꦭꦸꦠ꧀ꦱꦶꦁꦠꦸꦩꦸꦗꦸꦩꦫꦁꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦢꦶꦱ꧀ꦏꦿꦶꦩꦶꦤꦱꦶꦏꦱꦼꦧꦸꦠ꧀꧈​
08-00	ꦧꦧ꧀꧇꧘꧇​
08-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦏꦥꦸꦭꦶꦃꦲꦏꦺꦏꦤ꧀ꦛꦶꦠꦽꦥ꧀ꦱꦏꦱꦼꦱꦩ꧀ꦧꦸꦁꦔꦤ꧀ꦤꦺꦏꦥꦠꦿꦥ꧀ꦥꦤ꧀ꦥꦔꦢꦶꦭ꧀ꦭꦤ꧀ꦤꦱꦶꦪꦺꦴꦤꦭ꧀ꦠꦸꦩ꧀ꦫꦥ꧀ꦠꦶꦤ꧀ꦢꦏ꧀ꦠꦤ꧀ꦢꦸꦏ꧀ꦏꦁꦤꦭꦶꦱꦶꦂꦱꦏꦲꦏ꧀ꦲꦏ꧀ꦧꦏꦸꦏꦁꦢꦺꦤꦶꦁꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦏꦥꦱꦿꦃꦲꦏꦺꦢꦢꦶꦲꦏ꧀ꦏꦺ꧉​
09-00	ꦧꦧ꧀꧇꧙꧇​
09-01	꧋ꦲꦺꦴꦫꦲꦤꦱꦶꦗꦶꦮꦲꦺꦲꦸꦮꦺꦴꦁꦏꦁꦏꦼꦤꦢꦶꦠꦁꦏꦼꦥ꧀​ ꦢꦶꦠꦲꦤ꧀​ꦲꦸꦠꦮꦏꦱꦶꦁꦏꦶꦂꦫꦏꦺꦏꦤ꧀ꦛꦶꦱꦮꦼꦤꦁꦮꦼꦤꦁ꧉​
10-00	ꦧꦧ꧀꧇꧑꧐꧇​
10-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁ꧈​ꦏꦤ꧀ꦛꦶꦤ꧀ꦢꦸꦮꦺꦤꦶꦢꦿꦗꦢ꧀ꦥꦝꦲꦶꦁꦱꦠꦼꦩꦼꦤ꧀ꦤꦺ꧈​ꦢꦂꦧꦺꦲꦏ꧀ꦠꦸꦩ꧀ꦫꦥ꧀ꦥꦔꦢꦶꦭ꧀ꦭꦤ꧀ꦏꦁꦲꦢꦶꦭ꧀ꦭꦤ꧀ꦠꦶꦤꦂꦧꦸꦏꦢꦺꦤꦶꦁꦥꦔꦢꦶꦭ꧀ꦭꦤ꧀ꦏꦤ꧀ꦛꦶꦧꦺꦧꦱ꧀ꦭꦤ꧀ꦲꦺꦴꦫꦧꦺꦴꦠ꧀ꦱꦶꦃ꧈​ꦲꦶꦁꦧꦧꦒ꧀ꦒꦤ꧀ꦤꦼꦠꦼꦥ꧀ꦥꦏꦺꦲꦏ꧀ꦭꦤ꧀ꦏꦸꦮꦗꦶꦧ꧀ꦧꦤ꧀ꦏꦸꦮꦗꦶꦧ꧀ꦧꦤ꧀ꦱꦂꦠꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦤꦩ꧀ꦥꦱꦧꦼꦤ꧀ꦲꦚ꧀ꦕꦩ꧀ꦩꦤ꧀ꦥꦶꦢꦤꦏꦁꦢꦶꦠꦼꦠꦼꦥ꧀ꦥꦏꦺꦩꦫꦁꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁ꧉​
11-00	ꦧꦧ꧀꧇꧑꧑꧇​
11-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦁꦢꦶꦢꦏ꧀ꦮꦲꦩꦂꦒꦢꦶꦲꦁꦒꦼꦥ꧀ꦤꦶꦤ꧀ꦢꦏ꧀ꦏꦏꦺꦭꦏꦸꦤꦭꦶꦱꦶꦂꦱꦏꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂ꧈​ꦢꦶꦲꦁꦒꦼꦥ꧀ꦢꦸꦫꦸꦁꦚꦤ꧀ꦝꦁꦏꦭꦸꦥꦸꦠ꧀ꦠꦤ꧀ꦱꦢꦸꦫꦸꦁꦔꦺꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦩ꧀ꦧꦸꦏ꧀ꦠꦺꦏ꧀ꦏꦏꦺꦏꦭꦸꦥꦸꦠ꧀ꦠꦤꦺꦲꦶꦁꦥꦔꦢꦶꦭ꧀ꦭꦤ꧀ꦏꦁꦠꦶꦤꦂꦧꦸꦏ꧈​ꦲꦶꦁꦧꦧ꧀ꦲꦶꦏꦶꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦲꦺꦴꦭꦺꦃꦗꦩꦶꦤ꧀ꦤꦤ꧀ꦏꦁꦢꦶꦥꦼꦂꦭꦺꦴꦏ꧀ꦏꦏꦺꦏꦁꦒꦺꦴꦩ꧀ꦧꦺꦭꦤꦶꦲꦏ꧀ꦏꦺ꧉​
