00-00	Beehazą́ą Ił Chʼétʼaah
01-01	Bilaʼashdaʼii tʼáá ałtsoh yiníkʼehgo bidizhchįh dóó aheełtʼeego ílį́į́go bee baahóchįʼ. Eíí háníʼ dóó hánítshakees hwiihdaasyaʼ eíí binahjį́ʼ ahidiníłnáhgo álíleekʼehgo kʼé bee ahił niidlį́.
02-00	Naaki Góneʼ Biyiʼ Yisdzohígíí
02-01	Tsídí tʼáá ájítʼé beeháhazʼąʼ haahóchįʼgo dóó yiníkʼehgo nijigháo kodóó bee hooʼaʼígíí bikʼehgo tʼáadoo beeʼ ałʼą́ąʼátʼéhégóó. Jó díí dóoneʼé idlínígíí, hakágí anoolninígíí, asdzání dóó diné ídlį́hígíí dóó nihizaad áádóó niheʼoodlaʼ áádóó nihiwááshindoon baa nitsiikeesígíí áádóó bee ndahsiidzinígíí, dóó nihikéyah dóó nihiʼdizhchį́įhjį́ʼ bee nihaahóchiʼ.
02-02	Kodóó nasgóó doohaadeetʼéégodah bee ahantsiikeesda doolééł nihiwááshindoon átʼéhą́gíí dóó nihił hazʼánígíí doodaiiʼ tówánáanígóó kéyah adahootʼéhígíí doodaiiʼ kéyah nijigháádę́ę́ʼ azaáshį́į́ tʼáásahdii biłhazą́ąndi, áádóó nanáłaʼbígó bikááʼ kéhojitʼį́įgo azhą́shį́į́ doo tʼáá bi adahnahatʼáada ndi doodaiíʼ tʼááhó ádahnahwiijitʼáhígíí tʼáábiʼoh ndi.
03-00	Táá Góneʼ Biyiʼ Yisdzohígíí
03-01	Tsídí tʼáá ájítʼé bee háhazʼą́ iináʼázhdoolííłgo áádóó ʼałdó tʼáá yiní kʼehgo hołdzilgo hołhazʼą́ądoo.
04-00	Dį́į́ Góneʼ Biyiʼ Yisdzohígíí
04-01	Łaʼdah éí doo naalteehʼé dooleełda dóó dooháida yá naal aʼí dooleeł da dóó doo naaltehʼé adoolniiłgo doo bee hazʼą́ąda.
05-00	Ashdlaʼ Góneʼ Biyiʼ Yisdzohígíí
05-01	Tʼáá heíída éí doo atídoolníiłda áádóó ʼałdóʼ doo tʼáá naʼníleʼdii diné doo ídlį́į́go baa tsehodidookosda.
06-00	Hastą́ą́ Góneʼ Biyiʼ Yisdzohígíí
06-01	Tsiʼdí Tʼáá ájítʼe há bee haazʼą́ haaʼakowhiindzingo tʼáá ałtsohjįʼ bílaʼashdlaʼii jílį́įgo bee hazʼáánii yeehasʼą́.
07-00	Tsostsʼid Góneʼ Yisdzohígíí
07-01	Tsíʼdí tʼáá ájítʼe ahejíłtʼé bee hazʼaanii binahjį́ʼ dóó doo hoʼdoolchʼį́į́h da dooleeł aheełtʼéego haahóchįʼ bee hazʼáanii binahjįʼ tʼáá ajiłtsoh éí hakʼéstiʼ haahóchįʼgo binahjį́ doo hodoolchʼį́į́ da díí doo bił adodzih da. Kweʼé bee haʼoodzíhígíí doo oochʼį́į́d habizhdiyooł łaał da.
08-00	Tseebíí Góneʼ Yisdzohígíí
08-01	Tsíʼdí tʼáá ájíłtsoh bee háhazʼą́ tʼáa dooleʼé há hashtʼe doolníiłgo wááshindoon áájí yá ʼééhósinígíí ákótʼéego bee hazʼáanii bee háʼahootʼíʼ yę́ę biłaszihgo.
09-00	Náhástʼéí Góneʼ Yisdzohígíí
09-01	Tʼáá háida éí biniinaanii ádingo doo biʼdidool tsoołda dóó doo yahʼadooltʼeeł da dóó doo chʼi dinóol cheeł da.
10-00	Neeznáá Góneʼ Yisdzohígíí
10-01	Tʼáá ájíłtsoh bee háʼahóótʼíʼ tʼáá aheeł tʼéego diné binááł há baahwinitʼį́įgo doo háájída achʼíhjí nilíígíí binááł éí há yaa nídáastʼįįdgo yee nidahodooʼááł bee há ahootʼígíí dóó bee hóholnígíí dóó haʼátʼííshį́į́ awáalyahjí bee hakʼehástʼahígíí.
11-00	Łaʼ Tsʼáadah Góneʼ Yisdzohígíí
11-01	Tsídí tʼááʼ ajiłtsoh hakʼihodiitʼánígíí doo ajitʼį́į́go hanitsáhákees nléí bee hasáanii bee hahwinistʼiin doo indah tʼááʼ aanííʼ aájítʼį́į́go beehwééhozingo bee achʼaah hazhdoodzihígíí áłtso ájíílaago.
11-02	Tʼáá háiidah doo tʼááʼanííájítʼį́įgo bee hakʼiho dootʼah da doo ájítʼį́į́go. Tʼáá doo ajiitʼį́į́go bee hakʼéhestʼahgo kéyah tʼáá nahwiizʼáandę́ę́ʼ dóó tówonanidí bibeehazáanii kʼizhnítiʼ hoʼdiʼníigo áhoodzaa yę́ędą́ą́ʼ. Áádóó ałdóʼ bee hazʼáanii yee nihodooʼáałígíí doo biláahgo yee há niʼhodooʼááł da.
12-00	Naakitsʼáadah Góneʼ Biyiʼ Yisdzohígíí
12-01	Tʼáá héiida bił hazʼánígíí báʼ áłchínííní dah bighan dah doo háii tʼáaodah éíí baa tį́į́ʼdoodáałdah. Tʼáá ajiłtsoh bee hazʼą́ąnii bikʼehgo bee háhóchį́.
13-00	Taaʼtsʼadah Góneʼ Biyiʼ Yisdzohígíí
13-01	Tʼáá ajiłtoh éí tʼáá hozhnizingóó nijigháago dóó haghan azhoolííłgo bee há hazą́.
13-02	Tʼáá ajiłtsoh éí kéyah biiʼ hájinéehgo bee há hazą́ áádóó tʼáá hohakéyah bííʼ yahʼaníjíneehgo ałdóʼ beeháhazą́.
14-00	Dį́į́tsʼáadah Góneʼ Biyiʼ Yisdzohígíí
14-01	Tʼáá ajiłtsoh náánałahjį́ kéyah biish dínóochéełgo doo atihodooníiłgo bee há hazą́.
14-02	Ákondi díí béehazą́ąnígíí éí doo choidooʼį́į́ł da awáalyahji naaztʼiʼígíí bikʼeezhoochééłgo. Áádóó áłdoʼ kéyah tʼaasiʼą́ą́ndę́ę́ beheehazą́ąnii biłiisihgo éí doo choiiʼ dooʼį́į́łda.
15-00	Ashdlaʼtsʼáadah Góneʼ Biyiʼ Yisdzohígíí
15-01	Tʼáá ajiłtsǫh dooneʼé jílínígíí bee háhazʼą́.
15-02	Héíídah éíí dóoneʼé nilínígíí doo bąąh dootʼį́į́łdah.
16-00	Hastąątsʼáadah Góneʼ Biyiʼ Yisdzohígíí
16-01	Diné dóó sáanii neeyánígíí ádóoneʼé nilígíí dóó beʼoodląʼ ęíí doo bichʼą́ąhgo adooyehgo báhazą́. Ałtsʼą́ą́jí aheełtʼéego áhéʼeskeh beehazʼą́ą́nii bikʼéstiʼ áádóó baʼáłchiní hoodoołeelgo bee báhazą́ áádóó áłtsʼáʼítʼaashgo bee bá ahootʼįʼʼ.
16-02	Ahidiiʼ aashígíí áłtsʼąąji tʼáábiniikʼehgo áłhaadootʼash.
16-03	Hooghan hazą́ą́doo éí iiná hadahaaztʼiʼ dinétahjį́ dóó beehazą́ąnii baanchįʼ.
17-00	Tsostsʼidtsʼáadah Góneʼ Biyiʼ Yisdzohígíí
17-01	Tʼáá ájíłtsoh kéyah tʼáá adiighahágó hweehodooleełgo bee háhazʼą́ doodaiiʼ díkwíjíltʼéegodah kéyah dajótąʼgo beeháhazʼą́.
17-02	Hę́íídah éí tʼáadoo biniinaanígó kéyah doo bighah dootʼááł dah.
18-00	Tseebíítsʼáadah Góneʼ Biyiʼ Yisdzohígíí
18-01	Tʼáá ájíłtsoh bee baʼahóótʼiʼ tʼáá hó adahnahojitʼáago dóó nitsijikeesgo dóó hweʼoodląʼ hólóogo díí bee háʼahootʼiʼígíí naanáłahjį́ʼ hweʼoodląʼígíí beeʼizhdidooʼgáałgo bee hazʼą́. Dinétahjį́ hweʼoodląʼígíí bee hwééhozín doo áádóó bee nazhnitin doo. Áádóó ałdóʼ áájį́ bá hozhdísin doo.
19-00	Nahastʼéítsʼáadah Góneʼ Biyiʼ Yisdzohígíí
19-01	Tʼáá ájíłtsoh tʼáadooleʼé baa ntsíjíkeesgo bee hazdoodzihgo bee háhazʼą́. Díí baa ntsíjíkeesígíí éí héídah doo hániʼ iidoolííłda. Áádóó bikah nazhnitáago dóó nízhdiiláago bee hadeesdzih jinizingo béésh halneʼé, naalkidídah doodaiiʼ naaltsoos biyiʼjį́ʼ bee hazdoodzihgo bee háhazʼą́.
20-00	Naadíín Góneʼ Biyiʼ Yisdzohígíí
20-01	Tʼáá ájíłtsoh ałah nijídleehgo dóó áłhiłdajidlį́į́go bee háhazʼą́.
20-02	Tʼáá héídah éí doo íínízingo doo atah dooltʼeełdah.
21-00	Naadiin Łaʼ Góneʼ Biyiʼ Yisdohígíí
21-01	Tʼáá ajiłtsoh bee háʼahóótʼį́ʼ hakéyah biwááshindoon atahjílį́į́go doodaiiʼ naatʼáanii ninádajiʼniłgo.
21-02	Tʼáá ajiłtsoh aheełtʼéego háʼahóótʼiʼ hakáh anaʼáwʼoʼ dooleeł hakéyah biʼyiʼdi.
21-03	Diné áyisį́ beebóholnííh biwááshindoon yee yáhwiidoolʼaałígíí. Díí bee hoʼaʼígíí bee hadoodzih dóó tʼáá bá náhooʼaa góneʼ éí anáʼáʼah dooleeł. Áádóó tʼáá ałtsoh aheełtʼéego ánídaʼjiʼah dooleeł tʼaadoo łaʼ bił ííshjáná ájósinį́ áádóó tʼaahójinízingo ánájiʼah doo.
22-00	Naadiin Naakí Góneʼ Biyiʼ Yisdzohígíí
22-01	Tʼáá ajiłtsoh diné bitah jílínígíí bee há ahóótʼíʼ bee haaʼahayą́ą dooleełígíí díí tʼáá átʼé kéyah dahsiʼánígíí doo nahasdzáán yee áłkáh ánájahígíí bá bóhoneedzánígíí háʼatʼííshį́į́ bee hólonígíí yee adoolwoł béeso dah, áádóó bee aʼdooníłígíí binahjį́ʼ yee ílį́į́go ádaantsíkees dooleeł tʼáá bi sizínígíí yee hádidooʼnííł.
23-00	Naadiin Tááʼ Góné Biyiʼ Yisdzohígíí
23-01	Tʼáá ajiłtsoh ndazhdoolnishgo bee hahazʼą́, tʼáá hó naanish jinízínígíí, tʼáá hó naanish hoł yáʼátʼę́ehéígíí díí naanish adinígíí bitsʼąą áhátʼį́.
23-02	Tʼáá ajiłtsho tʼáadoo hoʼdool chiʼį́dį́ aheełtʼéego hachʼįʼníʼiilyéedoo naanishígíí bííghahgo.
23-03	Tʼáá ajiłtsoh ndajilnishígíí bee há ahootʼi beełtʼeego hachʼįʼ niʼiilyʼéego binahjiʼ tʼááhó dóó há áłchini yee hináadoo biláʼ ashdlaʼii bąąh ilinígíʼ átʼáo áádóó biʼóhjinéelánígíí há biidootʼááł áhótʼéédąąʼ diné bee bíkáh anáʼáwoʼ adę́ę́ʼ.
23-04	Tʼáá ajiłtsoh éí bee há ahóótʼiʼ naanish yee daʼahótąʼígíí atah hazhdidooliiłgo dóó bee atah jidooghááłgo tʼááhó jizinígíí bee adaaʼáhojilyą́ą doo biniyé.
24-00	Naadiin Dííʼ Góneʼ Biyiʼ Yisdzohígíí
24-01	Tʼáá ajiłtsoh bee há ahóótʼiʼ haazhdoolyįhgo dóó nííkʼeh njigháadoo áádóó naanish aheeʼiikeedígíí bee haʼhazáánígíí átʼáo nijiłnishdoo dóó łaʼ ajį́dah doo naʼanishgo bee hooʼ aahgo tʼáá biniyé hachʼį́ʼ azláadooleeł.
25-00	Naadiin Ashdlaʼ Góneʼ Biyiʼ Yisdzohígíí
25-01	Tʼáá ájiłtsoh bee há ahóotʼiʼ bikʼehgoʼ iiná azhdoołííłígíí tʼáá hó hatsʼíís yineelą́nígíí dóó haʼáłchinį́ tʼáá hooltąʼgo. Jó éí chʼiyáán lá, ééʼ lá, hooghan lá, dóó azeeʼ álʼį́į́jí bee aaʼáháyánígíí lá dóó diné bee bíkaʼánawoʼ dę́ę́ áádóó bee há ahootʼiʼ háadidah naanish ásdiingo nátʼą́ą́ bee aaʼ áháyánígíí tʼáá hólóodoo, azhą́shį́į́ dajitsaah ndi dóó hachʼįʼanáhootʼiʼ ndi, bił hijiináanii hąą ʼádin silį́į́goda áádóó są́ jizhlįįgo doodaiiʼ hweʼiinaʼ biʼoh silį́į́go tʼáadooleʼé bitsʼą́ą́doo tʼáá hó hweʼiinaʼ doo bee hóhólnįįh da silįįgo dah.
25-02	Amá jilį́į́go dóó áłchíní jilį́į́go bee há ahootʼiʼ haaʼ ahayą́ą́doo áádóó háká anaʼáwoʼdoo. Áłchíní tʼáá ajiłtsoh bimá dóó bizhéʼé aheeskéego biʼdizhchínígíí doodai bimá dóó bizhéʼé doo aheeskéego biʼdzhchínígíí da tʼáá ajiłtsoh éí dinétahgí haa hastihgo bee ákʼi hozhdoodlį́į́ł.
26-00	Naadiin Hastąą Góneʼ Biyiʼ Yisdzohígíí
26-01	Tʼáá ajiłtsoh íízhdoołtahgo bee haʼahootʼiʼ. Ałchíní tʼóó haʼ ałtáádoo tʼáájiikʼe ʼíidoołtah. Ałchíní yázhí éí tʼáá íyisí tʼáá íídoołtah. Naanish bóhooʼaah baa daʼóltaʼ dahólǫǫ doo áádóó hódahgo daʼołtaʼígíí dahólǫǫ doo tʼáá ałtsoníbá áádóó hodahgo óltaígíí ałdoʼ bizhneelą́ nígi átʼáo iizhdoołtah.
26-02	Oltaʼ éí hólǫ́ǫ́doo bilaʼ asdlaʼii yee hadidooníłíjiʼ áádóó yee bidziildoo binahjíʼ bee há adahaztʼíʼígíí yá hodisin doo. Díí éí yee akʼiʼdiitą́ą́doo bee haʼjólníídoo tʼaa áłtsojíʼ kʼeh bijiníí doo náánáłaʼ dóoneʼé dóó óodlání danilinígíí. Díí binahjį́ tʼéí yá kéyah áłhiiʼ sinilígíí tʼáadoo iitsʼáʼí ałyił dandlį́į́ doo.
26-03	Ámá dóó ázhéʼé éí áłtsé alą́ą́jį́ʼ bee bá ahootʼiʼ báʼ áłchíní yaa iidoołtahígíí yee yáh hadoozih.
27-00	Naadiin Tsostsid Góneʼ Biyiʼ Yisdzohígíí
27-01	Tʼáá ajiłtsoh bee háʼáhootʼiʼ tʼáá hózhnizinjį́ʼ atah biłkeehojitʼį́inígíí bił iiná azhdoolííł, binaʼ achʼąąh dóó łahdóó bee ázhdoolwoł bee naas bee idahwiidooʼ áłígíí bee ákʼihwiizhdoodlííł
27-02	Tʼáá ajiłtsoh bee há áhootʼiʼ doo álį́į́nii dóó áʼłʼinígíí bee aaʼáhyąągo éí heishíí iłííshjání ííyiilaaígíí bizhiʼ bikáadoo.
28-00	Naadiin Tseebíí Góneʼ Biyiʼ Yisdzohígíí
28-01	Tʼáá ajiłtsoh beehá áhootʼiʼ diné áłą́ą́ átʼégo dóó nahasdzáán tʼáá siʼáándéé bibeehazą́ díí kwéʼé bee haʼoodzíʼígíí tʼáá átʼé bee baaʼ ákohoniidzíí doo.
29-00	Naadiin Náhastʼéí Góneʼ Biyiʼ Yisdzohígíí
29-01	Tʼáá ajiłtsoh biłkééhojitʼínígíí éí łahdóó naanish beeʼaká azhdoolwoł tʼáá hwozhnízíngo. Díí binahjį́ tʼááʼ hójizínígí bee hazhdidooniił.
29-02	Díí bee há ahóótʼiʼígíí dóó tʼáá hwozhnizinjį́ bee ndooʼnishgo éí tʼáá łaʼí jínítínígo bee hóholnííh beehaząąnii yee hasáníjíʼ átʼehígíí, éí binahjįʼ baa ʼákóhwiindzin dóó dilzin, náánáłaʼ bee bá áhootʼiʼígíí dóó tʼáá binizinjįʼ átʼéhígíí, éí bikʼehgo ádaʼ adaʼ alį́nígíí tʼáa ałtsoní diné bá átʼé.
29-03	Díí adahaztʼiʼígíí dóó tʼáániikʼeh naʼadáhígíí éí díí kéyah ałhiiʼsiníłígíí binyé ályaa éí bibehazą́ą́nii doo bee ałʼąąʼ áʼtéedah dooleeł.
30-00	Tádíín Góneʼ Biyiʼ Yisdzohígíí
30-01	Díí kweʼé haʼ oodziʼígíí éí heitʼáo dah nááná łaʼ kéyah da siʼą́níígíí doodaííʼ dahjookahígíí doodaiiʼ łaʼjizį́ éí doo heitʼáo dah haʼoodzígíí jidoołchǫǫłda.
