00-00	ОПШТА ДЕКЛАРАЦИЈА О ПРАВИМА ЧОВЈЕКА
02-02	Надаље, не смије се чинити било каква разлика на основу политичког, правног или међународног положаја земље или подручја којима нека особа припада, било да је ово подручје независно, под старатељством, несамоуправно, или да се налази ма под којим другим ограничењима суверености.
03-00	Члан 3.
03-01	Свако има право на живот, слободу и особну сигурност.
04-00	Члан 4.
04-01	Нико не смије бити држан у ропству или ропском односу; ропство и трговина робљем забрањује се у свим њиховим облицима.
05-00	Члан 5.
05-01	Нико не смије бити подвргнут мучењу или окрутном, нечовјечном или понижавајуђем поступку или кажњавању.
06-00	Члан 6.
06-01	Свако има право да се свагдје пред законом признаје као особа.
07-00	Члан 7.
07-01	Сви су пред законом једнаки и имају право, без икакве дискриминације, на једнаку заштиту закона. Сви имају право на једнаку заштиту против било какве дискриминације којом се крши ова Декларација и против сваког подстицања на такву дискриминацију.
08-00	Члан 8.
08-01	Свако има право на дјелотворна правна средства путем надлежних националних судова због дјела којима се крше основна права која су му додијељена у Уставу или закону.
09-00	Члан 9.
09-01	Нико не смије бити подвргнут самовољном хапшењу, затвору или изгону.
10-00	Члан 10.
10-01	Свако има право да га у пуној једнакости поштено и јавно саслуша независан и непристран суд ради утврђивања његових права и обавеза и било какве кривичне оптужбе против њега.
11-00	Члан 11.
11-00	Свако ко је оптужен за кривично дјело има право да се сматра невиним док се на темељу закона кривња не докаже на јавном претресу на којем је имао сва јамства потребна за своју одбрану.
11-01	Нико се не смије сматрати кривим за кривично дјело на темељу било каквог чина или пропуста који нису представљали кривично дјело у смислу националног или међународног права у вријеме када су они били почињени. Исто тако не смије се изрицати тежа казна од оне која се могла примјенити када је кривично дјело почињено.
12-00	Члан 12.
12-01	Нико на смије бити извргнут самовољном мијешању у његов приватни зивот, обитељ, дом или преписку, нити нападајима на његову част и углед. Свако има право на заштиту закона против оваквом мијешању или нападу.
13-00	Члан 13.
13-00	Свако има право на слободу кретања и становања унутар границе сваке државе.
13-01	Свако има право да напусти било коју земљу, укључујуђи своју властиту и да се врати у своју земљу.
14-00	Члан 14.
14-00	Свако има право да тражи и ужива у другим земљама уточиште пред прогонима.
14-01	На то се правно не може позивати у случају прогона који су заиста изазвани неполитичким злочинима или дјелима противним циљевима и начелима Уједињених нација.
15-00	Члан 15.
15-00	Свако има право на држављанство.
15-01	Нико не смије самовољно бити лишен својег држављанства нити му се смије одређи право да промијени своје држављанство.
16-00	Члан 16.
16-00	Пунољетни мушкарци и жене без икаквих ограничења у погледу расе, држављанства или вјере, имају право да склопе брак и да оснују обитељ. Они су равноправни приликом склапања брака, за вријеме његова трајања и приликом његова развода.
16-01	Брак се склапа само уз слободан и потпун пристанак оних који намјеравају ступити у брак.
16-02	Обитељ је природна и основна друштвена јединица и има право на заштиту друштва и државе.
17-00	Члан 17.
17-00	Свако има право да сам посједује имовину, а исто тако да је посједује у заједници с другима.
17-01	Нико не смије самовољно бити лишен своје имовине.
18-00	Члан 18.
18-01	Свако има право на слободу мисли, савјести и вјере; то право укључује слободу промијенити своју вјеру или вјеровање и слободу да се, било појединачно или у заједници с другима, јавно или приватно, испољава вјера или вјеровање учењем, вршењем, обредима и одржавањем.
19-00	Члан 19.
19-01	Свако има право на слободу мишљења и изражавања; ово право укључује слободу мишљења без туђег мишљења а исто тако и тражење, примање и саопчавање обавјештења и идеја било којим средствима и без обзира на границе.
20-00	Члан 20.
20-00	Свако има право на слободу мирног окупљања и удруживања.
20-01	Нико не може бити приморан да припада неком удружењу.
21-00	Члан 21.
21-00	Свако има право да судјелује у управи своје земље, непосредно или преко слободно изабраних представника.
21-01	Свако има право на једнак приступ јавним службама у својој земљи.
21-02	Воља народа треба да буде основа владине власти; та воља треба да се изражава у повременим и истинским изборима, који треба да се проводе општим и једнаким правом гласа, тајним гласањем или одговарајучим поступцима слободног гласања.
22-00	Члан 22.
22-01	Свако, као Члан друства, има право на социјално осигурање и право да остварује економска, социјална и културна права неопходна за своје достојанство и за развој своје личности путем државне помођи и међународне сурадње а у складу с организацијом и средствима сваке државе.
23-00	Члан 23.
23-00	Свако има право на рад, на слободан избор запослења, на правичне и повољне увјете рада и на заштиту од незапослености.
23-01	Свако, без разлике, има право на једнаку плачу за једнаки рад.
23-02	Свако ко ради има право на правичну и повољну наплату која њему и његовој обитељи осигурава човјека достојни опстанак и која се, по потреби, допуњује другим средствима социјалне заштите.
23-03	Свако има право да ради заштите својих интереса образује синдикате и да ступа у њих.
24-00	Члан 24.
24-01	Свако има право на одмор и доколицу укључујуђи разумно ограничење радних сати и периодичне плађене празнике.
25-00	Члан 25.
25-00	Свако има право на животни стандард који одговара здрављу и добробити њега самога и његове обитељи, укључујуђи храну, одјеђу, стан и лијечничку његу и потребне социјалне услуге, као и право на осигурање за случај незапослености, болести, неспособности, удовишта, старости или другог помањкања средстава за живот у приликама које су изван његове мођи.
25-01	Мајка и дијете имају право на нарочиту бригу и помођ. Сва дјеца, било рођена у браку или изван њега, треба да уживају исту социјалну заштиту.
26-00	Члан 26.
26-00	Свако има право на образовање. Образовање треба да буде бесплатно, бар у основним и нижим ступњевима. Основно образовање треба да буде обавезно. Техничко и стручно образовање треба да буде опђенито приступачно, а и више образовање треба такође да буде свима приступачно на темељу способности.
26-01	Образовање треба да буде усмјерено на пуни развитак људске личности и на учвршђавање поштивања човјекових права и основних слобода. Оно треба да унапређује разумијевање, сношљивост и пријатељство међу свим народима, расним и вјерским скупинама, и треба да унапређује дјелатност Уједињених нација на одржавању мира.
26-02	Родитељи имају првенствено право да бирају всту образовања за своју дјецу.
27-00	Члан 27.
27-00	Свако има право да слободно судјелује у културном животу заједнице, да ужива у умјетности и да учествује у знанственом напретку и у његовим користима.
27-01	Свако има право на заштиту моралних и материјалних интереса који проистичу ма од којег знанственог, књижевног или умјетничког производа којему је аутор.
28-00	Члан 28.
28-01	Свако има право на друштвени и међународни поредак у којем права и слободе изложене у овој Декларацији могу бити потпуно остварене.
29-00	Члан 29.
29-00	Свако има обавезе према заједници из које је једино могуђе слободно и пуно развијање његове личности.
29-01	У вршењу својих права и слобода сватко треба да буде подвргнут само оним ограничењима која су одређена законом искључиво у циљу осигурања дужног признања и поштивања права и слобода других и у циљу задовољења правичних захтјева морала, јавног поретка и опчег благостања у демократском друштву.
29-02	Та права и слободе ни у којем случају не могу се примјењивати противно циљевима и начелима Уједињених нација.
30-00	Члан 30.
30-01	Ништа се у овој Декларацији не може тумачити као право ма које државе, скупине или особе да судјелује у било којој дјелатности или да врши било какву дјелатност усмјерену на уништавање било којих овдје изложених права и слобода.
