00-00	Deklarasion Universal de Derechos Umanos
08-01	Kada persona tiene el derecho de adresarse a los tribunales nasionales para topar un remedyo efektivo en kavzo de violasion de sus derechos fundamentales rekonosidos por la konstitusion o por la ley.
09-00	Artikolo 9
09-01	Dinguno no podra ser, arbitrariamente, detenido, metido en prezo, o deportado.
10-00	Artikolo 10
10-01	Kada persona tiene derecho, en perfekta igualidad, de ser djuzgado aviertamente i kon djustisia por un tribunal independente i imparsial, para la determinasion de sus derechos i ovligasiones o para examinar kualkera akuzasion kriminal kontra su persona.
11-00	Artikolo 11
11-01	Todo el ke esta akuzado de ofensa ke yeva kastigo tiene el derecho de ser konsiderado inosente, asta ke es provado kulpavle, segun la ley i el djuisio publiko ke le asigura las garantias menesterozas para su defensia.
11-02	Dinguno sera kondenado por kavza de algun akto o omision ke no era kastigavle asegun la ley nasional o internasional en el momento ke el akto fue kometido. Ni se podra impozar kastigo mas grave del ke era aplikavle en el momento ke el akto fue kometido.
12-00	Artikolo 12
12-01	Dinguno sera sometido a intervensiones arbitrarias en su vida privada, su famiya, su kaza o korrespondensia, ni a atakos sovre su onor o su famiya. Todos tienen el derecho de ser protejados por la ley kontra este modo de intervensiones o atakos.
13-00	Artikolo 13
13-01	Kada persona tiene derecho de sirkular livremente i elejir su morada adientro de las frontieras de un Estado.
13-02	Todos tienen el derecho de salir de kualkier paiz, inkluyendo el suyo, i retornar a su paiz.
14-00	Artikolo 14
14-01	En kavzo de persekusion, kada uno tiene el derecho de bushkar i topar azilo en otro paiz.
14-02	Este derecho no podra ser aplikado kontra una aksion djuridika en kavzos de aktos kriminales non-politikos, o de aktos ke kontradizen los prinsipios de Las Nasiones Unidas.
15-00	Artikolo 15
15-01	Kada persona tiene derecho a una nasionalidad.
15-02	Dinguno no podra ser privado, arbitrariamente, de su nasionalidad, ni del derecho de trokar de nasionalidad.
16-00	Artikolo 16
16-01	Los ombres i las mujeres de edad de kazarsen tienen derecho, sin dinguna restriksion por motivos de rasa, nasionalidad o relijion, de kazarsen i fondar una famiya. Eyos tendran derechos iguales en el kazamiento, durante el matrimonio i en kavzo de disolusion del matrimonio.
16-02	El kazamiento se podra azer solo kon el konsentimiento libre i kompleto de los futuros espozos.
16-03	La famiya es el elemento natural i fondamental de la sosiedad i tiene derecho a la proteksion de la sosiedad i del Estado.
17-00	Artikolo 17
17-01	Kada persona tiene derecho de tener una propiedad individual o djuntos kon otra djente.
17-02	Dinguno no podra ser privado de su propriedad arbitrariamente.
18-00	Artikolo 18
18-01	Kada persona tiene derecho a la libertad de pensamiento, de konsensia i de relijion; este derecho inkluye la libertad de trokar de relijion o de kreyensa, i la libertad de manifestar su relijion o su kreensia, solo o djuntos kon otros, tanto en publiko ke en privado, para la ensenyansa, la praktika, el kulto i la observasion.
19-00	Artikolo 19
19-01	Kada uno i uno tiene derecho de libertad de opinion i de ekspresion. Este derecho inkluye el de no estar molestado a kavza de sus opiniones, i bushkar, resivir, i difundir informasion i ideas, por kualker medio de komunikasion, sin limitasion de frontieras.
20-00	Artikolo 20
20-01	Kada persona tiene derecho de la libertad de reunion i de asosiasion pasifika.
20-02	Dinguno podra ser ovligado a apartener a una asosiasion.
21-00	Artikolo 21
21-01	Kada persona tiene derecho de partisipar en el governo de su paiz direktamente o por medio de reprezentantes libremente eskojidos.
21-02	Kada persona tiene derecho de partisipar al governo de su paiz en kondisiones de igualidad.
21-03	La voluntad del puevlo sera la baza de la autoridad del governo. Esta voluntad se ekspresara por medio de eleksiones legales ke seran organizadas regularmente kon votasion universal, igual i sekreta, o de manera ekivalente en protejando la libertad del voto.
22-00	Artikolo 22
22-01	Kada persona, komo miembra de la komunidad, tiene derecho a la seguridad sosial, i merese, por medio de esforsos nasionales i de la kooperasion internasional, i en akordo kon la organizasion i los rekorsos de kada estado, a la realizasion i la satisfaksion de los derechos ekonomikos, sosiales i kulturales indispensavles para su dinyidad i al libre dezvelopamiento de su personalidad.
23-00	Artikolo 23
23-01	Kada persona tiene derecho al lavoro, a eskojer su lavoro libremente, a kondisiones de lavoro djuisiozas i favoravles i a la proteksion kontra la dezokupasion.
23-02	Kada persona, sin dinguna diskriminasion, tiene el derecho de pagamiento igual por lavoro igual.
23-03	Kada persona ke lavora tiene derecho a un pagamiento djusto i favoravle, el kual asigurara para el i su famiya una existensia konforme a la dinyidad umana, i ke sera adjustado, si ay menester, por otras formas de proteksion sosial.
23-04	Kada persona tiene el derecho de fondar i de partisipar en sendikatos para protejar sus interesos.
24-00	Artikolo 24
24-01	Kada persona tiene el derecho de repozo, de gozarse del tiempo libre, inkluzo la limitasion djuisioza de las oras del lavoro i vakansas periodikas pagadas.
25-00	Artikolo 25
25-01	Kada persona tiene derecho a un nivel de vida adekuado para la salud i el bienestar suyos i de su famiya – inkluzo el komer, el vistir, la morada, la asistensia medikal i los servisios sosiales menesterozos; de mizmo, el tiene derecho de ser asigurado en kavzos de dezokupasion, hazinura, invalidez, bivdez, vejez i otros kavzos de piedrita del mantenimiento por sirkonstansias ke no dependen de el.
25-02	Las madres i los rezin nasidos tienen derecho a kudios espesiales i a ayudo. Todas las kriaturas, nasidas komo fruto de kazamiento legal, o no, gozaran de la mizma proteksion sosial.
26-00	Artikolo 26
26-01	Kada persona tiene derecho a la edukasion. La edukasion deve ser debaldes, a lo manko en el nivel elementario i fundamental. La edukasion elementaria sera ovligatoria. La edukasion teknika i profesional deve ser jeneralmente disponivle; el akseso a los estudios superiores sera igual para todos, tomando en konsiderasion los alkanses de kada uno i uno.
26-02	La edukasion tendra por buto el dezvelopamiento kompleto de la personalidad umana i el enfortesimiento del respekto a los derechos umanos i a las libertades fundamentales; favorizara el entendimiento, la tolerensia i la amistad entre todas las nasiones i todos los grupos etnikos o relijiozos; i solevantara las aktividades de las Nasiones Unidas para el mantenimiento de la paz.
26-03	Los djenitores tendran derecho a eskojer el tipo de edukasion ke eyos preferan dar a sus ijos.
27-00	Artikolo 27
27-01	Kada persona tiene derecho de tomar parte, libremente, en la vida kultural de la komunidad, a gozar de los artes i a partisipar en el progreso sientífiko i a aprovecharse de sus rezultados.
27-02	Kada persona tiene derecho a la proteksion de los interesos morales i materiales ke rezultan de las produksiones sientifikas, literarias o artistikas ke fueron su kreasion.
28-00	Artikolo 28
28-01	Kada persona tiene derecho a un orden sosial i internasional en el kual se realizaran kompletamente los derechos i libertades proklamados en esta Deklarasion.
29-00	Artikolo 29
29-01	Kada persona tiene deveres en respekto a la komunidad, porke su personalidad puede dezveloparse kompletamente solo en la komunidad.
29-02	En el exersisio de sus derechos i de sus libertades, kada persona estara solamente sujeta a las limitasiones establesidas por la ley kon el uniko buto de asegurar el rekonosimiento i el respketo de los derechos i libertades de los otros, i de satisfazer las djustas exijensias de la moral, del orden publiko i del bienestar jeneral en una sosiedad demokratika.
29-03	Estos derechos i libertades no podran en ningun kavzo ser exersidos en opozision a los butos i prinsipios de las Nasiones Unidas.
30-00	Artikolo 30
30-01	Dingun artikolo en la prezente Deklarasion podra ser interpretado en el sentido ke da derecho a algun Estado, a un grupo o a una persona, de tomar parte en aktividades o de realizar aktos kon el buto de destruir kualkier de los derechos i libertades proklamados en esta Deklarasion.
