00-00	AKÜJIA SÜKUA'IPA SÜCHIKI SÜJUTU WAYUU SA'U MMAKAT
01-01	Naa wayuukana jemeishi süpüla taashi süma wanawa sülu'u nakua'ipa, aka müin yaa epijainjana sünain anajiranawaa a'in nama napüshi.
02-00	SHI'PAJANA PIAMA (2)
02-01	Tüü alu'uwatanaka sülu'u pütchikat tüü napülajatü naa wayuukana napüshua nnojotüsü süpüla ko'utküinjanain sa'uje natapa'a, nanuiki nanoujain no'ummain jee müsüya sa'uje kasa ekat e'in wanawa'injatü napüla wanepia.
02-02	Otta müsüya naa wayuukanairua nojolinjana join apülaa sa'uje sükua'ipa no'ummain.
03-00	SHI'IPAJANA APÜNÜIN (3)
03-01	Naa wayuukana eeshi süpüla kajutüinjatüin atuma napülerua tüü kataakat o'u, tüü taashi jee müsüya a'inmajuna akua'ipa süulia kasachiki.
04-00	SHI'IPAJANA PIENCHI (4)
04-01	Nojolüinjachi aapünüin wane wayuu süpüla achepchia,apülajünüitpa kasa müsüaka tüya sülu'u sükua'ipa süpüshuaya.
05-00	SHI'IPAJANA JA'RAI (5)
05-01	Nnojotüsü süpüla mulia'in a'in naa wayuukana atuma, nnojotüsü süpüla amojojunüin nakua'ipa.
06-00	SHI'IPAJANA A'IPIRUA (6)
06-01	Kajutüinjatü nakua'ipa naa wayuukana eepunaale naya.
07-00	SHI'IPAJANA AKARATCHI (7)
07-01	Wanawashi napüshua naa wayuukana so'upala tüü sülaulaka a'inmajia, anaaka naya joolu'u a'inmajünüin wanawa. Nojolüinjana letüin süulia tüü akua'ipa sülu'uwataka tüü pütchi karalo'utalüka.
08-00	SHI'PAJANA MEKIISAT (8)
08-01	Naa wayuukana eeshi süpüla asakajaa süchirua nakua'ipa laulapialu'upüna maaka shiinnule amüin tüü akua'ipa aapüshika namüin sülu'u tüü Konstitusionka.
09-00	SHI'IPAJANA MEKIETSAT (9)
09-01	Noojolüinjachi ata'unüin wane wayuu masalajanoule.
10-00	SHI'IPAJANA PO'LOO (10)
10-01	Naa wayuukana eeshisüpüla wanawain nakua'ipa sünain aapajuna anuiki, o'upala sütuma tüü e'itatka süsalajana kasa süpüla shiitaanüinjatüin süsalajana nañajala sülu'u anakat akua'ipa.
11-00	SHI'IPAJANA PO'LOO WANEMÜIN (11)
11-00	Wayuu ekai aküjünüin achiki sünain kaañajala nnojolüinjachi süsalajanain ma'aka matujajule a'u; wane'ereja shiraajünapa sükua'ipa, shiitanetka süsalajana ma'aka sülu'uwatain laulayuu süpu'uya tüü.
11-01	Nnojolüinjana süsalajana'in wane kasa ekai masalajana'in wane suma saañajunüin aka sülu'uwatain sükua'ipa laulapia nnojolüinjatü joolu'u mülo'ulein süsalajana atuma ayatüinjatü saalii ma'aka so'ukai sañajünaka a'u.
12-00	SHI'IPAJANA PO'LOO PIAMAMÜIN (12)
12-01	Nnojolüinjana eke'ejünüin a'in naa wayuukana sa'uje nakua'ipa nepialu'u, süma napüshi jee müsüya sa'uje tüü karalo'uta antakaa namüin a'inmajünüinjatü tüü nakua'ipa süulia jamajüin naya atuma.
13-00	SHI'IPAJANA PO'LOO APÜNÜINMÜIN (13)
13-00	Naa wayuukana eeshi süpüla waraitüin eepünaweele, eeshi süpüla kapüyain sülu'u tüü mma nachekakalü na'in.
13-01	Jee müsüya naa wayuukana eeshi süpüla antaa süma o'una sülu'uje no'ummain otta müsüya sülu'uje wane mma naatajatü.
14-00	SHI'IPAJANA PO'LOO PIENCHIMÜIN (14)
14-00	Ma'aka nüchejanüle achiki wane wayuu sülu'u no'ummain, eeshi süpüla nüchüntüin akaliijuna sülu'u wane mma eere anain nümüin.
14-01	Akua'ipakat tüü kajutüinjatü atuma süuleerua wane añajala ekai naatüin süulia sükua'ipa tüü Nasiones Uniiras münaka.
15-00	SHI'IPAJANA PO'LOO JA'RAIMÜIN (15)
15-00	Naa wayuukana eeshi süpüla sünüliamüin naya wane mma.
15-01	Nnojotüsü süpüla saakatnüin no'ulia sünülia no'ummainnnojotüsü achechetnüinjatüin shia nanain ma'aka nawanajaweere süulia.
16-00	SHI'IPAJANA PO'LOO A'IPIRUAMÜIN (16)
16-00	Nnojotsü pülajünüinjatüin namüin naa wayuukana kawayuuse, jieyuu nama tooloyuunnojotsü erajanüinjatüin palajaana jalejeewolin, kasain nano'ujain anain kasatalüin nata, süpüla kapüshinjanain wanawainjana sülu'u anakat akua'ipa.
16-01	Akasalajünüshi naa wayuukana ma'aka nacheckule na'in.
16-02	Tüü wapüshika shia akümajaka wapüleerua tüü akua'ipakat, aka müin yaa wa'inmajüinjatü jee müsüya a'inmajünüinjatü natuma naa sülaulayuukana mma.
17-00	SHI'IPAJANA PO'LOO AKARATCHIMÜIN (17)
17-00	Napüshua naa wayuukana eeshi süpüla kakoroloin naya, otta müsüya kakorolojirain nama waima wayuu.
17-01	Nnojotsü süpüla süsütünüin mojütoule nükorolo wane wayuu.
18-00	SHI'IPAJANA PO'LOO MEKIISALÜMÜIN (18)
18-01	Naa wayuukana eeshi süpüla taashi akua'ipa süpüleerua ano'uja, otta müsüya e'itana na'in sünain kasa anakat napüleerua.
19-00	SHI'IPAJANA PO'LOO MEKIETSALÜMÜIN (19)
19-01	Naa wayuukanairua eeshi süpüla taashi akua'ipa sünain yootoo süchiki tüü kasa nekiiru'ukana nnojolüinjana süsalajanain aashajawaa süma aapajana wane kasa achiki süpüla nülu'uwata'in shia süpüla saapajünüin epünaweere shia nülu'uwata'in achiki.
20-00	SHI'IPAJANA PIAMA SHIKII (20)
20-00	Naa wayuukana eeshi süpüla taashi akua'ipa süpüla a'inraa wane jutkataa jee müsüya kottirawa sülu'u mausii.
20-01	Nnojotsü süpüla achechetnüin a'in wane wayuu sünain süpushi wane jutkataa.
21-00	SHI'IPAJANA PIAMA SHIKII WANEMÜIN (21)
21-00	Napüshua naa wayuukana eeshi süpüla nalu'uwataajirain nama naa sülaülayuukana alu'uwatawaa;ottamüsüya eeshi süpüla neitain wane nache'epu'ujana ekai nachekuin na'in.
21-01	Naa wayuukana eeshi süpüla erajaa wanawaa sukua'ipa tüü alu'uwatawaaka sa'u no'ummain.
21-02	Jutchüin na'in naa wayuukana shia suyuupalaka sukua'ipa tüü alu'uwatawaa aka müin yaa jayasü sukua'ipa suka tüü woto münaka, süpüla aliikira naa shikiipu'unüinjanaka alu'uwatawaa su'lu'u anakat akua'ipa.
22-00	SHI'IPAJANA PIAMA SHIKII PIAMAMÜIN (22)
22-01	Napushua naa wayuukana eeshi süpüla na'inmajünüin aküa'ipa, otta müsüya eeshi süpüla neraajüin süpüshua jamüin sukua'ipa shiitajia suwashirüin, suma sutnetshe tüü mmakalüirua süpüla anainjatüin na'in sünainje tüü kasa natujaakat a'u.
23-00	SHI'IPAJANA PIAMA SHIKII APÜNÜINMÜIN (23)
23-00	Naa wayuukana eeshi süpüla nayatain sünain kasa nayataweekat anain, suma sa'inmajünüinjatüira sukua'ipa nayatain suulia amüloulii.
23-01	Naa wayuukana nnojülüinjana ko'utküin wanawainjatü nakanajüin, wanawale nayatain.
23-02	Nayataale naa wayuukana akanajüinjana sünainje nayatain, süma wanawa'injatüin tüü nakanajaka suma nayatain,süpüla anainjatüin na'in sünain epijaa nuchounni.
23-03	Naa wayuunakana eeshi süpüla achejawaa sukua'ipa wane kottaa süpüla kajütüin atuma tüü keireekat na'insunain anatiraa nakua'ipa.
24-00	SHI'IPAJANA PIAMA SHIKII PIENCHIMÜIN (24)
24-01	Nayataale naa wayuukana eeshi süpüla neemerain so'u wane ka'i, otta müsüya ayawatünüinjatü sukalia nayatain sapünapa namüin tüü eemerawaaka wala'injana suma'iru.
25-00	SHI'IPAJANA PIAMA SHIKII JA'RAIMÜIN (25)
25-00	Naa wayuukana eeshi süpüla epijawaa sulu'u anakat akua'ipa süma napüshi ma'aka sa'in kapuyaa, kashe'in, erajaana ayuipa, anaa sülu'u sükua'ipakat süpushua.
25-01	Naa jemeyuunnukana otta müsüya naa jo'uyuukana a'inmajünüinjana süpüleerua kasa süpushua naa jo'uyuukana a'inmajünüinjana sülu'u sükua'ipa süpushua a'itaina jemein süma waneejetüin napüshi.
26-00	SHI'IPAJANA PIAMA SHIKII AIPIRÜAMÜIN (26)
26-00	Naa wayuukana napushua eeshi süpüla ekirajuna mojutüinjatü shia napuleerua suttiana'in ekirajawaa nalatirapatüü, süpüla ko'omünüin natüjain wanawainjatü nakua'ipa sünain antaa sülu'umüin tüü ekirajaapulee mulo'usüka unipersitaa munaka aka sükua'ipa atuma.
26-01	Naa wayuukana ekirajünuinjana süpüleerua anataa nakua'ipa suma atujaa kajutaa atüma tüü suchikika sujutu wayuu süpüla anainjatüin susanalia tüü mmakat süchirua asauta tüü anamia suchekaka achiki tüü Nasiones Uniiras munaka.
26-02	Napüla naa wayuukana eeshi süpüla aneekajaa tüü ekirajawaa aapuneeka namüin nachounni.
27-00	SHI'IPAJANAPIAMASHIKIIAKARATCHIMÜIN (27)
27-00	Napushua naa wayuukana eeshi süpüla erajirain wanaa nama naa waneirua sünain antiraa süchiki kasa anasü napüla napushua.
27-01	Naa wayuukana eeshi süpüla sa'inmajünüin tüü kasa namüinka,otta müsüya tüü kasa nayuralaka nekiiru'uje suka na'in namuiwa'a.
28-00	SHI'IPAJANA PIAMA SHIKII MEKIISALÜMÜIN (28)
28-01	Napushua naa wayuukana eeshi süpüla shiitaanüinjatüin napüleerua wane sükua'ipa sa'u tüü mmakat süpüla pansainjatüin sañajia tüü sülu'uwatakat anain tüü pütchika.
29-00	SHI'IPAJANA PIAMA SHIKII MEKIETSALÜMÜIN (29)
29-00	Naa wayuukanairua jülüinjatüna'in nakua'ipa naa wayuu kapuyakiraaka nama aka anain naya sünain epijawa anajiralee nakua'ipa napushua.
29-01	Shia'ala nnojotka anain süpüla na'inraa tüü apülajunaka napüleerua laülapialu'ujesüpüla anainjatüin sukua'ipa süpushua tüü kasakat.
29-02	Akua'ipakat tüü nnojotsü peipoloinjatüin suma tüü akua'ipa sülu'uwatakat anain tüü Nasiones Uniiras münaka.
30-00	SHI'IPAJANA APÜNÜIN SHIKII (30)
30-01	Sülu'ukot karalo'utakat tüü nnojotsü aapanüinjatüin süpulainmüin tüü sülaülakot mma nnojotsü aapanüinjatüin napülainmüin no'utku wayuu, nnojutsü aapanuinjatüin süpüla nüpülain wane wayuu. A'iruushi süpüla nnojolüinjatüin alatünüin a'upuna tüü pütchi süpülajatka süjutu wayuu sa'u tüü mmakat.
