00-00	OJE KA K’ĘLA KƆDAH NƆCĘ LĘ AA
09-01	Odudu acḛ duu iciko bei kipu kinu-agba aman bḛ okw’ͻcę dudu igbihi kęfyę ohę n, cai ęci nͻcḛ ᴐma iyḛ bei k’ͻdah.
10-00	OKA 10
10-01	Odudu acḛ cika j’ojinlę lębę k’aw okępͻ ipu k’ębͻ ͻkpakpa mḛml’ębͻ ni lojeikpei n oka tig ko kępͻ k’ͻcę duu kl’ęcę pee, Ohigb’ͻdah ni yabͻ kunu nᴐ je hai tig k’ępͻ gͻda bᴐbi ḛgḛ dudu ni kwͻcę ępͻ kunu.
11-00	OKA 11
11-01	Ɔcę duu ni kwępͻ hibi gͻda olukpafyu ikpo ḛgḛ duu nę, ilęp’mbi ęci naw’ͻkępͻ lępͻ kunu ka ei pee ip’ͻkpakpa mḛml’ḛgḛ duu nͻdah lę, nacḛ okḛpᴐ kunu kw’ḛga je lᴐ kᴐ-nu ka ip’ᴐda nᴐcḛ ᴐma ya.
11-02	Ɔcę duu I ciko lęp’ḛmbi ohigb’ͻda duu nͻdah kęi gaję nͻ la aa ma ma ta tͻ n liko nͻcę ͻma yͻda lͻ. aman bḛ kofy’ ęfye fyowu kine nͻcę kpo aa janu fy’ḛgḛ abᴐ nͻdah myla ta go fajanu liko nͻcę kpine aa.
12-00	OKA 12
12-01	Odudu acę cika w’ohyl’ęta jacę ͻmpa kuwa ki labͻ lͻda ot’otu nᴐcḛ iya n, aman bḛ k’ip’ͻnu kuwa n, ͻl’uwa n, aman bḛ k’okpo dͻcę ikwęi gojima-nu mḛml’ojima n. Ɔdah cika gbęi ͻcę duu kͻcę ͻha kͻ ma ko labͻ ip’ͻda ototu gͻc’ͻmpa-nu ḛgḛ duu.
13-00	OKA 13
13-01	Odudu acḛ lͻdah kabͻ kei nͻ ki yau gębę duu nya ni y’ͻtu-nu, nͻ ke la ęgę duu ni h’ͻtu ip’ęi aję nͻ la ᴐma.
13-02	Odudu acḛ lͻdah ko nyę ђmęi gaję duu nͻ la gḛi ajḛ ᴐmpa, gͻ cokwu węi gaję ni m’ͻ ta, ḛgͻ ma nᴐ lͻdah ko chigbihu wa iko duu ni yᴐtu-nu gę.
14-00	OKA14
14-01	Ɔcę duu lͻdah go dͻka ti go mabahi lęi gaję ͻha, ipu gowe oma n ti gokpodͻcę n.
14-02	[missing]
15-00	OKA 15
15-01	Odudu acḛ lͻdah ko wͻi kaję.
15-02	Ɔcę duu cika gw’ͻwę kopyͻi kaję tͻcę ͻmpa kunu n, aman bḛ ko gw’ͻwę t’opyͻdah kͻi kaję kunu abͻ ђmęi gaję eye gͻmpa n.
16-00	OKA 16
16-01	Acęnyilͻ mḛml’Achęnya ni jejinkpa mę, ędͻ kacę, ęi kaję, aman bḛ k’ędͻ gowoico nigblḛgba icika gwͻwę to lei wa ͻba mḛml’ͻnya n aman bḛ ko h’ipͻnu kuwa n. Iciko lͻdah jojinlę ipu okpei-wa bͻha mḛml’okͻ hͻha ta kuwa.
16-02	Ɔba mḛml’Ɔnya olę cika wͻda nͻcę duu ibei gipu gunu ipu gotila n cai ipu ko mͻtu gei wa cici ti go lekwu kei wa.
16-03	Ipͻnu kᴐcę w’okwaję go hę igwu igwu gacę ma. Hibi ḛgᴐ ma ͻwᴐda ni cḛlḛgba kęi kaję odudu kᴐ kwula mḛml’ipͻnu.
17-00	OKA 17
17-01	Ɔcę duu nę lͻdah abͻ kei nu lͻdah ko labenu gei-nu amaa bę nͻ ke lᴐfyu ba tͻha yͻda kagbenu-nu mḛml’ͻcę ͻmpa.
17-02	Okwͻcę baję ębę ko lͻda kagbenu olḛ nya, kᴐ yͻ n.
18-00	OKA 18
18-01	Odudu acḛ lͻdah ko lohili kͻda ḛgḛ ni h’ͻtu, aman bḛ k’Ocaikęla jͻcę ni la lipu kͻtu kͻcę, ti kędͻ kOwiocco nͻ igbęgba aa; ipu kͻdah nͻcę lę nya, ͻcę lͻfyu nyę ђmipu gęgba nͻ yᴐ gb’oco eye gipu g’ḛgḛ duu nͻcḛ ma, nᴐ ke h’ͻtu, mḛml’ojowoico ogbęgba kunu kl’ḛcḛ pee ęgę duu nę.
19-00	OKA 19
19-01	Ɔcę duu lͻdah gͻmͻwę gͻda abͻ ni yͻtu gunu ti go jͻwę gęla ka abͻ ni yͻtu gunu kpakpa; ͻmęwę gęla abͻ ni h’ͻcę ͻtu, gͻcę ͻha gͻlabͻ lͻ n kwęę ja gei nu bͻ n, ti go j’ͻwę gęla lͻ ka tęcę pee jacę lipu ginu ębę okęla tęcę abͻ duu nͻcę lͻ cokwu lę.
20-00	OKA 20
20-01	Odudu acḛ lͻdah gojlei mḛml’acę duu ipu kͻgbͻtu tig ko by’atͻha mḛmyl’acę ͻha duu.
20-02	Ɔcę duu gͻ yͻcę ͻmpa otila k’ͻwę lᴐwa ᴐwa aman bḛ k’opyatͻha kacę duu nę n.
21-00	OKA 21
21-01	Odudu acḛ lͻdah ko labͻ lipu gigͻmęnti kęi gaję-nu, ͻlͻfyu nyęga kͻkwęi kacę kunu aman bḛ k’ofͻcę ni kwęi gunu lipu gigͻmęnti.
21-02	Odudu acę lͻdah jojinlę ko yękwu mḛml’ͻda geniye duu.
21-03	Ɔda ni wokwaję kͻdah gigͻmęnti cika wͻda nęwa kacę iyᴐ dͻka; ḛnya ka itei pee fyę lipu kabͻ obͻkpa nicaka yͻ iko iko gunu, ohigb’ęwa gacę gͻ f’ͻcę ni kwęi kuwa lipu gigͻmęnti ipu kabͻ obͻkpa ni l’uji n.
22-00	OKA 22
22-01	Odudu acę ni wᴐi kaję ḛgḛ nͻ la, lͻdah ko gbęi-wa ip’ola kuwa mḛml’ obębę kakanya nęi kaję ęi-aję ti k’igwu igwu kace cika ya ohigb’ͻcę ko je ͻkpͻci kͻdah kunu nͻ lę ipu koya ję gͻbu kͻcę mḛml’abͻ nͻcę yᴐ yoyei lę ni ki lͻcę py’ͻcḛ kejiji n, kęnębęcę kͻcę gͻ yᴐ ję tip’ejinkpa.
23-00	OKA 23
23-01	Odudu acḛ lͻdah ko y’ukͻlͻ duu, aman bḛ oj’ędͻ kukͻlͻ ni h’ͻtu, nͻ iya ni ke gbiye nęę gila dę kͻ ya ti gͻdah ni gbͻcę holukͻlͻ no ta.
23-02	Odudu acḛ duu ni yukͻlͻ igwu eyekponu lͻdah ko my’ule ḛgḛ ekponu cai oyoyͻ gukͻlͻ guwa kᴐ yͻ gbͻbu dę nule kuwa y’oyͻ duu ma.
23-03	Odudu acḛ ni yukͻlͻ,lͻdah hibi kͻ lͻda ni lͻfyu bͻya mḛml’ipͻnu kunu cę janu aman bę k’ipͻnu kunu hai tei gabͻ nipͻnu gͻcę ciko lę ipu gojima.
23-04	Odudu acę lͻdah ko h’utu kͻyi ota aman ko wę lipu kopyatͻha ga w’otͻyi ohigb’ile nͻ gi lę aa.
24-00	OKA 24
24-01	Odudu acḛ lͻdah ko lͻmlęnyͻ ip’ukͻlͻ duu nͻ iya, aman bḛ k’ukͻlͻ duu nͻcę iya cika liko gunu aman bḛ k’auwa nͻcę iyukͻlͻ duu nya ciko lęji. Iko Iko omęnyͻ yͻ ipu gukͻlͻ duu mḛml’ule oca.
25-00	OKA 25
25-01	Odudu acḛ lͻdah ko l’oyei ͻlam ni cika jͻ lafyiya lͻcę mḛml’ogbęhi gęnębęcę kͻcę ti k’ipͻnu kunu, ḛg’ͻda lę b’odule, ͻda oliye, ęgę ojęyi nyletu aman bę k’ͻlę ti kojikpei tͻkp’iye kᴐcḛ, okplici kͻcę ti gͻda ohoi ni cęgba.
25-02	Ęnę omͻi tig ͻi wei gͻcę duu go jei tuwa hͻhͻi ti go bi yuwa ͻtabͻ. Ɔi duu nęę kwͻha ni ma lipu golekwu gOco aman kwęę olekw gOco no cika lojei tuwa ti go kwula huwa jojinlę.
26-00	OKA 26
26-01	Ɔcę duu lͻdah go ginͻkpa ga jͻkpa. Ɔkpa oje cika wa gęhi, ͻwͻda nͻ nyę fyę gba okwaję gͻkpa oje cika wagęhi gͻ ca wotila gͻcę duu gͻ lokwaję gͻkpa oje ya ipu ginͻkpa. Ɔkpa oje gͻbu cika wota jͻcę duu ni dͻka go je gͻbu tei gabͻ nowu gunu jͻ.
26-02	Ɔkpa oje ciko wͻda ni cę jͻce ję gͻbu ipu ko jlakwęi gęnębęcę ͻcę mḛml’o jukpafyu jͻdah nͻcę lę abͻ kei-nu nya ti go labͻ lei-ђ nͻcę lę aa. Ɔkpa oje ca I cę lo jęi kͻda ję gͻbu, oђmabͻ hęla ta mḛml’oyęma ti acę ͻmpa, aman bḛ k’ędͻ gacę ogbowoico ͻmpa, ͻ ke i cę jukͻlͻ g’United Nations ohigb’ͻgbͻtu ko yͻ ipu gęcę nya ję gͻbu.
26-03	Aw’ada lͻdah gi jędͻ gͻkpa oje ni wei kai-wa ni ke lͻhii ko je luwa.
27-00	OKA 27
27-01	Odudu acę lͻdah ko lab’ipu ͻda atͻ gęi kaję duu nͻ la, ͻwͻda nͻ h’ͻtu, gͻdah lile gukͻlͻ gabͻ duu nacę gaję lͻ  byi hai ya.
27-02	Odudu acḛ lͻdah ko lei kw’aję aman bę ipu gukᴐl’abͻ duu, kw’ije nͻcę wo, kw’ͻkpa nͻcę ta, ͻcę ni w’ondu-nu aa lͻdah higbḛi k’ohili ni yipu kunu tig ͻda ni bi yekwu.
28-00	OKA 28
28-01	Ei oṅla yͻ jͻcę duu, ipu gęgḛ nya nęla kͻdah yi yabͻ kͻcę ti go labͻ lei-ђ kͻcę ni yᴐ ka lipu kͻkpa nya ilęi kila ip’acę kḛcḛ nya aa.
29-00	OKA 29
29-01	Odudu acę ciko lukͻlͻ eye aman bḛ fy’oye nͻ bi abᴐ yᴐ ipu’ͻlę nͻ la, hibi ipu goya lḛa, dę no labͻ lei-ђ kͻcę mḛml’ojḛ tijijinkpa gęnębęcę ͻcę ilęi gila ma.
29-02	Ipu kͻdah kabͻ-ͻcę duu nę nͻ bi yᴐ yͻda duu aa, gͻ bi ya tei kabͻ nͻdah kęi kaję myla ta ko ya, ohigb’ͻgbͻtu mḛml’ojęgͻbu gͻ yęi gaję duu ti go ca cę j’olabͻ lei-ђ gͻcę ti gͻdah gabͻ gͻcę lojima.
29-03	Ipu gͻdah gabͻ gͻcę ni ka nę ti g’olabͻ lei-ђ gͻcę ni ka nę, ͻcę duu gͻ byͻ yͻkͻlͻ ni gi by’ͻgbͻtu waję n no.
30-00	OKA 30
30-01	Ɔlͻdah duu ipu gͻdah gabͻni je ka lipu gͻkpa cę jͻcę duu n kwęę igwu igwu gacę duu n go bei gipu gͻda oya duu ni by’ͻda obya waję, aman gͻ byͻda duu n ikwęi gͻdah gabͻ gei nu n.
