00-00	TAFASWIRI AN-KIƁUSHI NIM-MATEKELEZO KI DUNIA NIN-HAKI-L-ADAMÌ
14-00	Am-mahala misi udilifu, kula huluŋu misi ruhusa mitsakaraka mahala ififiaŋa, boka eu, misi furswa ahazu mahala ififiani amin’ni tani hafa.
14-01	Sharia iti tsi heti kurumianaŋa neka huluŋu mila ikurumianaŋa izi itì, tsakarahin’ni sirikali hatasiɓaɓun’ni shidrendro natoni niditri amin’ni ɓaãdhwi nin-shidrendro nikudukuruŋu amin’ni sharia djumla au hatasiɓaɓun’ni taɓia natoni tsi miaraka ndreka madhumuni ndreka makuswada nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu).
15-00	Kanuni faha fulu dimi ambini :
15-00	Kula huluŋu misi haki an-fazahuaŋa uraĩa.
15-01	Tsisi huluŋu mbu heti fahaŋana kaza ahazu uraĩa au amadiki uraĩa, ɓilà siɓaɓu.
16-00	Kanuni faha fulu tshuta ambini :
16-00	Neka reu fa kutsimu, lalahi ndreka viavi nin-kula nishani, kula uraĩa au kula dini, meti manambadi ndreka miteraka zanakan-ndreu. Hakin-ndreu amin’ni kabaru mifotutru vadiaŋa meraŋa, lera reu amin’ni vadiaŋa ndreka lera reu miboŋu.
16-01	Vadiaŋa mbu heti atou neka bwana harusi ndreka bweni harusi nikuɓali izi itì.
16-02	Fihisiaŋa havaŋa iu raha amin’ni vatan-huluŋu boka eu muhimu amin’ni maisha ki udjamaã ; izi itì misi furswa ahazu hifadhwi nin-udjamaã ndreka nin-Daula.
17-00	Kanuni faha fulu fitu ambini :
17-00	Kula huluŋu, rangu inyi mipetraka izi areki ata inyi mipetraka an-djamaã, misi furswa amba izi hu tompinshandza.
17-01	Tsisi huluŋu mbu heti fahaŋana ɓilà siɓaɓu amba izi kaza utompin-shandza.
18-00	Kanuni faha fulu valu ambini :
18-01	Kula huluŋu misi haki an-fihisiaŋa nafasi nin-fikufikiriaŋa, nin-fikurumianaŋa ãkili-musingi ndreka nin-fihisiaŋa dini ; haki itì mikuruhusu huluŋu mamadiki dini au fikira, ndreka maŋamia huluŋu nafasi mampahei dini au fikira nazi izi areki au ndreka ri namani rangu an-karamandza ata an-traŋuni ; amin’ni fidzuruaŋa izi, amin’ni faŋanovaŋa izi, amin’ni faŋanovaŋa ĩɓada ndreka mahafala mifotrutu dini itì.
19-00	Kanuni faha fulu sivi ambini :
19-01	Kula huluŋu misi haki an-fihisiaŋa nafasi ninfaŋabwahaŋa fikira ndreka nin-fivulaŋana ; maãnani iu, huluŋu misi haki an-tsifiampidzaliŋa huluŋu hatasiɓaɓu nin-fikira nazi ; an-fahazuaŋa ndreka faŋabuŋuaŋa ɓila tsisi fikutundaŋa mupaka, kabaru ndreka fikira, an-kula lalaŋa mbu kurumianaŋa.
20-00	Kanuni faha arompuluni :
20-00	Kula huluŋu misi haki an-fihisiaŋa nafasi nin-fivuriaŋa ndreka nin-faŋanovaŋa shama tsisi tashahushi.
20-01	Tsisi huluŋu mbu atou nguvu ihiditri an-shama.
21-00	Kanuni faha arompulu areki ambini :
21-00	Kula huluŋu misi haki an-fangalaŋa fuvu anfaŋandesaŋa kabaru mifotutru huluŋu djabi an-tani nazi, nahika ro huluŋu tompini au amin’ni huluŋu maŋatitri wakala nifidanaŋa an-nafasi.
21-01	Kula huluŋu misi haki an-fihisiaŋa lalaŋa, mikustehi masharutwi nin-fihiraŋa, iditri an-hasa ki sirikali nin-tani nazi.
21-02	Nia nin-zanatani io ro musingi nin-yezi nin-sirikali ; nia itì nikulazimu kutekelezaŋa amin’ni voti mazava nikulazimu natou kula mumba muda, amin’ni lalaŋa mikukarɓisa huluŋu djabi an-fihiraŋana, amin’ni voti ninsiri au maŋaraka fomba miraŋa ndreka voti nin-siri, mikuruhusu unafasi nin-voti.
22-00	Kanuni faha arompulu aroi ambini :
22-01	Kula huluŋu, amin’izi huluŋu nin-djamaã, misi haki anfazahuaŋa hifadhwi ki fihavaŋana (ki siraki) ; musingi nin-hifadhwi iu, ro fikutsimidzaŋa haki mifotutru ãkiɓa, udjamaã ndreka utamaduni muhimu an-hishima nazi ndreka an-huvambufu an-nafasi nin-tweraŋa, hatasiɓaɓun’ni djitihadi ki tani ndreka fishirikaŋa ki ulemengu, hatasiɓaɓun’ni namuna nin-kupangaŋa ndreka rasulimali nin-kula tani.
23-00	Kanuni faha arompulu telu ambini :
23-00	Kula huluŋu misi haki an-fazahuani hasa ndreka anfihisiani shaɓaha an-fifidanani hasa amin’ni lalaŋa ninhaki bokeu kusutou nin-hasa ; ndreka misi haki anfikuhafadhwiaŋa izi ndreka fipitrahaŋa-ɓure.
23-01	Huluŋu djabi, wala tsisi fifidanaŋa, misi haki anfazahuaŋa mushahara meraŋa an-faŋanovaŋa hasa miraŋa.
23-02	Kula huluŋu miasa, misi haki an-fazahuaŋa mushahara kusutou, modeli nikulazimu mbu ikuruhusu izi ndreka ri havani uhisi maisha ki uɓinadamu, bokeu meti susohinyi ndreka musada hafa nin-hifadhwi ki udjamaã.
23-03	Kula huluŋu misi haki an-fikupangana ndreki ri havani, shama nin-fikudaiaŋa haki nin-huluŋu nin-hasa, an-fihidirani an-shama mikudifaĩ tanafu nazi.
24-00	Kanuni faha arompulu efatra ambini :
24-01	Kula huluŋu misi haki an-faŋabwahaŋa vaha ndreka fangalaŋa nafasi, amin’ni zenyi, an-faŋanovaŋa mupaka mikustahiki amin’ni muda nin-hasa ndreka anfaŋabwahaŋa vaha ifaŋa nim-muda.
25-00	Kanuni faha arompulu dimi ambini :
25-00	Kula huluŋu misi haki an-fihisiaŋa daradja ninfikueshiaŋa kiasi, mikuruhusu izi uhisi swiha tsara, ahazu faivaŋana, izi ndreka ri havaŋa nazi, an-kabaru mifoturu, fihinanaŋa, fisikinaŋa, fihisiaŋa traŋu, fazahuaŋa audi ki lopitali ndreka fazahuan-huluŋu zema ki sirikali muhimu : izi misi haki an-fazahuani musada anwakati nin-fipitrahaŋa-ɓure, nin-aretinyi, ninfikupunguzan’ni ziga, nin-fati nin-vadi, ninhauɓakokuaŋa, au am-mukaɓala nin-fihafahan-raha mampahazu huluŋu maisha, hatasiɓaɓu nin-fandihana nin-kabaru ɓila uvhendza nazi.
25-01	Fitirahaŋa ndreka hauzazaŋa misi haki an-fazahuaŋa musada ndreka fikututuɓiaŋa mahususu. Zaza djabi, rangu reu nitirahinyi an-vadiaŋa atà reu nitirahinyi antani, misi haki miraŋa an-fazahuaŋa hifadhwi nin-taãɓu nim-maisha.
26-00	Kanuni faha arompulu tshuta ambini :
26-00	Kula huluŋu misi haki an-fidzuruaŋa. Fidzuruaŋa nikulazimu ɓure, shingani ro, fidzuruaŋa an-likoli madiniki. Fidzuruaŋa hasan-taŋana nikulazimu mibiaŋa an-huluŋu djabi ; fidiraŋa an-likoli nin-daradja aŋabu ninfidzuruaŋa nikulazimu nibiaŋa an-fihiraŋa nin-ankitinyi, an-kula huluŋu djabi misi maãrifa uhiditri.
26-01	Fidzuruaŋa nikulazimu nikusudia utsatsarufu nimɓinadamu, faŋanovaŋa nguvu mastaha nin-haki-l-adamì ndreka nafasi musingi. Izi tihì nikulazimu nampandehaaluha fikuelewaŋa, muswamaha ndreka fiwandzaniaŋa nin-tani djabi, ndreka shikao nin-kaɓila au nin-dini ndreka fandihanaŋa-aluha nin-ãmali nin-Uvumoja nin Twaifa (Shama nin-Daula nin-Ulemengu) fikututuɓiaŋa usalama.
26-02	Ri huluŋu maventi nin-huluŋu, misi haki an-fifidanaŋa amin’ni raha muhimu amin’ndreu, fidzuruaŋa tokutru ahazun-ndri zanakan-ndreu.
27-00	Kanuni faha arompulu fitu ambini :
27-00	Kula huluŋu misi haki an-fangalaŋa fuvu neka izi shoku, am-maisha ki tamaduni nin-djamaã, an-fangalaŋa ɓastwi nin-swanaã ndreka an-fangalaŋa ɓandza amin’ni fandihanaŋa-aluha nin-sayãsi ndreka atsaraŋa ahazuŋu an-raha retu.
27-01	Kula huluŋu misi haki an-fikuafadhwiaŋa zavatra nazi, rangu reu mifotutru ĩlimu ata zombo nikumbaŋa anfikurumianaŋa sayãsi, fanurataŋa buku au fikutrungaŋa kabaru, neka izi ro tompin’ni raha retu.
28-00	Kanuni faha arompulu valu ambini :
28-01	Kula huluŋu misi haki an-faŋanovaŋa modeli atà utrilivu amin’ni maisha ki ɓinadamu ndreka amin’ni ulemengu ikuɓala atà haki ndreka unafasi nikudukuruŋu aŋatim- Matekelezo itì, ikurumianaŋa namuna nin-kulazimu.
29-00	Kanuni faha arompulu sivi ambini :
29-00	Ɓinadamu misi raha diasinyi ndreka izi amin’ni djamaã nazi ; amin’izi itì, fikuvambusan’ni tweraŋa nazi an-nafasi, iu tu ro raha isiani ruhusa maŋanu azi.
29-01	Amin’ni fikurumianaŋa hakin-huluŋu, ndreka fihisianhuluŋu nafasi, raha retu djabi misi mupaka napetrakansharia. Makuswada nim-mupaka retu, izi ro faŋanovaŋa modeli ata fikuɓaliaŋa ndreka mastaha nin-haki ndreka nafasi nin-havaŋa ikueshi ; amin’ni fikusutehiaŋa kua, masharutwi nin-uɓinadamu, nin-utrulivu nin-trengwe ndreka fiatsaraŋa djumla nin-djamaã nin-ki nafasi.
29-02	Haki ndreka nafasi retu, ãla-kulli-hali, tsi uheti ikurumianaŋa amin’ni lalaŋa tsi miaraka ndreka makswada ndreka masharutwi nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu).
30-00	Kanuni faha telumpuluni :
30-01	Tsisi atà sharia areki nim-Matekelezo itì mbu heti kutafaswirinyi amin’ni lalaŋa mikuruhusu, Daula, shikao au huluŋu areki, ihisi haki itsokao yotsi nin-faŋanovaŋa mahafala au ãmali mandrubaka haki ndreka unafasi nikudukuruŋu etu.
