00-00	DICHIARAZIOUN UNIVERSELA DI DIRET UMEN
11-00	Ogni persouna acusèda d'una colpa la è presunta inocénta fina a quand la su colpevolèza lan sia stè pruvèda legalmènt t'un prucés poblich, te quale li la abia avù tot al garanzì nicisèrii prì la su difoisa.
11-01	Nisuna persouna la sarà cundanèda prì azioun cumèsi o prì azioun non cumèsi al quali, t'e' mumènt c'agli è stè cumèsi o non cumèsi, lin fos prevésti cumè reéd sgand el dirét interni o sgand el dirét internaziunèl. Tu stès temp un putrà èsa infléta alcuna poina piò granda ad quèla prevésta te mumènt te quale la colpa la sia stè cumèsa.
12-00	ARTICOLO 12
12-01	Nisuna persouna la putrà èsa sotoposta ma interferenzi arbitrèrii tla su vita privèda, tla su famèia, tla su chésa, tla su corispondénza, né ma lesioun du su unour e dla su reputazioun. Ogni persouna la à dirét da èsa difoisa dala lègia countra al sudèti interferinzi o lesioun.
13-00	ARTICOLO 13
13-00	Ogni persouna la à dirét m'la libertà ad muvimènt e ad residénza drointa i cunfoin ad ogni Stèd.
13-01	Ogni persouna la à dirét da lasè qualsiasi paiois, cumprois e propii, e d'arturnè tu su paiois.
14-00	ARTICOLO 14
14-00	Ogni persouna la à el dirét da ciarché e da usufruì, at ch'j ilt paìs, rifug' dal persecuzioun.
14-01	St'el dirét un putrà èsa invuchéd te chés che la persouna la sia realmènt ricerchéda prì colpi non puletichi o prì azioun cuntrerii m'al finalità e m'i principi dli Nazioun Unidi.
15-00	ARTICOLO 15
15-00	Ogni persouna la à dirét ma una citadinènza.
15-01	Nisuna persouna la putrà èsa arbitrariamènt privèda dla su citadinènza, né del dirét ad cambié citadinènza.
16-00	ARTICOLO 16
16-00	Umni e dòni in età giosta i à el dirét da spusès e da fundè una famèia, senza alcuna limitazioun ad raza, citadinènza o religioun. Lou i à i stés dirét riguerd e' matrimonii, durent e' matrimonii e t e' mumènt du su eventuèl scioglimènt.
16-01	E' matrimonii e putrà èsa celebrèd snà s'u lébri e tutèl cunsèns di futur spus.
16-02	La famèia l'è la cellula naturèla e fondamentèla dla società e la i à el dirét da èsa difoisa dala società e da u Stèd.
17-00	ARTICOLO 17
17-00	Ogni persouna la à el dirét da avoi una proprietà su persunèla o insèn sa élta genta.
17-01	Nisuna persouna la putrà èsa privèda ingiustamènt dla su proprietà.
18-00	ARTICOLO 18
18-01	Ogni persouna la à dirét m'la libertà ad pensiir, ad cuscinza, e ad religioun; st'el dirét e cumprènd la libertà ad cambié religioun e ad cambié credo, e la libertà ad manifestè, singolarmènt o insèn sa elta génta, e sia in poblich che in privèd, la propia religioun o e' propii credo tl'insegnamènt, tli pratichi, ti gist religius e tl'oservènza di rituel.
19-00	ARTICOLO 19
19-01	Ogni persouna la à dirét ma la libertà d'opinioun e d'espresioun cumprois el dirét da no èsa molestèda prì la propia upinioun e quèl da ciarché, ricéva e comuniché infurmazioun e idèi usand tot i mèzi e senza riguerd ma cunfoin.
20-00	ARTICOLO 20
20-00	Ogni persouna la à dirét ma la libertà 'd riunioun e ad asociazioun pacéfica.
20-01	Nisun e pò èsa custrèt a fè pèrta d'una asociazioun.
21-00	ARTICOLO 21
21-00	Ogni persouna la à dirét da partecipè m'e' g-vèrni de propii paiois, sia diretamènt, sia prì mèzi ad rapresentint scilt liberamènt.
21-01	Ogni persouna la à dirét da èsa asunta in cundizioun ad parità t'j impiégh poblich de propii paiois.
21-02	La volontà populèra la è e' fundamènt dl'autorità de g-vèrni; stà volontà la à da èsa esprèsa da elezioun frequenti e leéli, organizèdi a sufrag' universèl e uguèl, a vot segrét, opure seguend una procedura ad vutazioun altretènt lébra e garantésta:
22-00	ARTICOLO 22
22-01	Ogni persouna, cumè pèrta integrènta dla società, la à dirét mla sicurèza suciéla, nonchè mla realizazioun atravèrs u sforz naziunèl e la cooperazioun internaziunèla e in armonia sl'organizazioun e al risoursi ad ogni Stèd, di dirét economich, suciél e culturil indispensabli m'la su dignità e m'u lébri svilop dla su personalità.
23-00	ARTICOLO 23
23-00	Ogni persouna la à dirét m'u lavour, m'la lébra scilta dl'impiegh, ma giosti e dignitousi cundizioun ad lavour e m'la protezioun countra la disocupazioun.
23-01	Ogni persouna, sènza nisuna discriminazioun, la à dirét m'una uguèla retribuzioun in cunfrount m'un uguèl lavour.
23-02	Ogni persouna c'la lavoura la à dirét ma una pèga giosta e dignitousa c'la garantésa ma se stèsa e m'la su famèia una vita umèna dignitousa e aiutèda, quand l'è nicisèrii, da d'j ilt mèzi ad protezioun suciéla.
23-03	Ogni persouna la à dirét da fundè dli organizazioun sindachéli e dèi la propia adesioun prì la difoisa di propii interis.
24-00	ARTICOLO 24
24-01	Ogni persouna la à dirét m'u ripos e m'el temp lébri, tnénd count ad conseguénza d'una giosta limitazioun dli ouri 'd lavour e ad ferie retribuidi.
25-00	ARTICOLO 25
25-00	Ogni persouna la à dirét d'avoi una cundizioun ad vita c'l'ai permèta da garantì la saluta e e' benèsri propii e dla su famèia, s'una atenzioun particulèra m'l'alimentazioun, m'i vistid, m'la chésa, mli medicini e m'i servizi suciél nicisèrii, e la à dirét m'la sicurèza ti chés ad disocupazioun, malatì, invalidità, vedovènza, v-ciaia e at tot i chés ch'i duvés cumpurtè la perdita di mèzi ad susisténza a cheusa ad fàt indipendint dala su volontà.
25-01	La maternità e l'infanzia agl'i à dirét ma curi e asisténza particulèri. Tot i burdill, nid al'intèrni de matrimonii o fura da e' matrimonii, i à da beneficié dla stèsa protezioun suciéla.
26-00	ARTICOLO 26
26-00	Ogni persouna la à dirét ma l'istruzioun. L'istruzioun la n'à da custè gnint almeno in riferimènt mli classi elementèri e fondamentèli. L'istruzioun elementèra la à da èsa ubligatoria. L'istruzioun tecnica e prufesiunèla la à da èsa m'la purtèda ad tot e l'istruzioun superioura la à da èsa altretènt acèsébla ma tot in cunsiderazioun de mèrit ad ciascun.
26-01	L'istruzioun la à da èsa indirizèda m'e' pin svilop dla personalità umèna e m'u rafurzamènt du rispèt di dirét umèn e dli libertà fondamentèli. Li la à da ricerché u svilop dla comprensioun, dla tolerènza, dl'amicizia fra toti al Nazioun, i grop ad razi divèrsi, i grop religius, e la à da favurì l'impègn dli Nazioun Unidi prì e' mantenimènt dla pèsa.
26-02	I genitur i à el dirét ad priorità tla scilta del tip d'istruzioun da dè m'i propii fiull.
27-00	ARTICOLO 27
27-00	Ogni persouna la à dirét da partecipè liberamènt m'la vita culturèla dla comunità, la à dirét da aprezè al belèzi dl'arte tli su svariédi fourmi e da contribuì m'e' prugrès dla scienza e da usufruì di su beneficc.
27-01	Ogni persouna la à dirét m'la protezioun d'j interis murèl e materiil proveniint da ogni produzioun scientefica, leterèria e artestica creéda da la persouna stèsa.
28-00	ARTICOLO 28
28-01	Ogni persouna la à dirét m'un ourdni suciél e internaziunèl te quale i dirét e al libertà proclamid tla presènta Dichiarazioun i posa èsa completamènt realizid.
29-00	ARTICOLO 29
29-00	Ogni persouna la à di duvoir ti cunfrunt dla comunità, snà drointa la quale l'è pusébli e' pin e lébri svilop dla su personalità.
29-01	Tl'esercizii di su dirét e dli su libertà ogni persouna la à da èsa sotoposta snà ma cli limitazioun stabilidi dala lègia prì garantì u riconoscimènt e u rispèt di dirét e dli libertà ad ch'j ilt e prì sudisfè al giosti necesità dla morale, dl'ourdni poblich e de benèsri generèl 't una società democratica.
29-02	Stì dirét e stlì libertà in pò, in nisun chés, èsa esercitid in cuntrast slì finalità e s'i princìpi dli Nazioun Unidi.
30-00	ARTICOLO 30
30-01	Nisuna pèrta dla presènta Dichiarazioun la pò èsa interpretèda tu sèns da arughés, da pèrta d'un qualsiasi Stèd o grop o persouna, un dirét da esercitè un'atività o da mèta in at un'azioun c'la épa u scop da prevariché di dirét o dli libertà proclamid tla Dichiarazioun stèsa.
