00-00	AMANSAN MPAEMUKA A ƐFA ONIPA BIARA KYƐFA HO
22-01	Onipa biara, sɛ ɔyɛ fekuw muni yi, wɔ ne kyɛfa wɔ akyigyina a ɔman no anaa ɔman no ne aman afoforo abom apere anya no ho sɛnea ɔman no nhyehyɛe ne sikasɛm te. Onipa biara wɔ sikasɛm, ɔmanbayɛ ne amammerɛ ho kyɛfa a ɛho hia ma ne nidi ne ne nipasu.
23-00	Ahyɛde 23
23-00	Obiara wɔ adwumayɛ ho kyɛfa, ɔde ne ho sɛ ɔpaw adwuma a ɔpɛ sɛ ɔyɛ, ɔwɔ adwumayɛ mu nhyehyɛe pa ne emu banbɔ no ho kyɛfa.
23-01	Obiara wɔ adwumayɛ ne ɛso akatua a wɔde ma no ho kyɛfa a nyiyim biara nni mu.
23-02	Obiara a ɔyɛ adwuma no wɔ ne kyɛfa a ɛsɛ sɛ onya wɔ akatua a ɛfata a ɛbɛma ɔne n'abusuafo anya atenaye a ɛfata onipa nidi ho. Sɛ ehia nso a, ɛsɛ wɔde fekuwbɔ mu akyigyina ka ho.
23-03	Ɛyɛ obiara kyɛfa sɛ ɔhyɛ adwumayɛfo fekuw ase anasɛ nso ɔdɔm bi, na ɔnam so bɔ ne yiyedi ho ban.
24-00	Ahyɛde 24
24-01	Obiara wɔ ɔhome ne bɔnnɔdi bere ho kyɛfa. Nnɔnhwerew a wɔahyehyɛ sɛ wɔde yɛ adwuma a ɛmmoro so ne adwuma mu akwamma bere a wotua odwumayeni no ka nso ka ho.
25-00	Ahyɛde 25
25-00	Obiara wɔ ne kyɛfa anaa hokwan sɛ ɔne n'abusuafo nya asetena yi mu yiyedi a ɛma ɔne n'abusuafo nya ahoɔden ne asetena pa. Aduan, adurade, afi, ayaresa ne fekuw mu ɔsom adwuma nso ka ho. Saa ara nso na ɛyɛ obiara kyɛfa sɛ onya akyigyina a wɔde ma obi a onni adwuma bi yɛ anaa ɔyare anaa odi kuna anaa wabɔ akora anaa aberewa anaa asetena mu ahyiakwa mma n'ani nwie gye wɔ asetena mu ho.
25-01	Ɛsɛ sɛ wɔde ɔhwɛ pa hwɛ ɔbaatan ne ɔba biara. Ɛmfa ho hwee sɛ mmofra bi yɛ awarefo mma anaa mpenafo mma. Ɛsɛ sɛ wɔn nyinaa nya wɔn kyɛfa wɔ asetena mu banbɔ ho.
26-00	Ahyɛde 26
26-00	Obiara wɔ ho kwan sɛ osua ade. Anyɛ yiye koraa no, ɛsɛ sɛ obiara nya sukuukɔ anaa adesua kwa wɔ ne mmofraase wɔ nneɛma nketenkete bi ho. Ɛsɛ sɛ wɔde ɔhyɛ to ho ma obiara nya mmofraase adesua. Mfiridwuma ho adesua ne dwumadi ahorow no sua anaa sukuupɔn mu adesua ho de, obiara benya ne kyɛfa sɛnea n'adwene ne ne mmɔdenbɔ kyerɛ.
26-01	Ɛsɛ sɛ adesua nyinaa botae yɛ nea ɛhwehwɛ nkɔso ma onipadua ne obu mu denhyɛ ma adesamma kyɛfa a ɛfa nnipa ahofadi horow no ho. Eyi bɛma ntease, denyɛ ne ayɔnkofa aba aman, mmusua anaa asɔre horow nyinaa ntam. Ɛbɛhyɛ Amanaman Nkabom no den ama asomdwoe aba wiase.
26-02	Awofo wɔ kyɛfa anaa hokwan a ɛso sɛ wɔbɛpaw nhomasua ko a wɔpɛ ama wɔn mma.
27-00	Ahyɛde 27
27-00	Obiara wɔ ne kyɛfa anaa hokwan sɛ ɔde ne ho fra kwasafo amammerɛ mu. Ɔwɔ ne kyɛfa anaa hokwan wɔ mfaso a efi nyansasua ne abɔdemuhwehwɛ mu ba no mu.
27-01	Obiara wɔ nnepa a efi abɔdemuhwehwɛ, nhomasua anaa nsaanodwuma adeyɛ bi a ɔde ne nsusuwii ama aba no mu kyɛfa.
28-00	Ahyɛde 28
28-01	Obiara wɔ ho kwan sɛ onya fekuw anaa amanaman nhyehyɛe a ekura kyɛfa ne ahofadi horow a wɔabobɔ din wɔ Mpaemuka yi mu no mu.
29-00	Ahyɛde 29
29-00	Obiara wɔ ne kwasafo asɛde a ɛno mu na sɛ ɔyɛ a, ɔnam so ma onyin a ne nipadua nyin no wie pɛyɛ.
29-01	Ansa na obiara benya ne kyɛfa ne ahofadi no, gye sɛ ɔno nso ayɛ nea mmara hwehwɛ wɔ ne ho sɛ ɔyɛ ma afoforo ma wɔn nso nya wɔn kyɛfa ne ahofadi. ɛsɛ sɛ onii no bɔ ɔbra pa, na ɔkyerɛ obu ma guasodeyɔ ne ɔdodow amammu mu yiyedi.
29-02	Ɛnsɛ sɛ saa kyɛfa anaa ho kwan ahorow yi yɛ nea ɛne Amanaman Nkabom no atitimpɔw ne gyinapɛn bɔ abira.
30-00	Ahyɛde 30
30-01	Ɛnse sɛ onipa biara kyerɛ nsɛm a ɛwɔ Mpaemuka yi mu no ase sɛ ɛyɛ ade bi a ɛma Ɔman, fekuw anaa onipa bi kyɛfa anaa tumi, nam so sɛe kyɛfa ne ahofadi horow a wɔabobɔ din wɔ nhoma yi mu no.
