00-00	Declaraziun universela dals drets umauns
14-01	Quist dret nu po be esser invocho in cas da persecuziun pervi da delicts na politics u pervi d’acziuns chi cuntrafan a las miras ed als princips da las Naziuns Unidas.
15-00	Art. 15:
15-00	Mincha umaun ho il dret d’üna naziunalited.
15-01	Üngün nu suos-cha gnir privo arbitrariamaing da sia naziunalited u dal dret da müder naziunalited.
16-00	Art. 16:
16-00	Hom e duonna cun eted adatteda haun il dret da marider e da funder üna famiglia, sainza restricziuns davart la razza, la naziunalited u la religiun. Els haun ils medems drets areguard il matrimoni, düraunt il matrimoni ed in cas da sia dissoluziun.
16-01	A’s po be conclüder il matrimoni cul consentimaint liber e cumplain dals conjughels futurs.
16-02	La famiglia es ün elemaint natürel e fundamentel da la societed e stu gnir protetta da la societed e dal stedi.
17-00	Art. 17:
17-00	Mincha persuna ho il dret d’avair üna proprieted egna u cumünaivla cun oters.
17-01	Üngün nu suos-cha gnir privo arbitrariamaing da sia proprieted.
18-00	Art. 18:
18-01	Mincha persuna ho il dret da la liberted da penser, da conscienza e da religiun, quist dret cumpiglia la liberted da müder religiun u persvasiun scu eir da manifester l’egna religiun u l’egna persvasiun sulet u in cumünaunza, publicamaing u privat, ill’instrucziun, illa pratcha, i’l cult ed ill’execuziun da ritus.
19-00	Art. 19:
19-01	Mincha persuna ho il dret da la liberted d’opiniun e d’expressiun, que chi cumpiglia il dret da na gnir molesto pervi da l’egna opiniun scu eir il dret da tschercher, artschaiver, deraser, sainza resguarder cunfins, las infurmaziuns e las ideas cun tuot ils mezs d’expressiun.
20-00	Art. 20:
20-00	Mincha persuna ho il dret da la liberted da reuniun e d’associaziun paschaivla.
20-01	Üngün nu suos-cha gnir oblio da fer part d’ün’associaziun.
21-00	Art. 21:
21-00	Mincha persuna ho il dret da’s parteciper al guvern da l’egen pajais, directamaing u cun l’intermediaziun da rapreschantants tschernieus libramaing.
21-01	Mincha persuna ho suot cundiziuns eguelas il dret d’access a las funcziuns publicas da sieu egen pajais.
21-02	La volunted dal pövel es il fundamaint da l’autorited da las pussaunzas publicas; quista volunted dess s’exprimer in tschernas periodicas ed onestas cun dret da tscherna generel ed eguel in votaziun secreta u tenor üna procedura equivalenta chi garantescha la liberted da vuscher.
22-00	Art. 22:
22-01	Mincha persuna ho scu commember da la societed il dret da sgürezza sociela; ella po pretender d’obtgnair ils drets economics, sociels e culturels indispensabels per sia dignited e pel svilup liber da sia persunalited, que tres sforzs interns dal stedi ed illa cooperaziun internaziunela, resguardand l’organisaziun e las resursas da mincha pajais.
23-00	Art. 23:
23-00	Mincha persuna ho il dret da lavur, da tscherna libra da sia lavur, da cundiziuns da lavur güstas e cunvgnaintas e da la protecziun cunter la dischoccupaziun.
23-01	Tuots haun il dret, sainza discriminaziun, d’ün salari eguel per lavur eguela.
23-02	Chi chi lavura ho il dret d’üna remuneraziun güsta e commensureda chi sgürescha ad el ed a sia famiglia ün’existenza confuorma a la dignited umauna e chi vain cumpletteda, scha que fo dabsögn, cun oters mezs da protecziun sociela.
23-03	Mincha persuna ho il dret da funder insembel cun oters sindicats e da s’affilier a sindicats per defender sieus interess.
24-00	Art. 24:
24-01	Mincha persuna ho il dret da pos, specielmaing d’üna limitaziun radschunaivla dal temp da lavur, e da vacanzas periodicas pajedas.
25-00	Art. 25:
25-00	Mincha umaun ho il dret d’ün standard da viver sufficiaint per sgürer la sandet e’l bainesser d’el svess e da sia famiglia. Que concerna particulermaing l’alimentaziun, ils vstieus, la chüra medicinela scu eir ils servezzans sociels necessaris. El ho il dret da sgürezza in cas da dischoccupaziun, da malatia, d’invalidited, in cas cha’s dvainta vaidg u vaidgua, in cas da vegldüna u i’ls oters cas da perdita da mezs da subsistenza tres circunstanzas independentas da sia volunted.
25-01	Mamma ed iffaunt haun il dret d’agüd e d’assistenza speciela. Tuot ils iffaunts, ch’els sajan naschieus i’l matrimoni u dadour il matrimoni, giodan la medemma protecziun sociela.
26-00	Art. 26:
26-00	Mincha persuna ho il dret d’instrucziun. L’instrucziun stu esser gratuita, almain que chi concerna l’instrucziun elementera e fundamentela. L’instrucziun fundamentela es obligatorica. L’instrucziun tecnica e professiunela stu esser accessibla a tuots; l’access als stüdis superiuors stu esser liber a tuots in egualited cumplaina tenor lur merits.
26-01	L’instrucziun dess avair in mira il svilup cumplain da la persunalited umauna e rinfurzer il respet dals drets umauns e da las liberteds fundamentelas. Ella dess promouver l’incletta, la toleranza e l’amicizcha traunter tuot las naziuns e tuot las gruppas da razza u da religiun scu eir sustgnair las activiteds da las Naziuns Unidas pel mantegnimaint da la pêsch.
26-02	Ils genituors haun da priorited il dret da tscherner il gener da l’instrucziun per lur iffaunts.
27-00	Art. 27:
27-00	Mincha umaun ho il dret da piglier part libramaing a la vita culturela da la cumünaunza, da giodair las arts e da’s parteciper al progress scientific ed als benefizis chi resultan da quist.
27-01	Mincha umaun ho il dret da protecziun dals interess morels e materiels derivants da tuot la producziun scientifica, litterara u artistica, da la quela el es l’autur.
28-00	Art. 28:
28-01	Mincha persuna ho il dret cha sül champ sociel e sül champ internaziunel regia ün uorden, i’l quêl ils drets e las liberteds manzunos illa preschainta Declaraziun possan ragiundscher ün effet cumplain.
29-00	Art. 29:
29-00	Mincha umaun ho dovairs invers la cumünaunza, illa quela suletta es pussibel il svilup liber e cumplain da sia persunalited.
29-01	Illa realisaziun dals drets e da las liberteds es suottamiss mincha umaun be als limits stabilieus tres la ledscha per sgürer l’arcugnuschentscha e’l respet dals drets e da las liberteds dals oters e per satisfer a las exigenzas da la morela, da l’uorden public e dal bainesser generel in üna societed democratica.
29-02	Quists drets e quistas liberteds nu suos-chan in üngün cas gnir realisos cunter las miras e cunter ils princips da las Naziuns Unidas.
30-00	Art. 30:
30-01	Üngüna disposiziun da la preschainta Declaraziun nu suos-cha gnir interpreteda uschè cha ün stedi, üna gruppa u üna persuna hegia il dret da svilupper ün’activited u d’accumplir ün act chi ho in mira la destrucziun dals drets e da las liberteds manzunos in quista Decleraziun.
