00-00	ENTUURA Y'OBUNTU AHA BANTU OMUNSI YOONA
17-01	Tihariho muntu nowe oriihweho ebintu bye omu muringo gutari gwebiragiro.
18-00	EKicweka 18.
18-01	Buri muntu aine obugabe okwahura ekirungi aha kibi, nokurond ediini eyi arashome kandi aine obugabe we wenka narishi nabataahibe okuteeka omu nkora ebi arikwiikirizamu.
19-00	Ekicweka 19.
19-01	Buri muntu aine obugabe kugira enteekateka ye kandi nokugamba narishi okuhandiika nkoku arikuteekateeka. Kandi buri muntu aine obugabe okurabya ebyarikutekyereza aha Radio, Television, empapura z'amahurire, nemihanda endiijo.
20-00	Ekicweka 20.
20-00	Buri muntu naabasa kweshoroza omunkungaana zobusingye nabantu abandi.
20-01	Tihariho muntu nomwe orikukakwa kugyenda omu nkungaana nabandi.
21-00	Ekicweka 21.
21-00	Buri muntu aine obugabe butegyeki bwo muihangarye.
21-01	Buri muntu aine obugabe bwokuza omu bitongore bya Gavumenti kuhwera ensi yarimu.
21-02	Abantu niboraasharemu Gavumenti eyibarikwenda. Eki nikibaasika abantu baaba nibaikirizibwa kuteea obururu.
22-00	Ekicweka 22.
22-01	Buri munyansi aine obushoborozi kutuura n'abantu bataahi be omu nisingye , eki kimbaasise kutereeza engyesho ze, nokuhika aha byaarikurubirira ebye kitiinisa nkomuntu arikuraba omu kukora kweihanga rye okurugiirira ahanteekateeka nenkozesa yobugaiga obweihanga omu byentasya, ebyemiturire ya bantu, nobuhangwa bwaabo, ebitarikubasa kunagiijurwa omu kukurakurana oku.
23-00	Ekicweka 23.
23-00	Buri muntu aine obugabe n'obushoborozi kukora naatekwa kwerondera ekika kyemirimo eyi arikubaasa omu mbeera nungi nokuyambibwa omurimo kuri nigumuhwaho.
23-01	Buri mukozi naateekwa kuhebwa empeera erikwiingana nomurimo gwe, erikumubaasisa kweeyemerezaho kurungi we namaka ge.
23-02	Kyaaba nikyetengyesa empeera yomuntu neebasa kwongyezibwaho, kuri naagubwaho obuzibu obu atetekateekire.
23-03	Buri muntu hatariho kushoroora, aine obugabe kushahurwa okurugiirira aha mirimo eyi arikukora.
24-00	Ekicweka 24.
24-01	Buri muntu, naatekwa kuhumuraho ashemereire akore eshaaha ezigyerekirwe buri Izooba kandi atuungye bobwire obu yaahumuzibwaho buri mwaka kwonka obwo empeera yebiro ebiahumwireho arikugituunga.
25-00	Ekicweka 25.
25-00	Buri muntu nayetaaga omutindo gwa magara ge, ogurkumubasisa kubaho kurungi aine amagara marungi namaka ge, arikutuunga ebyekurya ebijwaro, oburaaro, hamwe n'okujanjabibwa, kandi arikubaasa kweeyambisa ebi Gavumenti y'eihanga rye erokukorera abantu baayo kwimutsya omutindo gwamagara gaabo (Social Services). Buri muntu ashemereire kuyambwa arekye kweerarikirira omurimo gwamuhwaho, narishi yaaremwa kweeyamba nainga omushaija yaferwa omukazi we, oba omufakazi, oba omnuntu yaahika omu muringo gwobuteeyamba kutunga sente eki kyaamubaho atakyetekatekire we wenka.
25-01	Abakyara abazaire hamwe nabaana nibateekwa kureebererwa n'okuyambibwa omu muringo guhikire. Abaana boona oba abazaire baabo bagaitswire omubiragiro oba tibagaitsirwe mu biragiro nibateekwa kureebererwa omu muringo gumwe nka'bantu.
26-00	Ekicweka 26.
26-00	Buri muntu naatekwa kutuunga obwegyese. Okweegyesibwa nikwija kubokwabusha omumyaka erikubanza n'omu mashomero agokubandizamu. Emishomo eyokubanza neija kugyemebwa Amashomero, agakwegyesa ebyemikono nemirimo yekikungu nigaija kuteekwaho. Kandi buri muntu orikubaasa naija kuheebwa omugisha kushomera omu mashomero ago.
26-01	Ebyobwegyese, nibyaija kugyenderera okugunjura abantu omu byamagyezi, nengyesho, birikuteeka amani ahakutamu akitiinisa aha bugabe bwomuntu. Ebyobwegyese, nibyaija kwimusya omutindo gwokwetegyerezangana kwabantu abensi nendimi ezomutaano, kandi bikorere hamwe nekibiina ky'Amahanga Ageeteraine omu kureetaho obusingye omunsi. Abazaire nibaikirizibwa kusharamu obwegyese baaho baratungye.
26-02	[Missing?]
27-00	Ekicweka 27.
27-00	Buri muntu aine orusa kweetaba omubyobuhangwa bwensi, kandi n'okushemererwa ebikukiorwa abanyamagyezi nokubagana aha miganyuro berikuruga omu kukurakurana kwebya sayansi.
27-01	[Missing?]
28-00	Ekicweka 28.
28-01	Buri muntu oba natura omwihanga rye oba natura omu eihanga erindi ashemereire kuba natunga obugabe bwe nkoku ekihandiiko eki kirikugamba.
29-00	Ekicweka 29.
29-00	Buri muntu aine obujunaanizibwa ahabantu bensi ye ahabwokuba nibo boonka abarikumubasisa kukurakurana omu ngyesho, nomumiringo endiijo.
29-01	Omuntu yaaba narwanirira obugabe bwe nkomuntu ekirikumuzibira kyonka n'ebiragiro ebiteirweho okunyweza okutongoza hamwe nokukuuma engyesho nungi omubiringaniza.
29-02	Obugabe bwomuntu tibushemereire kukozesibwa omu muringo gwoona ogutarikwikirizangana nebigyendererwa by'Amahanga Ageeteraine.
30-00	Ekicweka 30.
30-01	Tihariho nshonga yoona erikutuma omuntu kuhindura ebihandikirwe omu kitabo eki, obwo orikugyenderera kushisha obugabe nobushoborozi bw'omuntu.
