00-00	[missing]
11-01	Сокуон wайи ньалльэ wиэл дитэльуо эл ичуомэрукундаҕа эйуулҕанэ, тэтханэ кинуолльэлк суутҥинь эл тадийуол-мораwньэ. Тэт ньалльэ wиэйуол йэдэйдаҕанэҥ, таҥ ньаллэҕа эйууйуол-мораw миэрэҕат пурэнбандьэ миэрэҕэ эл эйууйуол-мораwньэйэк.
12-00	Куниль кии-бурисчэ истачийаа
12-01	Кѳдэ кэдэл-нимэдаҕанэ кинуолльэлк эл антасуол-мораwньэ, көдэ кэдэл-эдьилдаҕа кинуолльэлк эл сэwнуйуол-мораwньэ, көдэ чиэстэҕанэ тадаатэ репутациядаҕанэ кинуолльэлк эл лөтильэсуол-мораwньэ.
13-00	Куниль йалмисчэ истачийаа
13-00	Тудэ лэwэйнбурэбэҕа көдэҥ хадаадэҥ эwриэнуйуол-мораwньэй, хадаадэҥ эннуйуол-мораwньэй.
13-01	Тудэ лэwэйнбурэбэҕат wиэдэ кэwэйл-буньдэ көдэҥ мэ кэwэйтэй, тудэ лэwэйнбурэбиэнь пэнгэйл-буньдэ мэ пэнгэйтэй.
14-00	Куниль йэлэклэсчэ истачийаа
14-00	Чиин таҥудулҕа эйуурэ, көдэҥ wиэн лэwэйнбурэбэҕа эннуйуол-мораw йаwулэ wаҥчийуол-мораw параwааньэй.
14-01	Туҥ параwаа маархуонь ООН цельпэдаҕа тадаатэ принциппэдаҕа элкодиньбандьэрукунэ wиэльэлдьэ чииҥинь эл панаат.
15-00	Куниль имдалдисчэ истачийаа
15-00	Көдэ йаwнар мэ хади суктуул (государство) гражданинги нолуол-мораw параwааньэй.
15-01	Кинҕатэҥ гражданствэдаҕанэ wэрwэлэк эл тинҕарэйнунҥу уури эл wиэдэгурчиисиэнунҥу.
16-00	Куниль маалийисчэ истачийаа
16-00	Кэйпэпул тадаатэ пайпэпул-титтэ ньаачэн сурэҕат, омоҕат уури эрэльиигийэҕат эл моойуочуон-ньаҕагурчиирэҥ, маархан нимэндьии ҥолаайуол-мораw параwааньэҥи.
16-01	Ньаҕагурчиил-буньил маалаҕарут льэдаҕа маархуонь, кэйпэ пайпэньэҥ ньимэннунҥа.
16-02	Маархан нимэндьии ҥолаайэрукунпэлэ суктуул мэр оҕониийуол-мораwньэй.
17-00	Куниль пускийисчэ истачийаа
17-00	Көдэ йаwнар эwйэ тудэ кэдэлльэ ҥодьэ тэтчиэньэйуол нэмэнэйуол-мораw параwааньэй.
17-01	Кодэҕа кэдэлльэ ҥодьэрукунэ кинуолльэлк wэрwэлэк эл тинҕарээйуол мораwньэ.
18-00	Куниль маалайлэкэсчэ истачийаа
18-01	Көдэ йаwнар эwйэ тудэ кэдэл-чуҥдэньи, суобасньэй тадаатэ эрэльиигийэньэй. Көдэ тудэ эрэльиигийэҕанэ тадаатэ wарул чуҥдэҕанэ (убеждение) wиэлльэ ҥолаасулги, таҥун суодэдэ таҥньэпулҕанэ wиэн чии чуҥдэҕа сэwрэл-буньилги эл маалуйуол-мораwньэ.
19-00	Куниль wальҕарумкуруосчэ истачийаа
19-01	Көдэ wарул чуҥдэги (убеждение) нэмэлэдэҥ эл лалwиийуол-мораwньэ, көдэ таҥунҕанэ хобо кисэйуол-мораw параwааньэй. Кинҕатэҥ эл иҥиэчуон информацияпэлэ тадаатэ идеяпэлэ wаҥчирэҥ нуурэлэк, таҥунпэҕанэ суктуул границапэдаҕат эл игууйичуон чииҥинь мөрдьиийуол-мораwги эл маалуу.
20-00	Кингунильисчэ истачийаа
20-00	Көдэ йаwнар эл лайнулньэй солҕадьилпэлэ wиэйуол уури таатбандьэ солҕадьилпэҕа эwрэйуол-мораw параwааньэй.
20-01	Мэ хади гурууппэҕа уури организацияҕа кодэлэ wэрwэлэк эл сэwриэнунҥу.
21-00	Кингуниль маарха-бурисчэ истачийаа
21-00	Көдэ йаwнар тудэ мэдьуолуол лэwэйнбурэбэ эдьилдаҕанэ-йаwулдаҕанэ wаҕарэчилҕа "тудэ чалдьэҕанэ мэ паруол-мораwньэй".
21-01	Көдэҕа йаwнайдаҕа тудэ мэдьуолуол лэwэйнбурэбэ суктуулгин сулууспэдаҕа чаҕадьэйуол-мораw параwааги wиэн чиинльэҕат эл охойчэнь.
21-02	Йаwнай омо чуҥдэги параwиэчэл дьии (правительство) чаҕадьэлпэгин пара ҥолуол-мораwньэй. Лэмльэпулги нэмэлэдэҥ эл хорпиилньэй выборпэҕа элхобо бандьэ куоластаал чамбэлэк нууйуолнунҥи.
22-00	Кингуниль кии-бурисчэ истачийаа
22-01	Көдэ йаwнар социальнэй чамбалэ мэдьуол-мораw параwааньэй. Тадаатэ личность дитэ wарумулҥинь, көдэ йаwнар экономическэй, социальнэй тадаатэ культурнэй уобаласпэҕэ толиэйуол-мораwньэй.
23-00	Кингуниль кии-бурисчэ истачийаа
23-00	Көдэ йаwнар тудэ чаҕадьэл-буньил чаҕадьэлҕа чаҕадьэйуол-мораw параwааньэй. Таҥ чаҕадьэлги амучэ усулуобуйаҕа ууйуол-мораwньэй тадаатэ кодэҕа эл чаҕадьэчуон поньаатэйэҥ монул чуҥдэ анмолҕинь эwльэйуол-мораwньэй.
23-01	Көдэ йаwнар тудэ чаҕадьэрэн wиэйуолньэҥ көдиньбандьэ поҕодэлэ-нэмэлэ мэдьуол-мораw параwааньэй.
23-02	Көдэ тудэ wиэйуол wальэдаҕат эл охойчэндьэрукунэҥ мэдьуол-мораwньэй. Таҥньэги тудэ кэдэл тадаатэ нимэндьиигин наадиимэрукунпэдаҕа мэ пэлуол-мораwньэй.
23-03	Көдэ йаwнар тудэ интэриэспэ чоҥнулҥинь профсоюзлэ wиэрэҥ, тадаа чилиэн ҥолуол-мораw параwааньэй.
24-00	Кингуниль йэлэклэсчэ истачийаа
24-01	Көдэ йаwнар уттэгэwрэн-чайлэньи тадаатэ элчаҕадьэлньэй элэмwиэйэ пэриэмэньи. Тадаатэ льиэ чаҕадьаанубэ чайлэгин чичиркэги мэ моннэруол-мораwньэй, тан уоппускаги мэ wальэньэй.
25-00	Кингуниль имдалдьисчэ истачийаа
25-00	Көдэ йаwнар тудэ кэдэлҕанэ тадаатэ тудэ нимэндьииҕанэ амутнэҥ эндиийуол-мораwлэк, көдиньбандьэ тэтчиэньэйуол-мораwньэй.
25-01	Уоньийиэ ҥолнурэҥ тадаатэ иҥийидуо ҥолнурэҥ осуобэй чамбэлэ мэннунҥумлэ. Уоҥодьэрукунпэ йаwнар ньидитэ бандьэ социальнэй чоҥнулҕа льиэнунҥи.
26-00	Кингуниль маалийисчэ истачийаа
26-00	Көдэ йаwнар нимэлэҕа ураайуол-мораwньэй. Начальнэй тадаатэ уопсай искуолаҕа ураал эл wальэньэ. Начальнэй искуолаҕа көдэ йаwнар ураайуол-мораwньэй, тан техническэй тадаатэ профессиональнай ураанубэпэ ураалҕа эл энгэнэҥ икльайуол-мораwньэҥи.
26-01	Ураал-кодэ личность дитэ wарумулдаҕа чамбиинунум. Тадаатэ-омопэ ньичуҥдэҕан эннулпэдаҕа, ньиwальбийил ҥолаалҥудаҕа чамбиинунум.
26-02	Чиипэги титтэ уорпэҕанэ хади ураанубэҕа сэwрэйуол-мораwлэ титтэйлэк курильиинунҥа.
27-00	Кингуниль пускийисчэ истачийаа
27-00	Көдэ йаwнар искусство wиэйуолдаҕанэ амутнэҥ йуонурэҥ-мөрнурэҥ, научнай прогресс йэдэйлдаҕа "чалдьэлэ парнурэҥ", тадаатэ таҥньэҥ йаwнай амудьэдаҕанэ тудэ эдьилҕа мөрнурэҥ, эннуйуол-мораw параwааньэй.
27-01	Научнэй, литературнэй тадаатэ художественнэй чаҕадьэлпэҕа автор ҥодьэ көдэ, таҥ тудэ wиэйуолҕа көдиньбандьэ поҕодэлэ-нэмэлэ мэдьуол-мораw параwааньэй.
28-00	Кингуниль маалайлэклэсчэ истачийаа
28-01	Көдэ йаwнар тудэ параwаапэҕанэ чоҥнутэй-оҕониитэй социальнэй тадаатэ международнэй пэрээдэкньэй эдьилҕа эннуйуол-мораw параwааньэй.
29-00	Кингуниль wальҕарумкуруосчэ истачийаа
29-00	Көдэ йаwнар тудэ общество киэйиэ мэ нэмэн мэр эбээҕинэсньэй.
29-01	Мэ хади көдэ уури чиипэ параwаапэдаҕанэ охойчэс нундьэ параwаа кинҕанэҥ эwльэ.
29-02	Көдэ wаҥчиримэ параwаапэги ООН цельпэдаҕат тадаатэ принциппэдаҕат сайдэҥ эл пануол-мораwньэ.
30-00	[missing]
30-01	[missing]
