00-00	ИНСАН ҲУҚЫҚЛАРЫ ДҮНЬЯ ЖҮЗЛИК ДЕКЛАРАЦИЯСЫ
02-01	Ҳәр бир инсан расасы, денесиниң реңи, жынысы, тили, дини, сиясий ҳәм басқа исенимлеринен, миллий яки социаллық келип шығыўы, мал-мүлки, қатламы яки басқа ҳалатына қарамастан усы Декларацияда жәрияланған барлық ҳуқық ҳәм еркинликке ийе болыўы тийис.
02-02	Буннан тысқары, инсан тийисли болған мәмлекет ямаса аймақтың сиясий, ҳуқықый яки халықаралық статусынан, усы аймақ ғәрезсиз бе, қәўендерли ме, өзинөзи басқара ма ямаса басқаша тәризде шеклениўшиликке қарамастан, қандай да бир айырмашылық болмаўы керек.
03-00	3-статья
03-01	Ҳәр бир инсан жасаў, еркин болыў ҳәм жеке қол қатылмаслық ҳуқықларына ийе.
04-00	4-статья
04-01	Ҳеш ким қуллықта ямаса ерксиз ҳалатта сақланыўы мүмкин емес; қуллық ҳәм қул саўдасының барлық түрлери қадаған етиледи.
05-00	5-статья
05-01	Ҳеш ким қыйнаўға ямаса аяўсыз, адамгершиликсиз және қәдир-қымбатты аяқасты қылыўшы қатнасыққа ҳәм жазаға дуўшар етилмеўи керек.
06-00	6-статья
06-01	Ҳәр бир инсан қай жерде болыўына қарамастан, өзиниң ҳуқықый субъект сыпатында тән алыныў ҳуқықына ийе.
07-00	7-статья
07-01	Барлық адамлар нызам алдында тең ҳәм ҳеш қандай айырмашылықсыз нызам менен теңдей қорғаныў ҳуқықына ийе. Барлық адамлар усы Декларацияға қайшы болған ҳәр қандай кемситиўден ҳәм сондай кемситиўге ҳәрекет ететуғын ҳәр қандай гиж-гижлеўден тең қорғаныў ҳуқықына ийе.
08-00	8-статья
08-01	Ҳәр бир инсан оған конституция ямаса нызам арқалы берилген тийкарғы ҳуқықлары бузылған ҳалларда ўәкилликли миллий судлар тәрепинен бул ҳуқықлардың нәтийжели тиклениў ҳуқықына ийе.
09-00	9-статья
09-01	Ҳеш ким тийкарсыз қамаққа алыныўы, усланыўы ямаса қуўғын етилиўи мүмкин емес.
10-00	10-статья
10-01	Ҳәр бир инсан өзиниң ҳуқық ҳәм миннетлерин белгилеў ҳәм оған қойылған жынайый айыбының қаншелли дәрежеде тийкарлы екенлигин анықлаўы ушын толық теңлик тийкарында оның иси әшкаралық ҳәм әдалатлық талапларына әмел қылған ҳалда ғәрезсиз ҳәм қалыс суд тәрепинен көрип шығылыў ҳуқықына ийе.
11-00	11-статья
11-01	Жынаят ислегени ушын айыпланған ҳәр бир инсан қорғаныў ушын барлық мүмкиншиликлер тәмийинленген ҳалда, ашық суд мәжилиси жолы менен айыбы нызамлы тәртипте анықланбағанша айыпсыз деп есапланыў ҳуқықына ийе.
11-02	Ҳеш ким, исленген ўақытта миллий нызамлар яки халықаралық ҳуқықларға көре жынаят деп табылмаған ис-ҳәрекети ямаса ҳәрекетсизлиги ушын жазаға ҳүким етилиўи мүмкин емес. Сондай-ақ жынаят жүз берген ўақытта қолланылыўы мүмкин болған жазадан аўырырақ жаза берилиўи мүмкин емес.
12-00	12-статья
12-01	Ҳеш кимниң жеке ҳәм шаңарақ өмирине өзбасымшалық пенен араласыўына, үй-жайына қол қатылмаслығы, оның хат-хабарларының сырларына ямаса оның арнамыс ҳәм абройына өзбасымшалық пенен ҳүжим қылыныўы мүмкин емес. Ҳәр бир инсан сондай араласыў ямаса ҳүжим қылыўлардан нызам арқалы қорғаныў ҳуқықына ийе.
13-00	13-статья
13-01	Ҳәр бир инсан ҳәр бир мәмлекет ишинде еркин жүриў ҳәм жасаў орнын таңлаў ҳуқықына ийе.
13-02	Ҳәр бир инсан ҳәр қандай мәмлекеттен, соның ишинде, өз мәмлекетинен шығып кетиў ҳәм өз мәмлекетине қайтып келиў ҳуқықына ийе.
14-00	14-статья
14-01	Ҳәр бир инсан қуўдаланып басқа мәмлекетлерден баспана излеў ҳәм сол баспанадан пайдаланыў ҳуқықына ийе.
14-02	Бул ҳуқықтан сиясий болмаған жынаятты ислеў ушын ямаса Бирлескен Миллетлер Шөлкеминиң мақсет ҳәм принциплерине қарсы ис-ҳәрекет себепли қуўдаланған ўақытта пайдаланыў мүмкин емес.
15-00	15-статья
15-01	Ҳәр бир инсан пуқара болыў ҳуқықына ийе.
15-02	Ҳеш ким өзбасымшалық пенен өз пуқаралығынан ямаса өз пуқаралығын өзгертиў ҳуқықынан айырылыўы мүмкин емес.
16-00	16-статья
16-01	Ержеткен ер ҳәм ҳаяллар расасы, миллети ямаса динге қатнасы бойынша ҳеш қандай шеклеўлерсиз некеден өтиўге ҳәм шаңарақ қурыў ҳуқықына ийе. Олар некеден өтиўде, некеде турған ўақтында ҳәм оны бийкар етиў ўақтында да бирдей ҳуқықтан пайдаланады.
16-02	Неке тек ғана некеден өтип атырған ҳәр еки тәрептиң еркин ҳәм толық разылығы тийкарында дүзилиўи мүмкин.
16-03	Шаңарақ жәмийеттиң тәбийий ҳәм тийкарғы бөлеги болып есапланады сондай-ақ, шаңарақ жәмийет ҳәм мәмлекет тәрепинен қорғалыў ҳуқықына ийе.
17-00	17-статья
17-01	Ҳәр бир инсан жеке ҳалда, сондай-ақ басқалар менен биргеликте мүлкке ийелик етиў ҳуқықына ийе.
17-02	Ҳеш ким зорлық пенен өз мүлкинен айырылып қалыўы мүмкин емес.
18-00	18-статья
18-01	Ҳәр бир инсан пикирлеў, ҳүждан ҳәм дин еркинлиги ҳуқықына ийе; бул ҳуқық өз динин ямаса исенимин өзгертиў еркинлигин және тәлийматта, сыйыныў ҳәм диний үрп-әдет және де мәресимлерди ғалаба ямаса жеке тәртипте орынлаў, өз дини яки исенимине жеке өзи, сондай-ақ басқалар менен бирге әмел қылыў еркинлигин өз ишине алады.
19-00	19-статья
19-01	Ҳәр бир инсан исеним еркинлиги ҳәм оны еркин баян етиў ҳуқықына ийе; бул ҳуқық ҳеш бир тосықсыз өз исенимине әмел қылыў еркинлигин және хабар ҳәм идеяларды ҳәр қандай қурал менен, мәмлекет шегараларына қарамастан, излеў, алыў ҳәм тарқатыў еркинлигин өз ишине алады.
20-00	20-статья
20-01	Ҳәр бир инсан тыныш жыйынлар өткериў ҳәм бирлеспелер дүзиў ҳуқықына ийе.
20-02	Ҳеш ким қандай да бир бирлеспеге кириўге мәжбүр етилиўи мүмкин емес.
21-00	21-статья
21-01	Ҳәр бир инсан тиккелей ямаса еркин сайланған ўәкиллери арқалы өз мәмлекетин басқарыўға қатнасыў ҳуқықына ийе.
21-02	Ҳәр бир инсан өз елинде мәмлекетлик хызметке кириўде тең ҳуқыққа ийе.
21-03	Халық ерки ҳүкимет ҳәкимиятының тийкары болыўы тийис; бул ерк дәўирлик ямаса қәлпекилестирилмеген, улыўма тең сайлаў ҳуқықынан жасырын даўыс бериў жолы менен ямаса даўыс бериў еркинлигин тәмийинлейтуғын басқа тең баҳалы формадағы қуралларда өткерилетуғын сайлаўларда өз сәўлелениўин табыўы тийис.
22-00	22-статья
22-01	Ҳәр бир инсан жәмийет ағзасы сыпатында, миллий күш-ҳәрекетлер ҳәм халықаралық бирге ислесиў қураллары арқалы ҳәм ҳәр бир мәмлекеттиң дүзилиси, сондай-ақ ресурсларына муўапық, социаллық тәмийинлениўге ҳәм өзиниң қәдир- қымбатын сақлаў, шахстың еркин раўажланыўы ушын зәрүр болған экономикалық, социаллық ҳәм мәдений тараўдағы ҳуқықларын әмелге асырыў ҳуқықына ийе.
23-00	23-статья
23-01	Ҳәр бир инсан мийнет етиў, жумысты еркин таңлаў, әдалатлы ҳәм қолайлы жумыс шараятына ийе болыў ҳәм жумыссызлықтан қорғаныў ҳуқықына ийе.
23-02	Ҳәр бир инсан ҳеш қандай кемситиўсиз тең мийнет ушын тең ҳақы алыў ҳуқықына ийе.
23-03	Ҳәр бир исши өзи ҳәм шаңарағы ушын инсанға мүнәсип жасаўды тәмийинлейтуғын әдалатлы ҳәм қанаатландырарлы дәрамат алыўға, зәрүр болған социальлық тәмийинлеўдиң басқа жоллары менен толтырылыўшы дәрамат алыў ҳуқықына ийе.
23-04	Ҳәр бир инсан кәсиплик аўқамлар дүзиў ҳәм өз мәплерин қорғаў ушын кәсиплик аўқамларға кириў ҳуқықына ийе.
24-00	24-статья
24-01	Ҳәр бир инсан дем алыў ҳәм бос ўақытқа ийе болыў, соның менен бирге жумыс күнин ақылға муўапық шеклеў ҳуқықы ҳәм ҳақы төленетуғын мийнет дем алысын алыў ҳуқықына ийе.
25-00	25-статья
25-01	Ҳәр бир инсан өзиниң ҳәм шаңарағының саламатлығын, абаданлығын тәмийинлеў ушын зәрүр болған турмыс дәрежесине ийе болыў, сондай-ақ кийимкеншек, азық-аўқат, медициналық хызмет ҳәм зәрүр социаллық хызметке ийе болыўға ҳәм жумыссызлық, кеселлик, майыплық, жесирлик, ғаррылық ямаса оған байланыслы болмаған жағдайларда тиришилик ушын қәрежет болмай қалған басқа ҳалларда тәмийинлениў ҳуқықына ийе.
25-02	Аналық ҳәм балалық айрықша ғамхорлық ҳәм жәрдем ҳуқықын береди. Барлық балалар некеден ямаса некесиз туўылыўына қарамастан бирдей социаллық қорғаўдан пайдаланыўы тийис.
26-00	26-статья
26-01	Ҳәр бир инсан билим алыў ҳуқықына ийе. Билим алыўда ҳеш болмағанда баслаўыш ҳәм улыўма билим бийпул болыўы тийис. Баслаўыш тәлим мәжбүрий болыўы тийис. Техникалық ҳәм кәсиплик тәлим ҳәммениң қурбы жететуғын дәрежеде болыўы, жоқары билим болса, ҳәр кимниң қәбилетине тийкарланып ҳәмме ушын жетерли мүмкиншилик шеңберинде болыўы тийис.
26-02	Билим инсан шахсын толық жетилистириўге ҳәм инсан ҳуқықлары және тийкарғы еркинликлери ҳүрметин күшейттириўге қаратылған болыўы тийис. Билимлендириў барлық халықлар, расалық ҳәм диний топарлар ортасында бирбирин түсиниў, шыдамлылық ҳәм дослыққа хызмет етиўине және Бирлескен Миллетлер Шөлкеминиң тынышлықты сақлаў бойынша хызметине жәрдем бериўи керек.
26-03	Киши жастағы балалары ушын ата-аналар тәлим түрин таңлаўда айрықша ҳуқыққа ийе.
27-00	27-статья
27-01	Ҳәр бир инсан жәмийеттиң мәдений өмиринде еркин қатнасыўға, көркем өнерден заўық алыўға, илимий раўажланыўда қатнасыў хәм оның нәтийжелеринен пайдаланыў ҳуқықларына ийе.
27-02	Ҳәр бир инсан өзи авторлығындағы илимий, әдебий ямаса көркем мийнети нәтийжесиниң руўхый ҳәм материаллық қызығыўшылығы қорғалыўы ҳуқықына ийе.
28-00	28-статья
28-01	Ҳәр бир инсан усы Декларацияда баян етилген ҳуқық ҳәм еркинликлери толық әмелге асырылыўы мүмкин болған социаллық ҳәм халықаралық тәртип болыўы ҳуқықына ийе.
29-00	29-статья
29-01	Ҳәр бир инсан жәмийет алдында миннетли, тек ғана усы жағдайда ғана оның шахсы еркин ҳәм толық раўажланыўы мүмкин.
29-02	Ҳәр бир инсан өз ҳуқықы ҳәм еркинликлеринен пайдаланыўда өзгелердиң ҳуқық ҳәм еркинликлерин демократиялық жәмийетте жетерли дәрежеде болыўын ҳәм ҳүрмет етилиўин тәмийинлеў, әдеп-икрамлылық, жәмийет тәртиби, улыўма абаданшылықтың әдиллик талапларын қанаатландырыў мақсетинде ғана нызамда белгиленген шеклеўлерге әмел етиўи тийис.
29-03	Усы ҳуқық ҳәм еркинликлерди әмелге асырыў ҳеш қашан Бирлескен Миллетлер Шөлкеминиң мақсет ҳәм принциплерине қайшы келмеўи тийис.
30-00	30-статья
30-01	Ҳеш нәрсе қандай да бир мәмлекетке, шахслар топары ямаса айрықша шахсларға усы Декларацияда баян етилген ҳуқық ҳәм еркинликлерди жоқ етиўге бағдарланған ис-ҳәрекет пенен шуғылланыў ямаса ҳәрекет етиў ҳуқықы берилиўи мүмкин, - деп түсиндирилмеўи керек.
