00-00	VERDENSERKLÆRINGEN OM MENNESKERETTIGHEDERNE
13-00	Enhver har ret til at bevæge sig frit og til frit at vælge opholdssted indenfor hver stats grænser.
13-01	Enhver har ret til at forlade et hvilket som helst land, herunder sig eget, og til at vende tilbage til sit eget land.
14-00	Artikel 14.
14-00	Enhver har ret til i andre lande at søge og få tilstået asyl mod forfølgelse.
14-01	Denne ret må ikke påberåbes ved anklager, der virkelig hidrører fra ikke-politiske forbrydelser eller fra handlinger i strid med De forenede Nationers formål og principper.
15-00	Artikel 15.
15-00	Enhver har ret til en nationalitet.
15-01	Ingen må vilkårligt berøves sin nationalitet eller nægtes ret til at skifte nationalitet.
16-00	Artikel 16.
16-00	Uden begrænsninger af racemæssige, nationalitetsmæssige eller religiøse grunde har mænd og kvinder, der har nået myndighedsalderen, ret til at gifte sig og stifte familie. De har krav på lige rettigheder med hensyn til indgåelse af ægteskab, under ægteskabet og ved dettes opløsning.
16-01	Ægteskab skal kun kunne indgås med begge parters frie og fulde samtykke.
16-02	Familien er samfundets naturlige og fundamentale enhedsgruppe og har krav på samfundets og statens beskyttelse.
17-00	Artikel 17.
17-00	Enhver har ret til at eje ejendom såvel alene som i fællig med andre.
17-01	Ingen må vilkårligt berøves sin ejendom.
18-00	Artikel 18.
18-01	Enhver har ret til tanke-, samvittigheds- og religionsfrihed: denne ret omfatter frihed til at skifte religion eller tro og frihed til enten alene eller i fællesskab med andre, offentligt eller privat, at give udtryk for sin religion eller tro gennem undervisning, udøvelse, gudsdyrkelse og overholdelse af religiøse forskrifter.
19-00	Artikel 19.
19-01	Enhver har ret til menings- og ytringsfrihed; denne ret omfatter frihed til at hævde sin opfattelse uden indblanding og til at søge, modtage og meddele oplysning og tanker ved et hvilket som helst meddelelsesmiddel og uanset landegrænser.
20-00	Artikel 20.
20-00	Alle har ret til under fredelige former frit at forsamles og danne foreninger.
20-01	Ingen kan tvinges til at være medlem af en forening.
21-00	Artikel 21.
21-00	Enhver har ret til at deltage i sit lands styre enten direkte eller gennem frit valgte repræsentanter.
21-01	Enhver har ret til lige adgang til offentlige embeder og hverv i sit land.
21-02	Folkets vilje skal være grundlaget for regeringens myndighed; denne vilje skal tilkendegives gennem periodiske og virkelige valg med almindelig og lige valgret og skal udøves gennem hemmelig afstemning eller tilsvarende frie afstemningsmåder.
22-00	Artikel 22.
22-01	Enhver har som medlem af samfundet ret til social tryghed og har krav på, at de økonomiske, sociale og kulturelle rettigheder, der er uundværlige for hans værdighed og hans personligheds frie udvikling, gennemføres ved nationale foranstaltninger og internationalt samarbejde og i overensstemmelse med hver stats organisation og hjælpekilder.
23-00	Artikel 23.
23-00	Enhver har ret til arbejde, til frit valg af beskæftigelse, til retfærdige og gunstige arbejdsvilkår og til beskyttelse mod arbejdsløshed.
23-01	Enhver har uden forskel ret til lige løn for lige arbejde.
23-02	Enhver, der arbejder, har ret til et retfærdigt og gunstigt vederlag, der sikrer ham selv og hans familie en menneskeværdig tilværelse, og om fornødent tillige til andre sociale beskyttelsesforanstaltninger.
23-03	Enhver har ret til at danne og indtræde i fagforeninger til beskyttelse af sine interesser.
24-00	Artikel 24.
24-01	Enhver har ret til hvile og fritid, herunder en rimelig begrænsning af arbejdstiden, og til periodisk ferie med løn.
25-00	Artikel 25.
25-00	Enhver har ret til en sådan levefod, som er tilstrækkelig til hans og hans families sundhed og velvære, herunder til føde, klæder, bolig og lægehjælp og de nødvendige sociale goder og ret til tryghed i tilfælde af arbejdsløshed, sygdom, uarbejdsdygtighed, enkestand, alderdom eller andet tab af fortjenstmulighed under omstændigheder, der ikke er selvforskyldt.
25-01	Mødre og børn har krav på særlig omsorg og hjælp. Alle børn skal, hvadenten de er født i eller udenfor ægteskab, have den samme sociale beskyttelse.
26-00	Artikel 26.
26-00	Enhver har ret til undervisning. Undervisningen skal være gratis, i det mindste på de elementære og grundlæggende trin. Elementær undervisning skal være obligatorisk. Teknisk og faglig uddannelse skal gøres almindelig tilgængelig for alle, og på grundlag af evner skal der være lige adgang for alle til højere undervisning.
26-01	Undervisningen skal tage sigte på den menneskelige personligheds fulde udvikling og på at styrke respekten for menneskerettigheder og grundlæggende friheder. Den skal fremme forståelse, tolerance og venskab mellem alle nationer og racemæssige og religiøse grupper, og den skal fremme De forenede Nationers arbejde til fredens bevarelse.
26-02	Forældre har førsteret til at vælge den form for undervisning, som deres børn skal have.
27-00	Artikel 27.
27-00	Enhver har ret til frit at deltage i samfundets kulturelle liv, til kunstnydelse og til at blive delagtiggjort i videnskabens fremskridt og dens goder.
27-01	Enhver har ret til beskyttelse af de moralske og materielle interesser, der hidrører fra en hvilken som helst videnskabelig, litterær eller kunstnerisk frembringelse, som vedkommende har skabt.
28-00	Artikel 28.
28-01	Enhver har krav på en social og international orden, i hvilken de i denne erklæring nævnte rettigheder og friheder fuldtud kan virkeliggøres.
29-00	Artikel 29.
29-00	Enhver har pligter overfor samfundet, der alene muliggør personlighedens frie og fulde udvikling.
29-01	Under udøvelsen af sine rettigheder og friheder er enhver kun underkastet de begrænsninger, der er fastsat i loven alene med det formål at sikre skyldig anerkendelse af og hensyntagen til andres rettigheder og friheder og med det formål at opfylde de retfærdige krav, som moralen, den offentlige orden og det almene vel stiller i et demokratisk samfund.
29-02	Disse rettigheder og friheder må i intet tilfælde udøves i strid med De forenede Nationers formål og principper.
30-00	Artikel 30.
30-01	Intet i denne erklæring må fortolkes som givende nogen stat, gruppe eller enkeltperson hjemmel til at indlade sig på nogen virksomhed eller foretage nogen handling, der tilsigter at nedbryde nogen af de heri opregnede rettigheder og friheder.
