00-00	Hakkiwa Adamganabe Dunya Ngaro Wowurtəgənama
15-01	Ndu yaye hakkinzə nəmkam lardəbenzə mbeji.
15-02	Nduma dalil baaro nəmkam lardəbenzə adəga daptinba ye hakkinzə duwo nəmkam lardəbenzə faltəbe yega daptinba.
16-00	Babu 16
16-01	Kamuwa-a kongawa-a wuraata angalla woso, kalangi abibema baaro jilibema, lardəbema, au adin gadebema , hakkinza nyiya kəndobe-a yal fandobe-aso mbeji. Sa nyiga kəndobelan sandi indiso hakkinza kalkal kuru adəgaima sa gadetəbe ishiya ye.
16-02	Nyiyadə sai kasada sandi indi kamudə-a kwadə-abe mbejilan duwo tədin.
16-03	Kəndəga kamun kwanbedə shima badiyaram məradəgata gaya ummabe wo kuru sandiga kəndəgaram-a kərye-ason səlifodə hakkinza.
17-00	Babu 17
17-01	Ndu yaye runzəlaro razəgə gantodə hakkinzə kuru adəgaima shi-a am-a kəltəm gantodə ye.
17-02	Nduma dalil baaro razəgənzəga firtinba.
18-00	Babu 18
18-01	Ndu yaye hakkinzə nazaru kəndobe-a tawakarbe-a adinbe-a mbeji, suro hakki adəben nambe adinnzə au nzasaranzə faltəbe-a nambe shi tilonzə au suro jamuwubelan fetero au ashirlan adinzə au nzasaranzə yikkəlio-a kəndo-a abuttə-a lajiptə-alan tartaabe mbeji.
19-00	Babu 19
19-01	Ndu yaye hakkinzə rayiwu-a bayan kəndo-abe mbeji, suro hakki adəben nambe rayiwunzə kalma baaro bayanjin kuru shilan nzəra majin ye səmoyin ye kuru hawarazəgin futu hawarbe jilibin yaye kəlangai baaro.
20-00	Babu 20
20-01	Ndu yaye hakkinzə suro nəlefaben samno sapta-a maamala kəndo-abe mbeji.
20-02	Nduma dunon karapka kasatsənyiro nzəkko ba.
21-00	Babu 21
21-01	Ndu yaye hakkinzə suro gumnati lardənzəbero ci nzəkobe mbeji, shi kəlanzə au wokkilnzə futu kalkallan kartənamben.
21-02	Ndu yaye hakkinzə suro lardənzəben jamaro tunotobe mbeji.
21-03	Kasada jamabedə shima fərtə kəntəwo gumnatibero walzə, kasada adə suro karno gondua ye jirebe ye lardə kəpson ndu-a nduana-asoye sədin ye kuru kuriya suro ashirlan au ashirga samunzənalan tədinbelan bayantə.
22-00	Babu 22
22-01	Ndu yaye kəla shi memba ummabedən, hakkinzə nzəliwo-a asutə-abe mbeji, kasadə lardəbemben au tawaa indikate lardəwabemben futu fasal-a nyama-a lardədəbe ləgatarro, razəgə-a nəmkamnzə-a təgalisə baaro yita fuwutəgə.
23-00	Babu 23
23-01	Ndu yaye hakkinzə cida kəndobe mbeji, cida səragəna karzə kəndo-a futu kaida sandənalan kəndo-a kurumason kaidu cida babelan shiga nzətakawo-a.
23-02	Ndu yaye, gayirtə futubibema baaro, hakkinzə cida sədəna ləgatarro shiga alutəbe mbeji.
23-03	Ndu yaye cidama sədinga hakkinzə awo alutəginmadə shi-a yalwanzə-a futu darajanza nəmadamganabe ləgatarro sandiga cittənnama alutəgəbe mbeji kuru nzəra yaye nasha laa jamaro nafaka kənjobelan mbejiga diwijinba.
23-04	Ndu yaye hakkinzə karapka cidawube koktabe au kəlanzə nzəkkobe mbeji tamtam kəlanzəbe nzəliwo nankaro.
24-00	Babu 24
24-01	Ndu yaye hakkinzə tusu-a kundushi kəndo-abe mbeji, loktu cidabe angalbe kurzəna-a batalla biyaa-a kunten.
25-00	Babu 25
25-01	Ndu yaye hakkinzə futu kalkalro məradətənaro kəndəgabe nəlefa-a kəndəga kəji shi kəlanzə-a yalwanzə-abe mbeji, hatta kəmbu-a kənza-a kazəmu-a fato-a, kurun-a awowa gade tamtambe məradətənan kunten-a, kuru hakkinzə shiga nzətkawobe mbeji wanee cidaba laa, kundondi laa, nəmmaskin laa, nəmkamba laa, ngəli kurwu laa au kəndəgaram kun-balinbe laaye shiro kənteri cuwutoga.
25-02	Ya kəndewu-a tada tiwal-aso ngəlaro cistəgə məradəzana. Duli dukso, nyiyaa au nyiya baalan katambo yaye səliwo fandodə hakkinza.
26-00	Babu 26
26-01	Ndu yaye hakkinzə shiro ilmu kənjobe mbeji. Ilmu gultəna adə de sulro tin, gananzə yaye ilmu badiyarambe-a fuwunzəbe məradətəna-a. Ilmu badiyarambe gultəna adə kənjonzədə mburo walzəna. Ilmu nzundube-a shanabe-adə ndarason mbeji ye təwandin yero tədə kuru adəgaima ilmu sandin fuwunbedə ye ndusoye səwandə kərajinro walzə natəgəye suwudiya.
26-02	Ilmudə nəmkam kamilga garta-a dunoatə hakkiwa adamganabe-a nambenzə-a nganzazəro walzə. Asutu-a kanadi-a nəmkam-a indikate lardəwaben fuwuzəgin. Nəmgade jilibe au adinbe baro sədin, kuru lardəwa Tawakkata Dunyabeye cidanzə nəlefa rotabedəga yitafuwuzəgin.
26-03	Yaso Awasoye hakkinza burwoza jili ilmube məradəzana karza dulinzaro gultəgəbe mbeji.
27-00	Babu 27
27-01	Ndu yaye hakkinzə kal baaro lamarwa adabe jamabelan gaam luwobe mbeji, adawadən tamtam fantə-a yasan ngalwotəgənzəro kəla nzəkko-a kuru faidanzən riwa fando-a.
27-02	Ndu yaye hakkinzə nzəliwobe mbeji kəla lamar bərzəm-a kəla ro-aben cida nasha kimiyaben kal, ruwoben kal au muskon tandoben kal shima kunkunzə sutuluiya.
28-00	Babu 28
28-01	Ndu yaye hakkinzə howum duwo hakkiwa-a nambe-a suro Wowur adəben dəganadəga yita bayanzəginma gantobe mbeji.
29-00	Babu 29
29-01	Ndu yaye cida jama suron dəgana sandi baslan nəmkamnzə kaima baaro yitafuwuzəgin adəbe kəndobe mbeji.
29-02	Suro hakkiwanzə-a nambenzə-a yitagatsəginben, ndu yaye kəlangai howumye gənazənaro dazəgin təganasmaro dalil hakkiwa-a nambe-a jama gade gapsanadəbe asutə darajatə-a məradəwa lamarwa bərzəmbe-a kaida suro jamaben kəndəgabe-a suro naptəram demokəradiyaben nəlefa fando-a.
29-03	Hakkiwa-a nambe-a anyi futubiman dalil Lardəwa Tawakkata Dunyabeye ferzənadən nguron dalilwa gadero faidatinba.
30-00	Babu 30
30-01	Abima suro Wowur adəben fasaranzə lardəro, samnaro au kamro kartaaro tənyi, amari hakki abima kəndobe au nya laa nganzatəbe kəla hakkiwa-a nambe-a suro adəlan dəganadəben bannaro fasartənyi ye tənyi ye.
