00-00	ᏂᎬᎾᏛ ᏗᎦᏃᏣᎳᏅᎢ ᎠᏂᏴᏫ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ
02-00	ᎠᏯᏙᎸ 2
02-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᎾᏓᏂᏜ ᎾᎢ ᏂᎦᏓ ᎤᏂᎲ ᎢᏳᎾᏛᏁᏗᎢ ᎠᎴ ᏙᎯ ᎠᏕᏗᎢ ᎾᎢ ᏕᎦᎧᏅᎩ ᎯᎠ ᏗᎦᏃᏣᎳᏅᎢ, ᎤᎾᏤᎵᏛ ᏄᎾᏠᏯᏍᏛᎾ ᎾᎢ ᏂᎦᎥᏉ ᏧᏓᎴᏅᏓ, ᏕᎧᏁᎢᏍᏔᏅᎯ ᏧᎾᏓᎴᏅᏓ ᎠᏂᏴᏫ, ᏗᎨᎦᎦᏅᏗᎢ, ᎠᎨᏯ ᎠᎴ ᎠᏍᎦᏯ, ᎦᏬᏂᎯᏍᏗ, ᏧᎾᏁᎵᏗ, ᏗᎾᏙᎩᏯᏍᎩ ᎠᎴ ᏐᎢ ᎾᏂᎵᏍᎬᎩ, ᎠᏰᎵ ᎤᎾᏙᏢᎯ ᎠᎴ ᏴᏫ ᏂᏙᏓᏳᎾᏓᎴᏅᎩ, ᏄᏅᎿᏅ, ᎤᏕᏅ ᎠᎴ ᏐᎢ ᏄᏍᏗᏓᏅᎢ.
02-02	ᎤᏗᏗᏢᎢᎨᏍᏙᏗ, Ꮭ ᏄᎾᏠᏯᏍᏛᎾ ᎤᏙᎯᏳᏒᎾ ᎾᏍᎩᏃ ᏗᎾᏙᎩᏯᏍᎩ ᏂᏓᏳᎵᏍᏙᏔᏅ ᎾᏍᎩ ᎤᏙᏢᏅᎢ, ᎢᏳᎾᏛᏁᎵᏓᏍᏗ ᎤᏂᎲᎩ ᎠᎴ ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᏄᏍᏗᏓᏅ ᎾᏍᎩ ᏂᎬᎾᏛᎢ ᎠᎴ ᏍᎦᏚᎩ ᎾᏍᎩᏃ ᎠᏂᏴᏫ ᎠᎾᏁᎸᎩ, ᎢᏳᏃᏍᏊ ᎾᏍᎩᎾᎢ ᎤᎾᏓᏤᎵᏓ, ᎦᎨᎦᏅᏘ ᎨᏒᎢ, ᎬᏂᎬᎬ-ᎤᏩᏒ-ᎤᎦᏎᏍᏗᏕᎩ ᎭᏫᏂᏗᏢ ᏂᎦᎥ ᏐᎢ ᏅᏂᏲᎢᏍᏓᏁᎲᎾ ᎾᎢ ᎤᏂᎲ ᎤᎾᏓᏤᎵᎦᏯ.
03-00	ᎠᏯᏙᎸ 3
03-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏳᎾᏛᏗᎢ ᎥᎴᏂᏙᎲᎢ, ᎣᎦᏓᏤᎵ ᎨᏒᎢ ᎠᎴ ᎾᏍᎩ ᎤᎦᏎᏍᏗ ᏴᏫ.
04-00	ᎠᏯᏙᎸ 4
04-01	ᎤᏙᎯᏳᎯ ᏝᎩᎶᎢ ᎠᏥᏂᏴᏗ ᎾᏍᎩ ᏗᎨᏥᎾᏝᎥ ᎠᎴ ᎦᏌᏙᏯᏍᏗ ᎠᏥᎾᏝᎢ ᏱᎨᏎᏍᏗ; ᏗᎨᏥᎾᏝᎥ ᎠᎴ ᎾᏍᎩ ᏗᎨᏥᎾᏝ ᏗᎦᎾᏗᏅᏗ ᎤᏙᎯᏳᎯᏯ ᎦᏅᏍᏙᏍᎨᏍᏗ ᎾᏍᎩ ᏂᎦᎥ ᎾᏍᎩ ᎢᏳᏍᏗ.
05-00	ᎠᏯᏙᎸ 5
05-01	ᎤᏙᎯᏳᎯ ᏝᎩᎶᎢ ᎠᏥᎸᏍᏗ ᏱᎨᏎᏍᏗ ᎠᎴ ᎤᏲ ᎢᏯᏓᏛᏁᎯ ᏱᎨᏎᏍᏗ, ᎠᏂᏴᏫ ᏂᎨᏒᎾ ᏱᎬᏗ ᏱᎨᏎᏍᏗ ᎠᎴ ᎤᏕᎰᎯᏍᏗ ᏱᎬᏗ ᏱᎨᏎᏍᏗ ᎠᎴ ᎠᏍᏛᏗᏍᏙᏗ ᏱᎨᏎᏍᏗ.
06-00	ᎠᏯᏙᎸ 6
06-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏳᎾᏛᏁᏗᎢ ᏂᎬᎾᏛ ᎨᎪᎵᏤᏗ ᎾᏍᎩ ᏴᏫ ᎢᎬᏯᏘᏟ ᎾᏍᎩ ᏗᎧᏃᏩᏛᏍᏗ.
07-00	ᎠᏯᏙᎸ 7
07-01	ᏂᎦᏛ ᎢᏧᎳᎭᏉ ᎢᎬᏯᏘᏟ ᎾᏍᎩ ᏗᎧᎿᏩᏛᏍᏗ ᎠᎴ ᎤᎾᏓᏂᏜᏅᎢ ᏅᏠᏯᏍᏛᎾ ᏂᎦᎥ ᎠᏓᏛᏳᏤᏗ ᎾᏍᎩ ᎢᏧᎳᎭᏉ ᎬᏩᏂᏍᏕᎸᏙᏗ ᎾᏍᎩ ᏗᎧᎿᏩᏛᏍᏗ. ᏂᎦᏓ ᎤᎾᏓᏂᏜᏅᎢ ᎢᏧᎳᎭᏉ ᎬᏩᏂᏍᏕᎸᏙᏗ ᏗᎬᏩᎾᏡᏗᏍᎩ ᏂᎦᎥ ᎠᏓᏛᏳᏤᏗ ᎾᏍᎩ ᎠᏍᎦᏅᎬᎢ ᎯᎠ ᏗᎦᏃᏣᎳᏅᎢ ᎠᎴ ᏗᎬᏩᎾᏡᏗᏍᎩ ᎠᎴ ᏂᎦᎥ ᏓᏓᏚᎴᎬ ᎾᏍᎩ ᎢᏳᏍᏗ ᎠᏓᏛᏳᏤᏗ.
08-00	ᎠᏯᏙᎸ 8
08-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎮᏍᏗ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏳᎾᏛᏗᎢ ᎾᎢ ᏕᎫᎪᏔᏅᎩ ᎢᏳᎵᏍᏙᏗ ᎾᏍᎩ ᏰᎵ ᏂᎬᏩᎾᏛᏗ ᎨᏒ ᎠᏰᎵ ᏧᎾᏓᏱᎵᏓᏍᏗ ᎾᏍᎩᎾ ᏚᎵᏁᏨᎩ ᎠᏍᎦᏅᏨᎢ ᎾᏍᎩ ᏚᎾᎳᏏᏛ ᏚᏂᎲᎩ ᎤᎵᏍᎪᎸᏓᏁᎸᎩ ᎾᏍᎩᏃ ᎦᎫᏍᏛᏗ ᎠᎴ ᎾᏍᎩᏃ ᏗᎧᎿᏩᏛᏍᏗ.
09-00	ᎠᏯᏙᎸ 9
09-01	ᎤᏙᎯᏳᎯ ᏝᎩᎶᎢ ᎠᏎᏊᏊ ᏣᎫᎪᏓᏁᏗ ᏱᎨᏎᏍᏗ ᎾᎢ ᎠᏥᏂᏴᏗ ᏱᎨᏎᏍᏗ, ᎠᏥᏍᏚᏗ ᎠᎴ ᎠᏰᎵ ᎠᏥᏄᎪᏫᏍᏗ.
10-00	ᎠᏯᏙᎸ 10
10-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎭ ᎤᎾᏓᏂᏜᏅᎢ ᎾᏍᎩ ᎤᎧᎵᏨᎯ ᎢᏧᎳᎭᏉᏃ ᎢᏳᎾᏛᏁᏗ ᎤᏂᎯ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᎴ ᎠᏰᎵ ᎨᎦᏛᏓᏍᏙᏗ ᎾᏍᎩᏃ ᎤᎾᏓᏤᎵᏓ ᎠᎴ ᎤᎾᎵᎪᎯ ᏂᎨᏒᎾ ᏧᎾᏓᏱᎵᏓᏍᏗ, ᎾᎿ ᎾᏍᎩ ᏓᏅᎪᏔᏂᏙᎲᎩ ᎾᏍᎩ ᎤᏂᎲ ᎤᏤᎵ ᎠᎴ ᎤᎾᏓᏚᏓᎸᎲᏍᎬ ᎠᎴ ᏂᎦᎥ ᎠᏍᎦᏅᏨ ᎠᎫᎯᏍᏛ ᎤᏡᏗᏍᎩ.
11-00	ᎠᏯᏙᎸ 11
11-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎨᎫᎯᏍᏔᏅ ᎤᏠᏯᏍᏗ ᎤᏍᏛᏗᏍᎩ ᎤᏍᎦᏅᏨᎢ ᎤᎮᏍᏗ ᎾᏍᎩ ᎤᏂᎲ ᏚᏳᎪᏛ ᏙᎯᏳᎯᏯ ᎾᏍᎦᏅᎾ ᎩᎳᏃ ᎠᏃᎯᏳᏔᏅ ᎤᏍᎦᏅᏨᎢ ᏂᎬᏅ ᏗᎧᎿᏩᏛᏍᏗ ᎾᎿᎢ ᎠᏰᏟ ᏓᎾᏓᏰᎵᏙᎲᎩ ᎾᏍᎩᏃ ᏚᏂᏙᎢᏍᏓᏁᎸᎩ ᎾᏍᎩ ᎤᎲᎩ ᏂᎦᏓ ᎾᏍᎩᎾ ᎢᏳᎵᏍᏙᏗ ᎠᎦᏗᏒᏍᏗᏍᎬᎩ.
11-02	ᏝᎩᎶᎢ ᏭᏓᎪᎾᏛᎢ ᎠᏥᏂᏴᏗ ᎤᏍᎦᏅᏨ ᏂᎦᎥ ᎤᏍᏛᏗᏍᎩ ᎤᏍᎦᏅᏨᎢ ᎤᎾᎢ ᎠᏚᏓᎸᏗ ᏂᎦᎥ ᎤᎵᏁᏨ ᎠᎴ ᎦᎵᏓᏍᏔᏅ ᎾᏍᎩᏃ Ꮭ ᏗᎳᏏᏔᏅ ᎤᏍᏛᏗᏍᎩ ᎤᏍᎦᏅᏨᎢ, ᎭᏫᏂᏗᏢ ᎠᏰᎵ ᎤᎾᏙᏢᏒ ᎠᎴ ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᏗᎧᎿᏩᏛᏍᏗ, ᎾᏍᎩ ᎾᏳᎢ ᎠᏟᎢᎵᏍᏒ ᎤᏓᏍᎦᏅᏤᎸᎩ. ᎥᏝᏃ ᏭᏓᎪᎾᏛ ᎦᎨᏗᏳᏉᏃ ᎤᏍᏛᏗᏍᎩ ᎾᏍᎩ ᏧᏚᎪᏓᏁᏗ ᎡᏍᎦᏉ ᎾᏍᎩ ᏌᏉ ᎾᏍᎩ ᏗᏙᎳᎩ ᎾᏳᎢ ᎠᏟᎢᎵᏍᏒ ᎤᏍᏛᏗᏍᎩ ᎤᏍᎦᏅᏨᎢ ᎾᏳᎨᏒ ᏅᏛᏁᎸᎩ.
12-00	ᎠᏯᏙᎸ 12
12-01	ᏝᎩᎶᎢ ᏭᏓᎪᎾᏛᎢ ᎠᏎᏊᏊ ᏣᎫᎪᏓᏁᏗ ᎠᎵᏌᎳᏁᏗ ᎤᎵᎪᎯ ᎾᏍᎩ ᎤᏕᎵᏓ, ᏏᏓᏁᎸ, ᎤᏇᏅᏒ ᎠᎴ ᏓᎾᏓᏛᎪᏗᏍᎬ, ᎥᏝ ᏗᎦᏘᎸᏍᏗ ᎦᎸᏉᏙᏗ ᎨᏒ ᎠᎴ ᎠᎦᏓᏅᏖᏗᏱ. ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᏚᏳᎪᏛ ᎬᏩᏂᏍᏕᎸᏙᏗ ᎨᏎᏍᏗ ᎾᏍᎩ ᎠᏡᏗᏍᎩ ᏗᎧᎿᏩᏛᏍᏗ ᎪᎱᏍᏗ ᎠᎵᏌᎳᏁᏗ ᎠᎴ ᏗᎦᏘᎸᏍᏗ.
13-00	ᎠᏯᏙᎸ 13
13-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏙᎯ ᎠᏕᏗᎢ ᎾᎢ ᎠᏓᏅᏏᏓᏍᏗᎢ ᎠᎴ ᏓᏂᏁᎸᎩ ᎭᏫᏂᏗᏢ ᎾᏍᎩ ᏓᏠᎯᏍᏛᎢ ᎾᎢ ᏌᏉᎭ ᏍᎦᏚᎩ.
13-02	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᏂᎩᏍᏗ ᏂᎦᎥᏉ ᎠᏰᎵ ᏂᎬᎾᏛᎢ, ᎤᏠᏯᏍᏗ ᎤᏩᏌ ᎤᏤᎵ ᎡᎥᎢ, ᎠᎴ ᎢᎦᎷᎯᏍᏗ ᎤᎾᎢ ᎤᏩᏌ ᎤᏤᎵ ᎠᏰᎵ ᏂᎬᎾᏛᎢ.
14-00	ᎠᏯᏙᎸ 14
14-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᏂᏲᎲᎩ ᎠᎴ ᎤᎵᎮᎵᏍᏙᏗ ᎾᎿ ᏐᎢ ᎠᏰᏟ ᏂᎬᎾᏛᎢ ᎤᎵᏍᎦᏍᏙᏔᏂᎸᎯ ᎾᏍᎩᎾ ᎠᏥᏍᏛᏗᏍᏗᏍᎬᎩ.
14-02	ᎯᎢᎾᎢ ᎤᏂᎲ ᏚᏳᎪᏛ Ꮭ ᎡᎵᏊ ᏱᎬᎾᏎᎯᏍᏗ ᎾᏍᎩ ᏓᎵᏱᎵᏙᎲ ᏙᏳᏃ ᏕᎨᏥᏍᏛᎲᏍᎬᎩ ᎾᏍᎩᎾ ᏗᏓᎴᏂᏍᎬ ᎬᏂᎬᎬ-ᎠᏙᎩᏯᏛ ᎤᎬᏩᎵ ᎤᏍᎦᏅᏨᎢ ᎠᎴ ᎾᏍᎩᎾ ᏗᎧᎿᏩᏛᏍᏗ ᎠᎵᏍᎦᏁᏍᎩ ᎤᎬᏩᎵ ᎠᎴ ᎠᏍᎪᎵᏴ ᎾᏍᎩ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ.
15-00	ᎠᏯᏙᎸ 15
15-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᏰᎵ ᎠᏁᎯ ᎢᏳᎾᎵᏍᏙᏗᎢ.
15-02	ᏝᎩᎶᎢ ᏭᏓᎪᎾᏛᎯ ᎠᏎᏊᏊ ᎤᎾᏓᏱᎸᎩ ᎤᏤᎵ ᎠᏰᎵ ᎢᏳᎵᏍᏙᏗ ᎥᏝᏃ ᎤᎾᏓᏱᎸᎩ ᎾᏍᎩ ᎤᎲᎩ ᏚᏳᎪᏛᎢ ᎾᏍᎩ ᎤᏁᏟᏴᏍᏗ ᎠᏰᎵ ᎢᏳᎵᏍᏙᏗᎢ.
16-00	ᎠᏯᏙᎸ 16
16-01	ᎠᏂᏍᎦᏯ ᎠᎴ ᎠᏂᎨᏯ ᎧᎵ ᎠᎦᏴᎵ, ᏄᏠᏯᏍᏛᎾ ᏂᎦᎥ ᏅᏂᏲᎢᏍᏓᏁᎲᎾ ᏂᏗᎦᎵᏍᏙᏗᏍᎬ ᎾᎢ ᏅᎾᏓᎴ ᎠᏂᏴᏫ, ᎠᏰᎵ ᏂᏓᏳᏂᎶᏒ ᎠᎴ ᏧᎾᏁᎵᏗ, ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏳᎾᏛᏁᏗ ᎾᎢ ᏕᎨᎦᏨᏍᏗᏍᎬ ᎠᎴ ᏏᏓᏁᎸ ᏂᏓᏳᎾᏓᎴᏅᎢ. ᎾᏍᎩᏃ ᎤᏂᎭ ᎤᎾᏓᏂᏠᏅ ᎾᎢ ᎢᏧᎳᎭᏉᏃ ᎢᏳᎾᏛᏁᏗ ᎤᏂᎲ ᎾᏍᎩ ᏗᎨᎦᏨᏍᏙᏗᎢ, ᎾᏳ ᏗᎨᎦᏨᏍᏗᏍᎬᎩ ᎠᎴ ᎾᏍᎩᎾᎢ ᏓᎾᎦᎴᏂᏍᎬᎩ.
16-02	ᏗᎨᎦᏨᏍᏗᏍᎬ ᎤᏙᎯᏳᎯ ᎠᏴᎸᎩ ᏳᎵᏍᏙᏗ ᎾᎾᎯ ᎤᏩᏌ ᎾᏍᎩ ᎤᏠᏯᏍᏗ ᏄᏚᏓᎸᎾ ᎠᎴ ᎧᎵᎢ ᎣᏏᏳ ᎤᏰᎸᏅᎯ ᎾᎢ ᎠᏛᏅᎢᏍᏗᏍᎬ ᏗᏂᏁᎵ ᏳᎵᏍᏙᏗᎢ.
16-03	ᎾᏍᎩᏃ ᏏᏓᏁᎸ ᏂᎬᏩᏍᏛ ᏅᏍᏛ ᎠᎴ ᏚᎾᎳᏏᏛ ᎤᎾᏓᏡᎬ ᏌᏉ ᏴᏫ ᎠᎴ ᎾᏍᎩ ᎤᎾᏓᏂᏠᏅ ᎬᏩᏂᏍᏕᎸᎯᏙᎯ ᎾᏍᎩᎾᎢ ᏴᏫ ᎠᎴ ᎾᏍᎩ ᏍᎦᏚᎩ.
17-00	ᎠᏯᏙᎸ 17
17-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᏩᏌ ᏧᎬᏩᎶᏗ ᎤᎾᏤᎵ ᎢᏳᎵᏍᏙᏗᎢ ᎾᏍᎩᏯᏃ ᎾᎢ ᏧᎾᎵᎪᏗ ᎠᏂᏐᎢ ᎤᎾᏠᏯᏍᏗ.
17-02	ᏝᎩᎶᎢ ᏭᏓᎪᎾᏛᎯ ᎠᏎᏊᏊ ᎤᎾᏓᏱᎸᎩ ᎾᏍᎩ ᎤᎾᏤᎵ ᏳᎵᏍᏙᏗ ᏧᎬᏩᎶᏗ ᎤᎲᎢ.
18-00	ᎠᏯᏙᎸ 18
