00-00	ИНСАН ҺҮГУГЛАРЫ ҺАГГЫНДА ҮМУМИ БӘЈАННАМӘ
03-01	Һәр бир шәхсин јашамаг, азадлыг вә шәхси тохунулмазлыг һүгугу вар.
04-00	Маддә 4
04-01	Һеч ким көлә вә ја асылы вәзијјәтдә сахланыла билмәз; гулдарлыг вә гул тиҹарәти бүтүн формаларда гадаған едилир.
05-00	Маддә 5
05-01	Һеч ким ишҝәнҹәјә вә ја гәддар, гејри-инсани вә ја онун ләјагәтини алчалдан мүнасибәтә вә ҹәзаја мәруз галмамалыдыр.
06-00	Маддә 6
06-01	Һәр бир шәхс һарада олмасындан асылы олмајараг өзүнүн һүгуг субјектлтилијинин танынмасы һүгугуна маликдир.
07-00	Маддә 7
07-01	Бүтүн инсанлар ганун гаршысында бәрабәрдирләр вә ганун тәрәфиндән бәрабәр мүдафиә һүгугуна маликдирләр. Бүтүн инсанлар бу Бәјаннамәни позан һәр һансы ајры-сечкиликдән вә белә ајры-сечкилијә һәр һансы ҹәһддән бәрабәр мүдафиә олунма һүгугуна маликдирләр.
08-00	Маддә 8
08-01	Һәр бир шәхс Конститусијанын вә ја ганунун она вердији һүгугларын позулмасы заманы сәләаһијјәтли милли мәһкәмәләр тәрәфиндән һүгугларынын бәрпа олунмасы һүгугуна маликдир.
09-00	Маддә 9
09-01	Һеч ким өзбашына һәбсә, тутулмаја вә ја сүрҝүнә мәруз гала билмәз.
10-00	Маддә 10
10-01	Һәр бир шәхс онун һүгуг вә вәзифәләринин тәјини вә она гаршы ирәли сүрүлмүш ҹинајәт иттиһамынын әсаслылығынын мүәјјәнләшдирилмәси үчүн онун ишинин мүстәгил вә битәрәф мәһкәмәдә, там бәрабәрлик әсасында, ашкарлыг вә әдаләтин бүтүн тәләбләринин ҝөзләнилмәси шәраитиндә бахылмасы һүгугуна маликдир.
11-00	Маддә 11
11-01	Ҹинајәт төрәтмәкдә иттиһам олунан һәр бир шәхс ҝүнаһы она мүдафиә үчүн бүтүн имканларын тәмин олундуғу ачыг мәһкәмә истинтагында гануни шәкилдә сүбут олунанадәк ҝүнаһсыз һесаб едилмәк һүгуна маликдир.
11-02	Һеч бир кәс милли ганунвериҹилик вә ја бејнәлхалг һүгуга әсасән төрәдилдији заман ҹинајәт һесаб едилмәјән һәрәкәт вә ја һәрәкәтсизлик үчүн ҹинајәтдә иттиһам олуна билмәз. Ејни заманда ҹинајәтин төрәдилдији  заман тәтбиг олуна биләҹәк ҹәзадан даһа ағыры тәтбиг олуна билмәз.
12-00	Маддә 12
12-01	Һеч ким шәхси вә аилә һәјатына мүдахиләјә, евинин тохунулмазлығына, мәктублашмасынын ҝизлилијинә, шәрәф вә нүфузуна өзбашына гәсдә мәруз гала билмәз. Һәр бир шәхсин белә мүдахилә вә гәсдән ганун тәрәфиндән мүдафиә олунмаг һүгугу вар.
13-00	Маддә 13
13-01	Һәр бир шәхс һәр бир өлкә һүдудунда сәрбәст һәрәкәт етмәк вә јашајыш јери сечмәк һүгугуна маликдир.
13-02	Һәр бир шәхс өз өлкәси дә дахил олмагла истәнилән өлкәни тәрк етмәк вә өз өлкәсинә гајытмаг һүгугуна маликдир.
14-00	Маддә 14
14-01	Һәр бир шәхс диҝәр өлкәләрдә тәгибдән сығынаҹаг ахтармаг вә бу сығынаҹагдан истифадә етмәк һүгугуна маликдир.
14-02	Бу һүгуг һәгигәтән дә гејри-сијаси ҹинајәт вә ја Бирләшмиш Милләтләр Тәшкилатынын мәгсәд вә принсипләринә зидд һәрәкәт төрәдилмәсинә әсасланан тәгибләр заманы истифадә олуна билмәз.
15-00	Маддә 15
15-01	Һәр бир шәхс вәтәндашлыг һүгугуна маликдир.
15-02	Һеч ким өзбашына олараг вәтәндашлыгдан вә вәтәндашлығыны дәјишмәк һүгугундан мәһрум едилә билмәз.
16-00	Маддә 16
16-01	Јеткинлик јашына чатмыш кишиләр вә гадынлар ирги, милли вә дини әламәтләринә ҝөрә һеч бир мәһдудијјәт гојулмадан никаһа дахил олмаг вә аилә гурмаг һүгугуна маликдирләр. Онлар никаһа дахил оларкән, никаһ мүддәтиндә вә онун позулмасы заманы ејни һүгуглардан истифадә едирләр.
16-02	Никаһ, никаһа дахил олан һәр ики тәрәфин азад вә там разылығы оларса бағлана биләр.
16-03	Аилә ҹәмијјәтин тәбии вә башлыҹа груп ваһидидир вә ҹәмијјәт вә дөвләт тәрәфиндән мүдафиә олунма һүгугуна маликдир.
17-00	Маддә 17
17-01	Һәр бир шәхсин һәм тәкбашына, һәм дә диҝәрләри илә бирликдә мүлкијјәтә саһиб олма һүгугу вар.
17-02	Һеч ким өзбашына олараг мүлкијјәтдән мәһрум едилә билмәз.
18-00	Маддә 18
18-01	Һәр бир шәхс  дүшүнҹә, виҹдан вә дин азадлығы һүгугуна маликдир; бу һүгуга өз динини вә етигадыны дәјишмәк азадлығы вә өз дининә вә инанҹларына тәһсил, дуа вә дини вә ритуал ајинләр заманы тәкликдә вә ја башгалары илә бирликдә, ашкар вә ја фәрди шәкилдә етигад етмәк азадлығы дахилдир.
19-00	Маддә 19
19-01	Һәр бир шәхс әгидә вә ону сәрбәст ифадә етмәк азадлығы һүгугуна маликдир; бу һүгуга манеәсиз олараг әгидәјә малик олмаг вә информасија вә идејалары дөвләт сәрһәдләриндән асылы олмајараг истәнилән васитәләрлә ахтармаг, әлдә етмәк вә јајмаг азадлығы дахилдир.
20-00	Маддә 20
20-01	Һәр бир шәхс динҹ јығынҹаглар вә ассосиасијалар азадлығы һүгугуна маликдир.
20-02	2.Һеч бир шәхс һәр һансы бир ассосиасијаја гошулмаға мәҹбур едилә билмәз.
21-00	Маддә 21
21-01	Һәр бир шәхс дөвләтин идарә олунмасында билаваситә вә ја азад шәкилдә сечилмиш нүмајәндәләр васитәсилә иштирак етмәк һүгугуна маликдир.
21-02	2.Һәр бир шәхс өз өлкәсиндә дөвләт хидмәтиндә гуллуг етмәк үчүн бәрабәр  имкана малик олмаг һүгугуна маликдир.
21-03	Халгын ирадәси игтидар һакимијјәтинин әсасы олмалыдыр; бу ирадә өз  ифадәсини ҝизли сәсвермә јолу илә, үмуми вә бәрабәр сечки һүгугу вә ја сәсвермәнин азадлығыны тәмин едән диҝәр ејнимәналы формалар әсасында кечирилән мүтамади вә сахталашдырылмамыш сечкиләрдә тапмалыдыр.
22-00	Маддә 22
22-01	Һәр бир шәхс ҹәмијјәтин үзвү кими сосиал мүдафиә һүгугуна вә милли сәјләр вә бејнәлхалг әмәкдашлыг јолу илә вә һәр бир дөвләтин структуру вә ресурсларына ујғун олараг онун ләјагәтинин мүдафиәси вә шәхсијјәтинин азад инкишафы үчүн игтисади, сосиал вә мәдәни саһәләрдә һүгуглара маликдир.
23-00	Маддә 23
23-01	Һәр бир шәхсин әмәк, сәрбәст иш јери сечмәк, әдаләтли вә јахшы иш шәраити вә ишсизликдән мүдафиә һүгугу вар.
23-02	Һәр бир шәхс һеч бир ајры-сечкилик олмадан ејни иш үчүн ејни әмәк һаггы алмаг һүгугуна маликдир.
23-03	Һәр бир ишләјән шәхс, әмәјинин лазым ҝәләрсә диҝәр сосиал мүдафиә васитәләрилә тамамланан, онун өзүнүн вә аиләсинин лајигли доланышығыны тәмин едә билән әдаләтли вә гәнаәтбәхш өдәнилмәси һүгугуна маликдир.
23-04	Һәр бир шәхсин һәмкарлар иттифагы јаратмаг вә өз сосиал марагларыны  мүдафиә етмәк үчүн һәмкарлар иттифагларына дахил олмаг һүгугу вар.
24-00	Маддә 24
24-01	Һәр бир шәхсин истираһәт вә асудә вахт, о ҹүмләдән иш ҝүнүнүн ағлабатан һүдуду вә өдәнилән мүтамади мәзунијјәт һүгугу вар.
25-00	Маддә 25
25-01	Һәр бир шәхс онун өзүнүн вә аиләсинин сәһһәт вә рифаһыны тәмин етмәк үчүн лазым олан, гида, ҝејим, тибби хидмәт вә лазыми сосиал тәминат да дахил олмагла һәјат сәвијјәси һүгугуна вә ишсизлик, хәстәлик, әлиллик, дул галма, гоҹалыг вә ондан асылы олмајан сәбәбләр үзүндән јашајыш васитәләринин итирилмәси заманы тәминат һүгугуна маликдир.
25-02	Аналыг вә ушаглыг хүсуси гајғы вә јардым алмаг һүгугуна маликдирләр.  Һәм никаһ нәтиҹәсиндә һәм дә никаһдан кәнар доғулмуш ушаглар ејни сосиал мүдафиәдән истифадә етмәлидирләр.
26-00	Маддә 26
26-01	Һәр бир шәхсин тәһсил һүгугу вар. Ән азы ибтидаи вә үмуми тәһсил пулсуз олмалыдыр. Ибтидаи тәһсил иҹбари олмалыдыр. Һәр кәс техники вә пешә тәһсили алмаг имканына малик олмалыдыр, али тәһсил дә һәр кәсин габилијјәти әсасында һамыја ејни дәрәҹәдә мүјәссәр олмалыдыр.
26-02	Тәһсил инсан шәхсијјәтинин там инкишафына вә инсан һүгуглары вә  әсас азадлыглара һөрмәтин артырылмасына јөнәлдилмәлидир. Тәһсил халглар, ирги вә дини груплар арасында гаршылыглы анлашманын, дөзүмлүлүјүн вә достлуғун мөһкәмләндирилмәсинә вә Бирләшмиш Милләтләрин сүлһү горума саһәсиндә фәалијјәтинә јардым етмәлидир.
26-03	Валидејнләр өз азјашлы ушагларынын тәһсил нөвүнү сечмәкдә үстүнлүјә маликдирләр.
27-00	Маддә 27
27-01	Һәр бир шәхс ҹәмијјәтин мәдәни һәјатында сәрбәст иштирак етмәк,  инҹәсәнәтдән һәзз алмаг, елми тәрәггидә иштирак етмәк вә онун фајдасындан истифадә етмәк һүгугуна маликдир.
27-02	Һәр бир шәхс мүәллифи олдуғу елми, әдәби, вә инҹәсәнәт әсәрләринин нәтиҹәсиндә мејдана чыхан мадди вә мәнәви мәнафеләринин горунмасы һүгугуна маликдир.
28-00	Маддә 28
28-01	Һәр бир шәхсин бу Бәјаннамәдә әкс олунмуш һүгуг вә азадлыгларын там тәмин олундуғу сосиал вә бејнәлхалг дүзүм һүгугу вар.
29-00	Маддә 29
29-01	Һәр бир шәхс јалныз онун азад вә там инкишафы мүмкүн олдуғу ҹәмијјәт гаршысында вәзифәләр дашыјыр.
29-02	Өз һүгуг вә азадлыгларыны һәјата кечирәркән һәр бир шәхс јалныз елә мәһдудијјәтләрә мәруз гала биләр ки, онлар ганун тәрәфиндән диҝәрләринин һүгуг вә азадлыгларынын танынмасы вә һөрмәт олунмасынын  тәмин едилмәси вә демократик ҹәмијјәтин әхлаги, иҹтимаи асајиш вә үмуми рифаһ тәләбләрини өдәмәк мәгсәдилә тәјин едилмиш олсун.
29-03	Бу һүгуг вә азадлыгларын һәјата кечирилмәси Бирләшмиш Милләтләр Тәшкилатынын мәгсәд вә принсипләринә зидд олмамалыдыр.
30-00	Маддә 30
30-01	Бу Бәјаннамәдә һеч нә һәр һансы дөвләтә, шәхсләр групуна вә ајры-ајры шәхсләрә Бәјаннамәндә елан олунмуш һүгуг вә азадлыгларын мәһвинә  јөнәлмиш һәр һансы фәалијјәтлә мәшғул олмаг вә ја һәр һансы һәрәкәти төрәтмәк һүгугунун верилмәси кими тәфсир олуна билмәз.
