00-00	DEARBHÚ UILE-CHOITEANN CEARTA AN DUINE
05-01	Ní déanfar céastóireacht ar bith ná cóir ná pionós éadrócaireach, mídhaonna ná táirchéimneach a chur air.
06-00	Airteagal 6.
06-01	Tá ag gach uile dhuine an ceart chun a aithinte i ngach uile áit mar phearsa i láthair an dlí.
07-00	Airteagal 7.
07-01	Is comhionann na daoine uile i l'athair an dlí agus is dligh dhóibh an dlí do thabhairt coimirce dhóibh i gcomhionannas gan leithcheal ar aon neach. Dlítear do chách comhionannas coimirce i gcoinne aon leithcheal a sháródh an Dearbhú seo agus i gcoinne aon bhriogaireachta chun leithcheal den tsórt sin a dhéanamh.
08-00	Airteagal 8.
08-01	Tá ag gach uile dhuine an ceart chun fóirithin éifeachtúil d'fháil ó na binsí náisiúnta inniúla i gcoinne gníomhartha a sháraíos na cearta bunúsacha a bheir an bunreacht nó an dlí dhó.
09-00	Airteagal 9.
09-01	Ní déanfar go forlamhach aon duine a ghabháil a choinneáil ná a chur ar deoraíocht.
10-00	Airteagal 10.
10-01	Dlíonn an uile dhuine, i gcomhionannas iomlán lena chéile, éisteacht chothrom phoiblí d'fháil ó bhinse neamhspleách neamhchlaon chun a chearta agus a oblagáidí agus aon chúiseamh coiriúil ina aghaidh a chinneadh.
11-00	Airteagal 11.
11-00	Gach duine a cúiseofar i gcion inphíonois is tuigthe é a bheith neamhchiontach go dtí go gcruthaítear ciontach é do réir dlí i dtrail phoiblí, ina mbeidh ar fáil aige gach cóir is gá lena chosaint a ráthú.
11-01	Ní daorfar duine ar bith in ngeall ar aon ghníomh ná neamhghníomh nach cion in-phíonóis a bhí ann, tráth a dhéanta, faoin dlí náisiúnta nó faoin dlí eadarnáisiúnta. Ná ní gearrfar píonós is troime ná mar dob in-ghearrtha an tráth a rinneadh an cion.
12-00	Airteagal 12.
12-01	Ní déanfar cur isteach go forlámhach ar dunie ar bith maidir lena shaol príobháideach, a theaghlach, a ionad cónaithe, ná a chomhfreagras ná ní déanfar ionsaí air i leith a onóra ná a cháile.
13-00	Airteagal 13.
13-00	Tá ag gach uile dhuine an ceart chun gluaiseacht agus cónaí ina rogha áite laistigh den Stát.
13-01	Tá ag gach uile dhuine an ceart chun imeacht as aon tír, lena n-áirítear a thír féin, agus filleadh ar a thír féin
14-00	Airteagal 14.
14-00	Le linn géarleanúna, tá ag gach uile dhunie an ceart chun tearmann a lorg agus a bheith aige i dtíortha eile.
14-01	Ní féadfar feidhm a bhaint as an gceart seo i gcás inchúiseamh a leanas iarbhír as coirthe neampholaiticiúla nó as gníomhartha atá contrártha dochuspóirí agus do bhuntreora na Náisiún Aontaithe
15-00	Airteagal 15.
15-00	Tá ag gach uile dhuine an ceart chun náisiúntacht d'athrú.
15-01	Ní déanfar go forlámach a náisiúntacht a bhanit d'aon duine, ná fós an ceart chun a náisiúntacht d'athrú.
16-00	Airteagal 16.
16-00	Ar aois in-nuachair a shlánú dhóibh tá ag fir agus mná, gan srian ar bith maidir le cine, náisiúntacht ná creideamh, an ceart chun pósadh agus teaghlach a bhunú. Is ionann na cearta atá acu maidir leis an bpósadh, le linn an phóstas agus ar scaoileadh a phósta.
16-01	Ní déanfar pósadh gan saorthoil iomlán na beirte atá le pósadh.
16-02	Is é an teaghlach is buíon-aonad príomha bunaidh don chomhdhaonnacht do réir nádúra agus dlíonn an chomhdhaonnacht agus an Stát é a chaomhnadh.
17-00	Airteagal 17.
17-00	Tá ag gach uile dhuine an ceart chun maoin a shealbhú , ina anoar agus i gcomhar le daoine eile.
17-01	Ní féidir a mhaoin a bhaint go forlámhach de dhuine ar bith.
18-00	Airteagal 18.
18-01	Tá ag gach uile dhuine an ceart chun saoirse machnaimh, coinsiasa agus credimh; airítear sa sa cheart sin an tsaoirse chun a chreideamh nó a dheimhne d'athrú maraon leis an saoirse chun a chreideamh nó a dheimhne d'fhiolsiú, ina aonar nó a nó in éineacht le daoine eile, go poiblí nó go príobháideach, tríd an teagasc, an cleachtadh, an adhradh agus na deas-ghnátha.
19-00	Airteagal 19.
19-01	Tá ag gach uile dhuine an ceaqrt chun saoirse tuairime agus chun saoirse nochtuithe tuairime; áirítear sa cheart sin saoirse chun tuairimí a bheith aige gan aon bhac air, agus chun eolas agus smaointe a lorg, a ghlacadh agus a leathadh trí mheáin ar bith, gan aird ar chríoch-theoranta.
20-00	Airteagal 20.
20-00	Tá ag gach uile dhuine an ceart go mbeidh saoirse aige teacht ar tionól agus gabháil le comhlachas go sítheoilte
20-01	Ní cead a chun d´fhiacha ar dhuine ar bith gabháil le haon chomhlachas áirithe.
21-00	Airteagal 21
21-00	Tá ag gach uile dhuine an ceart chun páirt a ghlacadh i gcúrsaí rialuithe a thíre, go díreach nó trí ionadaithe a toghtar go saorálach.
21-01	Tá comhcheart ag gach uile dhuine rochtain a bheith aige ar an tseirbhís phoiblí in thír féin.
21-02	Is é toil an phobail is foras don údarás rialuithe; léireofar an toil sin de thoradh toghchán ionraic a déanfar ó aim go ham trí bhótáil chomhchoiteann chomhionann agus trí tún-bhallóid nó ar mhodh dá shamhail sin a ráthaíos saoirse bhótála.
22-00	Airteagal 22.
22-01	Tá ag gach uile dhuine, mar chomhalta den chomhdhaonnacht, an ceart chun slándála sóisialaí; dlítear dó go bhféadfaidh sé, de thoradh an tsaothair náisiúnta agus an chomhair eadarnáisiúnta agus do réir eagraíochta agus acmhainne gach Stáit ar leith, na cearta a shásamh, i gcúrsaí eacnamíochta agus comhdhaonnachta agus cultúra, is dual dá dhínit agus is riachtanach do shaor-fhorbairt a phearsantachta.
23-00	Airteagal 23.
23-00	Tá ag gach uile dhuine an ceart chun oibre, chun saoirse maidir le fostaíocht a thoghadh, chun coinníollacha córa sásúla oibre agus chun a chosanta in aghaidh na dífhostaíochta.
23-01	Tá ag gach uile dhuine, gan aon idirdhealú, an ceart chun na páighe céanna le haghaidh na hoibre céanna.
23-02	Tá ag gach duine a dhéanas obair an ceart chun luach saothair chóir shásúil a bhéarfas go mbeidh aige féin, agus ag a theathlach, cóir mhaireachtana mar is dír do dhníit an duine, agus ina theannta sin pé caomhaint shóisialach eile is gá.
23-03	Tá ag gach uile dhuine an ceart chun ceardchumainn a bhunú agus gabháil le ceardchumainn chun a leasa a chosaint.
24-00	Airteagal 24.
24-01	Tá ag gach uile dhuine an ceart chun sosa agus scíthe, agus go háirithe chun teora réasúnach lena uaireannta oibre agus chun saoirse le páigh d'fháil ó thráth go chéile.
25-00	Airteagal 25.
25-00	Tá ag gach uile dhuine an ceart chun caghdeáin mhaireachtana is leor do shláinte agus do shoileas an duine féin agus a theaghlaigh, ar a náirítear bia, éadach, ionad cónaithe, freastal liachta, agus na seirbhísí sóisialacha is gá; tá ceart aige chun slándála le linn dífhostaíochta, breoiteachta, éagumais, baintreachais, sean-aoise nó aon easpa eile slí mhaireachtana in imthosca nach bhfuil neart aige orthu.
25-01	Dlítear aire agus cúnamh speisialta don mháthair agus don leanbh. Bhéarfar an chaomhaint shóisialach chéanna don uile leanbh, pé acu faoi chuing an phósta nó lasmuigh dhí a rugadh.
26-00	Airteagal 26.
26-00	Tá ag gach uile dhuine an ceart chun an oideachais. Bhéarfar an t-oideachas in aisce, sna céimeanna tosaigh agus bunaidh ach go háirithe. Beidh an bun-oideachas éigeantach. Cuirfear an t-oideachas teicniúil agus gairmiúil ar fáil go comhchoiteann; beidh combrochtain do réir fiúntais ag gach uile dhuine ar an árd-oideachas.
26-01	Beidh de chuspóir ag an oideachas pearsantacht an duine d'fhorbairt ina hiomláinte agus urraim a neartú do chearta an duine agus do no saoirsí bunaidh. Cothóidh sé an chomhthuiscint, an caonfhulaing agus and caradas idir an náisiúin agus na ciní agus na haicmí creidimh uile, agus cabhróidh sé le bearta na Náisiún Aontuithe do chaomhnadh na síochána.
26-02	Tá ag na tuismitheoirí, i dtosach ar chách eile, an ceart chun an cineál oideachais a thoghadh a bhéarfar dá leanaí
27-00	Airteagal 27.
27-00	Tá ag gach uile dhuine an ceart chun páirt a ghlachadh gan cosc i saol cultúrtha an phobail, áineas na n-ealaíon a bheith aige agus páirtiú in ascnamh agus is sochair na heolaíochta.
27-01	Tá ag gach uile dhuine an ceart go gcosnófaí na leasa morálta agus abhartha a leanas as aon tsaothar eolaíochta, litríochta nó ealaíon arb é is údar dó.
28-00	Airteagal 28.
28-01	Is dligh do gach uile dhuine go mbéadh eagras sóisialach agus e adarnáisiúnta i réim a bhéarfadh go bhféadfaí na cearta agus na saoirsí atá leagtha amach sa Dearbhú seo a chur i gerích go hiomlán.
29-00	Airteagal 29.
29-00	Tá dualgais ar an uile dhuine i leith an phobail arb ann amháin is féidir a phearsantacht d'fhobairt go saor agus go hiomlán.
29-01	Ag feidhmiú a cheart agus a shaorisí dhó ní bheidh de shriantacht ar dhuine ar bith ach pé sriantachta a bhéas ceaptha do réir dlí d'aon toisc chun aitheantas agus urraim mar is cuí d'áirithiú do chearta agus saoirsí daoine eile agus chun freagairt do riachtanais chóra na moráltachta, an óird phoiblí agus soileasa na coitiantacnta i gcomhdhaonnacnt daonfhlathach.
29-02	Ní cead i gcás ar bith na cearta ná na saoirsí seo d'fheidhmiú contrártha do chuspóirí agus do bhuntreora na Náisiún Aontaithe.
30-00	Airtegal 30.
30-01	Ní cead aon ní sa Dearbhú seo a leiriú mar ní a bheir dón Stát grúpa nó duine ceart ar bith chun páirt a ghlacadh in aon ghníomhacht ná aon ghníomh a dhéanamh d'fhonn aon cheart nó saoirse dá luaitear anseo a dhíthiú.
