00-00	Vleis ti Tauxtsenv Chix ti Chianrlif Shianxyanr
02-02	Tsix yinsweir chix ti kuercas huertse lar ti tsenftsif ti, shinrtsenf ti huertse kuercif ti tifweif nes purtungr soyi nes chixpier a, tsix saix lar nir tshus lar turlir, lar thorkuan, lar tsiftsif a huertse an tsenv pleis tsoxnur ti tsuchianr nes shianftsif ti qhau a.
03-00	Ta
03-01	Chix nu nes chianrlif nes tshaus, tsifyour thungs anxchianr chix.
04-00	Pu
04-01	Tsix chix nu nurtif huertse nuryif thas a. Tsix tsiftuf nurtif thungs sen sais nu nes a, tsix saix shinrsif nov a.
05-00	Mpus
05-01	Tsix chix pof shinrkhuf a, tsix saix xennov a. Tsix nes taifyif huertse shinrfar tshanrzen, zenrtauf a huertse wuzushinf a.
06-00	Nan
06-01	Chix an nansnov nu nes chianrlif ngkair saix lusqey farlir ti zenrker.
07-00	Shif
07-01	Lusqey farlir chix nu phinrten, nes chianrlif ngkair farlir phinrten pauhuf, tsix nes chirsif nov a. Chix nu nes chianrlif ngkair farlir phinrten pauhuf, ngkair weirfan shianxyanr nir ti chirsif thungs sanxtungf chirsif nir ti shinrweir weirhaif a.
08-00	Vlas
08-01	Tsix saix tshus xennov, ngkair shianffar huertse farlir nir ti chianrlif cixpen ngkair chinxhaif thuf, nes chianrlif ngkair farthinr kuercas horker tueif chinxhaif nir thas nes shauf ti puciuf.
09-00	Seyf
09-01	Tsix zenfyif ninr, tangx huertse tshaus chix a.
10-00	Pef
10-01	Chix nu phinrten nes chianrlif ngkair farthinr turlir thungs nes a pianxyi thas senshinf kungxtsenf thungs kungxkaix, chortinf chianrlif thungs yifwuf u, panftinf tueif u thus ti tsikhungf shinrsif.
11-00	Si nen pef
11-00	Chix pof key khungfkauf shinrsif, zurko ngkair hu pianfhuf maiv ti pautsenf nu nes ti senphanf kungxkaix thungs farlir tsenfsir nes tsueif mpar, nes chianrlif ngkair tsenv nes a tsueif.
11-01	Chix ti shinrweir huertse pur shinrweir, zurko thuv thus yeys far kuercas thungs far khuercif nu tsueif shinrsif nes a, tsix phanftinf nes tsueif shinrsif a. Tsix shinrfar pi thuv thas tsueif laiv ti kueixtinf farlir xen a.
12-00	Su nen pef
12-01	Tsix zenfyif kanxser chix ti tsev hu tsifcas, qe, qe su thungs thungxshinf a, tsix paf yungryif thungs minryif a. Chix nu nes chianrlif ngkair farlir pauhuf, pof a kanxser huertse paf nir.
13-00	Ta nen pef
13-00	Chix an kleyx kuercas nov nu nes chianrlif tsifyour tey thungs su.
13-01	Chix nes chianrlif thus kuer, tsix saix kuercas nov a, klei nir nes kuercas tsifcas, nes chianrlif penx kuercas u.
14-00	Pu nen pef
14-00	Chix nu nes chianrlif an kuercas pleix maiv thungs pof pifhuf, pof a pherhaif.
14-01	Zurko ngkaur yeys tsueifshinr nes a tsenftsifshinf huertse weirpeif Kuer Lianrhor ti tsungxtsi thungs yanrtse ti shinrweir ngkair chisuf key, tsix laiv chianrlif nir a.
15-00	Mpus nen pef
15-00	Chix nu nes chianrlif nes kuercir.
15-01	Tsix zenfyif las chix ti kuercir, tsix fuzenf chix kaipianf kuercir u ti chianrlif.
16-00	Nan nen pef
16-00	Lorsu, nes qotaux thungs qoyov, tsungtsur, kuercir huertse tsungxcauf ti shianftsif nov nu nes a, nes chianrlif ngkau, vlos thungs thas qe. Tsoxnur an hu hunxyinx, an thuv cerhunx thungs thuv lirhunx, nu nes chianrlif phinrten.
16-01	Tsiyu qotaux thungs qoyov nu tsifcas thungsyif key, tshair cerhunx.
16-02	Qe tshus tanxyanr sefhueif vleis tsox thungs cixpen, ngkair sefhueif thungs kuercas pauhuf.
17-00	Shif nen pef
17-00	Chix tsifcas nes chianrlif tshairtshan, thungs qux nes chianrlif tshairtshan.
17-01	Tsix zenfyif las chix ti tshairtshan a.
18-00	Vlas nen pef
18-01	Chix nu nes tsifyour teyr, leyx o thungs tsungxcauf ti chianrlif. Chianrlif nir nes kaipianf tsungxcauf huertse tsenv u ti tsifyour, thungs tanxtur huertse cirthi, kungxkhaix huertse mirmir laiv caufyif, sircanf, lipaif thungs kaiflir piausif tsungxcauf huertse tsenv u ti tsifyour.
19-00	Seyf nen pef
19-01	Chix nu nes chianrlif nes tsutsangx thungs farpiau yifcanf ti tsifyour. Chianrlif nir nes tsifyour nes tsutsangx ngkair kanxser a, meirkaif nov nu laiv thung saix a kuerkaif laiv, pof thungs nir qhau thungs teyr ti tsifyour.
20-00	Su pef
20-00	Chix nu nes chianrlif nes tsifyour horphinr cirhueif thungs cersef.
20-01	Tsix chix ngkair lur thuanrthi nov a.
21-00	Su pef si
21-00	Chix nu nes chianrlif tsircer huertse laiv taifpiau tsifyour tshes tshanxyi tsifli kuercas u.
21-01	Chix nu nes chianrlif phinrten thas kuercas u ti kungxwuf.
21-02	Yiftsif chix tshus tshens tsenffu ti qaf, yifzif nir laiv tshes tinfchix thungs ngkaur piausianf. Tshes yixcif chianr nir phiauf phupianf thungs phinrten, laiv nir phiauf zas a ntsais huertse nox ti tshenrshif nir phiauf tsifyou thas.
22-00	Su pef su
22-01	Chix tshus sefhueif ti tshenryanr, nes chianrlif pof pautsangf sefhueif, nes chianrlif pof tsunxyanr thungs zenrker u tsifyour fartsan maiv ti cinxcif, sefhueif thungs wenrhuaf ti chianrlif ti sirshianf. Sirshianf nir laiv kuercas thus tshens thungs kuercif hortsof thungs yixtsauf kof kuer ti chinrkuangf tsutsir thungs tsixyanr.
23-00	Su pef ta
23-00	Chix nu nes chianrlif thas key, tsifyour tshes key, pof thiaurcanf tahs key kungxtsenf thungs horsir thungs pof thastauf a key ti pautsangf.
23-01	Chix nu nes chianrlif key thungs tsheis thungs, tsix nes chirsif nov a.
23-02	Thas key ti chix nu nes chianrlif pof pauftshour kungxtsenf thungs horsir, pautsenf u thungs si qe chix nu nes furhor tsunxyanr chix ti thiaurcanf tsev hu, thuv maiv nir pleix ti pautsangf sefhueif.
23-03	Chix nu nes chianrlif thas thungs lur kungxhueif weirhuf lifyif u.
24-00	Su pef pu
24-01	Chix nu nes chianrlif theys thas thungs nes a key, u nes chianrlif thuv thas key nes shianftsif horli thungs tinfchix nir tsheis theys thas.
25-00	Suf pef mpus
25-00	Chix nu nes chianrlif pof weirtshir u thungs si qe chix ti tshan o thungs furlif maiv ti sueitsun tsev hu, nes mpaisxo, lungs, qe su, yixliaur thungs maiv ti furwuf sefhueif. An thastauf key, zaiv, tshan sauf, qotaux pen, kaux huertse an pleix tsoxnur pof khungftsif a ti qhau ti tsenv thastauf tshens tsev hu ti thuv, nes chianrlif pof pautsangf.
25-01	Mov thungs leirklaix nes chianrlif pof tsaufkuf thungs tsaitshens thersux. Leirklaix, tsix saix tshus ngkair qotaux lais tsox mix huertse thsus ngkair qotaux lais tsox mix a, nu pof pauhuf sefhueif phinrten.
26-00	Suf pef nan
26-00	Chix nu nes chianrlif ngkair sey. Tsix sey maiv tsheis a, tsueif teiv an kaixtuanf tshuxcir thungs cixpen tshus syex nir. Sye tshuxcir tshus shinftsir yifwuf. Sey cifsur thugs key phupianf nes. Sey vis yeys tshenrcir tueif chix phinrten ho.
26-01	Murtir sey tshus tshungxfenx fartsan kofshinf chix thungs caxchiangr tueif chix ti chianrlif thungs tsifyour cixpen ti tsunxtsungf. Sye tshufcinf kof kuer, kof tsungtsur huertse cirtuanr tsungxcauf ti sa, zongrzen thungs youyir, tshufcinf Kuer Lianrhor hortungf weirhuf horphinr.
26-02	Phos mov tueif leiv leivmov tsoxnur maiv pof ti tsungleif sey, nes chianrlif key tshes.
27-00	Suf pef shif
27-00	Chix nu nes chianrlif tsifyour tshanxcax sefhueif ti tsev hu wenrhuaf, pof yifsur, thungs nu pof chinfpuf khoxshor thungs ngkair u tsox ti furlif.
27-01	Chix tueif ngkair u thas ti tsofphin khoxshor, wenrshor huertse meisur ti lifyif cinxsenr thungs wurtsir, nes chianrlif ngkair pauhuf.
28-00	Suf pef vlas
28-01	Chix nu nes chianrlif maiv si nen tsifshif sefhueif thungs kuercif. An kleyx tsifshif nir, ngkair shianxyanr zas ti chianrlif thungs tsifyour pof tshungxfenx sirshianf.
29-00	Suf pef seyf
29-00	Chix tueif sefhueif nu nes yifwuf, yinsweir tsiyu an kleyx sefhueif kofshinf u tshair pof fartsan tsifyour thungs tshungxfenx.
29-01	Chix laiv chianrlif thungs tsifyour u ti thuv, tsi pof ngkair farlir chortinf ti shianftsif. Chortinf shianftsif nir ti murtir weiryir tshus pautsenf tueif chianrlif thungs tsifyour xenlens nir saix thungs tsunxtsungf maiv nes, thungs an kleyx sefhueif minrtsu siryinf maiv tsenftangf taufter, tsifshif kungxkungf thungs furlif phupianf.
29-02	Laiv chianrlif thungs tsifyour, an tsenv qhau nov nu, tsix weirpeif tsungxtsi thungs yanrtser Kuer Lianrhor a.
30-00	Ta pef
30-01	Ngkair shianxyanr nir zas ti thiaurwenr, tsix yur tshus morshi kuercas, cirthuanr huertse chix nov nes chianrlif thas tsungxtsi tshus mplaf sauf ngkair shianxyanr nir zas ti chianrlif thungs tsifyour nov ti hortongf huertse qhau.
