00-00	RUNAKUNAPAK HAYÑITA WILLAY
01-01	Tukuy runakunami maypipash kishpirishka, sumaykaypi(dignidad) paktapakta wacharin. Chay wawakunaka sumak yuyaykuna, tiksiyuyay (fundamental), huntami kan; chaymantami runapuraka shukllashina tukushpa, yanaparishpa kawsana kan.
02-00	2 niki
02-01	Kay hayñita willashka kipaka tukuy runakunami ima tullputa, kawsayta, kariwarmita, rimayta, iñiyta, lIaktay yuyayta, maymanta kashkata, charik kashkata, wakcha kashkata, wacharishkata, shuktak yuyaytapash mana rakishpalla kishpriyta, runahayñitapash ch'arin.
02-02	Shinallatak: lIaktakak, kamachi yachak,istakak, mana paypak allpapi kawsak, chikan lIaktakak, lIapirishka Ilaktakak, saywashka Ilakta kakpash, kay hatun willaypi nishkashina, kishpiriyta, runapak hayñitaka charinmi, mana chikanyashka, manyayachishka kanchu.
03-00	3 niki
03-01	Tukuykunami kikin kawsay, kishpiriy, kikin shayariy hayñita charin.
04-00	4 niki
04-01	Mana pipash wanachiwasipi ñitishka, takashka kanachu, shinallatak mitayu lIankaypash ña mana tiyanachu. Tukuysami wanachiykunakatukurirkami, chayka ñami washapi sakirirka.
05-00	5 niki
05-01	Mana pi watashka, utushka, makashka kankachu. Mana pi, anchamillashka,. wiwatashina rikushka, kumurichishka, lIapishka kankachu.
06-00	6 niki
06-01	Tukuy runakaymi paykunapak hayñita charin, tukuy Ilaktakunapimi paypak kikin kapakkayta Uurídico) riksishka hayñita charin.
07-00	7 niki
07-01	Kamachipak nawpakpika tukukunami paktapakta kanchik, runaka kamachik mana chikanyachishka paktapakta kamashka hayñitami charin. Tukuykunami TUKUY RUNAKUNAPAK HAYÑITA pipash sarushpa runakunata piñakukpi, millikukpika sinchita. shayarishpami harkana hayñíta charin. Tukuysami saruykachaytapash harkanami kan.
08-00	8 niki
08-01	Tukuy runakunami kimsa kapakkamachikpak(tribunal) ñawpakpi, ima lIakimantapash pay illuta nishpa paktachina hayñita charin; paypak mclrYlakamathi arinishka, shuktak kamachikunapash arinishka tiksihayñita wakllichikukpika lIaktakunaka mana sakichún.
09-00	9 niki
09-01	Mana huchayuk runataka pipash mana yanka watankachu. Wanachina amsa ukupi mana pipash churankachu, paypak allpamantapash mana surkunkachu.
10-00	10 niki
10-01	Tukuy runami pay rimashkata kimsa kapyak kamachikpak ñawpakpi, tukuy runakunapak ñawpakpi, shuktak runakuna shinallatak paktapakta uyachina hayñita charin. Paytak mana kimirishka kishpichik kamachik,' hayñikunata, kanakayta (obligación) rikushpa shukkutin ima kaktapash nichun. Hucha tiyakpi wanachikanawasiman kachachun,. kutin mana hucha tiyakpika kishpichichun.
11-00	11 niki
11-01	Tukuy huchachishka runakunami, hucha mana illu kakpika IIullapi IIukshina hayñita charin. Huchachishkata lIullapi IIukshinkap,akka: kamachikkuna imata nishkawan, tantarishka runakuna. i'mata nishkawan, taripaypi imata nishkawanmi inchita shayarishpa kishpirina kan.
11-02	Mamallaktapak hayñi ñawpakpi, lIaktapura hayñi ñawpakpi, IIakita rurashka mana ancha hucha kakpika mana pi supaychashka(condenado) kankachu. Llakita aparikuy pachapi wanachishkata yalli IIashak wanaytapash mana churankachu
12-00	12 niki
12-01	Mana pi kinkinpak kawsaypi, wasipi, ayllupi yanka yaykurinata charinchu. Kikin . alli shutitapash mana yanka kaminachu kan, kayman kachashka willaytapash mana paskanachu kan. Tukuy runami kamachiwan killparishpa, kikin kawsayman mana pipash satirichun harkana hayñita charin.
13-00	13 niki
13-01	Tukuy runami paypak lIaktapika kishpirishka purinata, maypi kawsana kuskata akllana hayñita charin.
13-02	Tukuy runami mayhan IIaktamanta, paypak lIaktamantapash IIukshirina hayñita charin. Kutin paypak lIaktaman tikrana hayñitapash charin.
14-00	14 niki
14-01	Katikachakpika, tukuy runami mitikushpa pakakukuna kuskata mashkana hayñita charin, chay hayñiwanmi may lIaktapipash alli kawsana kuskata charinata ushan.
14-02	Kay hayñika huchayuk pakakukushka lIaktapak kamachikunawanpash mana takarikchu kan. Shinapash kay hayñika: ancha' huchata charik runataka mana yanapankachukan, shillatak tinkirishka lIaktakuna kamachishkata saruktaka mana yanapankachu.
15-00	15 niki
15-01	Tukuy runamishuktak lIaktaman Ilaktayay(nacionalidad) hayñita chárin
15-02	Llaktayay hayñitaka mana kichunkachu, shuktak. Ilaktaman rantinchirina lIaktayay hayñitapash mana kichunkachu.
16-00	16 niki
16-01	Kariwarmi paypakkunapak mitata paktachishpaka: tullputa mana rikushpalla, ista kashkata mana rikushpalla, ima iñikta mana rikushpalla sawarina hayñitami charin. Shina yayamama tukushpa, shuk aylluta wallpashpa, kariwarmi paktapakta sawarishka kawsay watakama sumaktami kawsanka. Sawarishkamanta paskarishpapash allita kawsayna hayñitami charin.
16-02	Kariwarmi paykuna kishpirishka yuyaywan munanakushpallami sawarinka.
16-03	Llaktakunapak tiksi nipaka ayllumi kan, chaymantami paykunaka ayllullaktapash, mamallaktapash kamashka kanka.
17-00	17 niki
17-01	Tukuy runamimaypi kawsana kikin allpata, kikin wasita, nipakunatapash charina hayñita charin. Shinallatak tukuypak tiyachun haynitapashmicharin
17-02	Pipash paykunapak allpata, wasita, imatapash mana kichunkallachukan.
18-00	18 niki
18-01	Tukuy runami kishpirishka yuyayta, shunkuyuyayta(conciencia), iñiyna hayñita charin. Shuktak iñinaman yallinata, pay munashka pachakamakta katina hayñitapash charinmi. Shinallatak shuklla, tantarishpapash shuk iñiyta katina hayñitami charin. Tukuykunapak ñawpakpi payllapash shuk iñiyta rikuchina hayñitami charin.
19-00	19 niki
19-01	Tukuy runami imatapash willana, rimana hayñita charin, kaytaka mana pipash katirayashpa harkanata ushanchu. Taripayta, willayta, alli yuyayta chaskinatapash ushanmi. Pay wiñachishka sumak yuyaykunataka: ankimanta, karurikuchikmanta(televisión), shuktak ñanmantapash mana saywarishpalla willanatami charin.
20-00	20 niki
20-01	Tukuy runami tantanakuna kishpita, kasiklla tantanakuyta wiñachina kacharishka hayñita charin.
20-02	Mana pipash shuk tantanakuyman munay, mana munay pushashka kankachu.
21-00	21 niki
21-01	Tukuy runami paypak Ilaktapi kamachik tukuna hayñita charin. Payllatak sapalla, mana kashpaka akllashka kashpapash kamachik tukuna hayñita charin
21-02	Tukuy runami paypak lIaktapika, shuktak runakuna shinallatak Ilaktallankaypi (funciones públicas) paktapakta Ilankana hayñita charin
21-03	LLaktakunapak munaymi tukuy runakunapak tiksi kamachi ushay kan, kaytakakikin watanta tukuy lIaktakunapi kamachikunata paktapakta akllaypimi rikuchina kan. Kaytaka pakalla, pipash mana yuyachishka kikinllatakmi shutita kushpa shinata kan. Shinallatak nishanik shuktak sami akllaykunapash kishpirishkami kan.
22-00	22 niki
22-01	Llaktapak ayllu kashkamantaka, tukuy runakunami kamashka kaws,ana hayñita charin. Allita kawsankapaka payllatakmi ñakarina kan, paypak mamallaktapash, kay ayllutaka shuktak lIaktakunapash yanapanatami charin. Paypak Ilaktapi tiyashka kullkiwan, nipakunawan yanaparishpa sumakta kawsana hayñitami charin. Kacharishka kawsayta charishpa, pay munashka wiñarina hayñitapashmi charin.
23-00	23 niki
23-01	Tukuy runami lIankana, Ilankayta akllana kishpirishkahayñita charin. Kikin munashka paktapakta Ilankaytami chari.na kan. Llankaymanta mana shitashka kankapakka, paypak Ilankaytaka payllatak kamarayanami kan.
23-02	Tukuy runami mana akllarishkakana, paypak Ilankashakamantapash paktapakta kullkitaka chaskina hayñitami charin.
23-03	Tukuy Ilankak runami pay lIankashkamantaka munashka paktapakta kullkita hapinata charin. Shina paypak aylluman alli kawsayta kuchun, paypash alli kawsayta charichun. Kay illakpika mayhansami kamaywanpash paktachishkami kanka.
23-04	Tukuy runami tantanakuyta wiñachina hayñiya charin, chay tantanakuyka paykunapak charishkatalla kamankapakka mana kanchu.
24-00	24 niki
24-01	Tukuy runami samarina hayñita charin~ kacharishka samaypachata amikta kushiyarina hayñitapash charinmi. Tawka watakama, shaykunkakama lIankana kuskatami charin, samarishkamantapash kullkita hapinami kan.
25-00	25 niki
25-01	Tukuy runami payta kamak, alli kawsayta kuk patapi kana hayñita charin. Shinallatak paypak aylluta, allikawsaytá, allikayta, alli mikuyta, alli churarinata, alli wasita, alli hampirinata, mitacoita (servicio) charina hayñita charin. Shinallatak mana Ilankayta charishpa, unkushka kashpa, wakllirishka kashpa, sapalla kashpa, payayashpa, shuktak lIakikunata charishpapash yanapachun hayñita charinmi.
25-02	Chichu warmipash, Ilullu wawakunapash alli kawsayta charina, allinta kamashka kana hayñitami charin. Tukuy kariwarmi wawakuna sawarishkayayamama ~ wachashka kashpa, kuytsa wachashka sapalla warmi wachashka kashpapash paktapakta kacharishka hayñitami charin.
26-00	26 niki
26-01	Tukuy runami yachana hayñita charin. Tiksi yachay, shuktak tiksi yachaymantapash mana kullkita kuna kanchu. Tiksi yachayka tukuykunapak yachanatakmi kan, yachanamantaka mana 'pipash sakirinachu. Rurayyachay, sumakyachaypash hatunyashpa tukuy Ilaktamanmi chayanka. Hatun yachaykunaman yaykunaka tukuypak paktami kanka, shinami paykuna chaskina kashkata paktachinka.
26-02	Yachayka runakuna yuyaypi may alli wiñarinatami yanapanka, runakunapak hayñipi iñiyta, tiksi kishpirinatami sinchiyachinka. L1aktapura, runakawsaypura, iñikpura hamutayta, hikullayta (tolerancia) mashiyarina sinchiyachunmi yanapanka. Tinkirishka mamallaktakuna kasiklla kawsayta charirayachunmi willashpa runakuman yachachinka.
26-03	Taytamamaka imasami yachayta churikunaman kunkapakka akllana hayñitami charin.
27-00	27 niki
27-01	Tukuy runami kishprishka yuyaywan ayllullaktawan kimirishka kawsana hayñita charin, makiruraykunawan taripaykuna amawtariy lIankaypipash chaypimi kanata chaTin. Pay lIankashkamantapash imallatapash hapinatami charin.
27-02	Tukuy runami paypak alli shutita, amawta lIankaymanta rikurishka nipakunata kamana hayñita charin. Pay killkashka arawikunata lIankashka makiruraytapash kamana hayñitami charin.
28-00	28 niki
28-01	Tukuy runami tukuy paypak lIaktapi kawsak runakuna, istallaktapi kawsak runakunapash nikishka kawsayta charichun yanapana hayñita charin. Shina kay hayñi, kishpiriypash tinkirishka lIaktakuna willashka hayñikuna tukuy Ilaktaman paktachun.
29-00	29 niki
29-01	Tukuy runami ayllukunaman kanakayta(deber) ayllullaktaman kunata. charin. Paypak ayllullaktapillami kishpiriy hunta kawsayta, kikinkayta charishpa may allita wiñarinka.
29-02	Paypak hayñita, kishpiriyta hapishpaka kamachikuna nishkapilla watarishpami saywarishka kanka. Payka, kikin hayñita, kishpiyta, iñina yuyayta; allirunakayta, sumaychayta(respeto), tukuypak yuyayta paktachina raykumi saywarishka kamachi kanka. Kipaka: ayllukuna, lIaktakuna sumaklla tiyachun, mana mashikunata kichushpa, kamishpa, millishpa kawsachun yuyashpami kamachi nishkata paktachinka.
29-03	Tinkirishka Ilaktakuna yuyarishkata tiksi hayñiwan, kishpiriywan, nimamantapash takarishpa lIakichina yuyaytaka mana charinachu. Tukuykunami mashiyarishpa kishpirinakunkapak Ilankana kan.
30-00	30 niki
30-01	Kay tinkirishka lIaktakuna willashka hayñikunata, kishpiriykunataka, shuklla runamanpash, tantanakuymanpash yankaka, mana pantata willanallachu. Runakunapak hayñita, kishpiriy yuyayta pichana yuyaytaka na charinachu.
